INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2019-02-01T14:00:00-00:00,2019-02-01T15:00:00-00:00,0,2019-02-01,7,0,ACTUAL,BANCSMUD,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1178,ACTUAL,2
2019-02-01T09:00:00-00:00,2019-02-01T10:00:00-00:00,0,2019-02-01,2,0,ACTUAL,BANCSMUD,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,885,ACTUAL,2
2019-02-02T01:00:00-00:00,2019-02-02T02:00:00-00:00,0,2019-02-01,18,0,ACTUAL,BANCSMUD,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1280,ACTUAL,2
2019-02-02T00:00:00-00:00,2019-02-02T01:00:00-00:00,0,2019-02-01,17,0,ACTUAL,BANCSMUD,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1248,ACTUAL,2
2019-02-02T02:00:00-00:00,2019-02-02T03:00:00-00:00,0,2019-02-01,19,0,ACTUAL,BANCSMUD,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1286,ACTUAL,2
2019-02-01T18:00:00-00:00,2019-02-01T19:00:00-00:00,0,2019-02-01,11,0,ACTUAL,BANCSMUD,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1221,ACTUAL,2
2019-02-01T15:00:00-00:00,2019-02-01T16:00:00-00:00,0,2019-02-01,8,0,ACTUAL,BANCSMUD,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1211,ACTUAL,2
2019-02-01T19:00:00-00:00,2019-02-01T20:00:00-00:00,0,2019-02-01,12,0,ACTUAL,BANCSMUD,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1204,ACTUAL,2
2019-02-01T08:00:00-00:00,2019-02-01T09:00:00-00:00,0,2019-02-01,1,0,ACTUAL,BANCSMUD,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,922,ACTUAL,2
2019-02-01T13:00:00-00:00,2019-02-01T14:00:00-00:00,0,2019-02-01,6,0,ACTUAL,BANCSMUD,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1072,ACTUAL,2
2019-02-01T11:00:00-00:00,2019-02-01T12:00:00-00:00,0,2019-02-01,4,0,ACTUAL,BANCSMUD,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,871,ACTUAL,2
2019-02-01T22:00:00-00:00,2019-02-01T23:00:00-00:00,0,2019-02-01,15,0,ACTUAL,BANCSMUD,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1179,ACTUAL,2
2019-02-01T20:00:00-00:00,2019-02-01T21:00:00-00:00,0,2019-02-01,13,0,ACTUAL,BANCSMUD,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1192,ACTUAL,2
2019-02-01T10:00:00-00:00,2019-02-01T11:00:00-00:00,0,2019-02-01,3,0,ACTUAL,BANCSMUD,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,866,ACTUAL,2
2019-02-01T12:00:00-00:00,2019-02-01T13:00:00-00:00,0,2019-02-01,5,0,ACTUAL,BANCSMUD,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,954,ACTUAL,2
2019-02-02T03:00:00-00:00,2019-02-02T04:00:00-00:00,0,2019-02-01,20,0,ACTUAL,BANCSMUD,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1260,ACTUAL,2
2019-02-02T07:00:00-00:00,2019-02-02T08:00:00-00:00,0,2019-02-01,24,0,ACTUAL,BANCSMUD,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,991,ACTUAL,2
2019-02-02T06:00:00-00:00,2019-02-02T07:00:00-00:00,0,2019-02-01,23,0,ACTUAL,BANCSMUD,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1104,ACTUAL,2
2019-02-01T23:00:00-00:00,2019-02-02T00:00:00-00:00,0,2019-02-01,16,0,ACTUAL,BANCSMUD,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1204,ACTUAL,2
2019-02-02T05:00:00-00:00,2019-02-02T06:00:00-00:00,0,2019-02-01,22,0,ACTUAL,BANCSMUD,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1146,ACTUAL,2
2019-02-01T21:00:00-00:00,2019-02-01T22:00:00-00:00,0,2019-02-01,14,0,ACTUAL,BANCSMUD,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1179,ACTUAL,2
2019-02-02T04:00:00-00:00,2019-02-02T05:00:00-00:00,0,2019-02-01,21,0,ACTUAL,BANCSMUD,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1210,ACTUAL,2
2019-02-01T16:00:00-00:00,2019-02-01T17:00:00-00:00,0,2019-02-01,9,0,ACTUAL,BANCSMUD,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1202,ACTUAL,2
2019-02-01T17:00:00-00:00,2019-02-01T18:00:00-00:00,0,2019-02-01,10,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,8879,ACTUAL,3
2019-02-01T19:00:00-00:00,2019-02-01T20:00:00-00:00,0,2019-02-01,12,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,8870,ACTUAL,3
2019-02-01T10:00:00-00:00,2019-02-01T11:00:00-00:00,0,2019-02-01,3,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,6790,ACTUAL,3
2019-02-02T06:00:00-00:00,2019-02-02T07:00:00-00:00,0,2019-02-01,23,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,7711,ACTUAL,3
2019-02-02T04:00:00-00:00,2019-02-02T05:00:00-00:00,0,2019-02-01,21,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,8382,ACTUAL,3
2019-02-01T12:00:00-00:00,2019-02-01T13:00:00-00:00,0,2019-02-01,5,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,7041,ACTUAL,3
2019-02-01T11:00:00-00:00,2019-02-01T12:00:00-00:00,0,2019-02-01,4,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,6765,ACTUAL,3
2019-02-01T08:00:00-00:00,2019-02-01T09:00:00-00:00,0,2019-02-01,1,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,7074,ACTUAL,3
2019-02-02T02:00:00-00:00,2019-02-02T03:00:00-00:00,0,2019-02-01,19,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,9140,ACTUAL,3
2019-02-02T00:00:00-00:00,2019-02-02T01:00:00-00:00,0,2019-02-01,17,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,9092,ACTUAL,3
2019-02-01T15:00:00-00:00,2019-02-01T16:00:00-00:00,0,2019-02-01,8,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,8752,ACTUAL,3
2019-02-01T09:00:00-00:00,2019-02-01T10:00:00-00:00,0,2019-02-01,2,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,6907,ACTUAL,3
2019-02-02T03:00:00-00:00,2019-02-02T04:00:00-00:00,0,2019-02-01,20,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,8842,ACTUAL,3
2019-02-01T23:00:00-00:00,2019-02-02T00:00:00-00:00,0,2019-02-01,16,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,8795,ACTUAL,3
2019-02-01T21:00:00-00:00,2019-02-01T22:00:00-00:00,0,2019-02-01,14,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,8759,ACTUAL,3
2019-02-01T18:00:00-00:00,2019-02-01T19:00:00-00:00,0,2019-02-01,11,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,8883,ACTUAL,3
2019-02-02T07:00:00-00:00,2019-02-02T08:00:00-00:00,0,2019-02-01,24,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,7154,ACTUAL,3
2019-02-02T01:00:00-00:00,2019-02-02T02:00:00-00:00,0,2019-02-01,18,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,9266,ACTUAL,3
2019-02-01T22:00:00-00:00,2019-02-01T23:00:00-00:00,0,2019-02-01,15,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,8678,ACTUAL,3
2019-02-01T14:00:00-00:00,2019-02-01T15:00:00-00:00,0,2019-02-01,7,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,8370,ACTUAL,3
2019-02-01T13:00:00-00:00,2019-02-01T14:00:00-00:00,0,2019-02-01,6,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,7617,ACTUAL,3
2019-02-02T05:00:00-00:00,2019-02-02T06:00:00-00:00,0,2019-02-01,22,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,7964,ACTUAL,3
2019-02-01T20:00:00-00:00,2019-02-01T21:00:00-00:00,0,2019-02-01,13,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,8810,ACTUAL,3
2019-02-01T16:00:00-00:00,2019-02-01T17:00:00-00:00,0,2019-02-01,9,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,8890,ACTUAL,3
2019-02-01T12:00:00-00:00,2019-02-01T13:00:00-00:00,0,2019-02-01,5,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,20627,ACTUAL,4
2019-02-01T22:00:00-00:00,2019-02-01T23:00:00-00:00,0,2019-02-01,15,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,23880,ACTUAL,4
2019-02-02T03:00:00-00:00,2019-02-02T04:00:00-00:00,0,2019-02-01,20,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,26576,ACTUAL,4
2019-02-02T06:00:00-00:00,2019-02-02T07:00:00-00:00,0,2019-02-01,23,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,23066,ACTUAL,4
2019-02-01T08:00:00-00:00,2019-02-01T09:00:00-00:00,0,2019-02-01,1,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,20669,ACTUAL,4
2019-02-01T13:00:00-00:00,2019-02-01T14:00:00-00:00,0,2019-02-01,6,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,22587,ACTUAL,4
2019-02-02T04:00:00-00:00,2019-02-02T05:00:00-00:00,0,2019-02-01,21,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,25283,ACTUAL,4
2019-02-02T07:00:00-00:00,2019-02-02T08:00:00-00:00,0,2019-02-01,24,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,21028,ACTUAL,4
2019-02-01T10:00:00-00:00,2019-02-01T11:00:00-00:00,0,2019-02-01,3,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,19493,ACTUAL,4
2019-02-01T16:00:00-00:00,2019-02-01T17:00:00-00:00,0,2019-02-01,9,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,24319,ACTUAL,4
2019-02-01T17:00:00-00:00,2019-02-01T18:00:00-00:00,0,2019-02-01,10,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,24142,ACTUAL,4
2019-02-02T05:00:00-00:00,2019-02-02T06:00:00-00:00,0,2019-02-01,22,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,23924,ACTUAL,4
