INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2018-08-01T09:00:00-00:00,2018-08-01T10:00:00-00:00,0,2018-08-01,3,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,5810,ACTUAL,2
2018-08-01T17:00:00-00:00,2018-08-01T18:00:00-00:00,0,2018-08-01,11,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,7308,ACTUAL,2
2018-08-01T20:00:00-00:00,2018-08-01T21:00:00-00:00,0,2018-08-01,14,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,7663,ACTUAL,2
2018-08-02T03:00:00-00:00,2018-08-02T04:00:00-00:00,0,2018-08-01,21,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,7411,ACTUAL,2
2018-08-02T06:00:00-00:00,2018-08-02T07:00:00-00:00,0,2018-08-01,24,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,6753,ACTUAL,2
2018-08-01T08:00:00-00:00,2018-08-01T09:00:00-00:00,0,2018-08-01,2,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,6087,ACTUAL,2
2018-08-01T11:00:00-00:00,2018-08-01T12:00:00-00:00,0,2018-08-01,5,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,5548,ACTUAL,2
2018-08-01T18:00:00-00:00,2018-08-01T19:00:00-00:00,0,2018-08-01,12,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,7469,ACTUAL,2
2018-08-01T07:00:00-00:00,2018-08-01T08:00:00-00:00,0,2018-08-01,1,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,6540,ACTUAL,2
2018-08-01T19:00:00-00:00,2018-08-01T20:00:00-00:00,0,2018-08-01,13,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,7648,ACTUAL,2
2018-08-01T23:00:00-00:00,2018-08-02T00:00:00-00:00,0,2018-08-01,17,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,7722,ACTUAL,2
2018-08-02T01:00:00-00:00,2018-08-02T02:00:00-00:00,0,2018-08-01,19,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,7820,ACTUAL,2
2018-08-02T04:00:00-00:00,2018-08-02T05:00:00-00:00,0,2018-08-01,22,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,7249,ACTUAL,2
2018-08-01T16:00:00-00:00,2018-08-01T17:00:00-00:00,0,2018-08-01,10,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,7087,ACTUAL,2
2018-08-02T05:00:00-00:00,2018-08-02T06:00:00-00:00,0,2018-08-01,23,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,7181,ACTUAL,2
2018-08-01T10:00:00-00:00,2018-08-01T11:00:00-00:00,0,2018-08-01,4,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,5639,ACTUAL,2
2018-08-01T13:00:00-00:00,2018-08-01T14:00:00-00:00,0,2018-08-01,7,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,5779,ACTUAL,2
2018-08-01T15:00:00-00:00,2018-08-01T16:00:00-00:00,0,2018-08-01,9,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,6696,ACTUAL,2
2018-08-01T21:00:00-00:00,2018-08-01T22:00:00-00:00,0,2018-08-01,15,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,7739,ACTUAL,2
2018-08-01T22:00:00-00:00,2018-08-01T23:00:00-00:00,0,2018-08-01,16,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,7760,ACTUAL,2
2018-08-01T14:00:00-00:00,2018-08-01T15:00:00-00:00,0,2018-08-01,8,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,6172,ACTUAL,2
2018-08-02T00:00:00-00:00,2018-08-02T01:00:00-00:00,0,2018-08-01,18,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,7829,ACTUAL,2
2018-08-01T12:00:00-00:00,2018-08-01T13:00:00-00:00,0,2018-08-01,6,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,5567,ACTUAL,2
2018-08-01T09:00:00-00:00,2018-08-01T10:00:00-00:00,0,2018-08-01,3,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,28355,ACTUAL,3
2018-08-02T05:00:00-00:00,2018-08-02T06:00:00-00:00,0,2018-08-01,23,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,38903,ACTUAL,3
2018-08-02T04:00:00-00:00,2018-08-02T05:00:00-00:00,0,2018-08-01,22,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,41071,ACTUAL,3
2018-08-01T23:00:00-00:00,2018-08-02T00:00:00-00:00,0,2018-08-01,17,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,42931,ACTUAL,3
2018-08-01T20:00:00-00:00,2018-08-01T21:00:00-00:00,0,2018-08-01,14,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,38007,ACTUAL,3
2018-08-01T07:00:00-00:00,2018-08-01T08:00:00-00:00,0,2018-08-01,1,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,31832,ACTUAL,3
2018-08-01T13:00:00-00:00,2018-08-01T14:00:00-00:00,0,2018-08-01,7,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,28086,ACTUAL,3
2018-08-01T15:00:00-00:00,2018-08-01T16:00:00-00:00,0,2018-08-01,9,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,30953,ACTUAL,3
2018-08-01T22:00:00-00:00,2018-08-01T23:00:00-00:00,0,2018-08-01,16,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,41660,ACTUAL,3
2018-08-02T00:00:00-00:00,2018-08-02T01:00:00-00:00,0,2018-08-01,18,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,43668,ACTUAL,3
2018-08-02T02:00:00-00:00,2018-08-02T03:00:00-00:00,0,2018-08-01,20,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,43368,ACTUAL,3
2018-08-01T11:00:00-00:00,2018-08-01T12:00:00-00:00,0,2018-08-01,5,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,26562,ACTUAL,3
2018-08-01T12:00:00-00:00,2018-08-01T13:00:00-00:00,0,2018-08-01,6,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,26993,ACTUAL,3
2018-08-01T17:00:00-00:00,2018-08-01T18:00:00-00:00,0,2018-08-01,11,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,33357,ACTUAL,3
2018-08-02T03:00:00-00:00,2018-08-02T04:00:00-00:00,0,2018-08-01,21,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,42120,ACTUAL,3
2018-08-01T14:00:00-00:00,2018-08-01T15:00:00-00:00,0,2018-08-01,8,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,29421,ACTUAL,3
2018-08-01T18:00:00-00:00,2018-08-01T19:00:00-00:00,0,2018-08-01,12,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,34860,ACTUAL,3
2018-08-01T19:00:00-00:00,2018-08-01T20:00:00-00:00,0,2018-08-01,13,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,36374,ACTUAL,3
2018-08-02T06:00:00-00:00,2018-08-02T07:00:00-00:00,0,2018-08-01,24,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,35718,ACTUAL,3
2018-08-01T08:00:00-00:00,2018-08-01T09:00:00-00:00,0,2018-08-01,2,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,29645,ACTUAL,3
2018-08-01T10:00:00-00:00,2018-08-01T11:00:00-00:00,0,2018-08-01,4,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,27058,ACTUAL,3
2018-08-01T16:00:00-00:00,2018-08-01T17:00:00-00:00,0,2018-08-01,10,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,32047,ACTUAL,3
2018-08-01T21:00:00-00:00,2018-08-01T22:00:00-00:00,0,2018-08-01,15,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,39985,ACTUAL,3
2018-08-02T01:00:00-00:00,2018-08-02T02:00:00-00:00,0,2018-08-01,19,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,43956,ACTUAL,3
2018-08-01T21:00:00-00:00,2018-08-01T22:00:00-00:00,0,2018-08-01,15,0,ACTUAL,IPCO,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3314,ACTUAL,4
