8/10/2018,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,4299,4289,4287,4320,4382,4436,4518,4597,4643,4650,4656,4670,4674,4633,4499,4411,4377,4351,4307,4224,4125,4077,4106,4052,3953,3924,3949,3950,3943,3919,3910,3872,3847,3912,3989,4100,4231,4298,4343,4323,4322,4313,4261,4267,4288,4303,4297,4297,4265,4242,4206,4151,4122,4124,4119,4127,4131,4133,4107,4035,4008,4037,4068,4091,4115,4082,4055,4016,3965,3918,3866,3860,3874,3896,3931,3938,3884,3834,3810,3796,3850,3921,3999,4070,4145,4277,4458,4702,4978,5271,5682,5990,6199,6487,6785,7075,7358,7565,7756,7892,7979,8115,8188,8233,8486,8685,8766,8939,9071,9204,9284,9071,8926,8958,9042,9062,9251,9318,9331,9370,9417,9504,9526,9791,9989,10161,10353,10520,10506,10514,10496,10456,10303,10193,10179,10451,10791,11049,11196,11226,11427,11648,11766,11862,11843,11947,12141,12225,12234,12147,12105,12066,12155,12319,12407,12299,12239,12341,12478,12394,12304,12476,12667,12823,12933,12964,12748,12940,13191,13281,13382,13292,13319,13333,13595,13629,13632,13673,13637,13693,13778,13829,13921,13821,13761,13765,13733,13669,13600,13527,13463,13414,13431,13373,13328,13275,13180,13055,12971,12899,12875,12856,12763,12722,12619,12483,12369,12167,11981,11844,11613,11425,11233,10926,10741,10473,10190,9951,9706,9417,9159,8916,8634,8350,8081,7833,7578,7328,7117,6987,6798,6637,6495,6387,6315,6256,6206,6179,6169,6173,6182,6180,6191,6236,6239,6215,6184,6155,6146,6105,6094,6092,6105,6124,6121,6119,6115,6112,6055,5984,5942,5955,5950,5928,5900,5882,5857,5853,5821,5872,5929,5982,6037,6056,6039,6030,6001,5919,5801,5786,5772,5759,5807,5828,5858,5873,5894,5807
Natural gas,14211,14015,13773,13534,13302,13153,13060,12911,12772,12527,12292,12178,12054,12026,12044,11837,11413,11267,11214,11114,11043,11013,10921,10896,10869,10735,10671,10615,10577,10603,10539,10399,10266,10124,10018,9918,9790,9809,9805,9775,9736,9680,9661,9625,9618,9676,9682,9651,9642,9518,9407,9273,9202,9185,9178,9225,9263,9337,9386,9385,9411,9420,9353,9361,9403,9388,9537,9682,9752,9870,9941,9944,9921,10019,10014,9982,9958,9921,9906,9942,10066,10121,10267,10249,10381,10416,10562,10549,10530,10499,10407,10441,10526,10487,10463,10447,10523,10613,10762,10821,10903,10901,10878,10859,10811,10766,10954,10986,11041,11095,11234,11236,11249,11433,11706,11868,11888,11978,12041,12115,12188,11938,11843,11777,11907,11964,11935,11933,12029,12241,12331,12307,12263,12293,12423,12556,12742,12840,12937,12949,13100,13217,13259,13240,13248,13157,13006,12931,13078,13379,13645,13712,13759,13878,13895,14049,14144,14178,14111,14313,14346,14383,14471,14549,14638,14768,14810,14674,14712,14727,14658,14804,14885,15052,15111,15213,15234,15175,15013,14992,15044,15012,15038,15152,15222,15315,15414,15543,15696,15815,15985,16011,15971,15805,15725,15824,15923,16060,16182,16308,16391,16389,16442,16465,16476,16484,16357,16520,16683,16697,16819,16936,17068,17193,17277,17405,17447,17396,17548,17512,17478,17465,17475,17519,17676,17761,17835,17906,17987,17877,17773,17698,17699,17671,17701,17697,17765,17763,17742,17733,17783,17643,17317,17151,17044,16970,16833,16787,16599,16404,16328,16073,15895,15560,15212,15081,14650,14436,14371,14254,14379,14135,14076,14141,14216,14221,13978,13631,13107,12826,12658,12517,12395,12158,12041,11983,11909,11757,11477,11091,10831,10659,10533,10239,9988,9886,9804,9727
Large hydro,2664,2791,2706,2517,2399,2320,2316,2191,2082,2063,2042,2011,1950,1751,1805,1785,1765,1783,1781,1822,1837,1785,1838,1799,1803,1651,1618,1598,1557,1534,1535,1546,1542,1533,1527,1523,1469,1377,1372,1374,1362,1393,1401,1402,1393,1371,1365,1376,1369,1430,1467,1447,1456,1441,1433,1437,1433,1427,1427,1430,1460,1625,1718,1716,1733,1762,1728,1743,1768,1768,1788,1813,1808,2126,2227,2256,2269,2271,2265,2275,2273,2248,2217,2210,2187,2144,2131,2107,2030,1959,1882,1865,1965,1979,1982,1947,1750,1430,1379,1356,1364,1381,1403,1417,1407,1423,1455,1412,1392,1335,1366,1430,1451,1477,1493,1522,1504,1515,1517,1549,1643,1984,2109,1988,1921,1938,1967,1994,2045,2102,2144,2163,2152,2233,2295,2206,2112,2076,2114,2179,2198,2147,2124,2167,2199,2262,2262,2293,2309,2311,2308,2337,2363,2391,2411,2392,2432,2789,3046,3038,3079,3078,3090,3150,3162,3198,3312,3276,3262,3393,3463,3455,3493,3570,3582,3572,3571,3592,3681,3668,3635,3551,3521,3587,3621,3694,3738,3792,3821,3815,3850,3841,3836,3952,3859,3875,3888,3952,3952,3932,3946,3927,3972,3993,3989,3987,4014,4078,4152,4156,4193,4192,4161,4179,4125,4131,4176,4198,4277,4367,4436,4497,4516,4496,4497,4499,4510,4481,4457,4418,4449,4308,4258,4239,4194,4078,3970,3940,3884,3803,3787,3803,3853,3851,3894,3858,3753,3818,3861,3848,3844,3836,3812,3729,3734,3718,3735,3719,3653,3668,3907,3841,3621,3440,3357,3408,3532,3405,3293,3204,3148,3131,3138,3088,2986,2954,2920,2899,2991,3029,3011,2968,2883,2964,2941,2806,2702,2577
Imports,8099,7951,8059,8212,8338,8374,8204,8201,8255,8307,8352,8361,8333,8488,8524,8610,8965,9014,8974,9036,9058,9068,9045,9050,9047,9218,9235,9181,9127,9082,9058,9139,9203,9250,9225,9118,9031,9020,8963,8991,8931,8858,8835,8830,8795,8703,8664,8682,8697,8827,9028,9260,9377,9393,9422,9389,9398,9345,9341,9430,9529,9568,9663,9718,9744,9794,9763,9810,9883,9944,10029,10139,10291,10277,10271,10315,10438,10532,10601,10636,10589,10537,10509,10525,10438,10634,10651,10578,10443,10413,10269,10140,9849,9626,9419,9302,9123,9297,9252,9156,9190,9151,9173,9160,9249,9122,9025,8956,8901,8895,8894,9115,9421,9358,9059,8966,8990,8898,8899,8971,8958,8847,8753,8770,8783,8690,8736,8663,8620,8421,8347,8569,8927,9098,9091,8936,8704,8558,8426,8381,8163,7954,7932,7939,7983,7973,8080,8206,8115,8030,7982,8052,8118,7989,7875,8034,8201,7957,7770,7793,7976,7979,7888,7756,7644,7599,7777,7831,7718,7730,7774,7810,7840,7797,7490,7348,7458,7609,7796,7868,7849,7895,7856,7879,7964,7902,7806,7797,7781,7815,7808,7884,7951,8074,8159,8174,8190,8276,8291,8339,8394,8468,8528,8529,8594,8558,8632,8681,8616,8628,8720,8785,8836,8960,9092,9189,9323,9369,9235,9317,9493,9573,9712,9906,10014,10057,10111,10136,10168,10209,10257,10367,10408,10425,10427,10515,10525,10522,10562,10553,10546,10666,10844,10831,10835,10857,10965,10941,11041,11050,10966,10976,11046,11241,11420,11444,11576,11650,11575,11681,11217,11128,11222,11225,11056,10709,10475,10599,10968,11077,11056,10902,10843,10869,10889,10758,10563,10567,10664,10714,10744,10770,10754,10923,10933,10964,10969,10865
Batteries,-55,-40,-36,-24,0,13,0,-11,-22,24,37,38,40,47,66,66,65,62,62,43,21,2,-65,-69,-64,-42,-19,-8,-3,-5,-6,-7,-7,-18,-34,-36,-36,-34,-44,-40,-38,-20,-17,-16,-22,-27,-22,-22,-21,-17,-8,-16,9,-4,-13,-5,-10,-11,-9,-22,-30,-8,-1,-11,14,37,-10,4,-11,-11,-11,-17,-16,10,37,12,4,5,-1,23,29,-9,-40,-51,-56,-25,0,-16,-36,-36,-30,-32,-34,-39,-37,-39,-29,-15,0,8,15,20,21,21,31,7,-8,-27,-50,-59,-13,-2,5,20,76,49,35,42,71,33,28,-6,23,8,-19,-45,-86,-48,-22,20,40,62,43,48,35,-8,-33,-33,-33,-33,-49,-52,-30,-24,-22,-53,-64,-64,-7,-34,0,22,-14,-3,5,25,15,-5,-29,-28,-28,-43,-73,-72,-79,-40,36,26,1,-56,-80,-81,-78,-75,-8,-50,-48,-26,15,1,-17,-15,-17,-6,18,32,11,14,31,35,35,36,30,31,28,30,29,30,26,28,31,28,31,37,43,10,3,43,45,39,38,36,28,37,12,9,25,-17,-39,-19,-6,-3,-11,-11,-12,-6,-10,-34,-37,-38,-38,-38,-38,-38,-38,-38,-41,-38,-38,-38,-43,-42,-39,-39,-39,-39,-39,-39,-42,-18,-10,-22,-9,53,56,51,65,60,41,27,29,23,-18,-76,-62,48,57,54,75,34,32,17,-28,-53,-54,-46,-38,-15,37,76,65,80,36,22,25,-17,-55,-55
Nuclear,2267,2268,2267,2268,2267,2267,2267,2267,2267,2267,2267,2267,2267,2266,2266,2266,2266,2266,2266,2267,2266,2266,2266,2266,2267,2266,2266,2265,2265,2266,2266,2266,2267,2267,2266,2267,2267,2266,2267,2266,2266,2265,2266,2266,2265,2266,2266,2266,2266,2266,2266,2265,2265,2266,2267,2267,2267,2267,2267,2266,2266,2267,2267,2267,2267,2267,2267,2267,2267,2268,2267,2266,2267,2267,2266,2267,2266,2267,2267,2268,2267,2268,2267,2267,2268,2268,2268,2268,2268,2268,2267,2268,2268,2268,2268,2268,2268,2267,2267,2267,2268,2267,2267,2267,2267,2267,2266,2267,2267,2267,2268,2267,2268,2267,2267,2268,2268,2267,2266,2267,2268,2267,2267,2268,2268,2268,2268,2268,2268,2268,2267,2267,2267,2267,2267,2267,2268,2267,2267,2267,2267,2266,2266,2266,2266,2266,2265,2266,2267,2266,2266,2266,2266,2266,2265,2265,2265,2265,2266,2265,2265,2265,2266,2265,2266,2265,2264,2265,2265,2264,2264,2264,2263,2263,2262,2263,2262,2263,2262,2262,2262,2262,2262,2261,2262,2262,2262,2262,2262,2262,2263,2262,2262,2262,2262,2262,2261,2262,2262,2263,2262,2262,2262,2262,2261,2262,2262,2263,2263,2263,2263,2263,2263,2264,2263,2264,2264,2263,2263,2263,2263,2263,2263,2263,2264,2264,2263,2264,2264,2264,2265,2265,2265,2265,2265,2266,2266,2266,2265,2266,2266,2265,2264,2265,2266,2266,2264,2265,2265,2265,2266,2265,2266,2265,2266,2265,2265,2265,2265,2265,2265,2265,2265,2266,2266,2265,2265,2266,2266,2265,2266,2265,2266,2266,2267,2266,2266,2266,2267,2267,2265,2266,2266,2265,2264,2265,2263,2263
Coal,14,13,13,13,14,13,13,13,14,14,14,13,13,13,14,14,13,14,13,13,13,14,13,14,14,14,14,14,15,14,14,14,13,14,14,14,15,14,14,15,14,14,14,14,14,13,13,14,14,14,14,14,14,13,14,13,14,13,13,13,13,14,14,14,14,14,14,14,14,13,14,14,14,14,14,14,14,14,13,12,13,14,14,14,15,13,13,13,14,13,13,13,13,14,14,14,14,14,13,14,14,14,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,15,16,15,15,14,14,14,14,14,14,15,15,14,15,14,15,15,15,14,15,15,15,15,14,15,14,14,14,14,14,13,14,13,13,13,14,14,14,14,14,14,14,14,15,15,14,14,13,14,15,15,15,14,14,14,14,14,14,14,14,14,14,13,13,12,15,18,15,14,12,13,14,13,12,13,13,12,12,12,12,13,12,12,12,12,12,12,12,11,12,11,11,11,11,11,11,11,11,10,9,10,11,11,11,12,11,11,11,11,11,11,11,10,10,10,11,12,12,11,11,11,12,12,11,12,12,12,12,12,12,12,13,13,13,13,12,12,13,13,11,11,11,12,13,12,13,13,14,15,15,15,14,14,14,14,14,14,13,14,14,14,15,14,14,14,14,14,14,14,14,14
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
