3/9/2019,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,4483,4459,4464,4438,4438,4460,4505,4587,4678,4751,4790,4814,4843,4896,4939,4990,4982,5054,5179,5251,5249,5184,5086,5069,5055,5050,5072,5115,5178,5203,5142,5104,5042,5008,4917,4861,4850,4830,4806,4830,4860,4934,4953,4934,4957,5012,5088,5139,5137,5113,5130,5144,5175,5233,5313,5377,5392,5414,5540,5639,5617,5616,5676,5742,5791,5771,5723,5766,5774,5800,5839,5904,5948,5923,5857,5837,5834,5840,5911,6031,6210,6491,6805,7144,7549,8103,8548,8875,9188,9644,10100,10540,11015,11339,11663,11970,12250,12388,12630,13195,13530,13628,13627,13621,13798,13963,13914,13962,14274,14386,14526,14718,14766,14613,14525,14542,14371,14287,14156,14056,14144,14233,14154,13930,14155,14201,14259,14334,14861,14905,14889,14658,14360,14154,13798,13632,13866,14202,14082,14033,13889,13787,14078,13967,13964,14070,14081,14106,14115,14046,14201,14366,14289,14601,14645,14565,14630,14369,14281,14391,14488,14422,14318,14295,14106,14048,13725,13536,13868,14167,14302,14160,13919,13762,13796,13902,14015,13939,13910,14044,13734,13376,13407,13607,13672,13650,13476,13273,13227,12935,12654,12548,12407,12080,11854,11541,11391,11231,10902,10397,9828,9293,8735,8236,7810,7457,7059,6607,6138,5802,5550,5484,5441,5395,5410,5432,5365,5295,5257,5189,5160,5152,5206,5200,5091,4993,4964,4978,4975,4947,4929,4903,4895,4853,4774,4756,4802,4834,4884,4928,4949,4970,4985,4899,4811,4742,4716,4726,4807,4879,4894,4910,4948,5015,5061,5113,5177,5239,5321,5365,5369,5370,5373,5452,5534,5527,5524,5527,5518,5383,5284,5336,5454,5483,5429,5415,5497,5622,5642,5581,5504,5461,5414,5479,5514,5559,5617,5617
Natural gas,6457,6415,6634,6664,6677,6654,6666,6640,6623,6487,6433,6352,6271,6214,6190,6153,6143,6114,6104,6152,6143,6091,6070,6048,6041,6033,6005,5968,5981,5976,5982,6010,5971,5999,6015,5983,5951,5990,6071,6012,6044,6051,6086,6098,6054,6122,6151,6120,6044,6113,6158,6149,6180,6134,6173,6151,6160,6216,6310,6294,6266,6248,6135,6164,6263,6307,6262,6278,6386,6456,6474,6555,6576,6633,6624,6668,6745,6802,6817,6868,6881,6959,7088,7090,7054,6966,6958,6941,6939,6754,6439,6170,5892,5647,5565,5592,5490,5438,5244,4812,4437,4164,4241,4242,4105,4060,4171,4264,4212,4038,3934,3823,3656,3736,3771,3811,3732,3670,3626,3614,3751,3776,3581,3504,3348,3260,3368,3304,3257,3167,3192,3324,3281,3420,3578,3519,3359,3289,3360,3352,3330,3284,3157,3260,3269,3387,3431,3415,3439,3534,3504,3447,3505,3466,3328,3421,3420,3568,3630,3532,3542,3441,3453,3472,3590,3583,3637,3692,3637,3517,3504,3461,3703,3777,3784,3896,3929,3995,4091,4288,4592,4522,4431,4368,4378,4325,4366,4452,4506,4767,5095,5190,5140,5247,5317,5481,5405,5434,5578,5664,5874,5956,6074,6194,6360,6460,6609,6884,7303,7704,7997,8064,8158,8318,8345,8454,8503,8713,8837,9103,9307,9395,9337,9311,9383,9560,9639,9657,9665,9579,9485,9479,9542,9648,9707,9764,9736,9697,9571,9609,9568,9348,9276,9229,9308,9402,9371,9298,9163,9119,9051,8959,8922,8715,8668,8691,8680,8587,8510,8471,8378,8208,8027,7925,7908,7902,7830,7606,7495,7482,7582,7471,7326,7403,7463,7374,7255,7393,7421,7414,7514,7374,7285,7244,7286,7163,7013,6948
Large hydro,3806,3817,3908,3939,3934,3914,3885,3852,3837,3793,3778,3761,3769,3860,3904,3899,3909,3908,3885,3865,3880,3855,3843,3875,3869,3883,3879,3853,3838,3830,3849,3856,3865,3868,3867,3859,3855,3853,3864,3849,3830,3823,3828,3829,3823,3817,3809,3817,3823,3830,3893,3891,3919,3916,3944,3961,3963,3967,3972,3968,3993,4082,4095,4087,4086,4101,4112,4113,4119,4121,4118,4099,4125,4265,4356,4369,4363,4370,4362,4364,4354,4303,4267,4237,4216,4099,4026,4040,4072,4015,3983,3986,3983,3893,3766,3649,3541,3512,3623,3695,3806,3667,3591,3644,3728,3631,3484,3474,3498,3543,3662,3724,3632,3658,3615,3717,3794,3813,3837,3812,3428,3405,3374,3382,3368,3309,3323,3273,3196,3096,3053,3209,3292,3231,3275,3247,3267,3205,3189,3281,3320,3329,3320,3322,3343,3336,3335,3323,3332,3319,3316,3311,3325,3300,3280,3143,2985,2993,3021,3023,3184,3330,3353,3278,3311,3338,3420,3436,3472,3448,3402,3297,3375,3470,3421,3412,3455,3445,3413,3371,3413,3571,3579,3544,3550,3586,3565,3579,3546,3662,3728,3743,3741,3641,3531,3632,3920,4034,4092,4152,4252,4350,4358,4363,4334,4236,4256,4327,4451,4459,4418,4391,4434,4461,4401,4490,4506,4539,4566,4584,4571,4573,4587,4593,4596,4592,4576,4572,4567,4571,4591,4574,4496,4490,4520,4556,4555,4539,4521,4512,4514,4429,4536,4490,4359,4350,4304,4303,4271,4226,4252,4279,4287,4356,4378,4323,4243,4230,4278,4356,4384,4420,4446,4475,4459,4357,4414,4450,4444,4424,4456,4445,4414,4374,4375,4385,4349,4033,4048,3988,4000,3975,3966,3953,3958,3954,3958,3955
Imports,5946,5942,5699,5572,5498,5440,5369,5242,5187,5171,5083,5019,4919,4856,4743,4677,4625,4517,4383,4276,4221,4228,4275,4213,4168,4196,4229,4228,4185,4132,4141,4107,4134,4153,4205,4300,4332,4357,4395,4463,4425,4461,4402,4416,4426,4401,4337,4313,4394,4396,4344,4325,4346,4365,4296,4319,4316,4265,4133,4141,4335,4462,4648,4704,4714,4823,5011,5137,5224,5249,5379,5489,5623,5731,5933,6093,6108,6112,6116,6061,5996,5858,5647,5377,5040,4856,4724,4391,4024,3739,3480,3278,3000,2892,2669,2424,2300,2202,2014,1718,1546,1584,1599,1517,1340,1165,1165,1036,723,639,458,230,207,317,378,253,441,477,541,575,488,422,523,746,647,665,560,439,95,212,193,113,158,163,239,340,200,88,128,-37,-35,-36,-284,-254,-332,-595,-724,-821,-932,-945,-1045,-1043,-1008,-1259,-1267,-1197,-1089,-908,-910,-940,-961,-906,-829,-826,-813,-714,-542,-452,-687,-799,-817,-599,-629,-717,-776,-960,-1105,-1127,-1134,-1283,-1260,-984,-836,-954,-898,-846,-637,-459,-380,-359,-358,-245,16,313,637,1003,1074,1295,1478,1849,2234,2737,3344,3906,4388,4906,5388,5634,5691,5800,6048,6345,6530,6576,6701,6797,6960,7023,7059,7154,7250,7346,7408,7468,7542,7473,7448,7447,7473,7565,7612,7583,7545,7524,7456,7386,7339,7317,7379,7267,7211,7366,7302,7333,7507,7484,7550,7585,7617,7627,7593,7497,7422,7392,7239,7147,7126,7077,6978,6810,6734,6673,6667,6570,6391,6303,6170,6199,6170,6180,6078,6021,6075,5991,5728,5683,5596,5842,5790,5774,5622,5683,5730,5637,5525,5503,5413,5261
Batteries,6,64,57,58,49,27,-21,-48,-66,-64,-36,2,0,0,-4,-3,-3,-3,-45,-65,-22,37,78,75,41,40,-4,-11,-38,-41,2,34,59,54,56,34,24,-6,-1,-1,-16,-48,-48,-29,-31,-54,-70,-82,-85,-32,8,-18,-7,-26,-36,-10,-15,14,25,11,-16,2,12,-3,-9,22,39,41,63,76,27,-17,-41,0,54,71,62,60,53,45,41,-20,-54,-48,-54,-87,-103,-63,-66,-47,-57,-32,-33,-68,-51,-64,-35,-20,-17,-17,-7,-7,51,74,8,-24,-41,-49,-79,-38,-18,-19,1,75,81,83,51,63,74,76,35,9,-25,2,0,-43,-40,-34,-89,-82,-60,-43,-10,11,88,101,27,-65,-64,-9,49,60,-2,30,54,76,78,70,76,86,54,39,41,45,20,24,24,19,47,21,-10,4,45,12,31,7,35,23,-12,-52,-69,-59,-3,44,7,-7,-44,-48,-23,-49,-43,-6,10,-18,-26,-8,62,72,46,34,59,11,0,-22,-39,-3,-15,-67,-60,44,65,53,48,62,21,17,8,32,51,26,24,8,6,8,-1,15,37,67,45,32,-12,-23,17,28,17,15,7,-3,-30,-6,-21,-7,-36,-24,-13,-1,0,-19,-7,-8,-5,41,64,61,23,33,11,11,-3,-15,2,4,2,-4,-4,-54,-65,-58,-47,-45,-50,11,35,78,20,8,12,13,-10,62,45,12,-61,-96,-9,14,2,23,-19,-45,-18,-18,0,-62,-93,-97,-54,-44
Nuclear,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1124,1125,1125,1125,1125,1125,1126,1125,1126,1125,1125,1125,1126,1125,1125,1125,1126,1126,1126,1125,1125,1126,1125,1126,1126,1126,1125,1126,1126,1126,1126,1125,1126,1125,1126,1125,1125,1125,1125,1125,1125,1125,1126,1126,1125,1126,1126,1126,1126,1127,1126,1127,1126,1127,1127,1127,1126,1127,1127,1126,1127,1127,1127,1126,1127,1126,1127,1127,1127,1126,1126,1126,1127,1127,1126,1127,1126,1127,1127,1127,1126,1126,1127,1127,1126,1126,1128,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1128,1127,1128,1127,1126,1127,1127,1126,1127,1127,1126,1126,1126,1127,1126,1127,1126,1126,1126,1126,1127,1126,1126,1127,1126,1126,1127,1127,1127,1127,1127,1126,1127,1127,1127,1127,1126,1127,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1125,1126,1125,1126,1125,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1127,1126,1126,1126,1126,1126,1126,1126,1126,1126,1125,1127,1126,1126,1126,1126,1127,1126,1126,1126,1126,1126,1125,1126,1126,1126,1125,1126,1126,1126,1126,1126,1126,1126,1126,1126,1127,1126,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1126,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1128,1127,1127,1127,1127,1126,1127,1128,1127,1127,1127,1127,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1129,1127,1128,1128,1128,1128,1128,1127
Coal,16,16,16,15,15,15,16,16,15,15,16,15,16,16,16,18,18,18,18,19,14,15,16,16,16,16,16,17,17,17,17,17,17,17,17,16,16,16,16,15,15,15,15,15,14,13,14,13,14,14,13,13,13,13,13,13,13,13,13,13,14,16,16,16,16,16,16,16,16,16,15,15,15,15,14,14,14,14,15,14,14,13,13,12,13,14,15,14,14,14,14,14,15,14,14,14,15,15,14,15,15,15,14,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,16,17,16,17,17,17,17,17,16,16,16,17,15,14,14,15,15,15,15,15,14,14,15,12,13,14,12,13,14,14,13,13,13,13,13,13,15,14,13,13,13,14,14,14,14,14,13,13,13,13,12,12,12,11,13,16,16,16,17,17,17,17,17,17,16,16,17,16,17,17,17,18,17,16,17,17,17,17,17,17,13,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,16,16,16,16,16,16,15,14,17,17,18,18,18,17,17,17,16,17,17,17,17,18,18,18,17,17,17,17,17,17,16,16,16,16,16,16,18,18,18,18,17,17,17,17,18,18,17,17,18,18,19,19,19,19,19,19
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
