10/2/2020,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,2358,2374,2389,2403,2432,2440,2447,2454,2470,2485,2517,2545,2565,2587,2614,2631,2664,2702,2706,2726,2725,2716,2700,2688,2686,2688,2693,2684,2682,2676,2668,2657,2657,2648,2632,2616,2582,2561,2531,2517,2501,2498,2494,2485,2471,2466,2477,2478,2469,2484,2463,2446,2420,2401,2377,2360,2345,2336,2330,2318,2309,2312,2300,2288,2278,2259,2254,2237,2217,2190,2158,2134,2123,2124,2128,2127,2121,2115,2105,2095,2083,2077,2102,2143,2219,2359,2546,2746,2997,3298,3639,3973,4332,4717,5102,5490,5863,6279,6720,7114,7523,7927,8281,8628,8827,9190,9433,9637,9818,10002,10164,10318,10397,10557,10673,10793,10849,10722,10769,10862,10891,10958,11062,11154,11197,11261,11341,11436,11518,11555,11618,11610,11582,11756,11800,11867,11604,11568,11630,11666,11693,11704,11681,11677,11620,11625,11617,11637,11665,11665,11687,11707,11711,11695,11713,11717,11725,11745,11747,11740,11734,11736,11729,11730,11721,11701,11692,11719,11703,11667,11637,11604,11541,11507,11496,11484,11444,11404,11365,11353,11301,11148,11012,10930,10867,10801,10698,10587,10504,10415,10325,10320,10211,10201,10111,9940,9805,9664,9508,9346,9091,8852,8583,8274,7980,7689,7345,6934,6566,6187,5763,5328,4958,4572,4212,3918,3644,3379,3174,3063,3001,2959,2936,2909,2851,2799,2777,2792,2832,2874,2916,2949,2972,2950,2941,2952,2949,2942,2953,2958,2971,2988,2985,2963,2948,2961,2961,2968,2953,2946,2945,2933,2937,2966,3003,3020,3036,3023,3011,3033,3046,3050,3066,3093,3109,3115,3130,3146,3190,3188,3202,3232,3289,3322,3358,3402,3438,3481,3471,3503,3523,3536,3565,3581,3602,3608,3619,3621
Natural gas,12583,12384,12055,11950,11691,11553,11470,11355,11163,10959,10858,10802,10727,10564,10478,10372,10193,9998,9891,9810,9733,9692,9665,9645,9661,9698,9659,9624,9617,9615,9597,9594,9561,9504,9470,9458,9426,9334,9358,9304,9263,9210,9173,9184,9158,9174,9203,9199,9266,9356,9400,9406,9410,9406,9411,9423,9421,9430,9444,9440,9425,9392,9350,9368,9440,9472,9497,9566,9670,9754,9835,9871,9884,9918,9920,9951,10036,10081,10103,10130,10219,10292,10329,10342,10289,10268,10193,10072,10048,9949,9842,10043,10131,10160,10177,10141,10027,9852,9672,9615,9524,9370,9354,9313,9248,9103,9250,9450,9590,9612,9714,9749,9708,9639,9650,9635,9616,9650,9728,9813,9845,9881,9901,9895,9952,9815,9850,9779,9806,10089,10262,10296,10418,10597,10572,10574,10372,10313,10253,10280,10340,10564,10814,11087,11380,11598,11739,11950,11969,11891,11940,12091,12269,12546,12731,12916,13032,13368,13566,13497,13481,13698,14081,14060,14156,14302,14538,14658,14897,15833,15875,15930,16095,16225,16332,16429,16568,16629,16765,16871,16868,16964,16968,17061,17163,17394,17584,17765,17854,18022,18271,18443,18436,18251,18140,18273,18298,18440,18605,18808,18888,18953,19011,19028,19012,18854,18787,18859,18966,19268,19626,19825,20041,20229,20440,20581,20623,20549,20634,20648,20611,20538,20481,20439,20350,20266,20112,19917,19859,19546,19290,19114,18914,18774,18815,18555,18227,18137,18048,17857,17665,17221,16997,16995,17024,16934,16898,16792,16693,16573,16511,16454,16426,16520,16636,16550,16399,16233,16147,16088,15991,15882,15710,15551,15454,15386,15338,15244,14942,14551,14341,14159,13956,13785,13490,13305,12955,12393,12277,12241,12003,11898,11631,11440,11216,11090,10924,10855
Large hydro,1038,1107,1131,1116,1133,1123,1113,1099,1078,1084,1082,1069,1025,862,783,778,778,775,772,770,773,775,779,778,780,768,761,757,752,754,753,766,747,746,747,747,746,737,738,732,733,735,732,735,740,741,741,745,751,753,752,750,754,747,747,749,743,745,743,744,739,815,844,838,831,835,840,849,869,862,845,773,755,901,963,966,966,961,942,949,984,991,980,981,959,863,840,795,770,769,749,470,466,455,453,445,438,354,318,319,322,324,324,320,319,308,20,22,17,2,1,10,2,0,-1,-7,-12,0,4,13,19,45,57,55,57,53,62,81,78,65,75,108,110,109,108,90,446,495,479,479,489,488,446,436,423,454,456,457,736,739,768,766,747,741,735,755,786,826,871,934,994,1033,1384,1340,1311,1318,1328,1344,1257,1413,1565,1612,1584,1647,1681,1638,1717,1752,1801,1843,1798,1970,2026,2017,2040,2045,2045,2120,2143,2144,2111,2102,2154,2197,2026,2403,2496,2539,2524,2595,2690,2785,2832,2912,2965,3016,3107,3135,3166,3179,3220,3212,3298,3314,3321,3384,3479,3418,3368,3294,3272,3220,3175,3171,3160,3202,3244,3210,3122,3040,2963,2935,2951,3012,3074,3081,3089,3085,3085,3034,2967,2902,2878,2847,2826,2796,2750,2764,2752,2704,2663,2538,2438,2184,2120,2094,2062,2037,1997,2020,2016,1972,1853,1835,1776,1625,1568,1518,1569,1575,1563,1546,1506,1521,1549,1546,1528,1376,1217,1176,1006,993,993,997,1002,994,997,998
Imports,9458,9536,9616,9651,9667,9654,9581,9559,9601,9643,9572,9487,9405,9575,9584,9566,9555,9592,9583,9563,9551,9475,9361,9296,9165,9085,9107,9066,8977,8906,8828,8743,8692,8641,8615,8601,8607,8728,8716,8723,8737,8721,8752,8709,8708,8642,8572,8525,8455,8396,8414,8429,8445,8478,8487,8541,8581,8609,8611,8677,8776,8923,9067,9151,9199,9206,9231,9280,9262,9263,9302,9431,9616,9768,9904,10050,10094,10142,10199,10298,10237,10192,10196,10182,10217,10337,10411,10378,10273,10148,9993,10103,9844,9526,9230,8955,8774,8675,8565,8267,8035,7861,7575,7409,7266,7210,7346,7118,6832,6835,6689,6563,6536,6553,6485,6436,6453,6627,6640,6543,6571,6539,6520,6560,6562,6552,6557,6579,6578,6541,6510,6599,6662,6532,6701,6742,6772,6899,6975,7162,7238,7201,7286,7252,7125,7100,7103,7097,6863,7001,7045,7056,7080,7052,7051,7071,7110,6965,6955,7263,7510,7481,7004,6995,7083,7115,7101,7225,7282,7207,7223,7320,7486,7587,7625,7690,7752,7853,7877,7855,8035,8134,8273,8349,8446,8409,8455,8478,8509,8559,8535,8468,8586,8535,8823,8806,8759,8791,8770,8774,8847,8919,9125,9315,9570,9893,10138,10305,10500,10567,10525,10612,10652,10703,10756,10750,10731,10739,10674,10678,10669,10687,10667,10646,10679,10717,10804,10893,10880,11135,11229,11269,11296,11246,11030,11022,11124,11044,10919,10881,10885,11218,11286,11158,10990,10842,10729,10595,10494,10460,10419,10307,10150,10143,10049,9949,9898,9908,9858,9713,9550,9496,9509,9511,9345,9290,9161,9102,9104,9216,9209,9136,9092,9052,9069,9051,9131,9497,9556,9566,9687,9633,9673,9603,9590,9553,9505,9361
Batteries,9,54,22,9,15,6,-4,-7,-5,1,0,-17,-26,-22,-11,-10,-11,-9,-11,-9,-7,-8,-7,-15,-12,-9,-9,-8,-7,-7,-8,-7,-6,-6,-11,-15,-11,-27,-27,-28,-21,-21,-29,-23,-25,-23,-27,-28,-37,-22,-16,-14,-12,-13,-14,-14,-11,-12,-12,-16,-19,-20,-19,-20,-20,-21,-16,-16,-15,-15,-16,-18,-22,-21,-11,-4,-4,-4,-10,-7,-10,-16,-13,-16,-22,-6,1,2,2,2,2,2,2,1,-3,-29,-21,10,32,23,11,4,13,4,-8,-1,25,26,22,-30,-39,-39,-36,-40,-32,-24,-17,-28,-36,-35,-36,-35,-22,-9,-7,-6,-1,24,23,5,-1,0,0,-16,-25,4,49,55,62,51,55,44,10,-6,-9,1,2,0,-17,-7,-4,-1,-11,-15,-16,-16,-16,-29,-47,6,-18,-8,-20,-12,-8,-16,-12,-8,4,-15,-27,-22,-27,-24,-14,-10,-6,-5,9,111,42,-34,-70,-32,-14,-11,-9,-7,-6,-8,-8,-15,-14,-18,-8,-10,-12,-3,-7,-4,-1,2,9,1,-3,3,9,5,2,2,8,17,22,23,19,21,20,27,24,16,5,2,-3,1,-4,7,15,17,16,16,18,18,23,18,-20,15,26,26,26,26,29,15,15,2,6,6,0,0,0,-5,-39,-19,-13,2,10,9,9,1,-6,-9,-8,-11,-7,-8,-22,-11,-22,-35,-8,-12,-12,-28,-40,-37,-22,-38,-12,19,4,-42,-30,-32,-23,-3,3,-7,4,-8
Nuclear,2108,2108,2108,2108,2108,2107,2107,2106,2106,2104,2104,2104,2104,2103,2104,2104,2103,2104,2103,2104,2103,2103,2104,2103,2103,2103,2101,2100,2098,2098,2099,2098,2098,2101,2102,2102,2101,2101,2101,2101,2101,2101,2100,2101,2101,2101,2102,2101,2100,2100,2100,2099,2100,2100,2100,2101,2101,2101,2102,2102,2102,2101,2102,2102,2103,2102,2101,2102,2101,2101,2100,2100,2100,2100,2100,2100,2100,2099,2100,2099,2099,2098,2098,2098,2098,2099,2098,2097,2098,2098,2098,2098,2098,2098,2098,2098,2098,2099,2098,2099,2100,2099,2100,2101,2101,2100,2101,2101,2102,2102,2102,2103,2103,2104,2103,2104,2104,2103,2104,2103,2103,2103,2100,2101,2100,2100,2100,2099,2098,2098,2098,2097,2097,2098,2097,2097,2096,2097,2096,2096,2096,2096,2096,2095,2096,2096,2096,2096,2097,2097,2097,2096,2096,2096,2096,2096,2096,2096,2096,2095,2096,2095,2096,2095,2095,2096,2095,2096,2096,2095,2095,2095,2095,2095,2094,2095,2095,2095,2095,2094,2095,2095,2094,2095,2095,2095,2095,2095,2095,2095,2094,2094,2094,2094,2095,2094,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095,2096,2095,2096,2096,2095,2095,2096,2095,2096,2096,2096,2096,2096,2096,2096,2096,2096,2096,2097,2097,2098,2097,2098,2099,2099,2099,2098,2099,2099,2100,2100,2100,2101,2101,2101,2100,2101,2101,2100,2100,2100,2099,2099,2099,2099,2099,2099,2100,2099,2100,2100,2099,2100,2100,2099,2098,2099,2098,2097,2097,2097,2097,2097,2097,2096,2097,2096,2097,2096,2097,2096,2096,2096,2096,2096,2095,2096,2095
Coal,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,1,0,2,1,1,1,1,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,4,4,3,3,2,1,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,2,4,4,5,4,4,4,4,4,4,4,4,4,5,4,4,4,5,5,4,3,4,4,4,4,4,3,4,3,4,3,4,3,3,4,4,4,4,3,3,4,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,3,3,2,2,3,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,1,1,1,1,0,1,1,0,-1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,3,3,2,2,3,3,3,3,3,3,3
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
