1/11/2022,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,2345,2371,2378,2394,2400,2392,2385,2381,2378,2365,2371,2388,2387,2360,2328,2306,2316,2346,2379,2385,2385,2378,2381,2373,2364,2380,2374,2377,2384,2391,2398,2388,2363,2355,2365,2389,2409,2414,2426,2439,2439,2443,2418,2398,2380,2373,2385,2386,2378,2372,2351,2317,2291,2287,2306,2323,2348,2356,2360,2357,2340,2347,2346,2343,2343,2363,2359,2340,2340,2318,2300,2328,2362,2351,2342,2340,2372,2403,2415,2407,2398,2380,2359,2392,2463,2566,2694,2851,3043,3246,3540,3785,4024,4268,4611,4943,5267,5495,5827,6196,6498,6683,6869,6915,7028,7284,7401,7528,7793,8053,8501,8804,8947,8894,8826,8721,8749,8849,9071,9153,9132,9207,9351,9417,9343,9457,9484,9544,9632,9786,9771,9741,9809,9785,9605,9642,9911,10083,10118,10345,10591,10754,11005,11026,10877,10895,10918,10756,10427,10332,10450,10647,10627,10756,10754,10565,10465,10435,10624,10779,10582,10353,10357,10443,10437,10277,9992,9764,9671,9745,9977,9896,9690,9320,9232,9291,9338,9086,8838,8892,8922,8907,9089,8803,8172,7592,7283,6947,6550,6338,6166,5989,5617,5130,4724,4413,4171,3840,3607,3412,3236,3046,2807,2723,2667,2654,2634,2575,2567,2554,2525,2517,2512,2517,2530,2527,2530,2558,2607,2631,2681,2714,2737,2749,2741,2752,2755,2751,2786,2827,2842,2834,2845,2834,2825,2824,2825,2831,2847,2857,2857,2804,2755,2702,2701,2706,2702,2704,2683,2677,2665,2662,2663,2661,2655,2660,2668,2669,2670,2669,2680,2689,2703,2719,2730,2759,2772,2781,2774,2765,2747,2754,2749,2740,2744,2738,2713,2679,2668,2692,2717,2739,2741,2736,2732,2744,2731,2719
Natural gas,8485,8509,8517,8547,8541,8511,8524,8437,8406,8397,8323,8250,8216,8139,8050,8062,8058,8062,7988,7820,7748,7787,7768,7788,7866,7697,7652,7592,7597,7608,7575,7605,7618,7611,7575,7593,7609,7677,7713,7680,7689,7719,7755,7847,7926,7944,7966,8036,8074,8310,8397,8483,8510,8540,8562,8693,8830,8822,8862,8975,9022,9082,9111,9332,9549,9660,9836,9978,10111,10215,10335,10315,10288,10405,10541,10664,10836,10836,10875,11026,11178,11328,11404,11469,11547,11864,11873,11838,11722,11585,11609,11406,11135,10971,10757,10692,10749,10845,10906,10993,11030,10903,10788,10577,10513,10438,10293,9988,9811,9695,9701,9699,9401,9347,9344,9113,9002,8969,8935,8916,8966,8846,8674,8476,8446,8364,8600,8414,8219,8065,7985,7572,7413,7678,7759,7703,7645,7440,7412,7418,7415,7455,7462,7524,7673,7697,7650,7699,7579,7585,7572,7563,7636,7553,7604,7653,7639,7558,7485,7465,7509,7468,7264,7278,7314,7362,7452,7557,7575,7693,7676,7805,7741,7715,7624,7599,7605,7847,8055,8118,8115,8213,8281,8494,8697,8780,8842,8958,9325,9703,10105,10369,10410,10363,10233,10525,10869,11203,11537,11822,12050,12197,12350,12488,12638,13033,12821,12916,13081,13221,13350,13398,13444,13520,13625,13678,13546,13496,13302,13200,13168,13124,13130,13014,12939,12953,12806,12730,12715,12697,12615,12462,12447,12502,12516,12396,12356,12286,12375,12468,12586,12519,12380,12398,12224,12164,12153,12122,12181,12123,12121,12095,12143,12163,12168,12200,12008,11918,11888,11805,11626,11589,11518,11491,11493,11200,11044,10919,10834,10745,10693,10542,10423,10353,10308,10175,10108,9985,9917,9758,9684,9580,9547,9468,9417,9408,9353,9288
Large hydro,1117,994,938,922,925,926,923,926,975,991,995,992,988,1038,1038,1019,1022,1019,1019,976,948,946,952,959,953,945,943,936,939,930,938,940,941,941,905,888,898,907,906,902,904,900,894,927,952,959,955,948,945,960,971,979,978,967,969,974,972,972,977,988,1001,1051,1109,1107,1101,1101,1108,1108,1106,1116,1115,1112,1132,1210,1282,1280,1274,1294,1301,1306,1317,1311,1312,1301,1305,1308,1320,1345,1366,1351,1296,1310,1308,1293,1288,1259,1247,1155,1044,1023,1027,1042,1052,1056,1078,1052,1027,1029,989,927,913,908,905,917,925,972,975,911,895,872,881,865,839,826,815,793,803,809,799,796,812,784,779,802,789,772,720,712,733,734,708,711,709,715,753,753,743,755,783,794,790,766,779,765,762,808,846,858,825,806,827,837,809,772,764,803,841,850,844,867,875,885,909,941,956,928,880,902,948,954,956,927,905,946,1082,1160,1156,1086,1105,1068,1044,1046,1167,1397,1470,1449,1429,1422,1413,1410,1400,1407,1406,1419,1465,1658,1789,1852,1892,1925,1935,1939,1937,1940,1930,1950,1938,1815,1769,1753,1728,1732,1734,1732,1735,1731,1737,1735,1714,1641,1642,1634,1636,1622,1621,1609,1614,1611,1611,1602,1612,1527,1444,1447,1423,1407,1406,1411,1417,1412,1408,1387,1378,1323,1281,1268,1268,1272,1260,1254,1250,1256,1256,1250,1240,1227,1225,1195,1155,1147,1139,1140,1136,1131,1137,1129,1117,1105,1094,1102,1097,1088,1089,1095,1077,1066,1068,1014
Imports,7412,7604,7712,7680,7640,7598,7484,7480,7535,7551,7435,7425,7442,7495,7508,7474,7518,7526,7508,7551,7544,7542,7565,7483,7464,7581,7626,7623,7623,7613,7619,7591,7617,7557,7563,7558,7517,7449,7429,7412,7411,7382,7336,7341,7317,7283,7213,7205,7186,7123,7171,7131,7192,7164,7165,7098,7031,7122,7162,7147,7190,7202,7214,7119,7037,6975,6887,7030,6981,6994,7056,7162,7255,7465,7543,7594,7640,7801,7834,7907,7980,7896,7891,7858,7860,7813,7812,7834,7831,7848,7799,7898,7895,7782,7743,7631,7421,6968,6728,6358,6049,5964,5754,5807,5640,5388,5424,5509,5434,5556,5416,5179,5224,5219,5260,5392,5358,5316,5159,5045,4908,5018,4975,4944,4968,4881,4835,4624,4524,4536,4521,4594,4590,4529,4507,4418,4223,4222,4121,3926,3644,3496,3165,2965,2900,3013,2984,2943,3002,3054,3052,3011,3031,2891,2846,2767,2834,2936,3076,3042,3026,2984,3029,3205,3285,3423,3462,3437,3514,3390,3305,3348,3379,3840,3905,3874,3747,4008,4090,4027,4076,3849,3839,4074,4008,4156,4409,4917,5209,5196,5208,5339,5758,6240,6656,6892,6980,7001,6987,7094,7212,7334,7407,7496,7586,7262,7534,7502,7476,7535,7559,7660,7705,7716,7699,7715,7843,7893,8036,8132,8155,8166,8182,8246,8283,8249,8332,8407,8378,8412,8405,8500,8518,8475,8372,8478,8483,8542,8470,8354,8191,7914,7855,7789,7883,7868,7876,7959,7922,7944,7934,7941,7917,7802,7785,7689,7681,7719,7722,7793,7860,7817,7758,7685,7607,7630,7556,7519,7554,7548,7526,7528,7544,7541,7457,7478,7424,7468,7477,7476,7412,7437,7359,7441,7507,7455,7432,7426
Batteries,-173,-215,-179,-157,-131,-129,-97,-97,-166,-219,-136,-161,-171,-159,-152,-115,-192,-234,-199,-159,-156,-180,-216,-198,-244,-200,-229,-181,-224,-211,-210,-229,-235,-196,-178,-179,-170,-185,-178,-139,-152,-144,-124,-164,-181,-165,-121,-147,-119,-148,-151,-139,-131,-109,-101,-100,-99,-110,-109,-121,-103,29,94,98,100,131,101,56,125,104,81,128,147,200,281,307,201,233,250,207,205,290,358,407,399,331,399,399,409,311,186,207,211,193,138,67,18,145,133,143,125,107,144,164,154,124,116,154,107,-64,-173,-185,-204,-197,-209,-168,-174,-223,-240,-249,-291,-330,-292,-299,-353,-422,-583,-467,-440,-478,-408,-224,-308,-442,-434,-432,-524,-499,-488,-543,-565,-564,-569,-596,-632,-736,-749,-689,-550,-569,-589,-610,-609,-599,-594,-548,-519,-515,-649,-653,-546,-393,-456,-546,-576,-601,-526,-397,-411,-416,-504,-468,-387,-383,-298,-302,-255,-317,-265,-275,-304,-206,-299,-248,151,297,252,126,144,130,99,55,43,103,162,148,164,290,340,384,429,517,593,687,792,732,721,810,833,836,830,809,807,791,719,723,707,716,734,713,684,639,577,593,567,531,563,531,501,511,547,507,449,416,414,410,392,354,323,304,325,644,765,839,876,880,818,641,606,522,477,433,356,324,309,335,407,309,195,206,155,131,99,66,59,122,150,156,134,121,106,104,87,81,78,78,95,47,15,28,25,17,-5,-60,-131,-138,-149,-131
Nuclear,2268,2268,2268,2268,2268,2268,2269,2267,2269,2268,2268,2268,2267,2268,2267,2268,2268,2269,2269,2269,2269,2269,2268,2270,2269,2269,2269,2269,2269,2269,2269,2270,2270,2269,2270,2270,2269,2270,2269,2268,2269,2269,2270,2270,2269,2269,2269,2269,2269,2269,2269,2268,2268,2269,2269,2270,2269,2269,2269,2268,2269,2270,2269,2269,2269,2270,2269,2269,2269,2269,2269,2270,2269,2269,2269,2269,2269,2269,2269,2269,2269,2269,2268,2268,2269,2269,2269,2268,2269,2268,2269,2269,2268,2269,2269,2268,2269,2268,2267,2268,2268,2267,2268,2267,2267,2267,2267,2267,2267,2267,2267,2267,2266,2267,2267,2267,2266,2267,2267,2267,2267,2267,2266,2267,2267,2266,2267,2266,2268,2267,2267,2267,2268,2267,2266,2267,2267,2266,2268,2267,2267,2267,2267,2267,2267,2267,2267,2267,2266,2267,2266,2266,2266,2266,2266,2266,2267,2267,2267,2267,2267,2267,2268,2268,2267,2268,2268,2269,2269,2268,2269,2268,2269,2268,2269,2269,2269,2269,2268,2268,2269,2269,2268,2268,2268,2268,2268,2268,2267,2268,2268,2268,2268,2267,2266,2266,2265,2266,2267,2266,2265,2265,2266,2265,2266,2266,2266,2266,2268,2267,2267,2267,2267,2268,2267,2267,2267,2267,2267,2267,2267,2267,2266,2267,2266,2266,2266,2267,2265,2265,2265,2265,2265,2266,2265,2266,2266,2266,2266,2266,2266,2267,2267,2267,2267,2267,2268,2267,2267,2267,2267,2268,2266,2267,2268,2267,2268,2268,2268,2268,2268,2267,2268,2268,2268,2267,2267,2266,2266,2266,2266,2266,2265,2266,2267,2266,2267,2266,2266,2267,2267,2267,2268,2267,2267,2268,2267,2267
Coal,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,15,15,15,15,14,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,15,16,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,15,15,16,16,16,16,16,16,16,16,16,16,16,16,15,14,15,16,15,15,16,15,14,14,14,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,16,16,17,16,16,16,16,17,17,16,17,17,17,17,17,16,16,15,16,17,16,17,17,17,17,17,17,17,17,16,16,17,16,16,16,18,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,18,18,18,17,18,17,18,18,18,18,17,18,17,17,17,17,18,18,17,17,17,17,17,17,17,18,17,18,18,18,18,18,18,17,18,18,18,18,18,18,18,18,18,19,18,18,18,18,18,18,17,18,18,17,18,18,17,17,17,17,17,17,17,17,18,17,18,17,17,17,17,17,17,17,18,17,17,16,17,17,18,18,18,17,18,18
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
