3/28/2020,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,5009,5049,5077,5125,5135,5128,5088,5118,5111,5096,5081,5100,5081,5074,5025,5028,5014,4978,4937,4913,4840,4767,4680,4666,4613,4592,4568,4538,4523,4496,4495,4497,4494,4464,4467,4438,4389,4334,4314,4288,4256,4193,4200,4187,4164,4146,4186,4207,4171,4137,4086,4000,3951,3941,3909,3899,3891,3871,3842,3791,3819,3835,3831,3819,3857,3847,3823,3777,3774,3740,3717,3718,3706,3642,3581,3508,3485,3469,3405,3410,3401,3402,3454,3606,3770,3957,4150,4432,4718,4946,5199,5519,5940,6347,6815,7246,7665,7986,8333,8559,8694,9123,9394,9723,10289,10644,10655,10600,10993,11261,11308,10983,11015,11199,11526,11852,11837,11774,11957,11950,12046,11975,11904,11793,12094,12306,12308,12196,12170,12368,12456,12212,11793,11362,11320,11059,10995,11201,11144,10992,10872,10716,10620,10558,10548,10705,10747,10683,10656,10590,10570,10445,10459,10446,10404,10362,10375,10366,10337,10385,10499,10575,10398,10196,10208,10294,10327,10313,10482,10648,10736,10617,10477,10534,10786,10806,10840,10858,10865,10804,10817,10932,10721,10605,10349,10403,10630,10614,10658,10430,10324,10105,9899,9309,9348,9264,9296,9234,9400,9489,9298,9073,9090,9050,8895,8572,8335,8123,7832,7789,7574,7363,7127,6784,6489,6170,5867,5636,5391,5225,5064,4811,4592,4389,4231,4118,4020,3913,3918,3894,3879,3884,3962,4052,4099,4125,4156,4165,4184,4214,4232,4262,4254,4292,4302,4295,4295,4269,4230,4216,4205,4227,4205,4153,4111,4061,3997,3951,3876,3801,3810,3846,3883,3914,3921,3920,3880,3887,3889,3886,3866,3902,3905,3918,3872,3857,3843,3855,3840,3867,3870,3889,3890,3936,3950,3952,3921,3970
Natural gas,5831,5691,5690,5676,5706,5789,5789,5801,5714,5585,5493,5470,5560,5623,5623,5694,5576,5471,5584,5651,5661,5659,5672,5751,5762,5694,5687,5627,5526,5478,5504,5480,5483,5461,5495,5476,5455,5403,5436,5405,5451,5494,5510,5513,5526,5545,5507,5508,5498,5409,5338,5347,5435,5497,5531,5547,5581,5625,5610,5596,5557,5406,5011,5009,5089,5135,5116,5282,5372,5380,5420,5407,5397,5553,5706,5801,5874,5922,5923,6004,6047,6069,6062,6026,6019,5886,5689,5576,5428,5203,5146,4961,4911,4892,4755,4699,4571,4278,4091,3985,3911,3762,3744,3833,3841,3826,3943,4036,3960,3873,3740,3609,3434,3265,3202,3381,3538,3532,3560,3569,3560,3569,3519,3626,3553,3515,3517,3485,3413,3440,3423,3463,3473,3523,3469,3577,3603,3646,3795,3831,3874,3798,3784,3739,3721,3841,3820,3852,3875,3810,3768,3876,3895,3827,3763,3779,3667,3683,3704,3811,3761,3744,3754,3778,3744,3733,3716,3773,3781,3817,3853,3917,3874,3844,3881,3959,4089,4095,4118,4013,3968,3875,3917,4086,4361,4302,4104,4109,4185,4504,4664,4736,4923,5054,5220,4890,4807,4820,4753,4615,4686,4882,4926,5071,5169,5305,5199,5371,5586,5874,6254,6626,6958,7120,7285,7387,7517,7819,7824,7785,8076,8161,8228,8386,8631,8747,9040,9045,9119,9002,8736,8809,8944,8944,8971,9054,9077,9086,9048,8958,8871,8889,8890,8799,8731,8798,8766,8669,8678,8744,8674,8611,8722,8651,8390,8543,8596,8582,8608,8546,8460,8493,8385,8336,8333,8303,8236,8262,8101,8050,7950,7810,7749,7727,7728,7803,7809,7984,7995,8020,7980,7958,7817,7656,7363,7178,7060,6966
Large hydro,784,701,615,589,578,579,572,569,563,541,524,515,474,450,434,433,441,453,434,433,429,428,431,431,433,412,404,403,414,418,416,411,411,407,403,410,415,410,401,402,388,395,398,412,404,416,418,424,414,452,510,519,517,511,516,519,517,514,521,539,578,907,1057,1064,1061,1072,1076,1080,1079,1085,1082,1080,1042,972,949,957,950,937,944,958,982,985,983,953,893,895,905,931,1012,964,956,946,941,938,933,924,925,900,893,878,837,786,778,783,773,745,738,744,724,678,654,689,761,778,674,394,306,341,366,358,344,383,424,482,509,428,376,408,433,379,339,355,404,500,552,536,533,483,466,464,491,511,523,521,517,451,408,383,393,401,407,412,417,424,417,425,421,386,333,321,311,284,296,335,333,321,318,318,319,300,299,302,343,362,397,323,285,272,280,318,365,471,440,500,597,671,655,567,532,507,484,469,468,524,633,1054,1025,1046,1029,988,963,993,1013,942,894,1112,1166,1157,1194,1166,1182,1146,1167,1193,1212,1272,1395,1616,1792,1816,1842,1976,2028,2036,2111,2055,2103,2052,2066,2426,2595,2630,2674,2714,2745,2744,2774,2782,2772,2756,2698,2559,2463,2437,2399,2354,2285,2284,2275,2278,2365,2321,2217,2319,2188,2158,2233,2234,2206,2242,2250,2200,2148,2129,2150,2089,1991,1946,1895,1875,1821,1743,1692,1692,1697,1694,1662,1551,1497,1482,1480,1470,1456,1446,1462,1450,1445,1436
Imports,7561,7700,7686,7621,7570,7462,7389,7345,7277,7373,7437,7380,7280,7186,7178,7070,7144,7142,7051,7004,7006,7055,7053,6982,6949,7014,7057,7113,7162,7211,7173,7184,7157,7146,7155,7144,7171,7282,7315,7336,7329,7324,7282,7247,7270,7237,7243,7213,7253,7393,7487,7566,7555,7504,7510,7511,7504,7514,7576,7634,7674,7441,7529,7562,7534,7473,7505,7438,7411,7487,7511,7578,7699,7824,7916,7966,8065,8109,8180,8198,8124,8113,8061,8028,7949,7972,7970,7829,7573,7583,7487,7353,7089,6763,6361,5965,5606,5639,5540,5380,5345,5025,4757,4398,3846,3541,3120,3144,2803,2636,2639,2968,3015,2982,2950,2919,2890,2726,2470,2484,2395,2369,2365,2304,1939,1885,1802,1822,1800,1726,1545,1653,1807,2031,1955,2149,2152,2039,1961,2010,1986,2069,2100,2165,2222,2033,1994,2034,2091,2214,2180,2244,2211,2293,2337,2399,2443,2454,2474,2448,2409,2345,2399,2489,2509,2465,2435,2441,2282,2103,1915,2007,2132,2094,1748,1824,1788,1868,1850,1855,1749,1440,1594,1608,1500,1497,1479,1619,1598,1693,1725,1957,2031,2307,2185,1848,1853,1887,1884,2027,2253,2287,2264,2540,2732,2874,3190,3444,3692,3692,3691,3683,3698,3966,4191,4438,4718,4683,4959,5194,5237,5359,5540,5628,5609,5697,5657,5864,6047,6011,6187,6177,6189,6221,6228,6231,6179,6157,6154,6223,6317,6296,6370,6505,6524,6427,6445,6511,6487,6369,6282,6279,6247,6201,6393,6402,6329,6260,6308,6295,6198,6115,6102,6060,5919,5933,5993,6012,6070,6057,6065,6195,6187,6099,5987,5880,5772,5602,5539,5455,5412,5327,5309,5413,5464,5485,5453,5453
Batteries,32,30,22,4,1,4,3,3,15,21,11,11,21,11,6,11,24,55,5,11,11,11,11,6,11,2,0,0,0,0,0,0,0,0,0,0,-1,-11,-13,-13,-13,-13,-13,-15,-13,-13,-17,-16,-12,10,16,16,16,16,17,17,17,16,16,17,14,-11,-14,-28,-25,6,22,19,19,22,20,22,23,19,60,57,18,18,18,19,8,-16,-28,-41,-52,-9,19,-1,0,0,0,0,-73,-68,-66,-40,-20,0,0,0,23,0,0,0,-48,-72,-17,27,0,-2,0,101,110,55,-50,-103,-52,0,0,-55,-84,-22,0,105,58,-86,-96,-47,-31,-29,-50,-1,0,69,54,45,43,-35,-91,-69,-18,13,11,3,3,-20,-26,-9,-1,-1,-1,2,38,16,20,43,14,8,-23,-34,-57,-57,-66,16,20,-6,-2,-5,3,24,5,48,78,107,71,-37,-27,-81,-66,-8,0,-43,-72,-8,108,109,-27,-25,-43,-51,-78,-53,-66,-56,60,96,111,108,60,-10,-13,65,59,-47,-59,-20,2,19,31,-4,-8,-15,-12,8,57,64,8,-31,-46,-30,-19,-1,1,0,-6,-22,-45,-29,-47,16,22,15,15,28,18,25,44,50,43,36,21,6,-5,-1,7,1,0,1,1,-5,-8,-16,-9,54,30,35,5,17,-21,10,6,-3,18,19,40,23,-3,-3,1,1,1,1,1,1,1,6,2,-8,-31,-32,-30,-39,-43,-64,1,1,1,1
Nuclear,2260,2261,2261,2262,2260,2260,2260,2260,2261,2260,2261,2260,2259,2258,2258,2257,2258,2258,2257,2258,2257,2257,2257,2256,2257,2256,2256,2256,2257,2257,2258,2258,2257,2258,2258,2258,2258,2258,2258,2258,2258,2258,2258,2258,2258,2258,2258,2258,2258,2258,2259,2258,2259,2258,2258,2258,2258,2258,2258,2258,2258,2259,2258,2259,2259,2258,2258,2257,2257,2257,2256,2256,2256,2255,2253,2254,2253,2254,2254,2254,2254,2253,2254,2253,2253,2254,2254,2253,2253,2254,2255,2255,2257,2256,2256,2257,2256,2257,2257,2258,2258,2259,2258,2259,2259,2259,2260,2259,2259,2260,2260,2259,2261,2260,2260,2260,2261,2260,2261,2261,2262,2261,2260,2259,2261,2261,2262,2262,2263,2262,2263,2262,2262,2263,2262,2263,2263,2263,2263,2264,2264,2264,2264,2264,2263,2262,2262,2263,2263,2263,2264,2263,2263,2262,2263,2262,2263,2263,2262,2262,2261,2262,2262,2262,2262,2261,2261,2261,2260,2261,2260,2260,2260,2260,2261,2261,2261,2260,2261,2259,2260,2260,2259,2259,2259,2259,2258,2258,2258,2259,2258,2258,2258,2257,2257,2257,2257,2256,2257,2255,2256,2256,2256,2256,2257,2256,2256,2256,2257,2256,2256,2255,2256,2256,2255,2256,2256,2256,2256,2256,2257,2257,2258,2257,2257,2257,2258,2257,2258,2257,2258,2258,2259,2258,2258,2258,2257,2257,2257,2257,2255,2256,2255,2256,2256,2256,2256,2256,2255,2256,2256,2256,2257,2256,2257,2256,2256,2256,2257,2257,2258,2258,2259,2258,2259,2258,2259,2259,2260,2259,2261,2260,2260,2262,2262,2261,2261,2261,2261,2262,2262,2262,2261,2262,2261,2261,2262,2261
Coal,19,19,19,19,19,19,20,20,20,18,18,18,18,18,19,19,19,18,18,18,18,18,19,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,21,21,21,21,22,21,21,21,22,22,22,22,22,21,21,20,20,20,20,20,21,21,21,20,20,19,21,20,20,21,21,21,21,21,21,21,21,21,22,21,21,20,20,20,20,21,21,21,21,21,20,21,21,21,22,22,22,21,21,21,22,22,22,22,21,22,21,21,22,21,21,21,22,21,21,21,21,21,21,21,21,21,22,21,21,21,21,21,22,22,21,21,21,21,21,22,22,21,21,22,22,21,21,22,22,21,22,22,22,22,22,22,22,22,22,23,23,23,22,23,23,23,23,23,24,24,23,23,23,23,23,23,23,23,23,23,23,24,24,24,23,24,23,23,23,21,17,22,24,23,22,22,22,22,20,21,21,21,21,21,21,21,21,21,21,21,21,21,20,20,20,20,20,20,20,20,21,20,21,20,20,21,20,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,20,20,20,20,20,20,20,19,20,20,20,20,19,19,20,20,19,20,20,20,20,20,20,20
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
