2/24/2019,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,2766,2753,2785,2794,2775,2761,2754,2757,2774,2794,2816,2813,2846,2880,2895,2947,2973,3003,3031,3060,3064,3032,3022,3022,3028,3047,3088,3116,3118,3124,3141,3177,3193,3185,3171,3130,3082,3027,3009,3008,3004,2978,2940,2913,2899,2873,2844,2825,2806,2791,2784,2782,2760,2748,2734,2727,2724,2727,2725,2715,2729,2808,2793,2781,2782,2782,2766,2723,2708,2688,2671,2639,2662,2629,2647,2643,2628,2631,2648,2720,2840,3021,3239,3487,3769,4110,4490,4870,5321,5775,6213,6675,7127,7637,8058,8502,8686,9128,9641,10090,10330,10594,10562,10242,10111,10183,10319,10569,10928,11481,11737,11872,11977,12071,12158,12252,12321,12269,12119,12064,12096,12364,12522,12560,12386,12448,12409,12243,12183,12275,12261,12214,12179,11992,12092,12218,12258,12244,12153,11993,11961,11861,11834,11984,11989,12050,12032,12076,12248,12118,12089,11990,12157,12106,12111,12130,12201,12119,12054,11897,11942,11841,11885,11833,11898,12011,11873,11702,11532,11179,11038,10951,10915,10769,10675,10729,10730,10745,10613,10473,10218,9560,9033,9187,9247,9251,9242,9147,8928,8821,8713,8560,8288,7869,7610,7262,7200,6811,6287,5921,5571,5241,4895,4564,4281,4074,3876,3698,3537,3412,3336,3255,3222,3207,3206,3228,3256,3245,3254,3254,3234,3207,3216,3229,3222,3233,3242,3274,3283,3318,3341,3368,3363,3359,3360,3367,3374,3390,3378,3334,3306,3312,3280,3273,3299,3315,3322,3331,3357,3388,3392,3395,3356,3308,3276,3261,3257,3257,3241,3202,3177,3139,3086,3057,3049,3054,3050,3044,3031,3035,3033,3035,3052,3072,3062,3058,3039,3011,2919,2876,2844,2838,2834,2839,2838,2837,2861,2892
Natural gas,8694,8649,8835,8870,8890,8912,8918,8902,8905,8889,8886,8819,8724,8781,8796,8753,8669,8582,8548,8472,8437,8428,8375,8354,8364,8329,8291,8278,8256,8270,8312,8342,8307,8322,8339,8346,8352,8368,8375,8441,8492,8561,8539,8542,8568,8583,8627,8645,8617,8623,8555,8560,8588,8599,8439,8454,8519,8556,8573,8592,8615,8572,8430,8475,8476,8531,8679,8786,8836,8888,9055,9102,9289,9384,9430,9352,9449,9457,9479,9472,9377,9315,9187,9024,8939,8780,8414,8188,8102,7798,7494,7368,7218,7017,6846,6773,6734,6417,6179,5813,5554,5420,5387,5384,5225,5051,5020,4818,4547,4357,4519,4361,4303,4221,4217,4220,4167,4206,4107,4073,4045,3986,3906,3897,3875,3712,3696,3628,3570,3578,3579,3586,3603,3590,3517,3527,3476,3408,3461,3440,3384,3452,3425,3409,3402,3546,3586,3544,3594,3611,3564,3626,3527,3548,3541,3556,3555,3505,3530,3503,3480,3541,3531,3545,3551,3569,3673,3763,3853,3999,4024,4062,4018,4159,4145,4122,4157,4367,4530,4728,4966,5103,5206,5204,5312,5026,5133,5295,5426,5550,5758,5945,6173,6036,5704,5974,5978,6010,6238,6669,6848,6939,7165,7311,7419,7643,7632,7690,7860,8068,8274,8440,8752,8983,9252,9473,9571,9524,9516,9396,9466,9502,9538,9556,9591,9583,9593,9650,9681,9791,9881,9874,9873,9893,9972,9972,9932,9915,9917,9946,9953,10029,10162,10163,10135,10117,10096,10083,10075,10026,9996,9972,10033,10012,10071,10116,10083,10050,10036,10040,10001,9993,9992,10020,10014,9887,9890,9849,9828,9785,9785,9760,9728,9669,9629,9620,9575,9365,9328,9301,9293,9242,9195,9051,8998,8891,8788,8915
Large hydro,2913,2956,3041,3039,3038,3036,3036,3014,3017,2995,2986,2957,2890,2803,2755,2785,2787,2802,2797,2791,2784,2758,2795,2764,2783,2752,2732,2710,2708,2704,2664,2681,2624,2651,2678,2685,2696,2722,2723,2708,2687,2684,2696,2718,2729,2744,2713,2727,2748,2771,2816,2780,2793,2788,2815,2841,2863,2864,2867,2896,2886,3102,3080,3086,3098,3060,3027,3043,3060,3054,3022,3019,2968,2976,3062,3039,3043,3051,3056,3052,3067,3037,3045,3050,3018,3013,3081,3040,2949,2915,2938,2915,2888,2778,2667,2563,2590,2373,2413,2463,2329,2252,2364,2575,2691,2642,2604,2608,2629,2404,2318,2266,2243,2254,2276,2253,2258,2307,2295,2282,2297,2259,2263,2247,2299,2286,2257,2252,2237,2220,2193,2183,2117,2126,2101,2112,2118,2144,2184,2171,2137,2121,2093,2039,1951,1953,1916,1906,1855,1858,1837,1835,1844,1849,1804,1827,1836,1858,1884,1876,1872,1880,1873,1859,1859,1848,1848,1863,1884,1961,1989,1999,1997,1993,1998,1952,1907,1892,1884,1964,2085,2285,2392,2381,2425,2419,2412,2403,2406,2426,2455,2464,2456,2714,2893,2931,3012,3095,3139,3147,3131,3113,3098,3112,3192,3391,3628,3677,3706,3719,3707,3677,3641,3600,3493,3494,3559,3771,3886,3924,3935,3934,3939,3922,3919,3929,3905,3879,3886,3793,3746,3710,3700,3723,3721,3729,3729,3737,3729,3736,3748,3777,3818,3831,3801,3798,3764,3746,3752,3746,3717,3727,3737,3607,3497,3499,3469,3448,3440,3421,3406,3407,3409,3421,3407,3275,3206,3188,3196,3187,3178,3164,3187,3171,3151,3148,3150,3031,2985,2957,2943,2938,2951,2942,2935,2934,2917,2932
Imports,7771,7576,7234,7097,6987,6880,6814,6769,6674,6607,6536,6550,6639,6556,6536,6514,6501,6498,6499,6466,6475,6461,6417,6465,6393,6385,6384,6352,6322,6285,6229,6185,6177,6086,6025,6065,6079,6111,6135,6067,6027,6005,6049,6044,5993,6006,6021,6068,6108,6116,6183,6226,6240,6226,6389,6394,6339,6321,6347,6386,6497,6415,6546,6607,6693,6727,6706,6769,6803,6818,6827,6867,6864,6956,7064,7180,7161,7156,7124,7106,7056,7007,6918,6761,6567,6422,6322,6164,5873,5796,5599,5223,4860,4615,4378,4172,4058,4097,3889,3717,3758,3639,3532,3607,3634,3688,3636,3439,3350,3177,2984,3090,3040,2964,2763,2606,2510,2405,2505,2519,2485,2179,2028,2005,2051,2021,2046,2172,2265,2106,2043,2004,1896,2023,1970,1856,1822,1799,1765,1850,1921,1969,1949,1834,1822,1622,1599,1586,1478,1505,1511,1567,1479,1524,1506,1433,1353,1452,1498,1464,1380,1445,1378,1449,1442,1400,1400,1440,1489,1663,1716,1803,1829,1875,2001,2066,2206,2113,2124,2053,2018,2412,2670,2582,2477,2425,2461,2523,2686,2754,2789,2916,3082,3318,3564,3763,3943,4310,4596,4787,5173,5524,5811,6185,6461,6490,6642,6901,7164,7306,7399,7602,7640,7769,7933,8010,8114,8113,8065,8201,8207,8237,8207,8207,8209,8196,8182,8102,8057,7884,7800,7789,7797,7766,7667,7619,7597,7601,7556,7560,7517,7397,7322,7147,7132,7136,7104,7077,7030,6968,6942,6936,6828,6873,6907,6856,6860,6855,6825,6796,6747,6757,6688,6585,6509,6598,6640,6589,6483,6440,6360,6315,6200,6202,6158,6043,6016,6292,6371,6384,6363,6356,6233,6251,6199,6195,6199,5949
Batteries,1,87,0,-7,-2,-2,-2,-11,-10,-28,-16,-9,-6,-7,-8,-10,-13,-6,-21,-21,-21,1,16,-15,-21,-22,-21,-28,-12,-17,-37,-43,-25,-11,-10,-8,22,24,9,-3,-19,-20,2,34,29,10,10,5,-5,-19,-19,-22,-14,-17,-3,3,2,-2,-1,-2,-31,-6,39,29,33,-4,-14,-9,-5,-10,-27,-27,-42,-14,-22,-18,-15,-25,-30,-38,-20,-52,-52,-41,-59,-16,15,-11,-54,-60,-52,-72,-50,-77,-66,-84,-56,37,56,44,52,54,42,53,66,78,87,13,-4,74,16,-27,-39,-37,-24,-42,-30,-4,-3,-3,-3,35,32,-2,35,13,0,-2,-11,-2,-19,-3,0,32,6,-27,-13,2,32,8,-1,10,3,-5,6,32,-2,4,-37,-9,9,5,-15,-4,-2,-2,-22,-2,3,-2,-3,-1,-2,-5,-15,-29,-36,-4,-1,1,18,37,60,71,82,3,-59,-82,-89,-62,-41,-23,7,-23,5,-15,-22,-27,-17,-8,-7,-7,-8,16,24,46,4,8,6,13,2,31,18,15,9,12,17,26,15,20,12,7,-16,-41,-50,-52,-50,24,45,46,43,37,23,14,17,30,17,14,18,43,52,32,14,14,14,14,14,18,19,14,15,-14,-10,29,12,25,15,14,14,14,7,12,27,-1,11,0,-11,2,-1,2,0,0,-1,-5,-6,4,-5,0,-1,-1,-1,-1,-1,-1,-1,-1,-7,-18,-16,-50,-57,-62,-36,-25,-24,-23,-43,-40
Nuclear,1132,1132,1133,1132,1132,1132,1132,1132,1132,1133,1132,1133,1132,1133,1132,1133,1133,1133,1133,1133,1134,1133,1133,1133,1134,1133,1133,1133,1134,1133,1133,1134,1133,1134,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1134,1133,1133,1133,1132,1133,1133,1133,1132,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1132,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1134,1134,1134,1134,1133,1133,1134,1133,1133,1133,1133,1133,1133,1133,1133,1133,1134,1134,1133,1134,1133,1134,1133,1134,1134,1133,1133,1133,1134,1133,1133,1134,1134,1132,1133,1132,1132,1132,1133,1133,1132,1132,1133,1132,1132,1132,1133,1133,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1131,1132,1133,1133,1132,1133,1133,1132,1133,1133,1133,1132,1133,1132,1132,1132,1132,1133,1132,1132,1131,1132,1132,1131,1132,1132,1133,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1131,1132,1131,1132,1131,1131,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1131,1132,1132,1132,1132,1132,1132,1132,1132,1131,1132,1132,1132,1132,1132,1132,1131,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1133,1132,1133,1132,1133,1133,1133,1133,1133,1133,1133,1133,1132,1133,1133,1133,1132,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133
Coal,15,15,15,15,15,15,15,14,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,16,16,16,15,16,16,16,15,16,16,16,16,16,15,15,15,16,16,16,15,14,14,15,15,15,15,15,16,15,16,16,16,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,16,15,16,16,16,16,16,16,17,16,17,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,17,17,16,16,16,15,14,14,15,15,14,13,13,14,13,13,13,13,13,14,12,13,13,14,14,13,13,13,13,11,13,12,12,13,13,13,13,14,14,14,13,13,14,14,14,15,15,15,15,15,15,15,16,16,15,15,14,14,15,16,16,16,15,14,16,16,16,15,15,16,15,14,15,14,16,16,16,16,15,15,15,16,16,16,16,16,17,17,17,17,17,16,16,16,17,16,16,17,16,17,16,16,16,16,16,15,16,15,16,16,16,16,16,16,16,17,16,16,16,17,16,16,16,16,16,17,17,17,15,16,15,15,16,17,17,16,16,16,16,17,17,17,17,17,17,17,17,17,17,18,18,17,17,17,17,17,17,16,16,17,17,17,17,17,16,16,17,17,16,16,16,16,16,17,17,16,15,16,16
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
