9/25/2020,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,5893,5885,5863,5822,5826,5861,5839,5837,5851,5835,5825,5826,5811,5814,5818,5806,5784,5792,5820,5841,5840,5844,5885,5885,5086,5906,5878,5891,5920,5952,5951,5960,5927,5919,5911,5885,5902,5873,5809,5808,5769,5757,5739,5743,5709,5718,5709,5686,5638,5609,5631,5533,5525,5484,5435,5383,5382,5382,5345,5338,5345,5343,5360,5329,5322,5279,5236,5235,5216,5129,5099,5061,5017,5008,4989,4962,4951,4923,4905,4913,4938,4974,5036,5123,5237,5436,5660,5889,6140,6513,6918,7304,7723,8107,8515,8920,9329,9639,9935,10416,11053,11611,12037,12367,12505,12679,12902,13006,13094,13472,13797,13927,13908,13763,13813,13905,14061,14118,14170,14191,14141,14426,14534,14584,14625,14620,14620,14568,14509,14460,14413,14356,14270,14168,14107,14007,13897,13804,13743,13722,13693,13604,13540,13575,13547,13530,13498,13458,13403,13389,13382,13399,13404,13399,13389,13417,13427,13392,13334,13359,13455,13547,13571,13650,13683,13689,13753,13823,13852,13906,13903,13934,13946,13836,13908,13911,13954,14004,14034,14007,14016,14074,14086,14026,14097,14180,14022,13997,14017,14095,14033,14071,14059,13992,13889,13684,13537,13377,13258,12989,12739,12568,12417,12282,11965,11648,11380,10939,10476,10060,9597,9105,8615,8197,7778,7356,6999,6650,6361,6109,5951,5799,5724,5690,5630,5601,5614,5612,5599,5614,5596,5566,5602,5607,5602,5611,5639,5685,5730,5735,5725,5696,5677,5651,5586,5558,5550,5565,5561,5581,5579,5601,5634,5657,5661,5667,5678,5668,5661,5664,5657,5649,5636,5639,5648,5660,5686,5721,5760,5775,5802,5869,5918,5962,5993,5997,6016,6023,5960,5943,5941,5920,5912,5908,5919,5946,5956,5940
Natural gas,6904,6756,6679,6554,6375,6317,6284,6248,6190,6175,6106,6016,5964,5829,5689,5564,5516,5473,5367,5354,5325,5386,5392,5368,5310,5280,5284,5283,5238,5191,5158,5168,5187,5160,5170,5079,5067,4968,4984,4963,4984,4964,4964,4953,4966,4946,4933,4931,4926,4992,5058,5059,5062,5072,5015,5035,5066,5121,5148,5143,5151,5203,5250,5270,5349,5411,5462,5493,5567,5605,5683,5620,5573,5972,6067,6084,6123,6228,6295,6386,6437,6507,6504,6448,6332,6273,6222,6170,6138,6125,6039,6126,6318,6212,6081,6018,5814,5691,5785,5779,5805,5617,5500,5460,5504,5475,5478,5482,5489,5350,5202,5230,5241,5281,5346,5384,5411,5453,5465,5485,5483,5385,5341,5352,5363,5395,5409,5415,5354,5349,5316,5337,5340,5479,5589,5621,5744,5757,5813,5823,5876,5895,5916,5875,5901,6057,6106,6076,6085,6105,6225,6458,6576,6682,6837,6884,6804,6862,6951,7078,6927,6751,6859,7006,7101,7358,7344,7272,7376,7447,7475,7515,7546,7559,7618,7757,7880,7969,7991,8021,8174,8242,8441,8505,8505,8559,8643,8739,8838,8811,8900,8955,9004,9070,9225,9470,9519,9511,9503,9542,9574,9559,9664,9741,9877,10035,9847,9832,9948,10183,10439,10761,11059,11311,11647,11827,11954,11820,11806,11839,11854,11886,11886,11861,11863,11837,11739,11689,11696,11707,11703,11667,11690,11646,11609,11579,11517,11394,11311,11264,11224,11078,11073,11096,10806,10663,10572,10562,10502,10350,10264,10309,10421,10619,10690,10695,10621,10617,10517,10325,10244,10056,9836,9678,9578,9290,9170,9034,8795,8688,8618,8514,8420,8343,8232,8042,7801,7619,7532,7269,7097,6933,6894,6804,6712,6585,6441,6310
Large hydro,1213,1231,1230,1224,1219,1207,1198,1191,1197,1206,1211,1221,1215,1145,1111,1110,1111,1111,1094,1095,1099,1104,1106,1103,1107,1077,1065,1063,1052,1051,1046,1046,1050,1052,1059,1051,1044,1008,1009,1006,1010,1010,1013,1014,1015,1014,1013,1012,1016,1052,1068,1062,1059,1060,1058,1067,1067,1065,1062,1059,1054,1063,1072,1073,1062,1059,1063,1073,1083,1072,1070,1072,1073,1244,1319,1315,1335,1336,1328,1327,1323,1322,1324,1306,1202,1206,1228,1225,1197,1187,1186,971,892,891,879,864,806,519,402,396,404,346,315,356,410,406,401,403,397,433,411,406,421,453,444,439,455,455,449,437,438,431,409,405,415,421,428,463,462,462,446,463,467,392,325,319,327,327,331,346,350,360,379,354,346,336,344,344,343,345,340,341,343,340,340,348,353,390,399,390,676,678,671,675,650,671,968,998,1035,1258,1340,1379,1385,1420,1431,1383,1375,1380,1381,1393,1427,1431,1469,1554,1547,1525,1517,1395,1413,1393,1398,1410,1513,1608,1701,1743,1758,1790,1790,1816,1824,1844,1835,1839,1929,2389,2538,2589,2648,2668,2662,2658,2663,2686,2673,2743,2840,2861,2971,2978,2965,2968,2964,2981,2995,2985,2979,2968,2958,2968,2996,3001,2999,2984,2942,2900,2887,2903,2898,2861,2852,2723,2670,2665,2607,2612,2595,2524,2482,2487,2477,2452,2421,2271,2084,2051,2009,1990,1955,1758,1709,1718,1741,1741,1725,1691,1657,1659,1661,1642,1619,1607,1595,1565,1557,1531,1462,1356,1342,1296,1274,1272,1265,1209,1171,1131,1106,1103
Imports,9120,9256,9348,9377,9448,9331,9329,9267,9202,9121,9056,9037,8999,9101,9197,9225,9201,9137,9133,9037,8990,8836,8708,8647,8619,8654,8682,8607,8563,8539,8507,8429,8374,8348,8311,8309,8329,8488,8547,8557,8540,8541,8521,8529,8511,8527,8549,8565,8632,8593,8560,8637,8710,8745,8812,8878,8918,8911,8939,9013,9065,9202,9299,9356,9394,9438,9497,9561,9591,9687,9760,9908,10071,9862,9974,10128,10175,10189,10210,10196,10149,10075,10072,10065,10066,10114,10033,9957,9837,9629,9355,9224,8984,8752,8523,8264,8121,8451,8412,8098,7506,7064,6811,6499,6174,6006,5785,5674,5561,5324,5232,5103,4983,4965,4832,4749,4545,4410,4360,4328,4399,4206,4164,4124,4035,4028,4015,4081,4161,4315,4481,4583,4657,4702,4814,4921,5005,5154,5261,5326,5376,5511,5620,5725,5793,5663,5738,5900,6025,6100,6101,6066,6122,6156,6045,6102,6178,6226,6257,6248,5962,6024,6047,5913,5900,5778,5340,5297,5281,5162,5123,5145,5241,5395,5330,5353,5393,5434,5528,5671,5552,5447,5370,5409,5526,5576,5682,5817,5796,5881,6011,6047,6079,5933,5767,5781,5923,6151,6356,6620,6877,7091,7252,7364,7542,7285,7472,7854,8094,8295,8496,8635,8829,8994,9024,9187,9249,9538,9583,9698,9816,9922,9939,9946,9940,9971,10101,10204,10256,10229,10218,10255,10225,10202,10214,10232,10206,10173,10105,10055,9963,10085,10046,9972,10219,10254,10217,10133,10089,10116,10087,10027,9855,9550,9502,9493,9403,9375,9372,9567,9654,9706,9824,9831,9739,9839,9844,9797,9830,9782,9694,9611,9511,9386,9295,9330,9439,9589,9614,9751,9800,9821,9709,9698,9680,9660,9664,9661
Batteries,-27,-29,-8,-1,3,7,-8,-16,-14,-18,-8,1,-21,-22,-13,-15,-14,-18,-23,-22,-21,-16,-23,-17,-26,-20,-16,-16,-23,-18,-18,-23,-13,-11,-18,-19,-34,-10,-11,-13,-7,-12,-12,-12,-12,-11,-12,-12,-26,-19,-13,-14,-11,-15,-13,-14,-12,-10,-8,-8,-17,-20,-14,-8,-9,-14,-15,-4,-2,-3,-4,-4,-3,8,-24,-19,11,2,-1,5,-1,-8,-9,4,-13,5,25,6,-12,-22,-40,-23,-14,0,-35,-32,-69,-22,-12,-11,-20,-13,-4,2,32,22,22,25,22,-16,-29,-41,-10,47,35,28,31,32,32,32,33,41,29,36,45,47,47,64,58,65,63,67,69,41,30,33,32,33,27,28,23,39,51,34,10,-8,-14,-10,-1,0,-6,-14,-47,-15,-16,-21,-28,-50,-27,-16,-41,-37,-37,-52,-34,-18,-14,-10,-24,0,-10,3,5,20,21,1,-1,0,1,4,1,0,-6,-8,-15,-50,-14,-6,-6,-11,-7,-9,-17,-25,-34,-31,-5,5,6,19,30,20,1,-7,-3,-15,-20,-16,9,21,20,21,23,25,36,48,45,42,31,35,27,26,27,26,28,28,25,26,25,29,33,33,51,46,43,38,34,40,46,47,26,32,21,-2,5,12,-1,0,-2,-2,-28,-97,-138,-45,9,19,4,-6,-10,-8,-6,-2,-6,-7,-9,14,0,1,6,-9,-21,-32,-30,-25,-30,-15,-16,-16,-9,2,7,4,-4,-14,-21,-12,-16,-13
Nuclear,2179,2179,2179,2179,2179,2180,2180,2181,2180,2181,2181,2182,2182,2181,2183,2183,2182,2182,2184,2183,2183,2184,2184,2184,2185,2184,2185,2185,2185,2186,2185,2186,2186,2186,2187,2187,2187,2187,2187,2188,2188,2189,2188,2189,2189,2188,2189,2188,2190,2190,2189,2190,2189,2189,2190,2190,2190,2190,2190,2191,2191,2191,2191,2191,2191,2191,2191,2191,2192,2191,2191,2192,2191,2190,2189,2191,2189,2190,2189,2188,2188,2188,2188,2187,2187,2186,2185,2186,2186,2186,2187,2186,2186,2186,2186,2186,2185,2185,2185,2186,2186,2186,2186,2186,2187,2186,2182,2181,2181,2181,2181,2181,2182,2181,2182,2183,2181,2182,2181,2182,2182,2182,2182,2183,2182,2183,2182,2182,2183,2183,2182,2182,2182,2183,2184,2183,2182,2182,2182,2182,2182,2183,2183,2184,2183,2183,2183,2183,2183,2183,2183,2182,2184,2183,2183,2183,2183,2183,2182,2183,2183,2183,2184,2184,2184,2183,2183,2183,2184,2183,2183,2184,2184,2184,2184,2183,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2184,2185,2185,2185,2184,2184,2185,2185,2185,2185,2184,2184,2184,2184,2185,2184,2185,2185,2184,2184,2185,2184,2185,2184,2185,2185,2185,2185,2185,2183,2184,2183,2184,2183,2183,2182,2182,2182,2181,2181,2180,2179,2178,2178,2179,2178,2176,2178,2177,2177,2177,2176,2176,2177,2175,2176,2176,2177,2177,2175,2177,2176,2177,2177,2176,2175,2176,2176,2177,2177,2177,2177,2177,2177,2177,2177,2177,2177,2178,2178,2178,2177,2178,2177,2178,2178,2178,2178,2178,2177,2178,2178,2178,2179,2178,2178,2179,2179,2179
Coal,15,15,15,16,16,15,14,14,13,14,14,15,16,18,16,15,14,14,14,13,14,14,14,14,14,14,14,14,13,13,13,13,13,13,14,13,13,13,13,13,14,13,10,15,16,15,17,16,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,13,14,14,14,15,14,13,14,13,14,13,12,12,13,13,14,12,12,12,13,12,13,15,15,13,13,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,13,13,14,14,13,14,14,14,15,14,13,13,13,13,15,14,14,14,14,15,15,15,15,14,14,14,14,14,15,14,15,15,15,15,15,14,15,16,15,16,15,16,16,15,16,15,16,16,16,16,16,16,16,15,16,16,16,15,16,16,16,16,17,16,16,16,16,16,16,16,16,17,16,16,16,15,15,16,16,16,15,15,16,16,15,15,15,15,16,16,16,16,15,16,16,16,16,16,16,15,15,15,16,16,16,16,16,16,15,15,15,15,14,15,15,15,16,16,16,16,16,17,16,16,16,16,15,15,15,15,15,15,15,15,14,14,14,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,15
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
