12/15/2019,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,3997,3968,3960,4022,4031,4048,4061,4056,3976,3915,3916,3931,3934,3948,3940,3929,3904,3857,3839,3869,3911,3964,4013,4081,4139,4204,4313,4393,4446,4493,4546,4586,4638,4625,4569,4492,4462,4459,4484,4490,4483,4485,4490,4492,4495,4454,4421,4384,4357,4416,4434,4453,4474,4500,4447,4371,4299,4250,4183,4176,4174,4135,4111,4136,4220,4280,4306,4362,4397,4379,4418,4463,4521,4600,4642,4686,4711,4735,4709,4590,4602,4599,4531,4613,4714,4839,4997,5146,5327,5523,5746,5992,6093,6380,6544,6802,6857,7460,7670,7965,8360,8361,8445,8474,8647,8957,9424,9496,9512,9362,9469,9657,9973,10293,10549,10433,10396,10300,10317,10459,10818,11162,10858,10915,10880,11005,11153,11156,11022,11102,11215,11330,11411,11498,11668,11717,11505,11204,11137,11411,11396,11258,11162,11334,11391,11435,11638,11574,11657,11835,11657,11500,11541,11800,11967,11948,11943,12093,12096,11929,11922,12021,11979,11583,11203,11182,11403,11237,11107,11398,11329,11002,10900,11123,11221,11098,10748,10523,10234,9887,9474,9467,9259,8957,9018,8964,8669,8386,7900,7584,7251,6942,6615,6198,5869,5620,5377,5155,5071,5023,4932,4850,4807,4741,4767,4775,4782,4851,4942,5040,5075,5080,5150,5184,5181,5186,5202,5172,5126,5032,5052,5112,5148,5230,5311,5364,5420,5564,5621,5611,5479,5374,5332,5377,5380,5325,5359,5401,5392,5337,5320,5249,5139,5064,5068,5173,5213,5227,5233,5255,5266,5284,5263,5267,5289,5274,5269,5278,5267,5303,5338,5375,5423,5540,5588,5701,5844,5938,5912,5929,5884,5803,5817,5860,5952,6012,6063,6070,6064,6077,6053,6086,5985,5886,5781,5779,5762,5678
Natural gas,9039,8806,8662,8568,8417,8151,7996,7916,7869,7834,7765,7746,7781,7780,7804,7748,7689,7608,7549,7525,7487,7439,7397,7417,7327,7221,7161,7063,7028,6962,6902,6880,6910,6816,6789,6788,6875,7166,7506,7468,7491,7507,7533,7568,7552,7523,7499,7506,7537,7560,7572,7563,7548,7563,7552,7645,7706,7761,7835,7923,7900,7928,7836,7831,7815,7788,7795,7811,7862,7897,7892,7886,7835,7688,7445,7459,7458,7578,7670,7733,7812,7857,7902,7930,8199,8357,8353,8314,8160,8112,7993,7980,7839,7608,7565,7333,7665,7460,7290,7309,7018,6698,6547,6389,6302,6277,6457,6260,6226,6451,6395,6400,6397,6420,6430,6205,6128,6240,6167,6193,6262,6294,6037,6079,6108,6080,5980,6027,5992,6053,6003,5945,5945,5917,5862,5890,5982,6099,6269,6267,6210,6291,6244,6218,6172,6232,6161,6201,6160,6131,6138,6074,6019,6042,6082,6120,6422,6340,6306,6340,6239,6299,6449,6505,6568,6558,6474,6617,6687,6689,7078,7109,7118,6915,6941,7040,7277,7448,7582,7707,7763,7377,6999,7110,7311,7476,7645,7672,7465,7648,7877,8166,8372,8389,8151,8363,8681,8796,9018,9097,9318,9608,9891,9992,9983,9974,9909,9845,9774,9872,9705,9594,9439,9383,9429,9473,9423,9328,9333,9375,9392,9535,9482,9460,9373,9294,9109,8943,8839,8769,8891,8917,8875,8918,8906,8872,8876,8812,8734,8811,8954,9015,9168,9333,9411,9414,9348,9334,9262,9135,9052,9168,9158,9134,9241,9297,9143,8916,8813,8774,8761,8758,8690,8590,8629,8701,8723,8638,8538,8479,8416,8317,8245,8137,8059,8021,7610,7295,7312,7385,7745,7665,7362,7547,7607,7635,7411,7308
Large hydro,1796,1789,1726,1649,1675,1743,1759,1758,1756,1761,1774,1760,1709,1654,1667,1676,1684,1685,1685,1676,1673,1653,1638,1624,1598,1486,1459,1430,1427,1430,1427,1421,1425,1423,1418,1423,1426,1210,1103,1099,1103,1101,1098,1103,1113,1105,1107,1115,1112,1128,1133,1134,1127,1131,1134,1139,1150,1138,1143,1145,1144,1284,1320,1332,1337,1342,1336,1332,1344,1346,1345,1365,1405,1518,1597,1625,1607,1584,1578,1596,1618,1619,1649,1651,1629,1547,1507,1505,1495,1502,1509,1532,1597,1550,1539,1518,1604,1607,1619,1672,1947,1982,1980,1972,1970,1947,1931,1912,1890,1882,1909,1858,1797,1788,1773,1749,1783,1795,1796,1806,1776,1739,1737,1730,1753,1768,1807,1798,1731,1735,1747,1774,1716,1641,1538,1530,1559,1566,1558,1530,1527,1552,1524,1479,1477,1444,1330,1400,1420,1424,1364,1214,1137,1140,1225,1030,994,1025,1046,1063,1044,1006,957,956,1071,1136,1110,1185,1298,1176,992,1030,1033,996,895,903,921,992,1104,1149,1136,1475,1649,1677,1664,1625,1610,1880,2009,2076,2087,2077,2126,2634,2933,2933,2939,2955,2990,3097,3180,3190,3224,3264,3231,3296,3214,3176,3239,3235,3143,3316,3401,3378,3304,3271,3269,3253,3304,3305,3276,3271,3274,3269,3264,3268,3268,3270,3239,3147,3116,3122,3109,3103,3099,3109,3102,3105,3105,3102,3130,3123,3167,3183,3158,3159,3053,3059,3085,3074,3039,3010,2976,2788,2688,2723,2703,2695,2702,2679,2651,2631,2608,2597,2572,2563,2541,2549,2472,2419,2414,2417,2407,2403,2369,2328,2253,2133,2078,2067,2314,2201,2064,2023,1957,1954,1982,2013
Imports,6413,6649,6765,6877,6908,6975,7003,7005,7016,7020,6993,6975,6899,6847,6778,6710,6682,6732,6724,6678,6680,6675,6665,6578,6508,6495,6443,6486,6429,6385,6385,6367,6338,6321,6348,6399,6341,6295,6337,6376,6345,6294,6248,6205,6204,6251,6305,6295,6305,6278,6290,6301,6323,6320,6397,6397,6369,6375,6360,6355,6398,6432,6524,6594,6544,6541,6549,6606,6582,6614,6666,6753,6815,6971,6980,6988,7095,7121,7115,7200,7242,7268,7340,7263,6998,6967,6810,6743,6758,6672,6595,6323,6341,6420,6444,6364,6170,5989,5954,5656,5178,5271,5198,5300,5330,5135,4699,4716,4568,4502,4442,4315,4039,3839,3540,3752,3652,3668,3633,3510,3279,2973,3454,3238,3190,3089,2984,2885,3030,2877,2757,2655,2605,2470,2472,2367,2342,2402,2328,2107,2118,2142,2296,2246,2167,2047,1975,1974,1878,1755,1894,2249,2257,2023,1798,1939,1984,1830,1764,1901,1958,1927,1869,2070,2292,2261,2160,2182,2254,2068,2271,2603,2889,2932,2966,3148,3231,3274,3366,3580,4009,4133,4326,4595,4549,4602,4908,4766,5051,5200,5357,5519,5698,5731,5971,6075,6201,6442,6481,6551,6515,6525,6528,6752,7115,7359,7670,7928,8023,7962,8208,8161,8154,8190,8203,8219,8232,8323,8248,8253,8237,8046,8016,7929,7913,7959,8013,8032,8066,8181,8234,8296,8341,8286,8275,8248,8244,8200,8220,8174,8007,7937,7849,7706,7607,7472,7559,7545,7547,7567,7543,7388,7350,7435,7441,7341,7428,7617,7670,7598,7514,7450,7387,7292,7057,6780,6551,6397,6361,6335,6310,6333,6304,6267,6158,6071,6351,6512,6488,6370,5809,5936,6149,6087,6111,6130,6111,6139
Batteries,-2,10,0,-19,0,0,5,0,9,23,20,11,0,0,7,20,24,32,34,-2,-26,-43,-71,-74,-41,-11,-11,-28,-23,-8,-38,-55,-71,-27,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,9,6,0,0,0,-11,-5,0,0,0,-20,-28,-17,-32,-46,-42,-18,53,121,118,35,8,7,27,34,34,33,20,-26,6,9,10,9,8,9,75,19,18,19,18,18,-44,-101,-84,-102,-54,5,20,34,-28,-107,-42,20,67,17,5,5,-31,-98,-33,37,49,115,19,-95,-94,-87,34,45,19,-11,37,30,48,34,22,9,-14,-18,-7,43,29,29,19,8,29,5,3,5,35,17,20,28,12,38,44,42,22,-44,21,27,3,-8,16,7,-29,-51,-8,18,45,29,44,41,1,52,84,84,28,-8,-4,50,84,85,58,28,44,0,4,-14,-103,-96,-41,8,20,-4,-9,-1,-4,-1,-3,-3,0,-3,-4,-2,-3,-12,-24,-45,8,-20,14,-7,-42,-29,31,34,34,29,29,27,25,56,48,0,0,0,0,0,0,26,0,0,0,8,20,2,0,0,0,0,0,0,0,0,32,50,45,18,-3,-12,-5,-16,2,5,5,4,1,0,-23,-17,0,0,0,-19,-16,0,0,0,-21,-42,-35,0,0,0,0,0,-8,-32,-16,28,95,95,47,-18,-76,76,-43,-37,-88,-3,0
Nuclear,1101,1102,1101,1101,1102,1102,1102,1101,1101,1101,1101,1101,1100,1100,1101,1100,1100,1101,1100,1101,1101,1101,1101,1101,1102,1102,1102,1102,1103,1102,1102,1103,1103,1103,1103,1104,1103,1104,1104,1104,1103,1103,1104,1104,1103,1103,1104,1104,1103,1103,1103,1103,1103,1104,1104,1104,1104,1104,1104,1103,1104,1103,1104,1103,1104,1104,1103,1104,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1102,1102,1102,1102,1103,1103,1103,1103,1103,1103,1103,1103,1103,1102,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1104,1104,1103,1104,1103,1103,1103,1104,1103,1103,1102,1101,1102,1101,1100,1100,1099,1100,1100,1100,1099,1099,1099,1100,1101,1100,1100,1100,1099,1100,1100,1101,1100,1100,1100,1099,1100,1099,1100,1100,1100,1100,1099,1099,1099,1099,1099,1098,1099,1099,1100,1100,1099,1099,1099,1099,1100,1099,1100,1100,1100,1100,1100,1100,1099,1100,1100,1100,1100,1100,1100,1101,1111,1115,1115,1117,1123,1135,1135,1135,1135,1135,1134,1135,1136,1135,1135,1135,1135,1136,1136,1135,1136,1136,1136,1136,1136,1135,1135,1135,1135,1135,1136,1135,1135,1135,1135,1135,1135,1136,1136,1135,1136,1136,1136,1136,1135,1135,1135,1136,1136,1136,1136,1136,1136,1136,1136,1136,1137,1136,1136,1136,1136,1136,1137,1137,1137,1137,1137,1137,1136,1137,1137,1137,1137,1137,1137,1137,1137,1138,1137,1137,1138,1136,1137,1137,1137,1137,1138,1137,1137,1137,1137,1136,1136,1136,1137,1137,1137,1136,1136,1136,1136,1136,1136
Coal,13,14,15,14,14,14,14,14,14,14,15,14,14,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,14,15,15,15,14,14,15,14,14,15,14,15,15,15,15,15,15,15,15,15,15,16,15,15,15,15,15,15,14,15,14,14,14,14,15,15,15,15,15,14,13,14,14,14,15,15,15,15,14,15,14,15,15,14,15,15,14,13,13,13,13,13,13,13,14,14,14,14,14,16,16,17,16,17,16,16,16,16,16,17,17,16,16,16,16,16,16,16,15,16,15,15,16,15,15,15,15,15,15,15,15,14,14,15,15,15,15,15,15,15,15,15,15,15,16,15,15,15,15,15,15,15,15,16,15,15,16,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,16,15,16,16,16,16,16,15,15,15,16,16,16,16,16,15,15,15,15,15,15,15,15,15,14,14,14,14,16,16,16,16,17,16,16,16,16,16,16,16,15,15,15,15,15,14,14,15,15,16,15,15,15,16,15,15,15,15,15,15,15,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,17,17,17,17,17,17,17,17,16,17,17,18,18,18,17,17,18,18,18,17,17,17,17
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
