9/17/2018,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,3826,3817,3812,3795,3792,3781,3752,3733,3732,3737,3765,3802,3840,3855,3879,3928,3938,3937,3923,3925,3926,3938,3935,3914,3890,3855,3807,3760,3736,3749,3768,3775,3772,3757,3749,3742,3736,3740,3739,3747,3759,3751,3742,3711,3667,3640,3611,3592,3575,3539,3517,3515,3494,3479,3433,3410,3392,3375,3374,3366,3359,3342,3356,3376,3376,3375,3362,3330,3303,3300,3284,3275,3276,3300,3311,3295,3289,3277,3277,3268,3245,3251,3293,3366,3484,3660,3875,4128,4444,4799,5177,5536,5901,6287,6689,7055,7425,7826,8267,8685,9100,9489,9877,10220,10447,10668,10856,11018,11147,11303,11434,11580,11683,11793,11856,11931,11978,12074,12144,12184,12236,12270,12300,12312,12322,12352,12374,12390,12398,12423,12427,12446,12457,12459,12455,12456,12477,12484,12500,12503,12518,12543,12576,12581,12545,12553,12522,12546,12553,12561,12576,12632,12640,12682,12685,12692,12717,12763,12765,12738,12830,12839,12844,12860,12896,12920,12953,12967,13002,13018,13048,13068,13114,13131,13116,13143,13188,13172,13182,13157,13152,13161,13166,13165,13099,13063,13057,13021,13005,13007,12992,12999,12985,12920,12854,12790,12734,12612,12518,12425,12326,12194,12044,11884,11697,11483,11204,10923,10629,10312,9901,9508,9118,8709,8300,7859,7489,7130,6753,6330,6005,5713,5429,5199,5075,4987,4960,4929,4894,4829,4802,4810,4812,4848,4867,4900,4914,4923,4943,4954,4945,4936,4909,4881,4867,4837,4840,4851,4868,4876,4890,4880,4861,4859,4831,4786,4739,4724,4708,4689,4671,4663,4672,4672,4660,4652,4668,4668,4679,4703,4702,4684,4645,4634,4597,4583,4593,4615,4626,4648,4652,4664,4691,4723,4746,4757,4772,4784
Natural gas,7661,7700,7862,7945,7932,8026,8045,7994,7867,7769,7704,7587,7506,7576,7576,7495,7463,7427,7429,7436,7409,7353,7279,7236,7274,7299,7362,7362,7300,7295,7365,7377,7359,7305,7204,7216,7219,7109,7033,7035,7080,7204,7528,7803,7779,7727,7692,7677,7796,7993,8041,8036,8040,8046,8123,8164,8221,8260,8253,8250,8256,8371,8360,8448,8564,8596,8734,8975,9075,9129,9239,9373,9414,9328,9319,9202,9330,9420,9561,9782,9820,9814,9832,9776,9811,9836,9581,9465,9458,9306,9099,8705,8442,8320,8188,8090,8050,8031,8047,7986,7769,7610,7359,7234,7229,7137,7229,7353,7428,7353,7297,7251,7210,7196,7192,7186,7292,7203,7217,7146,7088,7022,7041,7079,7143,7201,7238,7240,7258,7327,7308,7310,7353,7310,7208,7249,7269,7309,7380,7453,7559,7584,7562,7596,7683,7606,7628,7696,7798,7805,7866,7800,7879,7949,8081,8224,8314,8455,8485,8517,8541,8614,8731,8789,8823,8817,8844,8943,8971,9018,9071,9108,8935,8846,8902,8937,9030,9167,9204,9205,9155,9029,9018,9050,9213,9346,9502,9566,9641,9700,9835,9848,9834,9951,9932,10011,10061,10122,10138,10243,10355,10399,10589,10777,10907,10968,10823,10957,11091,11171,11299,11666,11879,12054,12185,12226,12444,12755,12560,12629,12571,12620,12846,13118,13217,13233,13361,13398,13371,13285,13278,13146,13100,12916,12912,12917,12938,12948,12824,12780,12769,12414,12332,12493,12240,11968,11869,11807,11512,11428,11405,11398,11353,11269,11310,11309,11166,10722,10573,10369,10150,10005,9904,9849,9911,9873,9914,9960,9905,9956,9819,9516,9397,9132,8998,9008,9122,9248,9238,9192,9140,9117,8994,8935,8775,8725,8515,8444
Large hydro,1981,1963,1858,1838,1795,1789,1783,1768,1773,1765,1758,1746,1704,1630,1598,1581,1576,1581,1570,1560,1562,1556,1556,1553,1539,1504,1494,1485,1492,1486,1475,1457,1449,1439,1446,1447,1453,1452,1452,1443,1431,1419,1126,1126,1140,1134,1145,1135,1119,1137,1150,1157,1170,1169,1177,1174,1184,1254,1279,1259,1253,1362,1412,1425,1447,1450,1445,1455,1497,1516,1513,1491,1499,1553,1590,1595,1620,1640,1659,1647,1658,1653,1667,1664,1677,1904,2022,2013,2010,2011,1990,2020,2020,1980,1935,1894,1799,1565,1461,1439,1416,1402,1391,1375,1376,1345,1070,1070,1037,924,893,898,907,897,897,883,933,956,959,949,946,892,858,858,869,881,887,881,882,889,902,899,897,930,945,962,989,991,992,981,991,975,977,1000,1107,1090,1091,1074,1028,1077,1102,1081,1081,1084,1067,1081,1096,1049,1074,1110,1107,1092,1081,1087,1129,1146,1144,1184,1169,1239,1279,1302,1637,1646,1660,1662,1602,1571,1566,1576,1581,1617,1646,1642,1663,1652,1646,1687,1695,1694,1708,1719,1706,1824,1910,1923,1935,1965,1988,1977,2003,2078,2118,2100,1963,2000,2053,2093,2140,2215,2262,2292,2287,2343,2543,2736,2876,3091,3156,3198,3204,3151,3144,3175,3247,3272,3291,3285,3292,3360,3404,3440,3447,3422,3411,3403,3388,3339,3265,3255,3252,3388,3333,3315,3344,3336,3328,3508,3568,3557,3430,3377,3365,3242,3196,3123,3116,3091,3072,3127,3164,3139,3161,3144,3032,2709,2624,2549,2425,2362,2342,2342,2358,2355,2372,2327,2255,2096,2032,2038,2033,2038,1997,1978,1958,1951,1929,1897
Imports,7898,7708,7501,7315,7257,7164,7133,7154,7195,7170,7165,7157,7132,6967,6892,6862,6778,6704,6658,6631,6565,6588,6642,6641,6578,6505,6395,6382,6409,6414,6317,6293,6305,6349,6392,6351,6321,6413,6511,6508,6452,6399,6508,6426,6411,6471,6518,6581,6631,6513,6533,6536,6610,6642,6653,6718,6746,6717,6743,6820,6923,6964,7053,7064,7045,7117,7109,7113,7108,7150,7131,7236,7468,7769,8158,8373,8352,8363,8385,8323,8384,8417,8435,8425,8348,8118,7946,7832,7711,7502,7359,7433,7286,7108,6993,6778,6597,6483,6310,6026,5910,5692,5524,5380,5236,5136,5343,5183,5126,5257,5287,5244,5145,5099,5064,4993,4838,4777,4789,4882,4928,5043,5085,5074,4989,4881,4859,4842,4813,4807,4873,4900,4911,4934,5027,5103,5132,5101,5045,4970,4871,4871,4919,4913,4821,4917,4991,4985,5012,5043,5008,5068,5043,5116,5106,5015,4940,4873,4924,4984,4923,4967,4953,4936,4906,4967,5009,5070,5101,5069,5016,5072,4858,4843,4883,4850,4824,4894,5030,5191,5284,5460,5558,5690,5663,5657,5669,5690,5681,5720,5775,5820,5866,5699,5756,5773,5822,5936,5972,5985,6060,6160,6141,6197,6388,6621,6967,7105,7221,7472,7691,7721,7861,8117,8324,8574,8601,8396,8710,9003,9283,9525,9501,9387,9401,9352,9181,9188,9223,9361,9466,9549,9683,9816,9872,9957,9919,9890,9938,9929,9878,9997,9928,9828,9954,10060,10063,9848,9835,9780,9716,9650,9531,9440,9351,9274,9371,9533,9548,9525,9538,9482,9370,9181,9001,9042,8945,8730,8671,8531,8545,8612,8546,8552,8519,8360,8074,7963,7769,7522,7430,7337,7251,7196,7132,7088,7079,7042
Batteries,3,-2,57,60,17,-16,-59,-71,-64,-71,-79,-78,-69,-63,-49,-43,-21,-19,-50,-61,-52,-67,-62,-56,-59,-24,4,1,-2,-10,-48,-56,-58,-46,-35,-19,-27,-29,-16,-20,-35,-59,-28,-56,-1,-9,-1,-11,-53,-15,9,13,18,18,24,18,18,16,20,12,-19,-23,-1,0,-6,-5,-40,-14,2,7,-2,-37,-51,-43,-25,-17,4,3,22,2,31,21,41,10,-17,7,12,-24,-42,-34,-34,-3,11,-28,-24,-30,-28,-28,-23,-25,-28,-36,-30,-28,-20,-16,25,21,-44,-31,-10,-14,-27,-9,-24,-30,-13,-29,-25,-27,-27,-28,-26,-23,-4,-5,-6,-22,-8,-7,-6,-7,-15,-19,-6,0,2,-1,-2,-1,-1,2,4,3,-3,-4,-4,-3,2,1,1,1,1,2,1,-2,5,-34,4,38,28,12,7,11,42,44,44,44,42,37,41,42,36,43,41,35,2,-3,-4,2,-10,-40,-60,-55,-29,-40,-50,-50,-49,-49,-43,-33,-32,-59,-51,-31,-14,20,40,19,44,49,54,43,-13,-5,8,70,90,95,102,103,104,104,114,124,94,-16,-23,-21,-5,6,9,10,16,14,-1,-1,1,-10,-2,3,33,59,22,14,12,12,6,9,-2,21,32,10,60,25,9,9,9,12,8,10,0,10,14,-27,-27,-10,-16,-10,-14,-27,-24,-14,-34,-7,38,35,17,-23,-11,-4,10,5,23,-18,-23,-43,33,10,-13,-24,-37,-36,-42,-49,-44,-37
Nuclear,2257,2256,2256,2257,2257,2257,2258,2259,2258,2258,2258,2258,2259,2259,2258,2259,2259,2259,2260,2260,2259,2260,2261,2262,2262,2262,2262,2262,2262,2263,2263,2265,2264,2264,2265,2264,2264,2264,2264,2264,2264,2264,2264,2263,2263,2264,2263,2264,2264,2265,2264,2264,2264,2264,2266,2265,2265,2265,2265,2266,2264,2266,2265,2266,2267,2267,2267,2268,2269,2269,2268,2269,2268,2267,2266,2267,2266,2266,2264,2265,2263,2263,2262,2262,2262,2261,2261,2261,2261,2261,2260,2261,2261,2261,2261,2261,2260,2259,2259,2258,2258,2258,2258,2258,2258,2259,2259,2259,2259,2260,2260,2261,2261,2261,2261,2262,2262,2263,2263,2263,2263,2262,2262,2261,2262,2262,2262,2262,2263,2262,2263,2263,2263,2263,2263,2264,2264,2264,2264,2263,2262,2262,2263,2262,2260,2261,2261,2261,2261,2261,2261,2262,2262,2262,2261,2262,2262,2262,2262,2261,2261,2262,2261,2260,2259,2260,2260,2258,2258,2259,2258,2258,2256,2258,2259,2258,2258,2258,2258,2259,2260,2258,2259,2259,2259,2260,2259,2259,2259,2259,2258,2259,2259,2259,2259,2259,2260,2260,2260,2260,2259,2260,2260,2260,2260,2260,2260,2261,2261,2260,2261,2261,2261,2260,2260,2261,2260,2261,2262,2262,2261,2261,2260,2262,2261,2262,2261,2262,2262,2262,2263,2262,2262,2261,2262,2262,2261,2261,2262,2261,2262,2262,2261,2261,2261,2260,2262,2261,2262,2262,2262,2261,2261,2261,2260,2261,2261,2261,2261,2260,2263,2262,2262,2263,2261,2261,2261,2261,2261,2262,2262,2262,2261,2262,2262,2261,2261,2262,2262,2261,2260,2261,2261,2261,2260,2261,2261,2260
Coal,15,15,16,15,15,15,15,15,14,14,16,16,14,15,15,15,17,17,16,15,16,15,14,16,15,16,16,15,15,15,15,15,15,15,14,14,15,16,16,16,16,15,15,16,15,15,15,15,16,15,16,16,17,16,15,15,15,15,16,17,17,17,17,17,16,15,16,16,15,16,15,15,14,16,15,14,15,15,15,15,14,13,15,16,16,17,16,15,16,15,16,16,17,15,16,16,15,15,15,15,16,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,18,18,17,15,16,15,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,16,15,16,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,16,17,17,18,17,17,17,17,17,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,18,17,17,18,16,15,15,15,15,16,17,16,16,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,15,15,15,14,15,15,14,14,15,15,15,15,15,15,16,16,15,15,14,15,16,15,15,15,16,16,16,17,17,15,15,15,14,14,16,14,14,15,15,14,14,15,16,16,16,16,16,15,15,15,16,16
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
