2/15/2020,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,2908,2959,3045,3119,3172,3255,3300,3341,3322,3351,3340,3329,3296,3305,3306,3313,3272,3298,3285,3299,3308,3297,3326,3330,3337,3314,3291,3285,3238,3244,3217,3232,3211,3179,3117,3064,3033,3048,3029,2974,2912,2833,2762,2658,2629,2595,2575,2549,2557,2527,2461,2429,2394,2381,2368,2359,2347,2347,2349,2352,2358,2349,2336,2292,2288,2304,2285,2261,2276,2283,2272,2263,2266,2256,2216,2172,2183,2194,2179,2216,2275,2380,2524,2744,3015,3234,3602,4001,4387,4752,5141,5435,5888,6370,6951,7469,7924,8299,8686,9115,9388,9646,9994,10337,10550,10639,10828,11002,11072,11191,11322,11381,11400,11490,11516,11515,11527,11609,11592,11493,11589,11588,11493,11431,11359,11419,11415,11449,11454,11502,11529,11339,11268,11372,11438,11439,11317,11309,11324,11453,11471,11549,11784,11846,11660,11512,11369,11374,11400,11596,11618,11517,11703,11619,11717,11621,11437,11518,11522,11252,11402,11634,11808,11808,11833,12002,11675,11482,11484,11307,11385,11548,11940,12203,12238,12269,12199,12395,11900,11511,11366,11408,11419,11323,10996,11161,11457,11451,11282,11103,10762,10458,9979,9513,8910,8487,8119,7740,7296,6883,6489,6090,5651,5198,4794,4398,4060,3771,3584,3476,3318,3172,3123,3107,3109,3090,3108,3119,3111,3134,3120,3122,3124,3170,3166,3162,3127,3169,3207,3240,3204,3206,3221,3218,3217,3277,3323,3378,3403,3428,3466,3460,3439,3422,3397,3380,3371,3340,3308,3283,3308,3361,3393,3417,3397,3337,3306,3283,3263,3284,3321,3375,3410,3406,3414,3418,3406,3420,3407,3442,3446,3467,3511,3578,3617,3685,3769,3861,3926,3988,4027,4080,4102,4075,4063,4141,4198,4210
Natural gas,8031,8081,8062,8032,7887,7745,7624,7540,7498,7472,7422,7448,7406,7293,7291,7187,7085,7015,6960,6944,6956,6944,6918,6942,6949,6933,6965,6948,6946,6939,6955,6962,6954,6951,6956,6982,6948,7017,7031,7025,7041,7024,7072,7076,7124,7112,7171,7174,7176,7184,7157,7199,7192,7226,7286,7353,7416,7444,7479,7510,7554,7550,7535,7635,7642,7660,7715,7793,7865,7921,7997,7973,7897,7878,7819,7658,7608,7634,7657,7740,7740,7604,7471,7411,7368,7487,7504,7467,7259,7116,6971,6837,6604,6548,6462,6402,6272,5985,5604,5334,5029,4935,4851,4741,4655,4586,4510,4436,4452,4332,4207,4142,4089,4142,4011,4026,4070,4038,3962,3902,3858,3826,3945,4026,3944,3794,3733,3731,3779,3767,3770,3816,3799,3824,4065,4056,4129,4092,4089,4056,4013,3987,3849,3853,3867,3914,3884,3678,3576,3678,3842,3835,3616,3665,3589,3612,3729,3779,3890,3774,3680,3660,3784,3748,3714,3715,3722,3863,3859,3752,3831,3767,3777,3708,3658,3821,3855,3945,4078,4140,4248,4408,4510,4610,4591,4392,4506,4619,4891,4974,5116,5295,5317,5463,5371,5255,5535,5560,5762,6025,6210,6407,6809,7118,7389,7590,7481,7590,7907,8161,8404,8615,8792,8973,9162,9404,9502,9476,9465,9393,9300,9294,9250,9244,9188,9141,9045,9021,9119,9170,9214,9299,9350,9322,9339,9066,8941,8949,8937,8889,8909,8822,8841,8895,8904,8910,8914,8881,8875,8809,8727,8658,8657,8615,8614,8664,8637,8663,8705,8695,8675,8687,8661,8585,8538,8520,8591,8615,8539,8383,8290,8241,8171,8081,8021,7719,7354,7017,6881,6939,6916,6813,6622,6473,6433,6393,6371,6294
Large hydro,1031,1045,1076,1074,1082,1085,1087,1078,1070,1071,1066,1057,1058,1041,1039,1037,1037,1037,1034,1015,1008,1009,1010,1010,1008,973,958,957,959,957,956,959,955,960,964,967,962,1009,1019,1029,1023,1021,1026,1026,1038,1047,1055,1053,1043,1041,1036,1040,1049,1044,1047,1047,1052,1054,1050,1045,1042,1147,1229,1247,1299,1301,1302,1297,1295,1288,1300,1305,1309,1373,1449,1469,1483,1464,1461,1469,1465,1465,1462,1465,1464,1493,1496,1470,1409,1401,1389,1410,1399,1373,1295,1278,1264,1206,1177,1132,1123,1131,1133,1123,1130,1134,1138,1112,1104,1037,982,968,977,995,987,990,983,957,960,984,956,740,654,653,663,658,636,636,640,633,628,631,642,503,327,327,384,410,392,356,319,368,339,335,391,394,399,397,386,387,396,412,390,389,374,374,410,450,485,461,446,392,355,315,375,404,482,547,530,451,466,417,313,225,194,226,322,326,249,255,343,315,299,339,739,699,623,558,601,618,641,728,802,1141,1475,1456,1437,1313,1330,1328,1337,1356,1383,1413,1480,1919,2081,2142,2094,2078,2147,2159,2185,2171,2156,2155,2210,2244,2352,2378,2371,2388,2364,2356,2365,2389,2409,2413,2411,2305,2231,2235,2257,2259,2271,2270,2271,2269,2258,2225,2166,2013,1952,1901,1893,1884,1885,1858,1862,1892,1891,1875,1847,1778,1705,1713,1733,1701,1692,1685,1640,1603,1638,1657,1595,1301,1263,1237,1193,1196,1214,1210,1196,1187,1183,1198,1207,1166,1127,1091,1083,1072,1082,1098,1110,1103,1087,1113
Imports,8829,8673,8457,8368,8329,8336,8297,8291,8242,8214,8179,8145,8137,8185,8133,8162,8182,8209,8233,8207,8130,8079,8020,7962,7912,7955,7942,7924,7913,7894,7893,7843,7825,7829,7849,7891,7907,7802,7800,7818,7888,7948,7950,7993,8020,8043,8007,8004,8017,8043,8166,8229,8270,8280,8256,8246,8218,8209,8228,8226,8233,8309,8346,8346,8349,8348,8336,8340,8366,8356,8385,8444,8634,8891,9047,9341,9468,9502,9488,9473,9453,9524,9480,9352,9152,8892,8553,8242,8168,7939,7753,7507,7221,6875,6459,6008,5608,5523,5542,5426,5320,5114,4781,4553,4299,4167,3987,3823,3630,3648,3652,3636,3518,3276,3193,3069,2981,2863,2886,2829,2815,3105,3227,3148,3238,3262,3276,3149,3042,2945,2846,2913,2872,2975,3047,2995,2847,2804,2770,2686,2655,2513,2359,2252,2187,2218,2342,2431,2519,2347,2060,2119,2178,2244,2230,2258,2300,2197,2033,2373,2414,2312,2152,2224,2160,1933,2058,2085,2200,2559,2492,2522,2495,2376,2502,2293,2299,2081,2612,3042,3020,2893,2885,2863,2579,2639,2629,2713,2642,2722,2956,3023,3449,3557,3824,4335,4742,5353,5715,6027,6472,6825,7053,7278,7599,7673,7995,8246,8337,8434,8490,8581,8683,8756,8836,8882,8934,9022,9097,9192,9244,9269,9259,9300,9326,9343,9373,9365,9219,9170,9160,9074,8976,8929,8916,9112,9170,9139,9080,9107,9040,9209,9277,9295,9289,9266,9239,9246,9248,9264,9279,9262,9177,9212,9258,9208,9169,9075,8999,8962,8908,8830,8701,8619,8548,8681,8615,8531,8539,8543,8496,8488,8433,8382,8309,8394,8535,8716,8575,8470,8419,8464,8441,8436,8378,8262,8175,8075
Batteries,-33,1,-11,-11,-16,-4,0,0,0,0,0,-12,-8,22,18,21,29,29,29,25,29,35,34,29,18,9,18,13,10,9,-2,6,17,13,9,11,9,25,-24,1,0,5,10,13,9,3,8,16,13,2,-8,1,10,3,0,-7,-2,-1,1,0,0,-3,-13,-7,3,-2,-6,8,8,8,3,4,-14,-9,-3,-1,1,0,0,0,5,1,0,0,0,15,10,-2,-3,-27,-14,-8,-26,-40,-44,-42,-22,35,19,-14,-2,0,0,-22,-33,-6,0,0,-7,6,13,13,14,30,19,23,21,13,20,24,16,28,46,54,51,54,43,43,43,41,25,43,39,-40,-45,-33,30,31,31,-3,-14,22,9,0,16,29,37,37,37,40,45,40,34,37,34,39,43,46,8,35,8,-25,-59,-42,11,25,29,46,34,39,43,-30,-64,-72,-72,-33,-4,-25,-72,-34,0,3,4,25,43,33,-74,-67,2,-5,5,25,4,43,74,58,29,-7,-2,-1,-1,2,0,-5,-15,-36,-24,-15,-11,-19,-3,-10,-1,18,13,1,3,-20,-41,-35,0,-2,-7,-12,-8,1,5,0,-8,18,38,32,29,28,18,23,1,-1,-1,-9,-1,31,4,1,-1,-1,-1,-1,-5,4,-1,-1,-2,-1,-1,3,0,-1,-1,-6,-24,-17,-14,-5,-5,-2,0,-22,-14,-5,0,0,0,-6,-18,-1,8,3,-14,-55,-69,-57,-28,-9,0,-2,-22,-2
Nuclear,1103,1103,1103,1103,1103,1103,1102,1103,1103,1103,1102,1103,1103,1103,1102,1102,1103,1103,1103,1103,1103,1103,1103,1103,1103,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1094,1099,1103,1103,1103,1103,1103,1102,1103,1102,1102,1103,1103,1103,1103,1103,1103,1103,1103,1104,1103,1103,1103,1103,1104,1104,1103,1104,1103,1103,1103,1103,1104,1104,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1102,1103,1103,1103,1103,1102,1102,1102,1101,1102,1102,1102,1102,1102,1102,1101,1102,1102,1102,1102,1102,1101,1102,1102,1102,1102,1102,1102,1103,1103,1102,1103,1102,1102,1102,1102,1103,1102,1102,1103,1102,1101,1101,1101,1101,1101,1102,1102,1102,1102,1102,1102,1101,1102,1102,1102,1102,1102,1101,1101,1101,1102,1101,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1103,1102,1103,1103,1102,1102,1102,1102,1102,1102,1102,1102,1103,1103,1103,1102,1103,1103,1103,1102,1102,1102,1102,1103,1102,1103,1102,1102,1102,1103,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1101,1101,1101,1101,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1101,1102,1102,1102,1102,1102,1101,1102,1102,1102,1101,1101,1102,1102,1102,1102,1101,1101,1102,1101,1102,1101,1101,1101,1100,1101,1101,1101,1101,1101,1101,1102,1101,1101,1100,1100,1101,1100,1101,1101,1100,1100,1100,1101,1100,1101,1101,1101,1101,1101,1101,1101,1101,1102,1101,1110,1113,1115,1123,1135,1136,1135,1136,1136,1136,1136,1136,1137,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136
Coal,13,13,13,13,13,13,13,14,14,13,14,13,13,13,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,13,13,13,13,13,14,13,13,14,14,14,14,14,14,13,13,13,13,14,13,14,14,14,14,14,13,14,14,14,13,13,14,14,13,13,13,13,13,13,12,12,11,11,11,11,11,12,13,13,12,12,12,12,11,11,11,12,12,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,12,12,12,12,12,12,12,13,13,12,12,12,12,12,12,12,12,12,12,13,12,12,13,13,13,12,12,12,12,12,13,13,12,12,12,12,13,12,12,12,11,12,12,12,12,12,11,11,12,11,11,13,13,11,12,11,11,10,10,11,11,10,10,11,11,10,10,10,10,9,10,9,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,10,10,10,10,11,11,11,10,10,10,10,10,11,11,11,10,10,10,10,10,10,10,10,11,10,11,11,11,11,12,11,12,11,11,12,13,13,13,12,12,12,11,12,12,12,12,12,12,13,12,12,13,12,13,12,12,13,13,13,12,13,13,13,12,13,13,13,13,13,13,13,13,13,13
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
