2/14/2019,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45
Renewables,3582,3630,3665,3670,3692,3698,3659,3669,3664,3662,3691,3705,3718,3682,3601,3623,3643,3636,3644,3684,3624,3589,3703,3798,3830,3832,3846,3825,3800,3805,3832,3821,3814,3790,3772,3751,3730,3692,3653,3633,3626,3580,3532,3488,3475,3463,3417,3388,3392,3420,3438,3448,3488,3486,3474,3439,3420,3422,3410,3412,3359,3334,3345,3322,3311,3312,3308,3307,3261,3232,3242,3266,3329,3381,3411,3491,3590,3702,3865,3939,3969,3969,3919,3864,3786,3748,3812,3895,3984,4070,4125,4217,4290,4421,4531,4528,4530,4582,4620,4685,4734,4846,4829,4874,4880,4904,4749,4676,4598,4543,4611,4654,4694,4770,4863,5060,5136,5289,5475,5661,5873,5988,5991,6270,6478,6633,6988,7285,7334,7503,7742,7959,8027,8218,8423,8482,8730,9012,9087,8926,9175,9160,8801,8693,8509,8172,8153,8145,8279,8472,8681,8312,8505,8796,8585,8334,8745,8324,8148,8718,8938,8483,8972,8790,8454,8485,8249,8572,8771,8678,8618,8482,8436,8438,8520,8281,8305,8265,8395,8601,8379,8196,8487,8123,7981,7960,7703,7659,7794,8313,7697,7328,7185,7356,7250,7093,6813,6534,6412,6270,6131,6275,6366,5913,5662,5589,5469,5273,5044,4861,4826,4963,5094,5166,5183,5174,5137,5134,5186,5120,5052,4969,4893,4798,4733,4754,4750,4801,4826,4790,4722,4631,4538,4441,4343,4275,4228,4294,4409,4493,4473,4419,4378,4305,4245,4225,4146,4059,4003,4019,3998,3944,3957,3920,3922,3890,3900,3950,4009,4088,4190,4251,4327,4384,4396,4327,4211,4132,4101,4102,4114,4146,4219,4286,4324,4328,4247,4201,4166,4139,4193,4254,4304,4328,4402,4418
Natural gas,9190,8719,8292,8042,8062,8025,7896,7737,7550,7505,7468,7424,7404,7349,7285,7300,7208,7024,6912,6805,6888,6773,6709,6621,6582,6644,6715,6764,6792,6797,6788,6732,6683,6686,6620,6645,6656,6555,6579,6726,6802,6806,6853,6847,6851,6795,6768,6776,6790,6827,6850,6838,6850,6968,7061,7059,7104,7166,7277,7377,7485,7770,8009,8250,8318,8422,8434,8568,8743,8864,9145,9138,9264,9469,9336,9425,9619,9707,9776,9845,10141,10122,9983,10011,10179,10466,10589,10563,10632,10718,10754,10726,10726,10618,10610,10666,10810,10842,10868,10890,11001,11036,11091,11082,11068,11044,11186,11234,11182,11090,11010,11012,11033,11054,11037,10969,10904,10918,10835,10791,10734,10643,10450,10360,10417,10273,10153,9926,9776,9587,9383,9170,9084,8889,8802,8727,8548,8504,8433,8423,8253,8327,8506,8480,8567,8668,8726,8923,8800,8669,8361,8350,8437,8270,8112,8413,8361,8575,8663,8668,8600,8371,8419,8322,8367,8435,8608,8452,8246,8066,8086,8188,8209,8129,8099,8237,8304,8179,8123,8119,8287,8390,8228,8347,8383,8459,8593,8601,8666,8463,8608,9015,9120,8784,8607,8719,8782,9028,9189,9341,9496,9612,9557,9540,9722,9762,9724,9902,10117,10214,10366,10624,10827,10887,10956,10987,10937,10633,10686,10929,11002,11057,11103,11023,10899,10907,10856,10753,10759,10775,10811,10877,10908,10997,11056,11055,11040,10984,10890,10926,11041,11255,11316,11302,11290,11320,11317,11353,11303,11203,11058,10847,10751,10698,10545,10508,10440,10416,10405,10208,10078,9975,9915,9750,9700,9598,9638,9659,9647,9466,9353,9304,9260,9250,9191,8876,8733,9111,9134,9036,8952,8920,8878,8767,8770,8651
Large hydro,2090,2226,2301,2273,2214,2210,2222,2255,2274,2257,2271,2279,2263,2244,2241,2238,2219,2240,2279,2265,2226,2241,2196,2173,2122,2097,2110,2107,2105,2110,2109,2172,2188,2189,2193,2198,2201,2201,2169,2162,2158,2155,2159,2180,2265,2304,2336,2359,2354,2359,2378,2387,2377,2388,2388,2402,2428,2433,2398,2381,2398,2392,2400,2421,2464,2486,2485,2477,2473,2472,2477,2482,2434,2608,2779,2821,2820,2815,2817,2823,2071,2847,2848,2848,2859,2948,3087,3047,3025,3028,3052,3066,3052,3043,3042,3050,3061,2973,2973,2953,2942,2967,2994,3001,3006,3000,3018,3043,3069,3162,3226,3238,3269,3245,3237,3227,3226,3225,3213,3143,3084,3142,3206,3214,3218,3216,3134,3103,3147,3171,3130,3062,2996,2840,2784,2785,2760,2705,2691,2804,2805,2629,2754,2783,2738,2605,2598,2570,2538,2524,2529,2537,2525,2501,2508,2532,2532,2569,2598,2587,2583,2558,2553,2543,2547,2537,2537,2538,2553,2538,2530,2525,2522,2520,2517,2521,2520,2520,2521,2532,2578,2667,2685,2674,2694,2683,2674,2649,2636,2585,2608,2668,2678,2634,2636,2651,2671,2695,2763,2796,2798,2786,2793,2810,2797,2874,2999,3060,3090,3157,3222,3221,3245,3269,3275,3287,3266,3219,3225,3192,3212,3249,3285,3307,3325,3330,3333,3400,3384,3383,3329,3314,3303,3294,3256,3241,3237,3221,3205,3196,3195,3208,3234,3231,3111,3028,2961,2971,2953,2937,2937,2960,2956,2969,2978,2969,2970,2941,2910,2929,2931,2928,2934,2931,2902,2720,2665,2681,2660,2670,2660,2624,2585,2591,2624,2671,2653,2355,2387,2388,2364,2331,2310,2200,2129,2084
Imports,6224,6487,6644,6815,6744,6677,6750,6837,6923,6851,6816,6742,6678,6763,6850,6776,6765,6861,6790,6853,6897,6987,6912,6869,6789,6773,6694,6631,6583,6562,6517,6501,6469,6441,6490,6461,6518,6639,6658,6513,6476,6515,6529,6591,6559,6519,6580,6616,6674,6695,6681,6755,6689,6638,6599,6676,6717,6623,6627,6652,6715,6701,6679,6597,6529,6508,6575,6594,6641,6675,6589,6780,6825,6629,6592,6638,6499,6541,6573,6643,6772,6770,6855,6965,6993,6894,6749,6797,6790,6720,6671,6577,6527,6490,6446,6304,6115,6236,6281,6213,6170,6070,6033,6020,6017,5995,5993,6000,6174,6332,6303,6295,6262,6277,6201,6181,6128,5996,5934,5899,5815,5784,5751,5585,5491,5485,5362,5394,5332,5305,5286,5301,5424,5517,5418,5461,5478,5321,5232,5250,5042,5082,5190,4987,5197,5542,5438,5306,5350,5335,5282,5515,5351,5122,5410,5371,4992,5144,5187,4581,4189,4902,4512,4562,4787,4651,4525,4362,4165,4435,4394,4344,4326,4335,4291,4317,4148,4264,4135,4030,3919,3849,3653,3845,3970,3971,4054,4080,4072,3851,4316,4216,4233,4612,5011,5092,5286,5484,5497,5602,5695,5512,5598,6118,6317,6406,6553,6687,6856,7065,7090,6936,6896,6935,6954,7084,7294,7430,7554,7709,7742,7757,7768,7882,8022,7970,8038,7990,7897,7784,7787,7847,7905,7882,7917,7953,7980,7989,7969,7829,7689,7399,7338,7296,7426,7456,7427,7430,7428,7483,7574,7824,7784,7699,7651,7626,7604,7451,7341,7319,7215,7155,6966,6914,6844,6861,6876,6814,6759,6748,6777,6658,6592,6543,6510,6398,6330,6394,6320,6356,6269,6164,6098,6135,6040,6074
Batteries,-58,-54,-26,-33,-26,-24,-37,-39,-39,-39,-39,-39,-40,-26,-15,-15,-24,39,44,3,-21,-21,-22,-24,-26,-33,-31,-22,-22,-23,-24,-24,-25,-24,-18,-22,-17,-9,15,4,-1,-9,12,4,-13,-20,-16,-14,-14,-19,-14,-11,-8,-6,-7,-1,24,-3,-5,-2,-4,-30,-53,-38,-16,10,34,70,71,27,-27,-19,-35,0,14,37,29,20,-4,-2,32,58,78,67,55,97,97,50,34,5,-12,2,17,-11,-11,9,33,33,21,34,13,-9,16,18,27,22,49,49,30,9,4,-6,-13,-11,-24,-29,-13,-13,-37,-49,-55,-39,-8,-27,-69,-64,-93,-82,-77,-42,-39,-68,-78,-54,-74,-84,-86,-88,-87,-23,-42,-60,58,32,-14,13,-8,-27,-38,-40,-20,11,16,-15,-15,14,-8,-4,38,-10,-8,17,13,-18,10,9,0,-15,-10,-22,0,-22,-21,-21,-21,-4,-20,-19,-19,-17,-15,-4,-19,-29,-4,-18,-8,-5,-28,-35,22,68,8,-52,-45,-4,21,37,-3,-10,-22,-23,-22,16,18,62,56,36,41,78,79,29,-14,6,26,40,20,-7,-11,-11,-14,-14,-13,5,33,12,29,27,14,15,30,28,16,17,26,25,23,20,16,10,18,5,8,14,14,13,7,5,-2,-2,-4,-11,11,52,58,54,51,51,31,25,-2,-21,-11,9,10,24,39,4,21,4,6,-28,-45,-43,-31,-9,3,25,31,27,-4,-30,-46,-48,-48,-48
Nuclear,1126,1125,1126,1126,1126,1126,1125,1126,1125,1126,1126,1126,1126,1126,1124,1124,1124,1125,1124,1124,1125,1124,1124,1124,1125,1124,1124,1124,1124,1124,1124,1125,1124,1125,1124,1124,1124,1124,1125,1123,1124,1124,1124,1124,1124,1124,1124,1124,1124,1124,1123,1123,1129,1129,1129,1129,1129,1127,1125,1125,1125,1125,1126,1126,1126,1125,1126,1125,1126,1125,1130,1130,1130,1130,1129,1130,1130,1130,1130,1130,1129,1130,1130,1130,1130,1129,1129,1129,1129,1129,1129,1130,1130,1129,1129,1130,1129,1130,1129,1130,1130,1130,1130,1129,1130,1130,1130,1129,1130,1130,1130,1130,1130,1130,1129,1129,1129,1130,1128,1128,1129,1129,1127,1128,1130,1126,1126,1130,1130,1129,1130,1129,1130,1129,1129,1129,1129,1128,1129,1129,1129,1129,1127,1129,1129,1128,1126,1126,1126,1126,1126,1126,1125,1126,1125,1126,1126,1124,1124,1124,1124,1124,1125,1124,1124,1124,1124,1124,1124,1124,1124,1124,1124,1123,1124,1124,1124,1124,1124,1126,1126,1126,1126,1126,1126,1126,1127,1126,1126,1126,1126,1126,1126,1126,1124,1124,1124,1125,1124,1124,1124,1125,1125,1124,1125,1125,1124,1124,1124,1124,1124,1124,1124,1124,1124,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1127,1126,1127,1127,1126,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1126,1126,1125,1124,1124,1124,1124,1126,1126,1127,1126,1126,1126,1126,1126,1126,1126,1126,1126,1124,1124,1124,1124,1124,1124,1126,1126,1126,1127,1126,1126,1126,1125,1126,1125,1126,1126,1126,1126,1126
Coal,15,14,14,14,13,13,13,13,13,13,14,14,14,14,15,15,15,16,16,16,16,16,16,16,14,15,15,14,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,15,15,15,16,16,15,15,15,15,16,15,16,16,17,16,14,15,15,15,15,15,16,15,15,15,15,15,16,13,14,18,19,19,18,18,17,18,18,19,19,19,19,18,17,17,17,18,18,17,17,18,17,18,18,18,18,18,17,17,17,16,17,17,17,17,17,17,17,16,16,16,17,17,16,17,17,17,17,16,16,16,16,15,17,17,17,17,17,17,16,15,16,15,15,15,15,15,15,16,16,17,17,17,18,18,17,17,17,16,15,15,15,16,16,16,15,14,16,16,15,15,15,15,13,14,14,15,14,14,14,15,15,17,16,16,16,16,16,15,14,13,13,15,15,15,13,15,15,14,13,12,13,13,15,14,13,13,12,13,14,13,13,13,13,13,14,12,13,13,12,12,13,13,13,13,13,12,13,12,12,11,14,14,13,13,12,13,13,13,14,14,14,13,13,14,14,13,13,13,13,13,13,13,12,13,12,13,13,15,15,15,15,14,15,14,14,13,13,14,14,14,15,14,15,14,15,14,14,14,13,14,14,14,15,15,15,14,15,15,15,15,14
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
