7/27/2018,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,5691,5704,5667,5653,5652,5670,5694,5681,5676,5653,5652,5629,5625,5626,5621,5605,5617,5611,5601,5569,5543,5542,5542,5511,5495,5482,5476,5448,5392,5352,5322,5293,5272,5237,5218,5204,5219,5210,5213,5202,5184,5185,5181,5146,5123,5080,5013,4978,4949,4951,4982,4975,4950,4902,4888,4831,4795,4750,4722,4698,4664,4644,4646,4628,4592,4589,4587,4588,4600,4604,4579,4553,4535,4519,4551,4616,4635,4685,4763,4838,4974,5136,5333,5507,5681,5863,6081,6303,6556,6810,7025,7284,7541,7783,8029,8251,8475,8684,8928,9119,9333,9504,9682,9866,10032,10212,10434,10587,10740,10891,11018,11172,11300,11414,11495,11470,11521,11623,11722,11810,11870,11906,11934,11963,12049,12149,12215,12264,12314,12395,12414,12435,12456,12504,12558,12576,12680,12755,12813,12848,12837,12879,12898,12926,12953,13008,13002,13029,13069,13084,13073,13083,13098,13100,13088,13088,13111,13146,13161,13150,13097,13103,13166,13112,13073,13043,12934,12807,12818,12860,12868,12842,12775,12736,12746,12769,12731,12738,12811,12915,13037,13046,13024,13064,13278,13390,13449,13522,13552,13488,13356,13290,13306,13298,13344,13362,13330,13343,13317,13332,13322,13271,13210,13187,13093,13063,12938,12745,12586,12601,12459,12388,12264,12024,11778,11440,11094,10832,10604,10241,9912,9552,9273,8992,8689,8383,8095,7828,7553,7313,7118,6885,6725,6577,6432,6356,6294,6190,6109,6075,6035,5997,5979,5950,5954,5960,5981,6008,6015,5989,5975,6000,5982,5945,5920,5866,5866,5899,5859,5798,5791,5792,5778,5767,5762,5767,5809,5821,5816,5778,5785,5781,5753,5734,5723,5716,5708,5607,5589,5590,5580,5576,5561,5541,5522,5497,5467,5405
Natural gas,12165,11618,11369,11335,11059,10903,10853,10525,10443,10434,10294,10125,10006,10013,9979,9910,9684,9528,9448,9402,9425,9358,9299,9285,9198,9112,9093,9095,9082,9138,9142,9065,9066,9020,8982,9052,9142,9185,9135,9179,9198,9150,9128,9144,9141,9144,9144,9140,9148,9274,9328,9255,9237,9278,9348,9426,9447,9434,9494,9495,9542,9662,9752,9761,9774,9814,9898,9926,9958,9984,9965,9957,9835,9841,9710,9821,10104,10008,10151,10314,10523,10461,10340,10265,10286,10201,10236,10225,10333,10274,10243,10013,9915,9880,9799,9747,9820,9874,9681,9726,9769,9811,9770,9779,9793,9784,9758,9803,9764,9577,9697,9814,9851,9905,9929,9950,10027,10075,10156,10266,10348,10386,10316,10338,10572,10675,10698,10872,10998,11203,11323,11345,11460,11628,11573,11749,11915,11943,12176,12441,12546,12669,12678,12723,12849,12879,12948,13034,12638,12551,12847,12991,13188,13432,13657,13912,14259,14452,14598,14573,14486,14664,14943,15069,15147,15200,15402,15635,15910,16202,16414,16519,16828,16891,16997,17202,17347,17388,17454,17539,17638,17890,17947,17960,17889,18010,18048,18043,18023,18002,18064,18104,18158,18091,18006,17992,18008,18038,18070,18061,18045,18019,17883,17924,17903,17825,17693,17711,17748,17756,17674,17977,18174,18334,18414,18676,18843,18852,18743,18860,19069,19026,19211,19378,19492,19588,19616,19652,19779,19775,19678,19717,19779,19662,19527,19409,19179,19076,19080,18985,18794,18575,18508,18538,18493,18276,18143,18019,17743,17563,17399,17243,17148,16860,16551,16434,16257,16061,15945,15742,15518,15364,15188,15046,15017,14850,14667,14190,13561,13394,13373,13210,13072,12959,12866,12722,12434,12273,12128,12115,11915,11960,11759,11538,11082,10921,10936,10971
Large hydro,3093,2932,2903,2999,2963,2949,2891,2879,2861,2891,2897,2835,2764,2684,2551,2521,2496,2452,2432,2437,2437,2426,2423,2415,2397,2379,2364,2364,2372,2363,2360,2370,2370,2372,2378,2363,2329,2264,2242,2216,2190,2195,2196,2202,2197,2197,2205,2199,2168,2144,2128,2113,2113,2120,2112,2139,2138,2147,2144,2129,2066,2000,2013,1992,2012,2002,2024,2044,2045,2044,2042,2057,2078,2305,2509,2313,2259,2268,2250,2241,2250,2257,2248,2222,2099,2004,2009,1978,1929,1922,1921,1933,1969,1931,1924,1881,1799,1926,1980,1978,1972,1987,1980,1982,1982,1984,1983,1994,2014,2096,1921,1954,1958,1952,1956,1964,1993,2014,1988,1961,1989,2240,2415,2456,2413,2404,2366,2402,2452,2435,2437,2459,2468,2383,2284,2217,2211,2223,2195,2166,2199,2275,2290,2307,2391,2423,2446,2498,2885,2896,2909,2925,2946,2952,2897,2881,2811,3019,3168,3196,3324,3464,3505,3446,3481,3528,3560,3608,3684,3689,3721,3738,3853,3921,3953,3904,3905,3934,3948,3867,3833,3872,3944,4046,4027,4026,4058,3957,3943,4015,4095,4142,4237,4317,4322,4310,4341,4374,4463,4531,4568,4599,4622,4648,4636,4660,4699,4662,4507,4624,4717,4719,4749,4821,4853,4929,4876,4837,4820,4781,4864,4943,4967,4888,4951,4992,5019,4874,4843,4756,4707,4709,4690,4763,4788,4850,4919,4924,4719,4677,4686,4641,4572,4556,4538,4530,4491,4463,4469,4473,4483,4455,4362,4339,4438,4460,4311,4260,4244,4256,4244,4248,4240,4226,4017,3672,3561,3636,3713,3696,3652,3619,3583,3530,3464,3418,3341,3255,3263,3363,3138,3010,2938,2741,2791,2796,2814,2811
Imports,7339,7840,8081,7971,8106,8081,8008,8223,8204,8082,7979,8091,8120,7979,7988,7987,8073,8137,8114,8085,7947,7893,7826,7779,7769,7823,7746,7636,7580,7507,7454,7462,7416,7393,7371,7286,7121,7120,7114,7050,7024,6997,6979,6948,6945,6927,6951,6970,7030,7055,7096,7217,7256,7270,7223,7224,7304,7356,7360,7422,7535,7746,7804,7971,8137,8173,8171,8186,8269,8298,8407,8456,8572,8708,8820,9034,9080,9030,8852,8717,8494,8481,8524,8544,8537,8770,8817,8667,8552,8380,8305,8394,8305,8193,8130,8099,8024,7689,7572,7399,7256,7131,7086,6932,6882,6784,6694,6563,6547,6538,6769,6747,6667,6590,6533,6595,6633,6561,6542,6537,6534,6428,6403,6449,6292,6280,6313,6284,6205,6037,6027,6063,6010,6042,6307,6301,6250,6232,6109,5952,5987,5844,5794,5894,5818,5867,5933,5967,5883,5835,5710,5629,5550,5449,5457,5389,5188,5073,4997,5092,5358,5180,4837,4971,5101,5176,5168,5254,5022,4790,4706,4701,4594,4544,4560,4475,4492,4583,4589,4573,4520,4356,4376,4407,4422,4343,4348,4498,4668,4768,4814,4872,4821,4827,4859,5112,5108,5152,5154,5153,5234,5343,5499,5521,5587,5580,5711,5895,6156,6203,6226,6201,6008,6018,6019,6083,6112,6132,6302,6494,6534,6842,6879,7012,7040,7125,7242,7426,7518,7626,7797,7876,7832,7900,8066,8118,8165,8171,8123,8307,8440,8578,8574,8585,8628,8783,8864,8951,9045,9143,9236,9205,9214,9527,9575,9649,9738,9838,9812,9852,9857,9817,9792,9670,9545,9801,9849,9954,10159,10123,9997,9927,9891,9859,9747,9744,9812,9921,9916,9478,9432,9514,9600,9740,9908,9848,9782,9565
Batteries,-30,24,51,4,11,26,-1,-13,-37,-34,-17,-27,-25,-4,-4,-3,-5,-4,-5,-2,-1,-4,-10,-8,1,5,2,6,4,0,6,-9,-12,-2,-12,-12,-21,-21,3,-8,3,-6,-8,-9,2,4,9,9,-9,7,6,8,20,22,9,17,24,14,9,-2,-53,-25,-16,-15,-7,-8,-6,-7,-6,-6,-11,-12,-5,-6,-12,-4,-6,25,-8,16,34,-2,-22,-24,-17,-21,-15,-15,-17,-17,-20,-4,-2,-9,-5,-6,-4,-4,-1,-3,-2,-2,7,3,3,0,0,-1,1,-4,-4,-5,5,5,7,5,28,37,18,3,5,3,9,8,-6,-14,-34,-26,-10,-11,-9,-10,-11,-18,-18,-14,-9,-10,-5,-9,-5,14,28,41,43,-16,-31,-29,-9,-1,1,8,11,11,8,8,1,1,0,-8,5,5,7,-25,-7,-1,0,1,-2,7,6,11,27,35,30,29,30,41,50,46,72,27,1,-22,-26,9,22,-26,-34,-20,12,7,3,-16,-35,-31,-33,-21,-4,-26,-21,22,46,40,44,-4,7,24,31,-17,16,-16,9,44,40,51,60,54,56,54,54,54,97,64,51,51,56,75,47,46,20,-6,-4,-19,-27,-23,-34,-36,-41,-3,-35,-17,4,-30,-21,7,6,0,0,-1,3,0,-10,-10,0,8,2,18,-9,-15,-10,-27,-13,-31,-53,-43,-20,7,8,0,-2,-17,-34,-46,-46,-46,-46,-51,-48,96,16,-10,-28,33,88,69,-40,-36
Nuclear,2276,2276,2275,2275,2275,2276,2275,2275,2276,2275,2275,2275,2276,2276,2275,2275,2275,2275,2276,2275,2275,2275,2275,2275,2275,2275,2274,2275,2274,2274,2274,2274,2275,2274,2274,2274,2275,2275,2274,2274,2274,2274,2274,2274,2274,2273,2274,2273,2274,2273,2273,2273,2273,2273,2273,2274,2274,2274,2272,2273,2272,2273,2271,2272,2272,2272,2272,2272,2272,2272,2272,2272,2272,2272,2272,2272,2271,2272,2272,2272,2272,2273,2272,2273,2272,2272,2272,2272,2273,2272,2273,2273,2273,2274,2272,2273,2273,2274,2272,2274,2273,2273,2273,2273,2275,2274,2274,2274,2274,2274,2273,2274,2274,2274,2275,2274,2275,2274,2274,2274,2274,2274,2275,2275,2274,2275,2275,2274,2274,2274,2274,2274,2273,2274,2273,2274,2273,2274,2274,2274,2274,2274,2274,2274,2274,2274,2274,2274,2274,2273,2272,2272,2272,2271,2271,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2269,2270,2271,2270,2270,2270,2270,2269,2270,2271,2270,2271,2272,2271,2271,2271,2271,2271,2271,2272,2271,2271,2272,2271,2271,2271,2271,2271,2271,2271,2272,2272,2273,2272,2272,2272,2272,2272,2272,2272,2271,2272,2272,2273,2274,2273,2272,2271,2272,2273,2273,2272,2272,2272,2273,2273,2273,2274,2273,2274,2275,2274,2273,2274,2274,2274,2274,2274,2274,2274,2274,2274,2274,2274,2274,2274,2274,2274,2275,2275,2275,2275,2274,2275,2275,2275,2275,2275,2275,2275,2275,2275,2276,2276,2274,2275,2276,2276,2275,2275,2275,2275,2275,2276,2276,2275,2276,2276,2276,2275,2275,2277,2275,2276,2275,2276,2276,2276,2276,2275,2276,2276
Coal,20,21,21,21,20,20,20,20,20,20,20,21,21,21,20,21,21,21,21,21,21,21,21,21,21,21,20,21,21,21,21,21,20,20,21,21,21,21,21,21,20,20,21,21,21,21,20,21,22,22,21,21,21,21,21,21,21,21,21,21,20,21,21,20,19,21,21,20,21,21,21,20,20,20,20,20,21,21,21,20,19,18,19,19,19,20,20,21,21,20,20,21,21,21,21,21,21,21,21,21,21,22,20,22,22,22,21,21,21,21,21,22,22,21,20,21,21,21,21,21,20,20,21,21,21,21,21,21,21,21,21,21,21,21,20,22,20,20,20,20,21,21,22,21,21,20,20,20,21,21,21,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,21,21,22,21,20,20,21,21,21,21,21,21,22,22,21,21,21,21,21,21,21,21,21,21,21,20,20,20,21,21,21,21,21,21,21,22,21,21,22,22,21,20,21,21,20,20,21,20,20,21,21,21,20,20,21,21,20,19,20,21,22,21,20,21,21,21,21,22,21,21,21,21,21,21,21,20,20,20,21,20,20,21,22,22,21,21,21,22,21,22,22,22,22,22,21,21,21,21,21,21,20,20,21,22,22,21,22,21,22,21
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
