3/20/2019,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,2569,2583,2594,2630,2636,2652,2669,2713,2751,2774,2802,2799,2750,2690,2642,2624,2614,2632,2655,2665,2664,2634,2627,2646,2667,2669,2643,2627,2613,2591,2569,2554,2544,2555,2577,2602,2611,2632,2659,2672,2692,2731,2738,2724,2703,2688,2706,2730,2710,2649,2623,2621,2631,2662,2670,2672,2667,2658,2646,2640,2623,2633,2659,2730,2719,2715,2711,2703,2686,2668,2670,2683,2715,2721,2744,2768,2772,2777,2776,2786,2796,2784,2775,2763,2771,2815,2884,2994,3136,3317,3501,3716,4002,4259,4499,4801,5179,5398,5656,5987,6120,6318,6624,7094,7468,7701,8188,8628,8762,8522,8342,8247,8301,8577,8984,9304,9106,8895,8942,9147,9073,9267,9304,9355,9476,9420,9219,9212,9097,9102,9346,9445,9594,9715,9842,9884,10004,10045,10211,10244,10340,10440,10509,10459,10535,10500,10619,10656,10199,10240,10297,10288,10353,10314,10157,10125,10260,10191,10115,10145,10261,10141,9797,9686,9402,9159,9285,9390,9236,9219,9474,9463,9415,9334,9218,9045,8909,8743,8385,8196,8303,8388,8080,7800,7714,7652,7586,7485,7273,7148,7139,6865,6842,6584,6586,6650,6919,6719,6591,6751,6801,6646,6784,6767,6677,6565,6395,6248,6102,5900,5736,5512,5315,5343,5511,5457,5322,5217,5081,4969,4674,4435,4304,4279,4249,4195,4196,4298,4433,4485,4558,4645,4773,4842,4840,4909,4939,4923,4932,4893,4831,4781,4747,4744,4721,4612,4491,4450,4491,4529,4537,4577,4639,4675,4751,4858,4861,4814,4760,4718,4702,4701,4743,4773,4854,4896,4988,5027,4997,5022,5037,5052,5073,5023,5083,5094,4945,4866,4819,4729,4669,4516,4371,4301,4283,4241,4185,4093
Natural gas,6296,6267,6191,6150,6179,6095,6134,6104,6068,6007,5962,5882,5876,5872,5872,5884,5881,5885,5873,5855,5797,5729,5588,5595,5608,5605,5596,5594,5592,5547,5483,5471,5475,5469,5492,5467,5496,5515,5537,5483,5499,5495,5494,5497,5514,5504,5559,5595,5632,5686,5703,5670,5724,5749,5771,5805,5772,5814,5907,5880,5892,5905,5984,5812,5859,5924,5888,6055,6219,6339,6477,6542,6674,6684,6671,6774,7055,7090,7013,7290,7421,7526,7619,7780,7890,7936,8167,8168,8182,8051,8062,7815,7596,7501,7149,6967,6952,7011,7132,6915,6725,6650,6494,6186,5887,5821,5684,5415,5358,5500,5659,5647,5431,5408,5341,5393,5411,5486,5530,5399,5607,5552,5416,5245,4938,4863,4893,4922,4903,4899,4884,5007,5047,4951,4938,4994,5043,5006,5022,4955,5039,5001,5001,5127,5055,4866,4866,4527,4905,4748,4765,4786,4839,4808,4931,4882,4812,4744,4785,4750,4614,4662,4884,4934,4943,4991,4961,4977,5106,5092,5028,5087,4979,5110,5271,5297,5323,5342,5569,5619,5515,5644,5791,5797,5717,5718,5738,5678,5689,5844,5956,6049,6005,6021,5950,5947,5971,6273,6294,6066,6116,6226,6219,6243,6174,6234,6235,6157,6161,6123,6208,6533,6702,6764,6838,6856,6812,6857,6781,6771,7070,7069,7141,7374,7489,7635,7720,7626,7601,8044,8029,8028,7959,7948,7928,7799,7768,7756,7680,7665,7745,7713,7658,7648,7468,7339,7346,7329,7390,7491,7454,7346,7243,7070,6990,6991,6992,6985,6909,6782,6652,6478,6285,6193,6229,6244,6333,6236,6061,5859,5785,5726,5658,5636,5619,5580,5560,5415,5161,5141,4927,4776,4605,4713,4880,4904,4864,4733
Large hydro,3665,3676,3703,3704,3691,3642,3545,3539,3534,3530,3529,3540,3544,3524,3527,3552,3547,3542,3540,3545,3547,3482,3416,3380,3349,3319,3271,3204,3172,3162,3154,3140,3124,3109,3114,3106,3083,3064,3065,3047,3023,3024,3022,3023,3026,3030,3030,3033,3114,3123,3190,3269,3221,3238,3274,3345,3376,3381,3409,3391,3411,3477,3682,3688,3687,3701,3762,3853,3906,3918,3909,3905,3909,4117,4244,4263,4282,4314,4298,4292,4372,4404,4403,4394,4378,4311,4337,4359,4342,4325,4307,4325,4316,4270,4309,4312,4263,4071,4015,3968,3860,3840,3796,3696,3533,3508,3545,3431,3284,3191,3261,3320,3298,3279,3182,3125,3134,3148,3121,3057,3084,3074,3091,3073,3049,3103,3138,3091,3077,3097,3037,2963,2930,2940,2964,2996,2996,3028,2991,2943,2965,2993,2996,3003,2973,2889,2889,2790,2834,2808,2750,2756,2758,2748,2769,2800,2761,2733,2773,2790,2695,2725,2854,2903,2904,2940,2939,2877,2923,2910,2820,2755,2767,2835,2875,2921,2929,2921,2972,2980,2907,2874,2938,3001,3011,3016,3001,3007,3054,3056,2981,2963,2984,3017,2929,2896,2929,3022,3137,3104,3113,3182,3200,3350,3417,3519,3595,3608,3767,3898,3959,3969,3977,3971,3837,3756,3727,4056,4142,4248,4349,4424,4421,4386,4335,4275,4343,4374,4343,4347,4423,4440,4440,4442,4464,4464,4434,4379,4389,4431,4447,4503,4555,4505,4562,4599,4594,4603,4568,4497,4479,4405,4311,4150,4096,3984,3967,4064,4178,4189,4214,4175,4162,4150,4139,4078,4002,4016,4025,3997,3993,3959,3935,3929,3924,3889,3861,3868,3898,3874,3895,3925,3964,3910,3810,3774,3763,3793
Imports,7070,7036,6958,6889,6812,6737,6760,6692,6712,6640,6610,6556,6526,6463,6420,6374,6372,6362,6370,6293,6294,6320,6393,6359,6289,6350,6389,6486,6457,6511,6553,6539,6496,6514,6445,6416,6379,6305,6272,6315,6367,6334,6301,6264,6325,6347,6313,6303,6289,6287,6311,6320,6355,6383,6374,6322,6376,6371,6351,6381,6557,6642,6746,6849,6857,6974,7055,6983,6945,6936,6949,7139,7262,7372,7457,7528,7508,7611,7695,7721,7811,7869,7886,7859,7778,7844,7703,7565,7506,7518,7426,7416,7242,7159,7216,6986,6668,6623,6393,6224,6329,6148,6032,5932,5949,5741,5451,5245,5138,5190,5126,5001,5049,5037,4792,4431,4428,4363,4312,4250,4077,3906,3916,3878,4005,4167,4206,4256,4255,4244,4078,4040,3818,3674,3430,3251,3054,2890,2715,2756,2608,2458,2256,2225,2143,2490,2490,2709,2858,2910,2986,3026,2929,2931,2928,2898,2919,3048,3073,3054,3157,3243,3299,3299,3556,3778,3826,3895,3908,3742,3648,3710,3794,3792,3732,3896,4036,4123,4277,4396,4549,4576,4767,4958,5071,5213,5418,5644,5795,5792,5867,6147,6179,6381,6384,6368,6148,6081,6067,6114,6084,6115,6097,6179,6281,6368,6523,6760,6984,7039,7164,7184,7350,7354,7355,7540,7696,7557,7601,7687,7686,7921,8051,8019,8036,8090,8129,8240,8276,7932,7962,8004,8126,8129,8180,8303,8367,8436,8502,8504,8442,8411,8390,8353,8444,8510,8597,8651,8555,8510,8455,8409,8388,8579,8616,8477,8393,8230,8071,8019,7986,7988,7986,7905,7613,7427,7107,7007,7066,7102,7012,6905,6853,6804,6627,6520,6538,6604,6709,6727,6832,6991,7184,7126,7135,7083,7108,7125
Batteries,-2,35,24,-1,-4,-1,-1,-29,-59,-65,-52,-34,-12,-12,-6,-41,-58,-68,-93,-93,-89,-32,5,-1,-20,-43,-37,-55,-57,-5,0,0,0,0,-1,-7,-1,-2,0,-1,0,0,-1,1,12,22,-1,-28,-35,-8,7,0,-11,-34,-58,-10,0,-1,6,-10,-67,-16,-1,4,2,46,35,-1,-1,-4,-3,-42,-75,-11,3,9,-55,7,31,10,-65,-27,-23,-51,-51,20,66,46,25,10,-48,-9,-42,-60,-6,18,-48,-70,-29,-64,-15,-27,-64,-63,-78,-45,-71,-74,-21,58,115,93,32,-17,-104,-104,-50,1,64,-2,-66,-62,-63,-39,-39,-17,-3,36,67,56,-63,-88,-50,-56,-45,-41,-19,-16,-59,-56,-26,-15,1,44,9,-7,-7,-43,55,-3,-84,-52,-52,-47,-30,-23,-38,-29,-7,-17,-8,-17,50,67,60,46,8,-43,-19,-24,-77,-70,-14,-26,-4,-6,8,2,59,56,-26,-79,-48,31,26,17,-1,22,53,16,-49,-46,-58,-61,-9,-7,8,3,5,-9,11,15,7,1,-1,-12,-3,9,67,84,31,2,2,-14,-71,-85,-52,-6,7,4,-6,26,16,-23,7,7,-3,-7,8,8,-15,-8,8,2,-14,14,-23,3,10,-8,-13,11,-2,-3,25,82,50,23,-23,-64,-45,-20,-6,-5,-4,-4,-4,-3,6,4,1,31,37,13,6,-9,-7,1,1,2,1,7,1,1,-3,-2,13,85,73,74,98,98,98,-25,-87,-93,-93,-61
Nuclear,1393,1394,1403,1419,1428,1436,1445,1455,1468,1478,1489,1500,1508,1515,1517,1519,1520,1521,1522,1521,1520,1521,1520,1519,1517,1518,1519,1518,1519,1519,1521,1537,1544,1545,1546,1546,1545,1545,1546,1543,1543,1543,1544,1544,1545,1545,1544,1545,1545,1542,1543,1541,1541,1540,1540,1538,1539,1539,1541,1543,1543,1542,1541,1541,1540,1539,1539,1540,1539,1539,1539,1540,1540,1540,1541,1541,1540,1540,1540,1541,1541,1541,1542,1540,1541,1542,1541,1542,1542,1542,1541,1541,1542,1542,1541,1541,1542,1542,1541,1542,1541,1541,1541,1541,1542,1542,1542,1542,1543,1544,1542,1542,1544,1543,1543,1544,1544,1543,1543,1543,1543,1543,1544,1543,1543,1543,1542,1543,1543,1543,1543,1543,1543,1544,1543,1543,1543,1544,1544,1544,1543,1544,1542,1543,1544,1544,1544,1543,1545,1548,1548,1550,1549,1549,1548,1549,1550,1548,1548,1549,1549,1549,1549,1547,1543,1542,1542,1546,1548,1549,1548,1548,1548,1547,1548,1547,1549,1549,1549,1548,1550,1549,1547,1547,1546,1545,1546,1546,1548,1548,1548,1548,1547,1546,1546,1544,1544,1542,1541,1539,1536,1537,1536,1536,1537,1536,1536,1536,1537,1537,1537,1536,1536,1537,1536,1537,1537,1538,1539,1539,1539,1539,1539,1538,1537,1537,1536,1536,1535,1533,1532,1532,1531,1531,1531,1532,1531,1533,1533,1534,1534,1533,1533,1532,1534,1531,1534,1533,1534,1534,1533,1533,1533,1534,1534,1534,1536,1535,1536,1537,1536,1537,1537,1535,1534,1531,1536,1534,1534,1532,1533,1533,1533,1533,1533,1533,1533,1532,1532,1531,1532,1532,1533,1534,1535,1536,1536,1535
Coal,19,20,19,19,20,20,20,20,20,20,20,20,20,20,20,21,20,20,20,20,21,20,20,21,23,24,24,22,21,21,21,21,22,22,22,22,22,23,23,22,22,22,22,22,22,22,22,22,22,21,22,22,22,22,21,22,22,22,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,20,20,20,19,20,19,17,19,20,20,20,20,20,20,19,18,20,20,21,20,19,19,19,18,21,21,21,22,21,21,21,22,21,21,20,20,21,21,21,21,21,21,21,22,23,23,23,22,22,21,20,20,20,21,21,21,20,22,22,21,21,21,21,21,20,21,21,21,21,20,20,20,21,21,20,21,20,21,21,21,20,21,21,21,21,21,21,21,21,21,21,21,22,22,25,22,22,23,24,23,21,21,21,21,23,23,22,21,20,21,23,21,20,19,19,20,20,21,22,21,21,23,23,22,22,21,21,22,21,22,21,21,20,21,20,21,20,21,21,22,21,21,21,23,21,21,21,21,20,20,20,21,21,21,22,22,20,21,21,21,21,21,20,21,22,23,22,21,21,21,21,20,20,20,20,19,19,20,21,20,20,20,19,19,20,19,20,21,23,22,23,23,23,23,23,23,23,23,23,23,23,23,23,22,22,22,22,22
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
