11/16/2020,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,2294,2305,2320,2336,2352,2389,2408,2409,2399,2397,2390,2378,2373,2363,2359,2358,2364,2359,2360,2359,2337,2329,2322,2303,2290,2284,2263,2243,2233,2217,2208,2220,2219,2205,2186,2194,2191,2197,2193,2180,2160,2149,2148,2169,2197,2200,2196,2184,2166,2158,2163,2158,2153,2147,2127,2127,2142,2102,2085,2073,2064,2069,2054,2051,2063,2088,2101,2121,2140,2176,2182,2179,2137,2134,2282,2294,2284,2333,2415,2535,2714,2883,3076,3330,3611,3989,4383,4751,5228,5751,6231,6702,7212,7722,8149,8518,8910,9267,9582,9851,10092,10279,10455,10567,10700,10801,10916,10997,11021,10997,11067,11118,11163,11167,11198,11197,11196,11210,11235,11244,11264,11278,11277,11249,11259,11274,11276,11276,11256,11244,11215,11218,11211,11183,11194,11151,11183,11156,11145,11173,11173,11167,11174,11208,11258,11305,11324,11311,11275,11265,11266,11279,11273,11231,11172,11179,11206,11250,11310,11292,11293,11267,11293,11283,11269,11251,11236,11217,11176,11134,11082,11027,11014,10986,10915,10876,10754,10588,10389,10120,9821,9520,9148,8739,8329,7916,7457,6937,6458,5952,5404,4939,4466,3993,3587,3206,2897,2691,2509,2343,2236,2160,2124,2097,2081,2007,1971,1985,1995,1999,1990,1994,1981,1965,1958,1952,1963,1975,1975,2003,2026,2048,2071,2088,2092,2075,2064,2062,2046,2027,1994,1948,1932,1929,1905,1895,1879,1864,1872,1874,1886,1902,1910,1906,1913,1909,1921,1932,1932,1939,1939,1942,1957,1969,1960,1949,1951,1962,1963,2000,2031,2017,2008,2005,1989,1965,1930,1908,1903,1873,1881,1872,1863,1841,1817,1846,1892,1915,1896,1897,1893,1878,1878,1878,1867,1869,1879,1876
Natural gas,7895,7877,8018,7901,7765,7720,7651,7595,7521,7573,7508,7530,7513,7506,7524,7456,7391,7393,7345,7277,7294,7292,7243,7189,7206,7237,7247,7241,7252,7255,7241,7258,7268,7282,7319,7350,7419,7446,7514,7516,7627,7677,7757,7752,7769,7785,7793,7765,7833,7864,7840,7813,7931,7810,7881,8001,8110,8219,8328,8366,8401,8400,8340,8309,8366,8411,8494,8589,8747,8828,8983,9103,9384,9749,9788,9839,9845,9942,9961,9988,9889,9845,9819,9733,9643,9526,9484,9397,9329,9060,8783,8480,8143,7766,7615,7596,7615,7449,7483,7411,7269,7142,7028,6864,6722,6704,6705,6706,6685,6751,6789,6780,6772,6787,6787,6778,6698,6721,6671,6662,6659,6503,6376,6364,6366,6394,6343,6381,6264,6249,6229,6249,6351,6363,6333,6419,6433,6415,6414,6448,6494,6502,6542,6585,6626,6641,6578,6556,6530,6567,6561,6529,6564,6660,6712,6762,6950,7024,6915,6903,6929,6869,6843,6902,6907,6954,7055,7126,7245,7358,7669,7867,8019,8211,8281,8383,8477,8602,8690,8750,8982,9533,9641,9868,10163,10384,10551,10747,11165,11637,12069,12497,12804,13523,13619,13921,14199,14344,14641,14951,15024,15058,15183,15249,15236,15240,15332,15268,15293,15501,15554,15582,15600,15657,15737,15742,15704,15372,15134,14968,14822,14681,14563,14525,14503,14468,14447,14446,14388,13917,13818,13801,13880,13849,13835,13725,13664,13655,13576,13528,13456,13190,13050,13058,13035,13015,12966,12850,12760,12613,12520,12404,12271,12185,12069,11921,11735,11590,11465,11308,11173,11121,11007,10915,11021,11007,10897,10805,10613,10584,10540,10252,10092,10002,9949,9940,9905,9758,9754,9684,9623,9524,9511,9484,9419,9376,9362,9290
Large hydro,1066,1005,980,982,977,978,976,970,972,970,971,965,964,901,883,889,893,896,895,891,889,888,877,888,891,889,888,888,888,888,879,879,877,881,885,884,892,947,961,970,953,954,948,941,933,948,951,950,955,1051,1111,1115,1119,1121,1119,1119,1119,1118,1116,1115,1128,1251,1300,1292,1300,1304,1301,1307,1307,1323,1323,1333,1306,1308,1367,1367,1377,1418,1482,1460,1434,1367,1399,1454,1427,1284,1255,1223,1185,1173,1165,1118,1123,1147,1194,1211,1205,963,837,827,836,827,824,835,825,824,829,828,825,815,806,801,800,786,781,789,794,795,791,793,787,780,808,810,810,814,808,814,819,821,828,830,827,837,837,811,805,805,799,804,805,801,805,804,802,838,860,861,858,868,878,856,847,849,851,862,858,868,882,881,883,882,890,889,891,890,896,893,896,903,882,827,878,915,921,923,926,932,907,921,956,1187,1314,1325,1301,1309,1333,1333,1311,1313,1303,1298,1331,1426,1578,1644,1644,1647,1659,1668,1657,1631,1634,1637,1654,1649,1674,1675,1692,1776,1778,1753,1746,1728,1756,1757,1771,1817,1923,1930,1922,1934,1937,1922,1909,1920,1954,1918,1836,1700,1684,1675,1677,1670,1660,1650,1661,1653,1630,1624,1630,1647,1664,1648,1651,1668,1679,1628,1637,1628,1636,1625,1567,1412,1397,1425,1440,1437,1417,1427,1423,1410,1428,1416,1405,1424,1450,1454,1463,1451,1452,1453,1445,1437,1432,1424,1414,1354,1358,1350,1333,1323,1303,1301,1303,1300,1302,1300
Imports,7847,7839,7729,7717,7774,7720,7679,7711,7736,7706,7685,7557,7525,7568,7549,7515,7523,7518,7475,7475,7515,7490,7489,7514,7551,7409,7375,7412,7378,7362,7376,7330,7310,7291,7225,7187,7118,7079,7054,6984,6857,6835,6816,6779,6817,6817,6765,6785,6812,6814,6812,6872,6825,6993,7007,6990,6952,6906,6869,6950,7092,7224,7404,7602,7646,7674,7693,7720,7718,7699,7667,7676,7599,7702,7820,7872,7949,7952,7905,7960,7888,7862,7774,7582,7330,7406,7237,7034,6833,6620,6381,6186,6077,5864,5521,5131,4594,4653,4428,4282,4136,4096,3963,3950,3936,3868,3711,3546,3467,3524,3389,3239,3186,3195,3148,3078,3067,2958,2919,2861,2816,2937,3027,3023,2986,2916,2926,2896,2831,2853,2904,2892,2797,2908,2888,3034,3058,3050,3066,3099,3095,3094,3115,3090,3020,2962,2992,3105,3172,3224,3220,3232,3338,3348,3403,3379,3355,3286,3296,3344,3396,3535,3655,3704,3737,3820,3885,3899,3933,3943,3795,3807,3751,3540,3610,3620,3692,3839,4066,4372,4481,4112,4187,4433,4792,5167,5403,5714,5928,6133,6301,6599,6879,6568,6792,6806,6955,7068,7021,7035,7093,7276,7360,7502,7651,7847,7947,8157,8244,8072,8019,8044,8045,8002,7888,7829,7763,8132,8161,8097,8135,8173,8185,8166,8124,8071,7942,7884,7909,8387,8500,8484,8328,8241,8239,8269,8247,8206,8231,8209,8159,8308,8343,8276,8164,8094,8018,8062,8095,8122,8135,8149,8197,8305,8388,8412,8481,8502,8527,8595,8520,8477,8461,8406,8254,8168,8208,8164,8191,8212,8117,8230,8243,8249,8275,8169,7906,7887,7764,7687,7646,7667,7657,7610,7548,7524,7469,7387
Batteries,-16,5,13,38,38,37,52,37,5,-39,-8,25,-14,-49,-21,10,-26,-45,1,3,-46,-28,12,-30,-51,-5,-5,-18,-15,-15,-16,-15,-14,-15,-15,-15,-14,-29,-49,-7,21,-18,-30,2,-33,-34,-1,5,-34,-17,8,5,-1,0,-2,-1,0,0,1,1,-9,-4,-1,-3,1,1,-3,-4,4,2,2,1,-21,-12,-20,12,3,-46,-58,-48,-45,-47,-21,-36,11,29,39,9,-39,-62,-62,-63,-43,-8,-39,-29,-22,10,43,21,43,39,43,40,4,-13,-14,18,-7,-66,-33,-13,-40,-84,-100,-102,-87,-67,-61,-12,-15,-14,-16,4,-3,5,-1,11,33,35,38,38,5,9,51,-14,-31,18,20,-26,-9,21,-16,-5,6,-4,22,-1,22,-14,21,28,-22,-14,-1,-14,-56,-34,-13,0,18,39,21,1,38,4,-29,-8,-39,-42,-60,-54,-1,-12,-21,-31,-29,-19,-11,23,43,31,28,22,-20,-24,86,104,65,25,2,-47,-44,-20,-19,-6,2,14,14,-16,8,15,16,17,16,30,36,36,38,36,35,35,52,53,51,49,44,-34,-4,18,30,32,29,29,27,25,24,25,23,14,15,15,16,16,14,9,6,1,1,1,0,-3,-5,-7,-5,-4,-4,-9,-8,-9,-9,-9,-9,-2,-3,-1,15,20,-3,32,55,25,44,45,-2,-47,-46,-65,-46,-48,-70,-34,-15,-30,-58,-55,-25,3,60,53,40,18,-29,-5,2,-14,-28,18
Nuclear,1118,1117,1118,1117,1117,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1117,1118,1117,1118,1117,1117,1117,1117,1118,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1116,1117,1117,1117,1117,1119,1118,1118,1118,1117,1118,1119,1119,1119,1119,1118,1117,1117,1117,1117,1117,1117,1117,1117,1118,1117,1117,1117,1117,1117,1117,1117,1117,1118,1117,1117,1117,1117,1117,1118,1118,1117,1118,1118,1118,1118,1118,1118,1118,1118,1117,1117,1117,1117,1117,1117,1118,1117,1118,1117,1117,1117,1117,1117,1117,1117,1118,1118,1118,1118,1118,1117,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1119,1117,1118,1118,1118,1118,1117,1117,1118,1118,1117,1118,1117,1118,1117,1117,1117,1118,1117,1118,1118,1118,1118,1118,1118,1118,1117,1118,1118,1118,1117,1118,1118,1117,1118,1117,1118,1118,1117,1116,1118,1116,1117,1116,1118,1117,1117,1117,1117,1117,1117,1117,1117,1117,1118,1117,1117,1117,1117,1117,1117,1117,1117,1118,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1116,1117,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1117,1116,1117,1117,1116,1117,1117,1116,1117,1116,1117,1116,1117,1117,1117,1117,1117,1117,1117,1117,1117,1116,1116,1116,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1118,1117,1117,1117,1117,1118,1117,1118,1118,1117,1118,1117,1117,1117,1116,1116,1117,1117,1117,1117,1117,1117,1117,1118,1117,1118,1117,1118,1118,1117,1118,1117,1118,1118,1117
Coal,19,19,19,19,19,19,18,18,19,20,19,19,20,19,19,19,20,20,20,20,20,20,20,19,20,22,22,21,22,21,22,22,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,17,17,16,15,16,15,15,17,17,16,16,16,16,16,17,16,16,16,17,18,18,18,18,19,18,18,18,18,18,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,21,21,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,20,20,20,20,20,20,20,19,19,19,19,19,19,20,19,19,19,19,19,18,19,19,19,19,19,18,19,19,19,19,19,19,19,19,19,19,19,20,19,18,18,18,18,17,18,18,17,18,18,19,19,18,18,18,18,18,18,18,18,18,18,17,17,16,16,16,16,15,16,16,16,16,17,16,16,16,16,16,17,17,18,17,17,17,17,17,17,18,19,19,19,19,18,19,19,19,19,19,19,20,19,20,20,19,19,20,19,19,19,20,19,20,19,20,20,20,20,20,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,20,20,20,20,20,20
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
