6/8/2020,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,4472,4388,4347,4333,4332,4341,4329,4381,4386,4400,4406,4466,4509,4548,4591,4601,4640,4679,4715,4740,4776,4812,4874,4923,4966,4997,5014,5029,5039,5042,5037,5040,5033,5001,4959,4935,4897,4838,4773,4733,4705,4668,4643,4614,4555,4475,4419,4340,4270,4247,4168,4107,4067,4001,3922,3878,3859,3815,3782,3762,3735,3645,3637,3637,3626,3606,3571,3508,3470,3482,3554,3681,3847,4055,4226,4390,4616,4895,5266,5649,6055,6481,6897,7327,7743,8158,8570,9005,9419,9827,10180,10148,10018,10222,10813,11072,10967,10917,10953,11215,11498,11584,11565,11646,11658,11623,11626,11650,11759,12014,12207,12369,12507,12647,12739,12742,12663,12681,12726,12776,12832,12983,12920,12854,13017,13086,13086,13094,13126,13123,13230,13308,13314,13410,13612,13528,13420,13363,13471,13612,13990,14015,13910,13449,13041,12918,13045,13506,13469,13280,13071,12783,12731,12744,12890,13129,13172,12940,12843,12742,12944,13180,13015,12910,13306,13655,13810,13535,13379,13412,13425,13268,13047,13312,13648,13728,13593,13362,13650,13927,13645,13248,12912,12631,12677,12908,13336,13420,13181,12909,12944,12993,12878,12458,12096,11863,11849,12002,12227,12738,12851,12731,12675,12785,12816,12470,12209,12287,12271,12263,12306,12385,12191,11939,11772,11583,11451,11196,11108,10898,10528,10091,9729,9403,9011,8590,8212,7839,7493,7118,6722,6310,5971,5638,5339,5120,4968,4836,4722,4630,4513,4410,4353,4295,4277,4324,4390,4438,4446,4453,4464,4476,4461,4467,4470,4431,4408,4403,4380,4411,4397,4382,4367,4294,4250,4191,4122,4050,4033,3985,3892,3848,3835,3809,3805,3768,3749,3734,3696,3675,3652,3631,3563,3517,3466,3424,3379,3353
Natural gas,3943,3919,3886,3879,3860,3870,3803,3814,3795,3792,3763,3597,3414,3243,3070,2979,2987,3045,3004,2952,2945,2932,2929,2916,2901,2926,2918,2946,2900,2874,2869,2847,2836,2821,2773,2788,2803,2852,2903,2928,2914,2918,2904,2912,2904,2844,2869,2858,2862,2930,2936,2966,2962,2975,2996,3008,2977,3028,3088,3106,3203,3428,3578,3732,3891,3853,3840,3864,3865,3872,3878,3908,3973,4069,4162,4137,4114,4099,4029,4077,3790,3561,3413,3279,3201,2945,2728,2774,2749,2649,2741,2797,2825,2764,2714,2677,2639,2665,2653,2648,2683,2633,2554,2637,2703,2716,2703,2676,2694,2675,2683,2732,2716,2704,2700,2696,2704,2714,2722,2835,2877,3106,3167,3179,3081,3073,3078,3110,3038,3064,3070,3072,3067,3146,3147,3196,3171,3227,3240,3295,3329,3314,3284,3288,3283,3232,3146,3159,3202,3228,3251,3260,3233,3159,3195,3204,3257,3355,3364,3324,3268,3257,3321,3377,3323,3430,3545,3646,3649,3492,3451,3507,3575,3577,3542,3569,3620,3620,3660,3747,3813,3884,3909,3942,3935,3969,4002,4168,4329,4465,4651,4676,4831,4995,5066,5172,5171,5140,5123,5163,5263,5420,5363,5544,5845,6149,6281,6270,6143,6041,6143,6218,6337,6522,6875,6942,7140,7374,7147,7184,7291,7549,7954,8337,8613,8908,9029,9179,9183,9560,9658,9857,9917,10068,10216,10338,10378,10458,10335,10433,10505,10705,10792,10846,10859,10874,10822,10786,10771,10793,10765,10765,10892,11179,11311,11307,11137,10963,10905,10822,10805,10644,10199,10124,10109,9791,9607,9556,9263,9261,9352,9251,9018,9000,8968,8880,8772,8687,8670,8585,8427,8375,8230,8088,7973,7802,7666,7625
Large hydro,1727,1643,1558,1555,1548,1557,1538,1516,1491,1496,1527,1535,1582,1534,1507,1484,1455,1458,1470,1453,1441,1440,1444,1439,1420,1357,1341,1346,1350,1349,1350,1349,1354,1353,1348,1363,1349,1366,1366,1380,1371,1373,1355,1345,1360,1364,1359,1379,1388,1478,1554,1572,1567,1575,1581,1591,1589,1584,1590,1585,1564,1762,1902,1861,1821,1861,1873,1911,1921,1891,1861,1849,1842,1718,1739,1754,1711,1650,1591,1546,1623,1618,1541,1515,1489,1670,1719,1683,1654,1554,1492,1462,1536,1524,1469,1413,1460,1512,1553,1504,1472,1470,1464,1466,1470,1476,1492,1482,1489,1435,1386,1398,1413,1415,1423,1426,1430,1435,1428,1431,1383,1141,1153,1161,1155,1120,1125,1204,1182,1191,1150,1108,1004,969,935,948,974,977,966,961,939,872,936,1014,1124,1220,1285,1173,1097,1091,1127,1214,1300,1250,1182,1163,1107,1103,1147,1252,1357,1256,1248,1280,1242,1173,1108,1101,1181,1294,1240,1181,1270,1300,1268,1247,1291,1357,1345,1295,1274,1328,1384,1444,1488,1491,1430,1335,1331,1398,1450,1391,1398,1455,1550,1574,1598,1606,1599,1531,1458,1515,1609,1570,1552,1563,1610,1658,2038,1960,1980,2070,2117,2145,2103,2115,2194,2743,3040,3137,3168,3139,3146,3220,3280,3308,3393,3444,3500,3688,3784,3938,3872,3997,4092,4130,4155,4256,4228,4216,4207,4223,4252,4225,4236,4231,4209,4224,4220,4153,4098,4095,4023,3792,3700,3713,3672,3649,3631,3610,3575,3530,3386,3446,3361,3288,3128,3078,2983,2919,2927,2922,2848,2811,2799,2760,2683,2556,2436,2423,2392,2405,2409,2400,2396,2388,2388,2371
Imports,9822,9897,9982,9899,9861,9762,9736,9642,9593,9541,9504,9519,9555,9648,9799,9845,9770,9633,9568,9550,9492,9410,9307,9220,9116,9120,9113,9020,8991,8962,8941,8941,8901,8903,8995,8939,8943,8942,8920,8922,8958,8984,9021,9066,9127,9252,9306,9379,9458,9439,9512,9563,9667,9719,9813,9901,9998,10047,10053,10110,10166,10006,9821,9727,9704,9705,9746,9712,9713,9689,9694,9589,9443,9434,9376,9219,9078,8958,8784,8628,8387,8230,8109,7905,7665,7332,7002,6581,6208,6000,5686,5716,5755,5573,5139,4984,5055,5100,5075,4878,4586,4451,4438,4336,4236,4259,4222,4160,4020,3839,3648,3460,3259,3110,2948,2918,2919,2897,2843,2670,2568,2698,2659,2704,2589,2596,2548,2504,2453,2470,2411,2397,2508,2444,2319,2379,2363,2384,2308,2176,1914,1850,1935,2268,2533,2684,2720,2389,2436,2616,2751,2934,2929,3062,3055,2927,2899,3087,3171,3132,2967,2931,3102,3224,3005,2703,2534,2803,2908,2962,2984,3196,3454,3240,2945,2987,3081,3327,3127,2932,3170,3542,3935,4180,4235,4042,3747,3778,3954,4148,3974,4043,4137,4424,4686,4938,5072,5017,4971,4657,4630,4801,4875,4759,4629,4780,4988,5037,4859,5012,5071,4972,5083,5249,5243,5583,5590,5273,5198,5352,5532,5786,5851,5916,6063,6208,6338,6603,6889,6785,6973,7094,7328,7528,7567,7597,7668,7617,7772,7828,7821,7669,7591,7642,7711,7711,7779,7803,7843,7824,7904,7888,7736,7590,7519,7442,7581,7693,7671,7600,7533,7622,8031,8032,7949,8166,8388,8402,8649,8619,8493,8466,8546,8502,8375,8336,8377,8345,8399,8362,8460,8365,8401,8445,8481,8523,8602,8517
Batteries,-17,13,39,39,39,34,28,23,17,4,-9,-4,-9,3,0,-1,-17,-2,-6,-16,-9,-18,-23,-17,-23,-20,-30,-18,-4,-4,-4,-4,-4,-4,-6,1,-6,-2,0,0,2,2,1,-6,0,0,-1,0,0,7,10,10,10,10,10,15,12,9,10,10,-23,23,23,-1,1,-5,1,18,22,-6,-6,-8,6,24,25,31,32,21,-27,-29,27,21,11,-5,7,0,-4,-5,-7,-19,-33,-30,-8,-22,-40,-40,-23,-34,-30,-42,-42,-45,-45,-49,-51,-49,-42,-41,-42,-54,-66,-50,-65,-65,-65,-65,-64,-64,-64,-67,-75,-33,-13,-2,-24,-26,-10,-5,-11,-11,-14,-26,-27,-63,-90,-62,-62,-62,-62,-99,-118,-28,-66,-52,-21,-10,-49,-107,-107,-91,-49,-39,-4,-34,-39,-47,-62,-45,-22,5,11,-27,-21,3,-15,-45,-46,-18,35,-3,-3,3,2,-1,-5,-3,-3,14,-9,-12,-8,-2,1,32,48,48,2,-34,-2,19,33,3,0,10,27,21,56,59,63,-3,-23,0,-5,4,3,14,19,17,6,14,3,8,27,36,10,14,13,-19,-30,-20,-4,-3,-3,-3,23,41,41,48,42,49,58,62,61,66,59,73,74,73,62,60,60,65,68,67,55,54,50,50,51,49,43,43,42,33,30,30,29,22,25,15,6,5,14,16,4,60,50,61,43,38,25,11,17,17,17,13,18,25,28,16,19,20,20,15,20,20,13,5
Nuclear,2276,2275,2276,2275,2275,2275,2275,2276,2276,2276,2275,2275,2276,2276,2275,2276,2275,2275,2275,2275,2274,2275,2275,2276,2276,2275,2275,2275,2275,2275,2277,2276,2276,2276,2276,2276,2276,2276,2277,2277,2276,2277,2277,2276,2276,2276,2276,2277,2276,2276,2276,2276,2276,2275,2275,2275,2276,2276,2276,2275,2275,2276,2274,2275,2275,2276,2275,2275,2275,2276,2275,2276,2276,2275,2275,2274,2275,2276,2275,2276,2276,2276,2276,2277,2277,2277,2277,2277,2277,2277,2277,2277,2276,2276,2277,2277,2276,2276,2277,2276,2276,2277,2276,2277,2277,2276,2277,2276,2276,2277,2277,2277,2276,2277,2277,2277,2276,2278,2277,2278,2277,2278,2277,2277,2279,2278,2279,2278,2278,2277,2278,2278,2277,2278,2277,2278,2277,2277,2276,2277,2277,2277,2277,2276,2277,2276,2277,2276,2276,2277,2276,2275,2276,2275,2275,2275,2274,2274,2273,2274,2272,2274,2274,2274,2274,2274,2274,2273,2275,2274,2274,2275,2275,2275,2275,2276,2276,2276,2276,2277,2276,2276,2276,2276,2277,2276,2276,2276,2277,2275,2275,2276,2275,2276,2275,2275,2275,2275,2275,2276,2277,2276,2277,2276,2277,2275,2277,2276,2276,2276,2276,2276,2276,2276,2276,2277,2276,2276,2276,2276,2276,2277,2277,2277,2277,2278,2277,2277,2276,2277,2277,2278,2277,2277,2277,2277,2277,2277,2278,2277,2277,2277,2278,2277,2276,2278,2277,2278,2278,2279,2278,2278,2279,2279,2279,2278,2279,2277,2278,2278,2278,2277,2278,2277,2278,2276,2276,2276,2277,2277,2277,2277,2277,2276,2276,2276,2277,2276,2276,2276,2276,2276,2276,2275,2276,2276,2275,2276
Coal,18,18,18,19,19,19,19,19,19,18,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,18,18,18,18,18,19,18,19,19,19,19,20,20,21,22,21,21,20,20,21,20,20,20,21,21,20,20,20,20,20,20,20,21,21,21,20,20,19,19,20,20,19,19,20,20,19,19,19,19,20,20,20,19,19,20,19,19,19,19,19,18,19,19,19,19,19,19,19,18,18,18,19,19,19,19,19,19,19,19,19,19,19,20,19,19,19,18,19,18,19,18,17,17,17,18,18,17,17,17,17,17,17,17,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,17,16,16,17,17,17,17,17,17,17,16,16,17,17,17,17,17,16,17,17,17,17,17,16,16,17,18,17,17,17,17,17,18,17,17,17,17,18,18,17,17,17,18,18,18,16,16,16,17,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,17,17,17,17,17,17,16,16,17,17,16,16,17,16,17,16,17,17,17,18,18,18,18,17,16,16,16,16,16,17,16,17,17,17,17,17,17,18,17,16,16,17,17,18,18,17,18,18,18,17,17,18,17
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
