7/22/2019,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,5150,5156,5158,5193,5224,5218,5193,5107,5035,4993,4973,4924,4883,4854,4854,4837,4845,4840,4824,4822,4796,4777,4745,4743,4754,4764,4756,4758,4743,4732,4705,4702,4675,4632,4614,4573,4544,4513,4483,4475,4482,4486,4461,4446,4470,4504,4528,4553,4582,4593,4627,4634,4587,4530,4496,4479,4449,4412,4379,4347,4308,4226,4176,4126,4086,4010,3942,3908,3882,3862,3847,3839,3833,3818,3872,3976,4155,4379,4604,4846,5128,5404,5688,5978,6274,6618,6984,7354,7716,8106,8492,8897,9246,9663,9990,10280,10588,10874,11210,11423,11588,11674,11802,11909,12015,12113,12181,12210,12194,12368,12462,12517,12534,12607,12715,12762,12798,12819,12810,12824,12890,12959,12989,13044,13115,13197,13236,13252,13272,13293,13299,13342,13284,13326,13409,13436,13379,13365,13409,13459,13494,13442,13430,13431,13357,13271,13436,13497,13466,13473,13515,13505,13506,13528,13527,13492,13572,13583,13525,13546,13496,13507,13495,13553,13434,13406,13432,13539,13530,13511,13501,13506,13477,13503,13439,13402,13242,13271,13405,13546,13500,13530,13522,13451,13186,13051,12960,12901,12875,12869,12692,12340,12357,12156,12075,12164,12022,11943,11879,11807,11684,11385,11384,11380,11280,11269,11283,10923,10830,11026,10834,10679,10728,10411,10211,9838,9563,9207,8924,8539,8274,7984,7743,7368,7063,6836,6533,6205,5892,5649,5375,5054,4817,4601,4519,4439,4368,4326,4300,4245,4213,4238,4284,4343,4398,4482,4560,4640,4682,4716,4787,4815,4810,4805,4821,4810,4803,4785,4763,4712,4692,4751,4749,4784,4811,4793,4772,4738,4740,4655,4534,4450,4420,4389,4329,4264,4196,4149,4169,4223,4256,4274,4248,4250,4269,4326,4341,4371
Natural gas,7816,7689,7596,7614,7584,7581,7553,7608,7525,7449,7321,7193,7173,7250,7278,7169,6890,6608,6456,6489,6771,6795,6723,6712,6700,6667,6645,6570,6533,6499,6468,6457,6472,6416,6357,6285,6222,6198,6066,6029,6002,6010,5979,5978,5957,5947,5913,5873,5893,5933,5906,5768,5741,5723,5854,5905,5895,5847,5866,5857,5828,5758,5691,5669,5715,5737,5754,5728,5726,5749,5745,5656,5567,5468,5401,5418,5327,5277,5302,5338,5513,5607,5471,5321,5336,5051,4958,4980,4942,4834,4643,4572,4668,4588,4557,4529,4505,4354,4386,4349,4276,4203,4186,4233,4226,4202,4194,4203,4246,4268,4378,4468,4303,4169,4182,4236,4310,4298,4300,4291,4275,4325,4348,4329,4344,4270,4276,4299,4292,4350,4440,4519,4531,4641,4724,4743,4504,4455,4594,4746,4779,4801,4782,4823,4857,5095,5057,5225,5064,5003,5024,5088,5134,5129,5217,5254,5364,5317,5459,5673,5970,6010,6033,6065,6154,6303,6469,6494,6667,6854,6981,7077,7098,7143,7342,7418,7644,7666,7680,7652,7748,8320,8544,8711,9029,9101,9301,9401,9579,9684,9988,10311,10401,10775,10825,10989,11246,11411,11552,11818,11910,12027,12225,12360,12568,12675,12557,12720,12891,13046,13267,13322,13460,13863,14033,14174,14160,14158,14170,14375,14755,14940,15009,15166,15198,15266,15385,15530,15459,15223,14976,15017,14894,14813,14740,14726,14721,14769,14743,14748,14706,14501,14037,14151,14028,13946,13859,13674,13469,13356,13218,13159,13123,13176,13260,13275,13158,13069,12955,12817,12768,12521,12378,12258,12383,12575,12702,12615,12607,12647,12589,12420,12415,12250,12022,11822,11672,11678,11640,11477,11342,11221,11159,11069,10937,10808,10629,10502
Large hydro,3552,3514,3388,3350,3338,3332,3337,3331,3322,3312,3310,3324,3345,3372,3432,3443,3459,3467,3471,3345,3159,3148,3145,3125,3086,2982,2959,2958,2944,2944,2938,2928,2927,2915,2907,2919,2919,2909,2899,2897,2886,2883,2879,2889,2886,2883,2876,2874,2867,2881,2887,2834,2828,2837,2874,2872,2881,2869,2866,2871,2895,3001,3089,3134,3126,3128,3146,3161,3148,3153,3147,3110,2935,2727,2633,2605,2596,2600,2598,2578,2286,2266,2255,2247,2207,2082,1990,1962,1913,1930,1955,1766,1674,1630,1636,1626,1571,1435,1366,1350,1440,1430,1402,1404,1414,1405,1397,1403,1446,1408,1367,1369,1631,1662,1656,1649,1650,1662,1659,1658,1622,1546,1514,1530,1554,1577,1609,1623,1606,1595,1575,1579,1636,1744,1780,1803,2143,2148,2148,2142,2151,2166,2167,2170,2184,2270,2294,2382,2689,2748,2803,2813,2813,2808,2797,2810,2789,2700,2661,2674,2733,2847,2918,2923,2949,2937,2930,2946,3007,3073,3108,3123,3129,3135,3155,3200,3232,3293,3331,3357,3291,3260,3277,3275,3287,3300,3314,3317,3298,3310,3344,3360,3366,3525,3610,3680,3676,3580,3558,3650,3804,3828,3911,3912,3891,3956,4125,4184,4171,4159,4199,4228,4219,4250,4267,4320,4366,4461,4573,4649,4656,4681,4691,4800,4879,4898,4871,4929,4950,5091,5200,5227,5224,5212,5193,5214,5157,5140,5143,5156,5147,5132,5104,5099,5074,5062,4938,4882,4871,4898,4818,4828,4862,4872,4941,5035,5081,5046,4948,4829,4737,4663,4609,4549,4476,4220,4264,4221,4011,3939,3822,3678,3628,3627,3620,3639,3587,3463,3406,3365,3336,3309,3293,3289,3292,3288,3259,3263
Imports,6628,6674,6762,6670,6533,6401,6267,6210,6223,6200,6216,6210,6142,6121,6019,6023,6094,6116,6225,6237,6315,6279,6301,6242,6190,6186,6212,6186,6155,6155,6175,6156,6133,6159,6149,6207,6197,6284,6411,6406,6397,6324,6283,6258,6236,6209,6159,6129,6131,6134,6118,6262,6284,6365,6271,6265,6284,6272,6314,6338,6400,6520,6595,6645,6703,6764,6798,6816,6828,6814,6760,6838,6952,7307,7397,7339,7210,7029,6719,6471,6483,6297,6148,6058,5839,5891,5886,5620,5469,5198,4909,4802,4696,4511,4269,4046,3892,3895,3786,3705,3348,3277,3212,3125,3038,3016,2946,2947,2899,2786,2715,2613,2398,2310,2284,2249,2199,2166,2203,2235,2343,2493,2573,2575,2538,2455,2369,2374,2438,2474,2523,2452,2463,2257,2166,2215,1994,1999,1921,1852,1861,1950,2056,2113,2263,2226,2116,2077,1908,1878,1879,1939,1995,2085,2161,2275,2262,2489,2576,2488,2415,2452,2443,2442,2525,2546,2475,2570,2631,2466,2491,2552,2696,2793,2803,2873,2937,2992,3058,3191,3360,2971,2843,2941,2978,3121,3047,3030,3076,3086,3098,3288,3391,3366,3478,3397,3362,3390,3479,3381,3367,3486,3395,3449,3531,3543,3652,3948,4021,3826,3874,3968,3866,3809,3815,4076,4395,4679,4951,5143,5047,5161,5345,5537,5623,5686,5909,6042,6316,6694,7035,7229,7453,7670,7835,7858,7844,7847,7875,7831,7826,7919,8176,8010,8144,8299,8428,8704,8811,8712,8734,8729,8522,8456,8267,7997,7952,7969,8054,8165,8195,8206,8172,7992,7563,7268,6912,6781,6739,6651,6643,6808,6713,6716,6812,6846,6855,6752,6652,6572,6540,6440,6355,6268,6289,6234,6221,6120
Batteries,-2,23,18,-10,-9,8,5,12,2,-4,-3,-2,-1,-1,-1,-2,-2,-2,-1,-1,-3,-29,-30,-23,-3,-1,-3,4,5,7,3,-1,-1,-1,-1,-1,-3,15,-10,-2,-2,-2,-1,-1,-3,-3,-1,-1,-2,-1,-1,20,34,35,-16,-21,-20,-1,-1,0,0,26,30,8,-10,-21,-14,2,2,2,2,2,-6,12,4,-15,-23,-16,-13,-5,-5,-7,-11,-22,-28,0,4,-28,-70,-74,-28,-7,-9,-76,-80,-63,-82,-96,-101,-82,2,5,1,1,1,1,1,1,16,6,-2,-2,-46,-11,-44,-50,-31,-16,-9,-7,-46,-93,-84,-74,-46,-18,-21,-27,-40,-21,-46,-36,7,-9,-35,-12,-1,0,0,-18,0,0,0,0,0,44,23,-9,-5,-13,-36,-65,-28,-57,-25,-46,-52,-55,5,0,-18,-2,-1,0,14,7,0,-29,-11,-5,-13,-5,-1,-1,-1,16,61,69,-28,-58,-55,-34,-4,1,0,0,54,64,21,-1,-1,19,10,-1,0,-31,-36,-10,0,-5,10,73,35,-1,-1,-9,-39,-8,5,-17,-9,9,-18,-9,-17,3,16,25,22,13,12,16,19,28,49,56,32,92,71,95,52,33,43,21,-43,-48,-46,-43,-43,-37,-35,-29,-11,-37,-37,-43,-47,-21,45,14,-13,12,39,0,16,2,2,-12,-35,-46,-44,-58,-58,-58,-53,-3,15,20,11,10,9,9,9,6,4,20,34,90,70,33,36,34,28,28,28,28,28,28
Nuclear,2267,2268,2268,2268,2267,2267,2267,2267,2267,2266,2267,2267,2267,2267,2267,2267,2267,2268,2267,2268,2267,2267,2268,2267,2268,2267,2267,2266,2267,2267,2267,2266,2266,2267,2267,2268,2266,2267,2268,2266,2266,2266,2267,2266,2266,2267,2266,2266,2266,2267,2267,2266,2266,2266,2266,2265,2266,2264,2266,2267,2267,2266,2266,2267,2266,2267,2267,2267,2267,2266,2266,2266,2267,2266,2266,2266,2266,2267,2267,2267,2266,2267,2266,2267,2267,2267,2266,2268,2267,2267,2267,2266,2266,2265,2266,2265,2265,2264,2263,2262,2261,2260,2260,2259,2259,2258,2259,2258,2259,2258,2258,2259,2260,2259,2260,2260,2260,2260,2260,2260,2259,2260,2260,2260,2260,2260,2260,2260,2261,2261,2260,2260,2260,2261,2260,2260,2261,2261,2261,2261,2260,2260,2262,2260,2261,2261,2262,2262,2263,2262,2263,2263,2264,2264,2264,2263,2265,2264,2264,2264,2266,2265,2264,2265,2266,2265,2265,2266,2265,2264,2265,2264,2265,2265,2265,2265,2265,2266,2265,2264,2265,2265,2266,2265,2265,2266,2266,2266,2265,2267,2266,2267,2267,2266,2268,2266,2267,2266,2266,2267,2267,2267,2266,2266,2267,2267,2267,2267,2267,2267,2267,2267,2268,2268,2268,2268,2268,2267,2267,2267,2268,2268,2269,2269,2268,2269,2268,2269,2268,2268,2268,2268,2269,2268,2267,2268,2268,2268,2268,2268,2268,2269,2267,2267,2267,2267,2266,2266,2265,2265,2264,2264,2264,2264,2264,2265,2264,2264,2264,2264,2263,2264,2264,2264,2265,2263,2264,2264,2265,2265,2264,2264,2264,2264,2264,2265,2265,2265,2265,2264,2264,2266,2265,2265,2265,2265,2265,2265
Coal,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,8,9,7,8,8,8,8,9,9,9,9,9,9,8,8,8,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,8,8,8,7,7,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
