2/5/2019,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,3425,3452,3453,3436,3406,3366,3373,3394,3468,3525,3549,3547,3575,3606,3606,3583,3577,3567,3548,3510,3512,3505,3480,3481,3448,3443,3418,3398,3395,3432,3428,3487,3513,3513,3527,3532,3566,3578,3596,3617,3683,3711,3770,3802,3766,3758,3729,3720,3720,3671,3652,3629,3642,3689,3742,3771,3793,3810,3917,4018,4110,4185,4257,4332,4343,4348,4391,4483,4573,4638,4684,4710,4761,4774,4737,4740,4734,4849,5060,5076,4957,4931,4975,5007,5135,5182,5189,5278,5313,5421,5522,5729,6054,6217,6370,6414,6682,6745,6947,7059,7358,7618,7837,7881,7984,7977,8179,8244,8388,8463,8729,8813,9006,9416,9656,9862,10027,9863,9730,9665,9619,9535,9870,9998,9983,9957,9852,9752,9715,9868,9541,9410,9215,9103,9333,9608,9682,9666,9324,9180,9146,9358,9644,9730,10401,10623,10612,10517,10637,10574,10694,10396,10402,10666,10569,10328,10032,9630,9485,9670,9588,9797,9897,9804,9745,9805,9794,10084,10168,10066,10233,10203,10169,9982,9863,9777,9776,9811,9665,9466,9434,9434,9724,9919,9965,9877,9728,9370,9191,8911,8357,8011,7628,7120,6883,6745,6567,6351,6080,5786,5501,5290,5095,4879,4765,4773,4753,4629,4424,4303,4244,4227,4238,4221,4132,4141,4186,4224,4240,4277,4312,4301,4271,4235,4205,4172,4171,4206,4205,4190,4171,4174,4165,4134,4121,4098,4078,4063,4007,4000,3996,4015,4033,4112,4211,4214,4188,4142,4110,4095,4147,4151,4160,4121,4059,3985,3995,3965,3887,3773,3687,3604,3571,3572,3588,3539,3514,3527,3525,3508,3484,3457,3417,3336,3300,3273,3282,3310,3325,3358,3420,3503,3602,3652,3694,3763,3792,3749
Natural gas,8226,8136,8145,7907,7831,7842,7848,7950,7995,7942,7812,7712,7649,7509,7473,7334,7271,7300,7290,7279,7271,7309,7341,7335,7264,7217,7235,7150,7149,7070,7053,7065,7113,7088,7053,7059,7073,7103,7090,7058,7042,7013,6982,7004,7026,7042,7103,7132,7165,7195,7200,7221,7209,7347,7405,7469,7512,7620,7717,7833,7865,8101,8000,7857,7822,7900,8188,8399,8649,8696,8447,8249,8243,8387,8261,8306,8335,8526,8682,8744,8740,8693,8726,8897,8990,9019,9065,9022,9041,9075,9067,8815,8513,8612,8591,8606,8652,8741,8908,8900,8883,8832,8817,8752,8617,8604,8544,8573,8616,8667,8674,8582,8460,8392,8382,8271,8206,8111,7911,7873,7889,7984,8148,8277,8289,8158,8210,8277,8273,8302,8514,8504,8717,8845,9096,9024,8808,8727,8934,8957,9068,8979,8903,8854,8674,8506,8266,8386,8326,8329,8075,8318,8259,8165,8059,8323,8432,8595,8598,8452,8628,8560,8543,8559,8479,8638,8541,8447,8524,8572,8458,8447,8318,8260,8195,8254,8302,8203,8372,8278,8303,8516,8380,8346,8417,8658,8715,8908,8901,8918,8981,8980,9118,9132,9142,9357,9559,9673,10061,10741,10915,11171,11405,11554,11665,11513,11291,11275,11366,11639,11986,12384,12536,12685,12740,13018,13112,13231,13045,13048,13214,13203,13231,13257,13208,13148,13144,13081,13080,13013,12819,12781,12528,12316,12312,12196,12146,12104,12039,11983,12009,11952,11961,11950,11820,11794,11800,11688,11589,11572,11490,11452,11427,11312,11284,11239,11141,11185,11139,11062,10914,10667,10413,10384,10337,10016,9783,9666,9694,9579,9522,9304,9196,9260,9364,9362,9301,9365,9347,9304,9314,9296,9264,9050,8923,8934,8936,8918
Large hydro,1528,1500,1492,1535,1562,1552,1516,1458,1436,1424,1448,1448,1422,1386,1370,1372,1371,1368,1371,1375,1371,1362,1358,1362,1344,1308,1292,1289,1295,1311,1318,1334,1327,1344,1364,1363,1349,1370,1380,1356,1339,1390,1412,1411,1414,1412,1405,1423,1432,1530,1566,1553,1559,1539,1504,1531,1568,1536,1480,1434,1399,1611,1847,1939,1992,2013,1978,1940,1963,1959,2278,2317,2352,2571,2677,2704,2713,2683,2522,2544,2742,2814,2796,2760,2787,2808,2821,2823,2826,2828,2811,2816,2812,2772,2754,2746,2645,2413,2335,2373,2378,2365,2340,2350,2352,2370,2364,2354,2332,2279,2233,2234,2227,2206,2164,2177,2187,2218,2337,2374,2347,2104,1997,1962,1969,1980,2003,2176,2245,2198,2233,2235,2212,2083,1844,1729,1555,1605,1664,1733,1797,1739,1720,1718,1605,1569,1630,1782,1843,1970,1980,2043,2044,1903,1669,1821,2020,2140,2176,2080,2083,2057,1930,1946,1881,1899,1902,1971,1999,1964,2045,2038,1990,2056,2062,2121,2157,2061,1923,1978,2021,2107,2076,2001,2002,2122,2168,2215,2216,2198,2161,2151,2221,2408,2550,2555,2569,2547,2539,2476,2563,2559,2535,2565,2681,2877,2986,3151,3313,3351,3344,3290,3332,3534,3550,3603,3508,3380,3422,3408,3370,3325,3343,3344,3393,3306,3264,3155,3003,2981,3004,3119,3295,3348,3382,3371,3375,3376,3388,3380,3385,3269,3122,3077,3029,3033,3036,3032,3047,3024,2961,2967,2979,2921,2891,2859,2710,2710,2735,2748,2772,2755,2747,2733,2705,2550,2502,2487,2461,2473,2445,2480,2486,2315,2143,2156,2135,2088,2076,2054,2042,2028,1989,1948,1964,1947,1940,1934
Imports,5090,5119,5088,5196,5234,5173,5125,5038,4959,4936,4940,4954,4963,5035,5058,5179,5177,5145,5138,5120,5100,5061,5049,5007,5104,5193,5191,5282,5257,5261,5292,5188,5136,5118,5095,5093,5063,5042,4991,5018,5010,4978,4935,4900,4915,4929,4932,4950,4973,5012,5070,5178,5251,5129,5064,5051,4983,4973,4899,4841,4882,4767,4823,4895,4948,4904,4777,4748,4632,4599,4476,4647,4755,4882,5240,5386,5529,5435,5403,5599,5789,5811,5806,5789,5753,5854,5954,5969,5979,5920,5803,5850,5854,5696,5519,5429,5234,5316,5160,4975,4751,4595,4466,4347,4298,4372,4143,4087,3944,3921,3868,3868,3862,3661,3466,3268,3244,3337,3533,3625,3544,3730,3642,3445,3435,3506,3455,3303,3224,3073,3175,3104,3022,3238,3168,3159,3405,3454,3552,3641,3518,3447,3431,3302,2909,2730,2625,2327,2193,2211,2178,2317,2290,2270,2674,2530,2448,2538,2553,2539,2647,2561,2557,2526,2533,2408,2369,2189,1920,1832,1652,1626,1852,2093,2130,2129,2169,2319,2503,2671,2659,2497,2399,2352,2234,2050,2030,2144,2382,2625,3262,3662,3960,4326,4484,4569,4613,4812,4847,4654,4717,4826,4927,5123,5212,5280,5585,5732,5873,5860,5843,5789,5892,5848,5910,5802,5794,5827,5986,5935,5806,5885,5891,5869,5902,5959,6010,6077,6204,6340,6450,6377,6439,6499,6468,6542,6591,6579,6641,6606,6544,6626,6663,6631,6652,6592,6552,6599,6673,6647,6606,6542,6416,6461,6477,6455,6464,6405,6389,6436,6517,6652,6799,6699,6572,6876,7027,6976,6890,6813,6721,6761,6745,6856,7042,6864,6793,6599,6461,6383,6197,6015,5861,5869,5833,5723,5563,5487
Batteries,-4,-3,24,51,30,33,32,-3,-8,-31,-3,-4,-18,-11,-16,-16,-16,-15,-8,4,-4,-16,-15,-14,-17,-7,-12,-16,-1,-1,-12,-9,-30,-27,-16,-21,-34,-20,-12,-6,-13,-8,-8,-3,-2,-2,-1,-3,-2,-1,-3,-4,-8,-2,-3,-5,-1,-2,-3,-3,-4,-30,-43,-30,35,32,-4,-33,-33,-23,-18,-31,-31,-37,-32,-30,-21,-9,-6,-3,24,52,56,30,5,12,49,19,29,29,-1,23,25,-1,-1,2,18,17,0,10,-3,-52,-65,-36,-19,7,-18,-42,-56,-32,-3,4,4,-65,-99,-73,-45,-20,50,50,48,51,25,-54,-24,7,32,43,22,-47,16,26,-53,-25,-50,-80,-55,9,71,76,60,-6,-77,-48,-77,-78,47,64,13,-1,-2,19,4,-86,-47,40,54,62,52,-47,-63,-72,-76,-65,-45,-27,14,-6,-40,7,20,-11,5,75,105,87,71,31,66,64,33,-56,-102,-102,-80,-41,-43,20,6,21,73,72,77,42,-42,-66,-58,-66,-61,-47,-51,-52,-43,-39,-29,-6,-18,28,86,83,65,65,69,77,85,52,-1,-51,13,-20,-20,-12,-12,-9,10,49,48,43,36,23,29,24,37,29,29,29,29,29,59,38,26,17,14,11,11,14,15,24,30,18,14,14,15,12,12,15,28,19,19,36,40,43,32,35,19,42,47,38,34,32,2,28,38,-3,28,23,40,45,53,41,31,6,-33,-7,0,-11,-7,-8
Nuclear,2260,2260,2259,2259,2259,2259,2259,2259,2259,2259,2258,2258,2259,2259,2257,2259,2258,2259,2259,2258,2259,2258,2259,2258,2259,2258,2258,2259,2259,2258,2257,2259,2259,2259,2259,2259,2260,2260,2259,2260,2261,2260,2260,2260,2260,2260,2261,2261,2260,2260,2259,2260,2259,2260,2260,2260,2259,2260,2259,2261,2261,2260,2259,2261,2260,2260,2259,2260,2260,2261,2261,2261,2262,2261,2262,2261,2261,2262,2261,2262,2261,2262,2262,2262,2262,2261,2260,2261,2261,2261,2261,2262,2261,2262,2261,2261,2262,2262,2262,2261,2263,2262,2261,2262,2262,2261,2261,2260,2261,2261,2261,2261,2261,2260,2262,2261,2261,2261,2261,2261,2260,2260,2261,2260,2260,2261,2262,2261,2262,2261,2260,2261,2261,2260,2261,2260,2260,2259,2259,2259,2259,2259,2260,2259,2259,2259,2259,2258,2259,2258,2258,2258,2258,2258,2258,2259,2258,2258,2257,2258,2258,2259,2258,2259,2259,2258,2258,2258,2258,2259,2258,2258,2258,2258,2257,2258,2258,2257,2257,2257,2255,2256,2255,2257,2255,2255,2256,2255,2256,2255,2256,2256,2255,2255,2256,2255,2255,2256,2256,2255,2258,2257,2256,2258,2258,2258,2258,2258,2257,2258,2257,2258,2257,2258,2258,2258,2259,2258,2257,2258,2258,2258,2257,2257,2258,2258,2258,2258,2258,2257,2257,2256,2257,2257,2257,2257,2257,2258,2258,2257,2258,2257,2258,2257,2258,2257,2257,2257,2257,2257,2257,2257,2257,2257,2257,2258,2257,2257,2258,2258,2258,2257,2257,2256,2256,2256,2256,2256,2256,2256,2256,2256,2256,2256,2256,2256,2255,2255,2255,2255,2255,2255,2255,2254,2254,2254,2255,2255
Coal,15,13,14,14,14,15,14,15,16,15,16,13,13,14,14,14,14,14,16,16,14,15,17,18,17,18,18,16,15,14,14,14,13,14,12,13,17,17,17,17,18,18,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,17,17,18,18,18,19,19,19,18,18,19,18,17,18,18,18,18,17,16,15,14,14,15,19,19,18,18,15,16,16,16,16,15,15,16,16,15,16,15,13,13,13,14,14,11,11,11,10,13,13,13,12,10,10,11,10,11,12,12,12,13,12,14,13,14,14,14,15,15,14,15,15,15,16,15,15,16,16,16,16,16,15,15,15,14,21,21,20,20,19,20,19,19,19,20,19,20,19,20,20,19,16,16,15,16,16,16,16,16,16,17,20,24,21,22,22,22,22,22,22,22,21,22,23,23,23,21,20,21,21,21,22,22,21,21,22,22,22,22,22,22,23,22,23,22,22,23,22,23,23,23,22,22,22,22,22,22,22,21,21,21,21,21,22,22,21,20,20,20,21,20,20,20,20,21,22,22,22,22,22,22,22,22,21,21,22,22,22,22,22,22,22,22,22,21,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,22,21,21,22,22,21,21,21,20,22,20,19,20,21,21,21
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
