10/14/2019,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,2579,2582,2580,2577,2574,2562,2552,2542,2529,2523,2517,2513,2514,2521,2525,2532,2531,2527,2521,2516,2508,2512,2524,2538,2542,2539,2544,2539,2494,2495,2497,2485,2469,2452,2443,2437,2425,2421,2417,2411,2405,2410,2401,2392,2385,2372,2362,2361,2355,2355,2346,2342,2340,2337,2333,2332,2333,2328,2311,2308,2298,2285,2270,2254,2234,2218,2220,2220,2211,2213,2223,2237,2253,2260,2255,2244,2236,2220,2219,2220,2214,2211,2213,2223,2265,2337,2447,2593,2781,3019,3299,3616,3993,4385,4776,5200,5635,6080,6533,6979,7430,7902,8371,8802,9200,9606,9930,10218,10461,10683,10874,11064,11233,11363,11408,11400,11395,11485,11624,11617,11435,11685,11756,11869,11911,11967,12106,12229,12265,12250,12274,12265,12237,12280,12341,12401,12398,12380,12359,12345,12348,12321,12305,12332,12359,12367,12322,12309,12332,12324,12343,12338,12327,12332,12337,12346,12350,12335,12337,12345,12348,12368,12355,12373,12372,12376,12406,12395,12377,12377,12388,12424,12405,12392,12368,12336,12306,12267,12254,12218,12158,12063,11962,11851,11776,11690,11594,11494,11419,11374,11297,11171,11012,10863,10681,10503,10271,10003,9737,9384,8863,8476,8114,7685,7242,6812,6349,5929,5508,5088,4682,4303,3946,3583,3334,3136,2942,2803,2691,2612,2544,2492,2489,2454,2432,2429,2440,2449,2459,2480,2506,2539,2571,2612,2672,2726,2793,2846,2902,2953,3013,3067,3117,3178,3232,3282,3332,3403,3473,3540,3601,3670,3741,3775,3812,3836,3834,3845,3838,3799,3778,3754,3759,3750,3748,3754,3800,3828,3814,3795,3775,3756,3747,3732,3715,3685,3679,3690,3731,3766,3831,3881,3911,3935,3956,3985,4013,4034
Natural gas,9214,9134,9105,9007,8895,8886,8780,8679,8666,8669,8671,8642,8603,8536,8481,8453,8341,8273,8255,8195,8078,7917,7881,7815,7797,7762,7730,7715,7697,7709,7711,7718,7694,7679,7668,7663,7658,7648,7632,7589,7579,7592,7597,7617,7612,7608,7613,7613,7614,7650,7670,7674,7682,7696,7660,7664,7657,7665,7668,7675,7683,7731,7611,7551,7542,7512,7489,7478,7463,7463,7485,7490,7474,7494,7449,7491,7501,7557,7632,7692,7727,7722,7726,7697,7677,7675,7758,7816,7791,7878,7760,7606,7360,7125,6898,6537,6285,5729,5602,5500,5146,5038,4748,4485,4432,4356,4492,4525,4319,4175,3925,3737,3683,3579,3469,3484,3493,3479,3426,3390,3410,3235,3248,3265,3173,3192,3193,3196,3209,3204,3184,3186,3190,3193,3159,3134,3145,3169,3178,3193,3183,3123,3151,3127,3130,3129,3087,3088,3078,3076,3067,3071,3067,3073,3112,3125,3124,3138,3149,3201,3192,3166,3182,3219,3211,3286,3282,3332,3418,3486,3521,3552,3320,3176,3253,3309,3403,3503,3622,3700,3809,3944,4045,4107,4199,4284,4392,4610,4804,4917,4984,5202,5464,5677,5720,6024,6242,6382,6651,6956,7290,7549,7466,7515,7615,8064,8351,8568,8961,9218,9555,10076,10223,10349,10688,10851,10945,11017,11075,11182,11332,11427,11433,11509,11643,11834,11825,11849,11897,11945,11979,12041,12055,12082,12082,11980,11810,11774,11685,11707,11655,11506,11462,11424,11258,11237,11230,11037,10986,10980,10863,10710,10642,10270,10333,10315,10059,9815,9771,9717,9593,9317,9119,9100,9133,8792,8551,8415,8350,8425,8456,8443,8393,8323,8319,8293,8256,8211,8154,8167,7987,7824,7635,7598,7519,7521,7376,7312
Large hydro,2364,2262,2230,2253,2253,2273,2273,2195,2206,2181,2191,2194,2178,2132,2117,2121,2144,2116,2114,2128,2129,2122,2118,2109,2092,2025,2007,2014,2011,1997,1979,1997,2005,2004,2003,1997,2001,1964,1947,1942,1924,1917,1922,1922,1932,1930,1930,1930,1935,1944,1946,1940,1948,1968,2007,2003,2005,1998,1997,2008,2014,2148,2212,2252,2307,2330,2334,2340,2343,2350,2339,2333,2296,2322,2321,2317,2361,2375,2381,2383,2385,2375,2380,2358,2285,2085,2023,1928,1723,1822,1821,1831,1800,1748,1710,1670,1637,1691,1711,1683,1541,1525,1442,1441,1469,1396,1104,1118,1103,1067,1072,1089,1055,993,972,1016,1057,1053,1069,1080,1146,1043,966,986,939,926,903,896,902,908,908,909,908,922,919,896,897,914,927,959,960,926,921,908,906,978,1015,1027,1030,1042,1036,1043,1042,1027,1041,1056,1055,1022,1003,1006,1019,1021,1044,1010,973,980,1013,1010,1059,1105,1149,1177,1495,1492,1493,1488,1484,1474,1467,1483,1508,1545,1555,1585,1589,1579,1540,1514,1508,1551,1576,1598,1626,1775,1833,1877,1903,1926,1979,1976,2040,2187,2250,2223,2437,2792,2891,2906,2972,2994,3035,3033,3167,3217,3224,3237,3275,3410,3441,3441,3462,3489,3518,3527,3527,3547,3544,3562,3565,3581,3544,3478,3467,3462,3417,3436,3440,3438,3399,3349,3287,3217,3178,3164,3174,3167,3142,3069,2956,2883,2849,2790,2670,2570,2604,2595,2628,2676,2670,2680,2709,2746,2693,2698,2671,2659,2709,2761,2589,2477,2445,2466,2510,2525,2522,2467,2419,2423,2317,2345,2318,2323,2309,2277,2277,2260,2281,2216
Imports,6413,6518,6558,6492,6481,6442,6427,6554,6478,6423,6350,6291,6259,6318,6345,6293,6306,6376,6357,6328,6374,6487,6486,6494,6461,6520,6562,6505,6505,6479,6431,6379,6351,6325,6291,6265,6244,6265,6285,6315,6337,6299,6256,6218,6187,6170,6147,6134,6112,6114,6111,6102,6093,6070,6043,6063,6054,6077,6091,6066,6077,5990,6039,6119,6104,6117,6157,6177,6239,6259,6284,6317,6425,6511,6637,6676,6632,6612,6566,6545,6572,6586,6583,6609,6642,6780,6725,6662,6698,6358,6152,5992,5879,5788,5667,5673,5598,5691,5544,5399,5238,4957,4953,4767,4417,4199,4194,3998,3883,3858,3933,3894,3809,3839,3930,3850,3724,3618,3486,3428,3562,3461,3457,3336,3323,3255,3098,2956,2888,2835,2821,2784,2812,2760,2733,2719,2736,2736,2697,2670,2635,2735,2763,2778,2797,2752,2766,2771,2791,2810,2806,2812,2884,2896,2888,2850,2899,2908,2974,2982,2988,3022,3053,3090,3254,3269,3259,3264,3237,3150,3119,3105,2925,2999,3012,3074,3164,3215,3228,3242,3225,3240,3287,3410,3467,3566,3656,3727,3782,3759,3826,3784,3720,3679,3775,3730,3799,3997,4042,4215,4432,4637,5113,5634,5951,5684,5714,5992,6022,6291,6411,6349,6603,6824,6800,6914,7063,7074,7187,7258,7218,7316,7364,7437,7514,7414,7536,7547,7526,7438,7367,7331,7281,7168,7118,7155,7163,7109,7108,7016,7024,7093,7032,6930,7008,6998,6931,7000,7017,6984,7056,7079,7114,7397,7277,7219,7428,7459,7380,7352,7368,7466,7557,7503,7383,7578,7644,7504,7531,7481,7396,7243,7147,7030,6911,6889,6892,6757,6737,6590,6547,6560,6563,6534,6490,6395,6344,6307
Batteries,0,-1,39,107,80,72,35,8,20,20,27,31,20,20,20,21,29,1,1,0,0,0,0,-3,0,-10,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,24,30,17,21,16,10,10,10,11,10,4,-11,5,-3,6,7,6,6,11,20,7,4,1,-4,28,18,-14,-13,6,-4,-2,-3,-3,-3,-10,-11,29,-8,-36,-36,-27,-76,-1,-4,-38,-12,-22,-7,-3,7,0,-3,-44,-71,-48,-35,-35,-35,-35,-35,-33,-32,-40,-32,-31,-31,-37,-32,-32,-32,-32,-30,-21,-25,-30,-30,-27,-5,-10,-12,-30,-9,-30,-30,-30,-30,-30,-30,-30,-37,-32,-32,-32,-32,-32,-32,-20,-25,-16,15,13,14,39,-33,-7,1,1,1,-6,-7,-1,-2,-1,-1,-1,-23,-21,-26,-25,-17,-18,-15,7,24,9,1,-5,-8,-3,-11,11,21,-23,-15,-9,-4,24,25,40,58,50,-11,-3,-23,-26,-5,15,31,38,42,15,28,12,4,4,4,-18,-42,-45,-35,-40,-32,-30,-30,-30,-30,-37,-35,-30,-31,-32,-31,-32,-35,-35,-35,-35,-35,-36,-39,-23,-2,-2,-2,0,0,0,1,1,1,1,1,63,58,-8,-15,1,2,1,33,34,35,22,-5,-23,-14,-3,27,5,-8,-6,-1,21,2,-5,-1,-5,-5,-1,1,9,9,2,-2,-4,-12,-5
Nuclear,1134,1134,1133,1133,1133,1134,1133,1133,1133,1134,1134,1133,1134,1133,1133,1133,1133,1133,1133,1133,1134,1133,1134,1133,1134,1134,1134,1133,1132,1133,1133,1134,1133,1134,1133,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1133,1133,1133,1133,1134,1133,1134,1133,1133,1134,1133,1134,1134,1134,1133,1134,1134,1134,1133,1134,1134,1133,1134,1134,1134,1133,1134,1134,1133,1134,1134,1133,1134,1134,1134,1134,1133,1133,1134,1134,1134,1134,1134,1134,1134,1134,1134,1133,1134,1133,1133,1134,1134,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1134,1134,1134,1134,1133,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1133,1134,1134,1133,1133,1134,1134,1133,1132,1133,1133,1133,1133,1132,1132,1133,1133,1133,1133,1133,1132,1132,1133,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1133,1132,1133,1133,1133,1133,1133,1133,1133,1132,1133,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1131,1131,1131,1131,1131,1131,1131,1130,1131,1131,1131,1131,1131,1130,1131,1131,1131,1131,1131,1131,1131,1131,1132,1131,1131,1131,1131,1132,1132,1131,1132,1132,1131,1132,1132,1132,1132,1132,1131,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1134,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1135,1135,1135,1134,1134,1135,1135,1134,1134,1134,1134,1135,1134,1134,1134,1133,1134,1134,1134
Coal,16,17,17,17,17,17,17,18,18,19,19,19,19,19,19,19,19,18,19,19,19,19,19,19,18,18,18,19,19,18,18,19,19,19,19,19,19,19,19,19,18,19,18,18,18,18,18,18,17,13,13,14,13,13,13,13,17,18,18,17,16,16,16,17,17,16,17,18,18,18,18,18,18,18,17,17,18,18,18,18,17,17,18,17,17,17,17,17,17,16,15,16,16,16,16,16,16,15,16,15,16,16,17,17,17,17,17,17,17,18,17,17,17,17,16,16,16,16,16,17,17,16,16,16,16,16,17,17,16,17,16,17,15,16,16,16,16,16,16,15,15,15,15,15,16,15,15,15,15,15,15,16,16,17,16,16,16,16,16,16,16,17,17,16,17,17,16,16,16,16,16,16,16,17,16,17,16,16,16,17,16,16,16,16,16,16,17,16,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,15,16,16,16,17,17,17,17,17,17,16,16,17,17,17,16,17,16,16,16,15,15,15,15,16,15,15,15,15,16,16,15,15,15,15,16,16,16,16,16,16,17,16,15,16,16,16,16,16,17,17,17,17,17,17,17,18,17,18,17,17,16,15,14,14,14,15,15,15,15,15,15,15,16,16,16,16,17,16,16,17,17,17,17
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
