12/14/2019,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,3526,3508,3460,3411,3378,3351,3369,3411,3413,3442,3500,3489,3441,3461,3464,3508,3527,3557,3581,3579,3581,3594,3625,3615,3629,3674,3740,3747,3725,3725,3723,3695,3619,3593,3564,3529,3519,3510,3503,3475,3478,3471,3458,3459,3418,3408,3393,3404,3389,3357,3316,3294,3254,3203,3184,3089,3062,3095,3141,3166,3216,3297,3370,3401,3419,3410,3413,3400,3413,3367,3342,3325,3349,3401,3451,3435,3461,3458,3419,3383,3351,3299,3331,3415,3544,3698,3829,3964,4213,4486,4725,5080,5413,5690,5943,6227,6477,6616,6877,7191,7385,7599,7813,8254,8535,8559,8645,8798,8994,8952,9137,9191,9280,9245,9278,9405,9566,9545,9414,9432,9539,9448,9525,9568,9485,9548,9642,9740,9780,9826,9770,9758,9713,9974,10088,10038,10055,10103,10121,10011,9668,9773,10145,10273,10171,10100,10105,10081,10168,10212,10133,10328,10324,10271,10139,10158,10156,10155,10162,10077,9964,9752,9570,9417,9405,9596,9623,9692,9888,10005,10068,9979,9827,9844,9892,9812,9664,9520,9354,9286,9219,8887,8645,8500,8158,7755,7501,7202,6709,6187,5880,5635,5369,5066,4870,4674,4489,4373,4305,4236,4191,4118,4074,4065,4113,4189,4256,4290,4340,4301,4287,4336,4357,4369,4327,4297,4192,4063,4018,4048,4074,4031,3987,4008,4049,3997,3939,3879,3859,3824,3750,3653,3695,3788,3891,3923,3929,3936,3892,3876,3866,3857,3767,3771,3809,3837,3807,3764,3749,3751,3783,3809,3797,3806,3850,3913,3965,3975,4030,4069,4078,4069,4079,4077,4065,4079,4146,4143,4152,4181,4253,4306,4307,4286,4309,4254,4195,4147,4083,4042,3996,3993,3954,3991,3995,3978,3979,4018
Natural gas,7876,7907,7822,7813,7906,7939,7896,7867,7855,7872,7748,7636,7632,7669,7753,7815,7818,7785,7727,7687,7660,7671,7643,7620,7624,7605,7550,7574,7590,7609,7602,7628,7612,7694,7686,7662,7670,7715,7801,7820,7824,7837,7859,7885,7892,7899,7938,7943,8006,8073,8067,8069,8096,8152,8248,8307,8381,8386,8407,8465,8659,8567,8336,8348,8490,8582,8646,8898,9035,9187,9383,9344,9391,9461,9395,9436,9523,9619,9810,9930,10121,10184,10228,10338,10349,10302,10204,10195,10180,10139,10108,9925,9764,9568,9417,9297,9462,9417,9554,9410,9324,9271,9276,9031,8727,8714,8845,8961,8952,9018,9162,9125,9081,9073,9124,9073,8974,8827,8759,8577,8204,8019,7896,7877,7816,7811,7834,7790,7738,7699,7768,7785,7888,7709,7730,7710,7684,7738,7795,7792,7860,7887,7751,7603,7682,7642,7726,7687,7728,7643,7723,7681,7710,7820,7851,7902,7935,7956,7896,7822,7916,7935,7929,7935,7895,7889,7827,7806,7860,7815,7950,7969,8051,8123,8108,8121,8131,8129,8135,8124,8189,8221,8211,8208,8329,8426,8436,8791,9119,9231,9640,9975,9923,9896,9498,9417,9553,9666,9813,10010,10332,10548,10758,10815,10895,10824,10834,10633,10484,10378,10314,10353,10358,10272,10254,10261,10298,10295,10297,10340,10533,10501,10425,10356,10361,10316,10286,10261,10252,10189,10228,10196,10219,10152,10139,10112,9995,9925,9841,9835,9793,9735,9744,9774,9807,9762,9669,9626,9622,9579,9510,9565,9712,9907,10185,10257,10167,10044,9921,9639,9422,9287,9243,9336,9578,9727,9765,9827,9851,9796,9682,9460,9409,9270,9186,9162,9198,9328,9499,9534,9490,9452,9427,9412,9341,9457,9394,9154
Large hydro,1638,1769,1800,1795,1781,1784,1775,1763,1730,1739,1785,1799,1735,1501,1423,1419,1416,1408,1394,1404,1412,1406,1407,1409,1381,1305,1272,1264,1269,1270,1264,1274,1281,1274,1276,1282,1305,1384,1424,1412,1408,1400,1397,1408,1414,1407,1400,1383,1385,1489,1553,1614,1632,1634,1628,1630,1634,1634,1625,1619,1615,1854,2061,2088,2075,2093,2099,2105,2128,2129,2162,2182,2226,2263,2267,2263,2272,2267,2241,2253,2304,2330,2341,2321,2292,2313,2288,2289,2296,2283,2243,2172,2149,2140,2178,2182,2158,2121,2138,2167,2193,2175,2135,2136,2137,2145,2155,2121,2091,2001,1927,1917,1917,1917,1914,1913,1908,1917,1924,1921,1886,1849,1799,1778,1800,1791,1784,1760,1751,1749,1766,1756,1737,1658,1636,1634,1634,1607,1604,1598,1609,1607,1570,1530,1568,1514,1507,1502,1504,1487,1496,1477,1481,1468,1493,1502,1490,1492,1500,1493,1529,1543,1553,1551,1534,1517,1497,1482,1493,1553,1611,1633,1643,1726,1787,1787,1805,1794,1804,1815,1887,2029,2176,2190,2211,2258,2261,2241,2278,2313,2310,2295,2282,2798,3019,3038,3125,3189,3202,3190,3239,3294,3361,3356,3341,3264,3239,3238,3310,3320,3348,3295,3270,3295,3303,3307,3361,3455,3500,3478,3487,3497,3478,3466,3464,3462,3467,3487,3476,3423,3412,3417,3414,3358,3276,3327,3394,3388,3384,3360,3321,3092,3017,2961,2932,2912,2914,2917,2922,3000,3011,3006,2995,2789,2723,2739,2723,2691,2706,2712,2709,2687,2682,2644,2554,2453,2365,2318,2309,2307,2304,2309,2304,2315,2332,2326,2233,1967,1859,1869,1854,1846,1846,1839,1824,1800,1816,1822
Imports,8212,8081,8042,8020,7982,7900,7846,7824,7845,7738,7649,7652,7617,7690,7723,7594,7511,7433,7434,7407,7349,7300,7238,7211,7184,7206,7208,7174,7117,7074,7033,6992,6961,6992,6969,6973,6996,6869,6763,6755,6784,6782,6733,6725,6685,6715,6676,6739,6791,6764,6779,6731,6756,6757,6751,6802,6872,6876,6877,6820,6776,6849,6937,6967,6925,6995,7006,6945,6921,6950,6941,7113,7293,7550,7891,8079,8223,8288,8287,8320,8305,8316,8323,8282,8365,8440,8512,8441,8288,8030,7864,7786,7633,7488,7242,6988,6522,6372,6013,5768,5572,5434,5271,5137,4972,4876,4646,4441,4222,4227,4036,3981,3957,3966,3878,3844,3811,3842,3927,4027,4268,4515,4641,4695,4803,4787,4678,4570,4594,4598,4593,4560,4585,4510,4473,4407,4430,4379,4297,4337,4504,4397,4374,4503,4317,4441,4504,4571,4536,4554,4415,4328,4296,4220,4277,4257,4238,4193,4324,4472,4547,4702,4872,5030,5210,5105,5136,5278,5175,4904,4688,4743,4832,4680,4565,4682,4713,4906,5091,5236,5242,5356,5584,5674,5926,6185,6407,6567,6770,7156,7127,7304,7727,7866,8223,8556,8655,8618,8647,8717,8703,8685,8718,8904,9143,9393,9621,9845,9981,10157,10179,10185,10258,10262,10323,10333,10286,10151,10076,9967,9741,9767,9837,9820,9772,9782,9872,9839,9857,9961,9909,9922,9880,9811,9838,9676,9623,9624,9661,9669,9638,9789,9847,9853,9778,9800,9858,9852,9789,9738,9662,9533,9199,9084,8779,8606,8617,8582,8589,8652,8739,8796,8769,8586,8281,8055,7909,7772,7586,7508,7422,7394,7309,7339,7287,7239,7137,7058,6945,6878,6836,6781,6715,6673,6742,6588,6502,6395
Batteries,-29,-19,9,8,5,5,1,-20,-7,5,5,23,6,24,0,0,0,-12,-25,-22,-21,-22,-17,-12,-28,-30,-36,-32,-24,-33,-8,-18,-1,-10,1,-7,-22,-14,2,-1,-23,-22,-7,-26,-8,-10,-24,-33,-41,-36,-5,3,0,3,4,11,28,3,0,0,-28,-9,0,0,-1,-9,0,6,33,48,64,41,-1,-7,-8,-4,-10,-13,-33,-24,-11,-6,-6,-28,-49,-22,6,6,21,8,-40,-25,-35,-42,-49,-47,-40,3,28,28,63,24,-6,4,-2,-4,-13,-32,-24,5,1,-23,-11,5,-9,-32,-80,-4,5,5,20,45,20,0,-7,-7,-7,-7,-7,0,50,9,17,-4,-2,-2,24,-2,-2,4,93,87,-83,-84,-2,-14,-11,-9,-39,-72,-15,-63,-77,-48,-1,-4,1,4,-12,-2,-2,19,10,18,-2,-3,-3,-66,-75,-3,-24,-11,18,-2,-3,-6,-2,-2,-2,-2,-2,3,11,5,6,93,90,32,95,123,115,10,-5,-36,-69,-63,-12,10,10,-5,-5,4,2,-23,-68,-33,-33,-20,-6,20,38,33,33,39,34,42,37,52,72,48,42,48,48,48,48,47,38,48,36,8,9,9,9,-11,-27,-3,9,9,9,23,24,50,78,61,2,0,0,10,45,0,0,-11,0,0,0,-19,-32,-18,0,0,0,0,0,-10,0,-11,-21,2,-1,-20,-1,0,-16,0,-39,-21,-20,-4,-10,0,0,0,-18,-59,-100,-108,-76,-7
Nuclear,1099,1100,1099,1099,1099,1099,1098,1099,1098,1098,1099,1099,1098,1099,1099,1099,1100,1101,1101,1101,1100,1101,1100,1101,1100,1101,1101,1101,1100,1101,1101,1100,1101,1101,1101,1100,1100,1101,1101,1101,1101,1100,1101,1101,1101,1100,1101,1100,1101,1100,1100,1100,1100,1101,1101,1101,1101,1101,1102,1102,1102,1101,1102,1102,1102,1102,1102,1102,1102,1101,1101,1101,1101,1102,1102,1102,1101,1101,1102,1101,1101,1102,1101,1102,1102,1101,1102,1102,1102,1102,1102,1102,1103,1102,1102,1103,1102,1102,1102,1102,1103,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1101,1102,1101,1101,1101,1101,1101,1100,1100,1100,1100,1101,1101,1101,1101,1101,1101,1102,1101,1101,1102,1101,1102,1102,1102,1102,1102,1101,1102,1102,1102,1102,1102,1102,1101,1102,1102,1101,1101,1101,1101,1101,1101,1101,1101,1100,1100,1101,1101,1100,1101,1101,1100,1101,1101,1100,1100,1101,1100,1101,1101,1101,1102,1102,1101,1101,1102,1102,1102,1102,1102,1102,1101,1102,1102,1102,1102,1102,1102,1102,1102,1102,1101,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1101,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1101,1101,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1101,1102,1102,1102,1101,1102,1102,1102,1102,1102,1103,1102,1102,1103,1102,1103,1103,1102,1103,1102,1102,1102,1102,1102,1102,1103,1103,1102,1103,1103,1102,1103,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1101
Coal,18,18,17,16,16,16,16,15,15,15,15,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,18,17,17,17,17,17,18,18,18,18,19,19,19,19,19,19,19,19,19,19,18,18,19,19,19,20,20,20,19,19,19,19,18,19,19,18,19,19,19,19,17,17,17,17,17,17,17,17,17,16,17,16,15,15,15,15,15,14,14,14,14,15,14,14,14,15,16,15,15,16,16,16,16,16,16,15,17,17,15,17,17,16,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,16,16,16,16,16,16,16,16,16,15,15,15,13,13,12,13,14,14,15,14,15,15,15,16,16,16,15,17,17,17,15,14,14,15,15,16,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,15,14,14,14,14,14,14,14,13,13,13,13,14,14,15,15,15,15,15,15,15,14,15,15,15,15,15,14,14,15,15,15,15,15,15,15,14,14,14,14,13,14,14,14,14,14,14,14,14,14,14,13,14,14,14,14,13,13,13,13,13,13,13,14,14,13,13,12,13,13,13,13,13,12,13,13,13,13,14,14,14,13,14,14,14,14,14,14,14,14,14,13,13,13,14,14,14,13,13,13,13,12,13
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
