7/19/2018,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,4285,4266,4273,4292,4282,4267,4244,4212,4193,4150,4112,4091,4050,4016,3966,3933,3914,3887,3883,3872,3850,3812,3786,3771,3746,3712,3690,3662,3668,3699,3748,3750,3736,3723,3705,3710,3719,3730,3757,3772,3775,3773,3763,3758,3776,3808,3828,3791,3742,3790,3774,3727,3662,3731,3638,3653,3728,3712,3697,3649,3610,3553,3511,3463,3444,3419,3374,3349,3331,3304,3279,3261,3274,3288,3366,3453,3561,3661,3844,4030,4231,4465,4620,4834,5076,5279,5491,5732,6041,6422,6855,7291,7654,8041,8339,8631,8891,9023,9224,9537,9720,9998,10219,10289,10472,10736,10854,10930,10993,11091,11221,11276,11347,11399,11477,11618,11645,11741,11748,11796,11822,11836,11843,11877,12011,12169,12286,12286,12342,12298,12303,12556,12676,12669,12647,12639,12651,12717,12744,12661,12642,12656,12653,12680,12840,12975,12985,13004,12848,12855,12908,12978,13019,13014,12965,12914,12868,12863,12924,13001,12967,12965,13070,12991,12861,12933,12904,12950,12960,12934,12915,12865,12818,12761,12737,12670,12575,12528,12503,12549,12613,12539,12456,12410,12370,12256,12283,12229,12266,12195,12196,12228,12267,12330,12312,12250,12209,12179,12129,12116,12066,12060,12058,12102,12109,12115,12065,12051,12038,11992,11977,11812,11673,11514,11411,11311,11080,10831,10606,10137,9754,9393,9115,8791,8484,8207,7915,7612,7331,7053,6801,6575,6306,6050,5843,5679,5516,5429,5351,5307,5260,5246,5257,5266,5249,5230,5250,5251,5225,5197,5187,5170,5175,5195,5182,5130,5114,5116,5096,5082,5064,5078,5059,5057,5030,4961,4889,4814,4743,4717,4719,4713,4718,4744,4763,4819,4864,4904,4945,4924,4905,4863,4836,4810,4766,4768,4761,4753
Natural gas,12259,12034,11910,11749,11604,11443,11121,10971,10830,10665,10583,10440,10436,10575,10610,10516,10416,10301,10232,10135,10125,10039,9857,9710,9572,9513,9517,9455,9548,9483,9336,9307,9247,9120,9116,9165,9070,8905,8803,8714,8842,8812,8762,8798,8797,8739,8755,8708,8701,8744,8857,8802,8923,8942,8964,9074,9069,9086,9226,9248,9367,9676,9651,9723,9813,9820,9851,9962,10023,10132,10196,10164,10023,10059,10360,10497,10459,10583,10892,10973,10636,10382,10332,10238,10103,10048,10012,9988,9875,9877,10106,9896,9836,9797,9722,9756,9698,9461,9334,9253,9302,9196,9113,9074,8957,8816,8765,8730,8687,8713,8698,8756,8865,8919,9040,9068,9132,9201,9268,9265,9424,9644,9701,9806,9821,9730,9680,9954,10058,10104,10214,10240,10308,10414,10361,10553,10609,10692,10823,10981,11145,11201,11256,11349,11466,11504,11473,11728,11889,11917,11981,12035,12206,12348,12557,12690,12866,13120,13241,13718,14439,14653,14754,14331,14015,14100,14248,14346,14476,14642,14608,14792,14808,15091,15391,15483,15696,15876,16213,16196,16435,16567,16538,16645,16754,16847,16888,16863,16902,17051,17142,17156,17244,16927,16782,16728,16769,16883,17084,17041,17191,17283,17385,17408,17301,17352,17173,17173,17114,17247,17492,17589,17570,17676,17857,17888,17792,17853,17705,17640,17682,17876,18019,18344,18514,18778,18944,19135,19191,19064,19028,19150,19196,19217,19162,19087,19071,19041,18936,18829,18776,18501,18242,18190,18078,18044,17984,17853,17768,17739,17619,17471,17524,17004,16641,16560,16325,16203,16170,15984,15808,15507,15140,14858,14619,14501,14097,13712,13332,13052,12820,12754,12511,12238,11899,11702,11598,11311,11267,11042,10884,10732,10638,10436,10392,10202,10041,9930
Large hydro,2741,2605,2692,2674,2578,2509,2546,2596,2612,2663,2602,2556,2495,2314,2270,2276,2272,2258,2245,2246,2234,2236,2228,2245,2206,2098,2026,1984,1919,1895,1896,1861,1919,1945,1877,1865,1879,1915,1945,1904,1905,1972,1964,1933,1976,1974,1947,1966,1952,1792,1808,1853,1839,1847,1833,1816,1852,1847,1823,1874,1906,2041,2130,2114,2123,2116,2064,2118,2150,2153,2165,2156,2124,2121,2053,2029,2048,2066,2045,2026,2002,2030,2097,2127,2195,2259,2312,2298,2239,2202,2200,2216,2242,2238,2224,2207,2192,2079,2021,2019,2038,2021,1937,2004,2041,2003,2014,2046,2064,2025,2006,2011,2004,2018,2002,2044,2061,2064,2083,2080,2074,2046,2048,2056,1983,1980,1977,2000,2022,2070,2153,2125,2090,2300,2301,2349,2386,2377,2407,2459,2496,2592,2522,2530,2539,2561,2634,2677,2826,2972,3127,3153,3169,3165,3195,3182,3252,3330,3448,3236,3203,3214,3194,3314,3373,3422,3425,3390,3334,3333,3287,3302,3337,3331,3286,3307,3300,3279,3297,3335,3355,3415,3546,3608,3677,3694,3714,3724,3658,3692,3795,3787,3872,3932,3946,4066,4193,4175,4173,4158,4161,4191,4198,4241,4230,4335,4467,4442,4401,4444,4501,4541,4524,4513,4509,4523,4516,4494,4523,4610,4618,4681,4657,4598,4564,4565,4589,4580,4610,4707,4694,4701,4774,4794,4802,4798,4788,4792,4771,4758,4715,4694,4720,4703,4675,4670,4669,4703,4722,4729,4747,4706,4572,4529,4502,4495,4480,4512,4486,4410,4399,4351,4299,4250,4118,3982,4000,4127,4087,4089,4064,3971,3862,3840,3660,3641,3632,3504,3319,3300,3262,3274,3257,3265,3258,3243,3202,3135
Imports,8224,8483,8559,8505,8508,8598,8744,8776,8755,8748,8703,8755,8810,8663,8618,8584,8604,8629,8643,8650,8595,8654,8749,8744,8837,9021,9069,9160,9057,9073,9089,9038,9038,9047,9002,8903,8922,8988,8971,9011,8852,8766,8785,8764,8708,8704,8691,8689,8696,8808,8890,8884,8845,8845,8850,8842,8893,8946,8881,8918,8882,8644,8700,8749,8711,8765,8973,9016,8961,8920,8886,8951,9181,9327,9194,9122,9134,8832,8444,8336,8694,8943,8853,8841,8841,8775,8737,8636,8542,8402,7912,7803,7618,7470,7230,7103,7082,7349,7538,7521,7363,7305,7322,7347,7283,7247,7346,7364,7430,7384,7440,7462,7499,7439,7389,7349,7364,7260,7310,7373,7386,7357,7460,7437,7569,7686,7779,7689,7636,7659,7572,7544,7550,7343,7437,7385,7332,7316,7288,7241,7237,7113,7206,7249,7046,6978,6987,6799,6835,6754,6640,6556,6571,6572,6525,6578,6557,6404,6332,5987,5490,5395,5473,6049,6534,6539,6541,6573,6647,6675,6853,6836,6906,6786,6657,6682,6665,6635,6435,6494,6307,6240,6390,6337,6225,6316,6360,6435,6446,6498,6465,6501,6349,6540,6722,6791,6697,6664,6541,6572,6569,6506,6486,6423,6573,6435,6381,6483,6612,6519,6258,6268,6366,6418,6410,6515,6705,6881,7011,7322,7490,7665,7736,7757,7878,7879,7901,7904,7993,8122,8218,8214,8250,8305,8431,8526,8591,8614,8688,8727,8804,9085,9219,9334,9401,9498,9488,9553,9544,9447,9530,9597,9546,9922,10066,10096,10192,10097,9931,9957,10007,10093,10245,10311,10423,10439,10657,10717,10774,10895,10865,10829,10881,10899,11087,11096,10864,10870,10883,10866,10851,10827,10686,10697,10586,10587,10569,10499
Batteries,-9,-13,4,-17,21,25,5,-22,15,1,54,24,-22,44,41,42,42,17,-21,-28,-34,-45,-21,-7,-26,29,38,4,5,-23,-24,-24,-24,-16,-13,-22,-23,-23,-27,-26,-19,-22,-28,-22,-22,-28,-26,-28,-26,-15,19,24,2,0,-14,-10,2,2,-37,-9,-39,-42,5,28,26,18,-81,-30,15,11,12,-6,-21,-3,1,-50,-36,43,50,38,-45,-85,-70,-97,-96,13,56,49,51,0,41,13,-55,-90,-48,-91,-89,-45,-96,-99,-90,-85,-84,-62,-39,-61,-51,-34,-18,-17,-19,-23,-30,-21,-34,-23,-19,-25,-2,-6,-13,-19,-9,-13,-77,-69,-67,-62,-60,-26,-22,-47,-62,-57,-57,-56,-52,-43,-40,-19,-20,-32,-28,-27,-22,-28,-39,-5,33,33,34,14,1,-15,-7,14,15,-10,-17,26,48,65,47,18,27,17,24,3,-18,-38,-39,-30,-2,3,13,-19,16,20,53,-1,-22,-24,-73,-48,-24,-8,-22,-40,-11,-11,-7,-34,-14,-30,0,-2,16,5,-8,11,12,8,7,-29,-28,-16,-27,-19,27,-4,-16,1,24,30,7,10,-2,6,45,57,58,62,66,51,43,43,43,-2,24,51,66,59,7,9,57,61,61,46,20,21,-2,7,5,-29,-27,-16,-30,-24,-22,-10,29,26,17,29,53,52,50,41,26,0,4,-14,20,-6,-29,-46,-53,-2,27,9,-34,-56,-40,-43,-57,-88,-92,-93,-72,-38,-45,-46,-49,-49,-78,-65,-73,-54
Nuclear,2274,2273,2271,2271,2271,2270,2271,2270,2270,2270,2270,2269,2268,2269,2268,2268,2268,2266,2267,2267,2267,2267,2267,2267,2267,2266,2266,2266,2266,2267,2267,2267,2267,2267,2267,2267,2268,2267,2267,2267,2268,2267,2267,2267,2266,2267,2268,2267,2267,2267,2267,2267,2267,2267,2268,2268,2267,2267,2268,2267,2267,2268,2267,2268,2268,2268,2268,2268,2268,2268,2268,2268,2269,2268,2268,2268,2268,2269,2269,2269,2269,2269,2269,2270,2269,2269,2270,2269,2269,2270,2269,2270,2269,2269,2269,2270,2270,2269,2270,2269,2270,2270,2271,2269,2269,2269,2269,2268,2268,2269,2269,2269,2269,2268,2269,2269,2268,2269,2269,2269,2268,2268,2268,2268,2268,2268,2269,2268,2269,2269,2269,2269,2268,2268,2267,2267,2267,2267,2266,2266,2266,2265,2265,2265,2265,2265,2265,2265,2265,2265,2264,2265,2265,2264,2265,2265,2265,2265,2265,2265,2265,2265,2266,2265,2265,2266,2265,2266,2266,2265,2266,2266,2265,2267,2266,2266,2267,2267,2266,2266,2267,2266,2266,2267,2267,2267,2267,2267,2267,2267,2268,2268,2268,2268,2268,2267,2268,2268,2268,2267,2268,2268,2270,2269,2268,2270,2269,2270,2270,2270,2270,2270,2269,2270,2270,2270,2269,2269,2269,2269,2267,2269,2269,2268,2268,2268,2270,2268,2267,2267,2266,2266,2265,2264,2264,2264,2264,2264,2264,2264,2264,2264,2263,2264,2263,2263,2263,2264,2263,2264,2264,2263,2263,2263,2263,2263,2263,2263,2263,2263,2263,2263,2263,2264,2263,2263,2263,2263,2263,2264,2263,2264,2264,2264,2264,2264,2264,2264,2263,2263,2264,2264,2264,2263,2265,2264,2264,2264
Coal,12,13,13,12,11,11,12,12,11,12,12,12,13,12,12,12,12,14,11,10,12,12,11,12,12,12,12,11,11,11,12,11,12,11,11,11,11,12,11,11,11,11,11,11,11,11,12,11,11,11,12,11,10,11,11,11,11,11,11,12,12,12,12,12,12,14,12,11,11,12,12,12,12,13,13,12,12,11,11,11,12,12,12,12,11,11,11,12,14,12,11,12,13,12,12,11,11,11,10,11,11,11,12,13,13,12,12,13,13,13,13,12,13,12,12,12,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,13,14,15,14,15,15,15,15,15,15,15,15,13,15,16,16,17,16,16,16,17,16,17,17,16,16,17,17,17,17,17,17,16,18,17,18,18,18,18,18,18,18,18,17,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,19,20,20,20,20,20,20,20,21,21,21,21,21,21,21,22,22,21,21,20,21,21,21,21,20,20,20,21,20,20,20,21,20,20,20,21,21,21,20,20,20,21,20,21,21,21,22,22,22,22,21,22,21,21,21,22,22,21,22,22,22,22,21,21,22,22,21,21,21
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
