7/19/2020,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,5818,5817,5814,5792,5758,5710,5647,5568,5506,5471,5438,5424,5428,5407,5403,5401,5384,5371,5370,5367,5363,5362,5362,5352,5326,5298,5303,5331,5356,5356,5368,5361,5350,5351,5365,5385,5423,5422,5433,5423,5394,5397,5375,5356,5338,5313,5295,5282,5241,5233,5193,5152,5109,5077,5055,5048,5027,5015,5007,5017,5006,5014,5058,5058,5035,5027,5031,5036,5032,5007,5003,5008,5039,5065,5138,5251,5413,5571,5812,6061,6328,6710,7141,7446,7772,8056,8387,8715,9071,9448,9848,10288,10644,11027,11342,11606,11921,12174,12288,12445,12624,12863,13079,13233,13234,13426,13697,13786,13832,13979,14013,14001,14034,14110,14104,14178,14297,14288,14377,14454,14290,14302,14391,14562,14592,14717,14871,14911,15027,14889,14960,14963,14827,14774,14792,14874,14943,15008,15065,15199,15286,15343,15420,15582,15744,15822,15705,15783,15745,15571,15552,15550,15559,15616,15639,15725,15762,15776,15971,16099,16074,15956,16014,16013,15943,16003,16052,16016,15951,15903,15992,16213,16345,16325,16352,16250,16349,16399,16411,16560,16686,16598,16550,16538,16546,16541,16567,16497,16515,16365,16233,16285,16327,16309,16293,16239,16153,16070,16004,15873,15776,15682,15606,15465,15371,15273,15196,15045,14935,14932,14842,14611,14401,14120,13891,13745,13621,13424,13234,12995,12687,12270,11847,11439,11068,10626,10179,9725,9283,8871,8515,8252,7930,7608,7354,7108,6830,6642,6472,6343,6222,6217,6256,6281,6263,6268,6263,6290,6307,6318,6309,6318,6327,6391,6437,6433,6457,6459,6468,6463,6409,6294,6212,6152,6153,6148,6143,6154,6146,6137,6104,6049,6042,6040,6055,6092,6155,6221,6322,6433,6514,6526,6513,6503,6454,6398,6327,6305
Natural gas,9066,9130,9313,9345,9182,9098,9014,8885,8836,8708,8562,8479,8493,8495,8457,8448,8167,8311,8235,8060,7952,7852,7755,7695,7631,7536,7311,7278,7249,7218,7093,6949,6827,6761,6670,6652,6508,6437,6317,6215,6125,6066,5993,5948,5919,5867,5818,5724,5573,5701,5740,5694,5631,5642,5631,5635,5620,5620,5584,5623,5616,5724,5712,5653,5668,5698,5669,5691,5634,5566,5353,5280,5215,4974,4783,4728,4693,4638,4588,4625,4769,4629,4562,4509,4570,4498,4462,4373,4401,4409,4346,4351,4374,4403,4393,4401,4476,4575,4673,4705,4669,4604,4599,4622,4663,4647,4586,4616,4684,4669,4593,4605,4634,4641,4650,4625,4631,4643,4644,4623,4656,4593,4480,4460,4482,4472,4465,4511,4525,4567,4567,4564,4611,4601,4515,4560,4590,4590,4605,4620,4611,4630,4727,4718,4748,4868,4857,4893,4960,5091,5159,5285,5391,5428,5463,5438,5534,5648,5576,5480,5400,5409,5524,5684,5819,5964,6108,6258,6436,6729,6940,7014,7030,7132,7293,7392,7414,7533,7577,7544,7528,7839,8027,8074,8251,8292,8430,8660,8784,8972,9188,9285,9538,9418,9552,9717,9904,10001,10067,10152,10230,10428,10632,10856,10963,11153,11323,11397,11600,11655,11805,12002,12068,12280,12572,12791,12872,12600,12445,12363,12582,12709,12843,13059,13297,13681,14025,14154,14377,14673,14662,14741,14857,14889,14898,14955,15057,15087,15127,15029,15026,15026,14933,14884,15010,15071,15045,14924,14887,14795,14738,14505,14411,14309,14151,14301,14288,14203,14116,13962,13573,13166,13127,13035,13005,13050,12980,12837,12527,12373,12310,12108,11926,11800,11628,11330,11074,10779,10618,10400,10107,9873,9690,9585,9544,9491,9432,9355
Large hydro,2293,1955,1768,1765,1752,1745,1740,1741,1728,1732,1715,1706,1700,1762,1760,1762,1390,1389,1378,1352,1348,1360,1368,1384,1390,1421,1419,1397,1385,1385,1379,1382,1375,1381,1379,1379,1366,1367,1368,1363,1367,1371,1369,1373,1368,1370,1362,1374,1421,1431,1448,1435,1450,1461,1447,1447,1430,1438,1440,1432,1438,1456,1464,1461,1453,1467,1467,1470,1468,1477,1491,1507,1602,1798,1829,1831,1822,1819,1802,1662,1513,1487,1461,1416,1342,1187,1089,1037,1041,1031,995,1000,1015,1041,1025,989,980,879,830,831,831,788,761,794,817,812,756,771,804,774,778,769,767,764,777,764,757,769,776,765,774,788,788,774,776,773,748,775,768,789,792,782,788,827,780,753,741,748,763,751,749,760,760,750,746,800,829,806,817,841,852,837,825,833,831,841,846,955,1022,1059,1390,1386,1379,1360,1376,1364,1368,1392,1461,1569,1626,1633,1641,1645,1649,1682,1682,1661,1669,1672,1697,1760,1836,1837,1844,1861,1870,1887,1899,1936,1969,1918,2014,2164,2276,2269,2256,2296,2309,2319,2320,2313,2304,2352,2445,2632,2794,2809,2850,2848,2815,2910,2993,3004,3008,2958,2965,3156,3275,3309,3386,3412,3492,3481,3452,3477,3454,3460,3557,3660,3698,3666,3663,3723,3750,3746,3792,3840,3912,3897,3857,3842,3714,3614,3519,3480,3467,3447,3433,3415,3417,3419,3438,3341,3266,3194,3127,3097,3053,3048,3135,3220,3170,3111,2961,2555,2284,2238,2280,2237,2220,2212,2200,2198,2194,2166,2090,1936,1901,1955,1960,1964,1966,1965,1954,1954,1958,1956
Imports,8683,8715,8727,8650,8690,8663,8609,8672,8643,8628,8679,8649,8614,8623,8606,8500,8500,8468,8442,8530,8555,8513,8511,8456,8422,8414,8514,8459,8379,8323,8352,8416,8453,8461,8469,8417,8467,8483,8562,8638,8646,8663,8682,8720,8705,8741,8761,8847,8946,8860,8832,8912,8958,8917,8922,8922,8908,8889,8893,8833,8837,8752,8739,8779,8786,8763,8764,8738,8774,8807,8937,8944,8870,8925,8910,8816,8645,8476,8265,8107,8068,7847,7551,7310,7085,7060,6901,6727,6349,5948,5567,5181,4826,4445,4093,3791,3570,3436,3269,3108,2995,2876,2698,2558,2455,2327,2229,2101,1977,1958,2033,2051,2017,1970,1979,1953,1912,1912,1844,1848,2024,2167,2273,2231,2283,2230,2172,2132,2065,2172,2229,2319,2465,2526,2689,2712,2733,2748,2793,2786,2874,2875,2809,2820,2759,2660,2825,2776,2850,2959,3034,3056,3118,3143,3237,3335,3374,3284,3142,3183,2943,2933,2933,2928,3008,3016,2985,3012,2927,2677,2427,2321,2329,2374,2301,2502,2548,2640,2721,2746,2796,2708,2678,2740,2722,2790,2787,2805,2778,2830,2903,2940,2787,2826,2691,2666,2765,2810,2878,3034,3170,3188,3206,3200,3208,3162,3014,3175,3243,3379,3498,3520,3681,3692,3750,3850,4064,4439,4749,5067,5146,5410,5640,5812,5977,5986,6034,6282,6311,6143,6321,6475,6559,6713,6780,6839,6804,6742,6684,6773,6911,6843,6947,7194,7204,7230,7229,7277,7303,7342,7337,7464,7484,7497,7522,7458,7444,7414,7347,7362,7458,7554,7471,7498,7402,7324,7518,7585,7648,7630,7511,7555,7523,7424,7360,7430,7403,7450,7523,7542,7582,7623,7583,7550,7452,7394,7297,7181
Batteries,40,45,3,-9,-11,-10,-7,-6,-6,-6,-6,-6,-6,0,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3,-1,16,0,0,-1,0,0,-1,-1,-5,-6,-6,-5,-12,-15,-8,-13,-8,-8,-8,-8,-11,-5,19,-7,-5,-5,0,0,-1,-2,-4,-3,-8,-10,-8,-10,-10,-10,-10,-6,-5,-5,-5,-6,3,-2,-10,5,6,6,5,13,4,-10,0,-13,-19,-40,-58,-20,-6,-17,9,-12,-12,-72,-78,-59,-16,-15,-85,-32,-1,11,12,-11,-11,-8,11,-1,-12,-12,-11,-17,-9,6,6,-9,6,3,-19,-3,6,2,5,12,11,-5,0,-4,-12,4,-8,11,11,3,9,1,-8,-12,-20,-19,-19,-19,-17,-19,-10,-41,-28,-60,-41,-5,2,-2,0,-11,-14,1,-8,-15,-50,-14,-9,-24,-7,9,-2,-3,10,-14,-22,-40,2,-1,-2,-8,-29,-14,0,18,9,3,5,1,0,-3,-7,-6,-3,-3,-3,-3,1,13,14,5,-7,-7,-7,-9,-7,-6,-6,-6,-5,-2,3,6,13,-3,-7,-7,-8,-7,-10,-7,14,14,15,-7,-8,-9,-2,-1,5,19,27,31,35,39,18,22,44,23,15,11,25,44,53,49,51,41,32,30,27,6,0,-61,-8,-8,-9,-6,-3,-5,-5,-5,-6,59,27,-3,-26,-26,-39,-42,11,49,14,2,-4,-3,-2,-1,18,-4,-7,-1,-11,-11,-12,-3,-4,6,-3,-10,-6,-3,-1,-1,-3,-4,-4,-4
Nuclear,1095,1095,1095,1094,1094,1094,1093,1093,1092,1093,1092,1092,1092,1092,1092,1093,1092,1093,1092,1092,1092,1092,1093,1093,1092,1092,1093,1093,1093,1093,1093,1093,1093,1093,1093,1092,1092,1092,1092,1092,1092,1092,1093,1093,1093,1094,1094,1095,1094,1094,1094,1094,1094,1095,1094,1095,1095,1095,1096,1095,1095,1095,1095,1095,1095,1096,1095,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096,1097,1096,1097,1096,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097,1096,1096,1097,1097,1097,1097,1097,1097,1097,1097,1097,1098,1098,1098,1098,1099,1098,1098,1099,1099,1099,1099,1099,1098,1098,1099,1098,1099,1099,1099,1098,1097,1097,1097,1096,1096,1096,1096,1096,1096,1096,1096,1096,1095,1096,1096,1096,1096,1096,1096,1097,1096,1096,1097,1096,1097,1096,1096,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1094,1095,1095,1094,1095,1095,1094,1094,1094,1094,1094,1095,1095,1095,1095,1094,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1096,1095,1096,1096,1096,1096,1097,1097,1097,1098,1097,1098,1098,1097,1098,1098,1098,1097,1097,1098,1098,1098,1099,1098,1099,1099,1099,1098,1099,1099,1099,1100,1099,1099,1099,1098,1098,1098,1097,1096,1097,1096,1096,1096,1096,1096,1096,1097,1097,1096,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097,1098,1097,1097,1096,1097,1096,1097,1097,1097,1097,1097,1097,1098,1097,1097,1097,1097,1097,1096,1097,1096,1096,1096,1096
Coal,8,9,9,9,9,10,10,9,8,8,8,8,7,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,8,8,7,7,7,6,7,7,6,5,5,5,4,5,5,5,6,6,6,6,6,6,6,6,6,6,7,8,8,7,7,7,7,7,7,7,7,7,7,7,6,5,6,7,7,7,7,7,7,7,6,6,7,7,7,6,6,6,7,7,7,7,7,7,6,7,8,8,7,6,5,5,5,5,6,5,5,5,6,7,6,6,6,5,5,5,4,5,6,7,7,6,6,6,5,4,5,5,5,7,8,8,8,7,6,7,6,6,7,7,7,6,7,7,6,6,6,6,5,6,7,6,5,4,3,4,5,6,7,6,6,5,5,6,6,7,7,5,4,5,4,3,4,5,6,6,6,6,6,5,5,5,5,6,6,7,8,7,7,6,7,7,6,6,5,6,7,7,7,7,7,6,5,6,6,6,7,8,7,6,5,5,6,6,7,6,6,6,6,7,6,7,7,8,7,6,7,6,6,5,4,5,6,7,7,6,7,7,7,7,7,6,6,5,5,4,4,4,5,7,8,8,8,8,7,7,7,7,7,8,8,7,8,9,9,9,8,9,9,9,8,7,4,3,6,7,8,9,8,8,7,6,7,8,9,8,8
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
