5/15/2018,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,5354,5335,5318,5290,5282,5246,5243,5220,5217,5175,5138,5115,5099,5067,5040,5012,4991,4952,4929,4922,4927,4912,4890,4904,4915,4910,4898,4912,4936,4970,5015,5038,5049,5054,5045,5039,5041,5037,5021,4992,4968,4949,4926,4896,4863,4857,4826,4800,4768,4723,4661,4618,4599,4598,4600,4592,4592,4575,4556,4510,4480,4519,4559,4546,4561,4518,4508,4431,4418,4461,4499,4534,4556,4609,4723,4822,4940,5086,5277,5503,5695,5937,6196,6497,6793,7098,7384,7692,8006,8349,8682,9072,9472,9819,10144,10474,10778,11035,11246,11447,11635,11786,11923,12043,12145,12257,12363,12455,12531,12601,12658,12732,12822,12882,12941,12997,13034,13058,13079,13086,13106,13130,13149,13195,13226,13236,13269,13322,13362,13414,13445,13445,13464,13496,13497,13521,13506,13490,13460,13434,13472,13503,13508,13518,13535,13543,13571,13603,13622,13662,13697,13696,13739,13781,13838,13850,13897,13927,14003,14082,14197,14288,14288,14333,14363,14403,14448,14499,14537,14600,14673,14661,14729,14727,14686,14723,14712,14759,14744,14683,14628,14631,14618,14595,14592,14493,14484,14502,14409,14393,14345,14291,14196,14106,14031,13922,13884,13868,13894,13825,13697,13567,13454,13408,13347,13349,13229,13088,12925,12704,12535,12339,12118,11864,11579,11287,10989,10621,10190,9780,9293,8844,8410,8018,7571,7154,6762,6436,6131,5829,5639,5413,5181,5049,4932,4843,4761,4688,4627,4616,4643,4650,4648,4686,4723,4767,4806,4828,4842,4859,4912,4946,4983,4961,4942,4923,4884,4855,4841,4819,4733,4666,4592,4522,4478,4434,4416,4405,4385,4396,4398,4388,4382,4360,4351,4360,4368,4379,4388,4391,4375,4377,4390,4378,4372,4397,4395,4286
Natural gas,3856,3611,3429,3245,3025,2902,2927,2912,2797,2783,2706,2689,2766,2820,2821,2809,2789,2785,2774,2735,2670,2733,2692,2669,2689,2755,2722,2688,2615,2570,2522,2542,2542,2493,2354,2361,2334,2356,2367,2361,2371,2371,2379,2426,2476,2453,2508,2559,2509,2543,2511,2546,2593,2685,2716,2736,2740,2783,2864,2949,3213,3473,3395,3321,3355,3411,3498,3610,3699,3716,3720,3684,3773,3912,3919,3812,3777,3834,3869,3945,3994,3933,3839,3758,3851,3808,3852,3846,3777,3657,3576,3530,3468,3474,3513,3497,3508,3418,3378,3268,3247,3247,3183,2951,2868,2795,2813,2824,2871,2895,2934,2867,2918,2945,2985,3002,2953,2928,2987,3012,2995,2928,2842,2811,2843,2840,2786,2804,2784,2779,2789,2695,2659,2600,2650,2618,2609,2658,2594,2674,2651,2680,2666,2677,2690,2714,2702,2675,2719,2690,2704,2751,2667,2807,2829,2900,2952,2979,3116,3066,3081,3107,3132,3083,3067,3087,3100,3104,3155,3300,3381,3429,3457,3492,3517,3507,3529,3604,3666,3681,3681,3590,3615,3609,3604,3654,3648,3682,3792,3808,3790,3878,3980,4049,4083,4126,4073,4141,4038,3993,4019,4054,4102,4003,3915,3825,3802,3717,3752,3804,3920,4012,4185,4433,4694,4805,4794,5102,5234,5322,5904,6009,6296,6492,6721,7045,7410,7650,7791,8011,8043,8165,8212,8382,8621,8760,8776,8867,9021,9142,9109,9002,8951,8961,8809,8749,8695,8623,8527,8461,8311,8228,8200,8070,7998,7950,7890,7823,7754,7723,7535,7361,7193,7039,7039,6680,6659,6789,6520,6228,6195,6111,5977,5824,5698,5605,5558,5416,5233,5088,4998,4848,4753,4580,4430,4350,4236,4166
Large hydro,2893,2732,2671,2668,2671,2659,2627,2624,2631,2646,2649,2599,2581,2653,2586,2569,2504,2512,2503,2514,2515,2500,2511,2494,2378,2301,2240,2261,2250,2261,2228,2183,2148,2229,2263,2265,2236,2213,2226,2225,2233,2231,2229,2235,2235,2229,2230,2226,2264,2354,2415,2436,2424,2412,2405,2396,2395,2383,2416,2429,2472,2762,2933,2964,3011,3024,3019,3035,3058,3045,3038,2957,2928,2979,2996,3114,3101,3062,3004,3037,3104,3089,3072,3020,2966,2904,2993,3025,3040,3003,2992,3002,2962,2913,2920,2923,2933,2854,2847,2802,2802,2854,2857,2835,2881,2894,2826,2796,2770,2672,2698,2612,2565,2509,2512,2563,2573,2557,2544,2505,2482,2439,2455,2427,2417,2408,2412,2344,2327,2276,2340,2370,2386,2376,2386,2418,2372,2356,2303,2414,2352,2348,2345,2356,2394,2481,2502,2490,2492,2490,2487,2502,2496,2453,2415,2368,2336,2280,2310,2197,2255,2290,2253,2204,2231,2151,2115,2115,2080,2087,2138,2267,2293,2319,2379,2371,2352,2373,2403,2412,2444,2513,2515,2539,2566,2610,2622,2572,2581,2628,2625,2593,2563,2623,2636,2649,2648,2628,2596,2638,2693,2717,2749,2786,2811,2893,3018,3037,3059,3083,3115,3106,3122,3109,3106,3125,3101,3144,3131,3164,3115,3026,3111,3110,3178,3190,3328,3358,3478,3612,3664,3724,3747,3827,3924,4016,4038,3976,3887,3994,4003,3920,3910,3954,4045,4074,4059,4018,3948,3897,3859,3811,3719,3694,3629,3613,3543,3518,3502,3422,3438,3441,3446,3431,3393,3398,3371,3308,3353,3348,3309,3237,3205,3198,3201,3206,3176,3132,3101,3095,3091,3082,3076,3048,3028,3028,3032,3022
Imports,8231,8461,8718,8880,8985,9035,8947,8985,8949,8918,8928,8868,8770,8623,8593,8581,8621,8631,8585,8587,8564,8529,8531,8495,8479,8510,8529,8550,8531,8549,8547,8510,8498,8406,8391,8350,8342,8349,8355,8378,8386,8405,8424,8403,8446,8456,8404,8454,8465,8569,8630,8669,8642,8667,8641,8761,8829,8845,8853,8781,8659,8337,8339,8445,8523,8564,8563,8661,8703,8709,8754,8797,8875,8926,9116,9120,9137,9118,9005,8885,8715,8616,8579,8452,8203,8251,8140,7867,7675,7504,7265,6929,6633,6371,5983,5620,5257,5218,5173,5133,5065,4815,4587,4762,4709,4620,4628,4503,4370,4457,4427,4478,4453,4409,4376,4205,4105,4061,4025,3952,3932,3967,4019,3937,3876,3830,3776,3811,3758,3710,3524,3452,3330,3296,3275,3172,3128,3143,3115,3027,3008,2938,2920,2810,2713,2601,2466,2471,2471,2415,2360,2363,2335,2292,2222,2224,2221,2309,2169,2210,2158,1998,1980,2084,2109,2128,2113,2050,1985,1782,1638,1498,1384,1347,1319,1252,1307,1240,1219,1271,1345,1362,1438,1462,1499,1529,1565,1615,1704,1733,1805,1920,2031,2053,2106,2203,2372,2476,2627,2741,2856,2983,3081,3257,3440,3453,3453,3680,3882,4118,4226,4387,4555,4624,4787,5034,5406,5467,5752,6139,6196,6734,6969,7166,7438,7559,7528,7680,7750,7715,7836,7945,8180,8163,8030,7995,8100,8166,8281,8257,8322,8636,8815,8891,8987,8966,9004,9054,9119,9211,9267,9297,9371,9410,9423,9452,9509,9473,9406,9420,9577,9567,9604,9654,9514,9777,9625,9429,9563,9541,9501,9456,9455,9459,9468,9334,9189,9213,9309,9256,9265,9261,9204,9253,9265,9282,9198,9174
Batteries,-53,-26,7,6,2,5,-27,-16,-6,2,1,1,0,-1,0,-1,0,-3,-13,-4,-1,-6,1,0,-42,-21,-15,0,-9,-10,-47,-63,-58,-17,-1,-1,-6,-3,-2,-1,5,-1,-1,0,-2,-8,-20,-31,-22,-12,0,17,0,-8,-25,-23,-17,-16,-1,-4,-6,-6,-3,-4,0,0,0,-1,-1,-4,-4,-7,-10,-8,-8,-1,-3,-4,-14,-3,-1,-3,-4,-3,-1,0,-1,-2,-2,-3,-2,-1,-3,-3,-6,-3,-3,0,8,-7,-2,16,18,45,62,61,11,15,39,55,60,26,-8,-40,-30,1,2,-1,-25,-39,-32,-37,-3,-9,-7,-3,-31,-43,-27,-31,-26,-7,-4,-6,-3,-10,-11,-11,-9,-1,4,4,0,0,0,3,30,18,4,2,2,11,-1,-16,-23,-29,-21,-2,-4,-4,6,6,-4,-8,-4,-9,-10,-9,-9,-9,-9,0,-2,-1,3,0,0,0,0,1,25,15,38,0,34,50,56,5,26,53,53,0,-9,-15,-1,-1,1,-20,-37,-8,0,0,4,41,13,8,13,0,20,21,31,43,32,4,0,41,21,48,52,52,7,3,1,2,7,39,14,19,8,36,36,33,33,29,14,-15,-12,5,31,32,25,38,37,39,38,38,37,37,35,34,34,21,1,0,3,-19,-3,1,-15,-36,-29,-14,-12,3,-1,41,58,28,50,35,-2,-10,0,0,0,0,0,-14,0,-3,0,0,-2,-1,0,0,0,-5
Nuclear,2281,2280,2280,2280,2280,2280,2281,2281,2280,2281,2281,2280,2281,2280,2280,2279,2278,2278,2278,2278,2278,2278,2279,2278,2279,2278,2279,2279,2279,2280,2280,2279,2277,2277,2277,2278,2276,2277,2278,2277,2277,2277,2276,2277,2278,2278,2278,2277,2277,2278,2277,2277,2277,2277,2278,2278,2278,2278,2278,2278,2279,2279,2278,2279,2279,2279,2279,2279,2279,2280,2279,2280,2281,2280,2280,2281,2281,2282,2281,2282,2281,2282,2282,2281,2281,2281,2281,2281,2281,2280,2281,2281,2281,2281,2282,2282,2282,2281,2280,2281,2281,2281,2282,2281,2282,2283,2282,2282,2283,2283,2283,2282,2282,2282,2282,2282,2281,2282,2283,2283,2282,2283,2282,2282,2281,2280,2281,2279,2279,2279,2279,2279,2279,2278,2277,2277,2277,2277,2276,2276,2276,2275,2275,2276,2276,2277,2276,2275,2277,2276,2276,2276,2276,2275,2274,2275,2275,2275,2275,2274,2275,2274,2273,2275,2275,2275,2276,2275,2275,2275,2274,2274,2274,2274,2274,2274,2274,2274,2274,2274,2274,2275,2274,2275,2271,2277,2271,2276,2275,2274,2274,2275,2275,2274,2275,2275,2275,2276,2277,2276,2276,2277,2278,2277,2277,2277,2277,2277,2278,2278,2278,2278,2277,2277,2278,2277,2277,2277,2277,2278,2277,2277,2277,2278,2277,2277,2276,2277,2277,2277,2277,2276,2276,2276,2277,2277,2277,2277,2277,2277,2277,2276,2275,2276,2277,2277,2277,2277,2278,2277,2276,2277,2276,2276,2275,2276,2276,2275,2276,2275,2277,2276,2276,2276,2277,2276,2277,2276,2275,2277,2277,2276,2276,2277,2277,2278,2278,2278,2278,2278,2278,2278,2277,2278,2279,2279,2280,2281
Coal,22,22,22,23,22,22,21,21,22,22,22,21,21,22,22,22,22,22,22,21,22,21,21,21,22,22,21,22,22,21,21,20,20,20,20,21,20,21,22,21,21,21,21,21,21,21,21,21,20,20,23,23,22,22,22,22,22,22,21,21,21,22,22,22,22,23,22,23,23,23,24,23,22,22,22,23,23,22,22,21,22,21,21,22,23,23,22,22,23,24,23,24,23,23,23,23,22,23,23,23,22,22,23,23,24,22,23,23,24,24,24,23,22,22,21,21,22,22,21,21,21,21,21,21,21,21,21,20,21,21,21,21,21,21,21,21,24,22,22,21,22,22,22,23,22,23,23,22,22,22,21,22,24,24,24,23,23,23,23,23,24,23,23,22,23,23,24,24,24,23,23,23,23,23,23,23,23,24,24,24,22,21,21,21,21,21,20,22,23,22,22,22,22,21,22,21,21,21,23,23,23,23,23,24,24,23,22,22,22,22,22,22,23,23,23,23,23,23,23,23,24,24,24,24,23,23,22,23,23,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,21,22,22,22,21,22,22,21,21,20,21,21,21,22,21,21,21,21,21,21,21,21,21,21,20,21,21,22,22,22,22,23,23,23,22,23,22,22,22,22,22,22,21,22
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
