8/20/2019,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,4866,4868,4871,4909,4946,4960,4959,4948,4922,4902,4877,4868,4872,4869,4852,4848,4829,4810,4801,4793,4767,4745,4726,4721,4708,4692,4674,4664,4652,4628,4571,4529,4504,4458,4427,4390,4366,4339,4327,4334,4349,4331,4317,4302,4271,4253,4260,4256,4246,4258,4268,4267,4253,4231,4228,4198,4141,4059,4044,4058,4080,4067,4044,4019,4000,4007,4005,3995,4069,4080,4064,4031,3982,3951,3916,3914,3910,3941,4017,4139,4277,4445,4667,4908,5218,5537,5827,6182,6563,6929,7290,7728,8114,8494,8993,9245,9613,10103,10332,10711,11110,11399,11612,11800,11943,12107,12173,12254,12410,12515,12595,12671,12761,12887,12969,13019,13059,13117,13091,13090,13046,13141,13262,13269,13227,13286,13315,13414,13456,13459,13452,13569,13644,13668,13711,13708,13701,13687,13693,13726,13734,13778,13809,13809,13826,13852,13874,13930,13962,13981,13998,14034,14097,14134,14192,14225,14259,14287,14294,14320,14290,14316,14318,14315,14350,14358,14391,14422,14435,14437,14488,14560,14566,14557,14552,14589,14594,14625,14644,14671,14651,14638,14548,14475,14464,14445,14427,14408,14345,14294,14262,14211,14180,14144,14075,13948,13904,13901,13862,13784,13705,13671,13610,13543,13454,13314,13194,13018,12849,12675,12477,12234,11978,11658,11337,11023,10636,10253,9800,9364,8901,8434,7977,7533,7121,6750,6371,6035,5697,5415,5190,5033,4920,4864,4831,4863,4891,4903,4930,4991,5078,5150,5170,5178,5233,5304,5347,5413,5452,5459,5484,5509,5502,5496,5468,5434,5402,5359,5325,5320,5334,5321,5299,5318,5338,5370,5362,5372,5389,5388,5366,5369,5376,5397,5415,5429,5427,5452,5451,5425,5416,5415,5429,5438,5450,5470,5481,5496
Natural gas,7402,7329,7160,6942,6870,6848,6786,6670,6579,6425,6331,6245,6208,6237,6146,6063,5948,5918,5873,5845,5843,5906,5804,5781,5809,5731,5745,5714,5700,5685,5646,5543,5528,5508,5509,5533,5564,5554,5516,5475,5469,5476,5458,5470,5432,5427,5465,5500,5546,5526,5514,5567,5587,5675,5750,5851,5933,6018,6182,6249,6281,6265,6299,6329,6298,6460,6486,6463,6410,6396,6408,6356,6349,6449,6544,6576,6562,6608,6641,6686,6749,6680,6603,6532,6441,6328,6342,6280,6275,6279,6206,5902,5731,5670,5544,5660,5844,5765,5751,5556,5476,5441,5459,5482,5464,5518,5531,5493,5475,5410,5428,5428,5424,5468,5439,5445,5399,5446,5454,5461,5482,5508,5491,5544,5541,5540,5581,5628,5772,5737,5677,5659,5624,5735,5669,5718,5763,5870,5982,6013,6040,6059,6129,6218,6169,6129,6139,6126,5904,5847,5873,5859,5983,6024,6220,6447,6509,6607,6716,6720,6838,6876,6972,7034,7097,7215,7364,7449,7455,7457,7475,7497,7741,7820,7931,8201,8372,8560,8750,8818,8746,8684,8764,8914,9008,9047,9166,9245,9457,9548,9600,9798,10101,10336,10385,10502,10726,10697,10769,10919,11071,11183,11240,11167,11060,11055,10999,11197,11587,11920,12163,12352,12589,12839,13053,13174,13299,13452,13362,13454,13756,14043,14201,14612,14858,15047,15182,15234,15251,15432,15581,15561,15576,15459,15491,15316,15176,15042,14937,14835,14854,14830,14691,14658,14427,14272,14191,13991,13857,13740,13648,13612,13602,13210,13046,13166,12803,12681,12554,12378,12156,12042,11723,11572,11498,11128,11123,11050,11040,10893,10723,10614,10487,10301,9960,9806,9819,9878,9994,9938,9872,9661,9385,9332,9231,8977,8637,8561
Large hydro,2922,2867,2906,2919,2913,2915,2869,2843,2839,2835,2840,2799,2752,2690,2689,2676,2669,2663,2653,2568,2559,2573,2570,2563,2521,2541,2483,2429,2398,2390,2413,2443,2449,2467,2462,2451,2427,2426,2439,2451,2444,2456,2441,2446,2471,2473,2462,2466,2457,2485,2511,2529,2542,2546,2548,2554,2563,2567,2598,2645,2736,2834,2931,2973,2958,3026,3116,3166,3183,3176,3180,3167,3165,3236,3272,3316,3312,3320,3320,3306,3392,3412,3333,3319,3273,3175,3145,3097,3091,3079,3071,2996,2848,2810,2777,2524,2374,2238,2237,2273,2275,2250,2239,2239,2240,2218,2256,2252,2187,2094,2052,2037,2017,1974,2002,2018,1989,1980,2027,2023,2021,1992,1968,1970,1987,1977,1986,1893,1873,1988,2028,2021,2027,2156,2202,2210,2213,2220,2221,2227,2223,2222,2224,2250,2219,2261,2262,2260,2556,2515,2587,2594,2628,2614,2654,2605,2594,2609,2666,2684,2697,2701,2709,2712,2717,2724,2771,2806,2875,2901,2952,2942,2938,2953,2951,2976,2935,2946,2939,2965,3024,3030,3035,3033,3122,3096,3131,3139,3151,3211,3181,3216,3255,3455,3526,3549,3503,3537,3578,3573,3578,3588,3599,3634,3751,3959,4037,4158,4188,4187,4192,4211,4224,4242,4236,4275,4320,4666,4901,4975,4978,5055,5074,5051,5076,5095,5146,5152,5139,5045,5008,5006,4989,4953,4947,4946,4959,4959,4970,4942,4830,4876,4840,4933,4857,4750,4768,4791,4786,4742,4690,4673,4647,4658,4640,4630,4535,4518,4492,4449,4452,4496,4504,4548,4465,4190,4134,4103,4017,4034,4038,4029,4020,4015,4038,4007,3885,3587,3473,3340,3316,3310,3307,3263,3228,3259,3196,3115
Imports,6908,6874,6917,6998,6909,6763,6772,6799,6818,6869,6905,6884,6854,6809,6824,6866,6916,6908,6871,6876,6889,6796,6796,6791,6792,6810,6876,6910,6921,6950,6981,7012,6995,7009,7010,7030,7062,7075,7120,7125,7121,7086,7143,7131,7166,7149,7116,7089,7117,7177,7208,7209,7232,7191,7173,7147,7211,7244,7187,7133,7121,7235,7352,7409,7608,7585,7654,7692,7771,7883,7999,8206,8445,8652,8887,8994,9113,9125,9099,9016,8915,8797,8788,8779,8657,8660,8626,8463,8200,7885,7633,7510,7440,7239,6905,6952,6730,6609,6520,6321,6028,5823,5638,5449,5299,5203,5020,4954,4891,5015,5091,5024,4915,4821,4720,4661,4694,4666,4603,4585,4680,4590,4621,4446,4499,4456,4371,4375,4336,4299,4309,4291,4264,4057,4058,4079,4002,3960,3906,3921,3926,3911,3874,3780,3922,3919,3945,4016,3808,3900,3908,3881,3756,3797,3663,3655,3690,3631,3613,3657,3670,3682,3709,3810,3863,3843,3805,3779,3839,3912,3948,3988,3895,3984,3946,3828,3806,3731,3627,3678,3875,4017,4168,4207,4097,4242,4323,4384,4425,4357,4494,4499,4345,4053,3990,4071,4119,4256,4257,4279,4324,4314,4449,4686,4878,4827,4963,4884,4776,4667,4664,4753,4811,4911,5128,5342,5534,5503,5714,5989,6166,6308,6449,6550,6655,6728,6884,7091,7272,7268,7417,7587,7588,7749,7748,7816,7848,7964,8049,8057,8062,8013,8072,7998,8071,8185,8147,8162,8114,8065,8055,7892,7724,7923,7929,7724,7892,7908,7927,7967,7966,7874,8017,7880,7653,7824,7695,7541,7441,7379,7238,7120,7006,6982,7023,6901,6705,6607,6470,6499,6440,6445,6491,6463,6452,6412,6501,6486
Batteries,0,39,2,-18,-16,-14,-32,-5,2,2,2,2,2,1,0,0,0,0,0,-1,-1,-15,-1,-10,-19,-21,-23,-23,-23,-40,-46,-36,-42,-34,-34,-39,-46,-47,-36,-37,-48,-36,-51,-39,-35,-35,-35,-37,-38,-22,-5,-5,-5,-5,-5,-5,-5,-3,-2,-6,-15,-15,26,9,-1,-16,-37,-28,-31,-24,-6,-10,-9,-3,0,0,-1,-1,-1,-1,-1,-1,-1,-2,-2,-1,-4,-31,-34,-33,-34,-28,0,0,-7,-15,-1,-39,-8,15,-2,-8,-23,-14,-22,-51,-10,-5,-7,-14,-14,-14,-16,-27,-20,-16,-24,-23,-14,-15,-13,-9,-7,-7,-5,-7,-7,-7,-27,-23,-26,-21,-1,-9,-10,-7,-4,0,20,27,28,15,0,0,0,-1,-3,-2,-14,9,11,0,-4,-20,-16,-40,-31,-15,-13,-11,-7,2,4,7,19,18,0,1,0,12,0,6,-1,0,0,-9,-27,-6,-28,-8,-21,-58,-48,-36,-2,-25,-5,-3,14,27,26,21,-3,-8,0,-8,-40,-17,-1,-1,3,15,35,54,76,43,71,19,3,1,1,1,1,7,16,56,53,14,19,7,-18,-28,-17,-17,-2,22,26,25,26,5,-21,8,-2,-27,-40,-32,-20,-7,8,18,-3,14,36,34,36,36,35,31,28,9,19,29,26,16,9,0,64,85,20,20,59,-3,-6,0,-9,28,9,0,-43,-1,-4,-8,-15,-21,-1,-1,-5,2,-1,-1,-1,-2,-2,-34,-33,-12,0,0
Nuclear,2252,2253,2252,2251,2251,2251,2251,2252,2251,2250,2251,2250,2251,2251,2252,2251,2251,2251,2251,2252,2252,2252,2252,2251,2250,2250,2250,2250,2248,2249,2250,2249,2248,2248,2247,2247,2247,2247,2247,2247,2247,2247,2246,2247,2247,2247,2248,2247,2247,2247,2247,2246,2247,2246,2246,2246,2247,2247,2247,2247,2247,2247,2247,2247,2247,2248,2246,2248,2248,2247,2248,2247,2247,2247,2247,2247,2247,2248,2248,2248,2247,2247,2247,2246,2247,2248,2247,2247,2247,2247,2246,2246,2247,2247,2246,2247,2247,2247,2246,2247,2246,2247,2248,2248,2248,2249,2248,2249,2248,2250,2249,2250,2250,2250,2250,2250,2250,2251,2250,2249,2250,2250,2251,2250,2250,2251,2250,2251,2251,2250,2251,2251,2251,2249,2245,2249,2251,2251,2251,2251,2252,2252,2251,2251,2252,2252,2251,2251,2252,2252,2252,2253,2252,2252,2253,2253,2254,2253,2252,2253,2254,2254,2253,2253,2253,2254,2254,2254,2253,2254,2254,2254,2253,2253,2254,2253,2254,2253,2254,2253,2252,2254,2252,2252,2251,2250,2248,2249,2248,2248,2248,2247,2247,2248,2248,2248,2248,2247,2247,2247,2247,2248,2248,2248,2248,2248,2248,2249,2248,2248,2248,2249,2249,2249,2249,2248,2248,2248,2248,2249,2248,2248,2249,2249,2248,2249,2249,2250,2249,2250,2251,2249,2249,2250,2250,2250,2249,2250,2250,2251,2250,2251,2251,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2252,2250,2252,2250,2251,2250,2252,2252,2253,2252,2252,2252,2253,2253,2253,2252,2254,2255,2254,2254,2256,2254,2255,2254,2254,2253,2254,2254,2253,2255,2254,2254,2254,2254,2254
Coal,9,9,9,9,8,9,9,9,9,8,9,9,9,9,8,9,8,8,8,8,8,8,9,8,9,9,8,8,8,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,7,8,8,8,8,9,9,8,8,8,8,9,9,9,8,8,8,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
