10/11/2020,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,5631,5617,5571,5523,5549,5572,5595,5580,5544,5537,5559,5573,5570,5551,5561,5543,5496,5503,5519,5500,5492,5471,5444,5421,5393,5393,5384,5366,5327,5259,5206,5190,5132,5076,5080,5071,5054,5065,5092,5112,5111,5119,5073,5045,4995,4937,4930,4926,4913,4912,4939,4899,4811,4740,4665,4592,4562,4547,4587,4598,4596,4657,4703,4746,4758,4760,4786,4787,4777,4781,4806,4789,4741,4705,4701,4674,4641,4620,4589,4516,4456,4467,4470,4472,4491,4642,4772,5021,5204,5532,5870,6164,6487,6898,7417,7909,8392,8897,9305,9727,10280,10539,10613,10795,10702,10614,10760,10862,11125,11495,11880,11940,11943,11858,11914,12244,12568,12658,12590,12639,12829,12944,13196,13297,13289,13343,13366,13419,13325,13170,13034,12934,12946,13051,13108,13124,13146,13137,13099,13105,13066,13033,13034,13011,13060,13077,13056,13012,12831,12762,12721,12643,12600,12588,12548,12511,12513,12581,12542,12418,12414,12446,12430,12327,12281,12282,12316,12265,12218,12187,12162,12146,12030,11972,11935,11817,11819,11819,11779,11761,11765,11761,11767,11766,11707,11640,11606,11544,11480,11397,11305,11219,11090,10947,10788,10635,10463,10224,9964,9712,9380,9037,8701,8321,7872,7388,6934,6524,6070,5613,5177,4745,4307,3857,3571,3364,3177,3056,2953,2942,2856,2723,2673,2662,2675,2723,2770,2799,2823,2821,2847,2867,2900,2911,2928,2904,2886,2885,2924,2944,2945,2964,2955,2931,2914,2918,2926,2940,2972,3009,2995,2944,2876,2798,2726,2708,2681,2632,2575,2530,2519,2485,2446,2414,2352,2354,2342,2342,2314,2309,2306,2307,2287,2302,2272,2241,2229,2193,2166,2158,2171,2175,2156,2137,2155,2162,2155,2159
Natural gas,7409,7547,7635,7505,7275,7242,7093,6960,6828,6748,6635,6535,6520,6441,6353,6111,5939,5849,5798,5780,5672,5555,5431,5376,5440,5539,5546,5598,5677,5663,5668,5679,5694,5627,5613,5639,5686,5685,5696,5733,5675,5665,5687,5665,5651,5620,5599,5652,5664,5666,5517,5476,5476,5456,5483,5564,5618,5723,5776,5789,5854,5924,5863,5762,5740,5724,5742,5766,5781,5776,5862,5910,6094,6226,6313,6405,6428,6515,6514,6558,6572,6598,6637,6617,6599,6600,6573,6521,6500,6362,6247,6187,6083,5940,5725,5607,5515,5225,4902,4807,4730,4714,4696,4745,4792,4737,4719,4768,4768,4759,4726,4774,4795,4865,4867,4804,4737,4757,4804,4782,4812,4761,4759,4728,4716,4695,4698,4668,4689,4714,4690,4640,4641,4671,4730,4796,4817,4865,4871,4877,4884,4878,4884,4886,4919,4858,4865,4888,4881,4888,4917,4956,5041,5100,5163,5277,5301,5364,5423,5466,5501,5548,5636,5813,5944,6029,6163,6229,6336,6427,6594,6703,6817,6886,6942,7018,7034,7085,7176,7228,7275,7418,7536,7713,7892,8013,8202,8303,8422,8505,8478,8426,8478,8505,8609,8714,8858,9001,9174,9340,9568,9837,10224,10478,10630,10981,10781,10814,11023,11475,11886,12264,12676,13058,13157,13195,13305,13270,13056,13009,13043,13056,13025,13117,13173,13264,13191,13088,13083,13189,13209,13355,13364,13318,13193,13138,13059,12966,12898,12874,12846,12747,12886,12871,12838,12797,12799,12731,12692,12629,12510,12423,12520,12461,12542,12502,12432,12419,12357,12341,12332,12239,12096,11952,11950,11773,11562,11416,11282,11087,10936,10734,10604,10444,10323,10316,10338,10288,10223,10181,9855,9775,9816,9756,9609,9532,9399,9228
Large hydro,1202,1229,1258,1275,1270,1255,1255,1234,1224,1231,1214,1216,1195,1206,1171,1163,1177,1196,1196,1176,1179,1181,1218,1230,1220,1112,1104,1028,1019,1013,1017,976,971,982,978,977,967,932,878,844,846,849,841,841,831,842,836,825,828,921,976,985,1010,1038,1030,1020,984,960,927,907,863,868,911,930,938,934,927,946,991,974,951,944,941,988,977,967,942,932,932,970,987,969,956,927,889,897,914,863,843,840,835,831,840,840,825,771,713,685,650,631,591,583,583,572,573,581,577,584,581,535,515,521,510,533,543,507,459,471,550,567,543,565,551,546,562,545,560,523,506,512,535,500,465,442,444,462,472,483,497,498,491,494,521,518,520,512,524,537,515,497,492,473,458,461,464,468,465,448,441,443,442,434,435,440,448,443,444,444,435,428,423,418,427,429,429,437,440,432,456,450,478,521,520,520,526,518,522,523,530,532,828,850,882,949,1018,1052,1099,1118,1122,1126,1135,1131,1123,1188,1282,1553,1693,1715,1736,1749,1756,1771,1817,1857,1826,1826,1895,2120,2204,2190,2162,2272,2358,2421,2436,2437,2459,2449,2437,2370,2326,2285,2242,2257,2250,2204,2194,2214,2191,2142,2126,1929,1893,1860,1868,1852,1860,1852,1854,1858,1870,1869,1853,1744,1690,1679,1669,1664,1668,1663,1658,1661,1659,1661,1631,1540,1501,1497,1521,1486,1489,1446,1441,1466,1467,1437,1395,1311,1239,1239,1240,1241,1237,1239,1245,1256,1254,1257
Imports,7089,6932,6829,6863,7019,6960,7027,7085,7160,7160,7182,7149,7142,7121,7209,7430,7561,7532,7489,7483,7529,7604,7648,7634,7532,7485,7475,7470,7420,7478,7440,7439,7431,7523,7479,7451,7378,7365,7362,7375,7399,7382,7386,7387,7392,7463,7448,7401,7431,7315,7357,7419,7450,7505,7532,7530,7558,7521,7481,7466,7454,7375,7338,7401,7395,7413,7394,7411,7398,7396,7326,7321,7231,7150,7154,7136,7187,7178,7245,7290,7308,7327,7293,7320,7346,7251,7143,6997,6827,6684,6471,6241,6000,5767,5472,5148,4775,4657,4647,4408,3962,3768,3674,3504,3531,3543,3458,3289,3042,2758,2459,2352,2278,2276,2192,1951,1705,1578,1505,1417,1251,1149,914,809,770,733,709,658,763,872,1018,1130,1174,1123,1009,888,800,811,817,806,876,955,937,992,974,1054,1099,1093,1363,1511,1578,1653,1719,1708,1708,1747,1750,1680,1733,1906,1887,1930,1947,1973,1995,2006,1970,2030,2080,2098,2089,2146,2247,2354,2431,2579,2684,2804,2896,3011,3098,2941,2927,2897,2877,2976,2932,3017,3095,3217,3042,3138,3298,3382,3484,3625,3728,3917,4133,4366,4576,4761,4906,5136,5457,5494,6039,6482,6810,6900,7034,7151,7165,7232,7543,7735,7821,7907,8073,8125,8234,8308,8351,8336,8320,8295,8403,8526,8531,8457,8415,8270,8204,8221,8261,8288,8327,8371,8329,8344,8309,8430,8306,8298,8262,8213,8094,8046,7964,7897,7913,7948,7866,7960,7956,7916,7945,7908,7897,7832,7732,7712,7810,7845,7833,7899,8015,8030,8025,8133,8176,8245,8262,8228,8209,8138,8023,8025,8096,8024,8188,8158,8021,7969,7965,7896,7890,7947
Batteries,-13,-3,6,6,-4,-9,-14,-7,4,8,11,17,-7,25,-2,-6,4,17,7,11,5,8,6,25,21,37,36,22,17,19,18,-3,4,-13,-11,-11,-24,-14,-9,-9,-22,-18,-18,-10,-10,-10,-8,-20,-25,-9,-8,-7,3,13,9,6,-11,-13,-26,-28,-32,-4,-8,-9,11,6,3,10,22,8,-2,-2,-2,-3,-3,3,-3,-4,-2,23,34,-7,-4,-14,3,13,17,6,-6,-16,-25,-35,-35,-38,-53,-81,-53,-26,-26,-30,-36,-29,-30,-33,-7,9,4,16,5,-14,-27,-19,-19,-6,-3,-12,-20,-26,-7,-6,-7,11,5,6,-1,-11,-12,-13,-13,-7,4,-10,-26,-33,-27,-19,-23,-25,-29,-24,-20,-20,-18,-23,-34,-25,-6,6,0,-17,-14,-14,-13,-3,-1,1,-8,-16,-12,-7,8,0,-12,-12,-4,-3,-7,-3,-7,-18,-26,-20,-17,-18,-21,-16,-13,-14,-13,-13,-19,-7,-19,-12,15,16,16,19,19,23,22,23,21,-11,-25,-17,-11,-7,-2,3,12,9,-12,-6,-5,-6,-2,-2,0,1,6,45,84,72,57,57,53,9,4,15,9,13,20,15,14,17,12,15,20,30,49,46,41,40,27,36,36,31,8,2,-12,26,21,7,-10,-16,-15,-14,-14,-19,-17,-20,-42,3,10,8,1,-1,-5,-6,-10,-16,-34,-28,-51,-29,-22,-25,-32,-35,-46,-41,-44,-33,-32,-39,-35,-17,-4,-9,-3,-4,-15,-9,-7,-7,-4,1
Nuclear,1124,1124,1124,1124,1124,1124,1124,1125,1124,1124,1124,1124,1124,1124,1124,1124,1124,1125,1125,1124,1125,1125,1125,1125,1125,1125,1125,1124,1124,1125,1125,1125,1125,1124,1124,1124,1124,1123,1123,1123,1122,1122,1122,1122,1122,1122,1122,1121,1122,1122,1122,1122,1122,1122,1123,1122,1123,1123,1124,1125,1125,1125,1125,1125,1125,1125,1126,1126,1126,1126,1126,1126,1126,1126,1126,1127,1127,1126,1127,1126,1126,1126,1126,1127,1127,1126,1127,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1125,1125,1126,1126,1126,1126,1125,1126,1126,1126,1126,1126,1126,1126,1126,1127,1126,1126,1126,1126,1126,1126,1126,1127,1126,1126,1126,1126,1126,1126,1126,1125,1126,1126,1126,1126,1126,1125,1125,1125,1125,1125,1124,1124,1124,1125,1124,1125,1124,1124,1124,1124,1124,1124,1124,1125,1125,1124,1124,1124,1125,1125,1124,1124,1124,1124,1124,1124,1124,1124,1124,1124,1124,1124,1124,1123,1123,1124,1124,1124,1124,1123,1123,1124,1123,1123,1124,1123,1124,1124,1124,1124,1124,1123,1124,1124,1124,1124,1125,1125,1124,1125,1125,1125,1125,1125,1124,1125,1124,1124,1124,1124,1124,1124,1124,1124,1124,1124,1124,1124,1124,1123,1124,1124,1124,1124,1124,1124,1124,1124,1124,1124,1124,1123,1124,1124,1124,1125,1124,1124,1124,1124,1125,1125,1125,1125,1124,1125,1125,1125,1125,1126,1126,1126,1126,1126,1125,1126,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1124,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1125,1126,1126,1125,1125,1125,1125,1126,1125,1125,1125
Coal,16,17,16,17,17,18,18,18,17,16,15,15,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16,16,16,16,16,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,17,16,17,16,16,16,17,17,18,18,18,17,17,17,17,17,17,17,16,16,16,16,16,16,16,17,16,15,16,16,16,16,17,17,17,16,17,16,16,16,16,16,16,16,16,16,15,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,17,16,16,16,16,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,16,16,15,15,16,16,16,16,16,16,15,16,16,17,16,16,16,17,16,16,17,16,16,16,16,16,16,16,16,16,16,16,15,15,15,16,16,15,15,16,16,17,17,16,16,17,16,16,17,17,16,17,17,17,17,17,17,16,16,17,17,16,17,17,16,15,15,16,16,16,15,16,16,16,16,16,16,16,17,17,16,16,17,17,17,17,17,17,17,17,17,17,17,16,15,16,16,16,16,17,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,18,19,19,19,19,18,18,18,18,19,18,18,18,18,18,18,19,18,17,17,18,17,18,18
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
