1/1/2022,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,5311,5333,5411,5482,5475,5497,5512,5470,5478,5431,5424,5419,5343,5244,5169,5149,5101,5055,5007,5034,5091,5048,4961,4842,4777,4730,4739,4744,4723,4661,4621,4601,4557,4563,4561,4520,4476,4478,4496,4515,4535,4528,4465,4387,4352,4381,4340,4296,4266,4279,4287,4292,4286,4284,4268,4231,4190,4160,4109,4105,4077,4045,3998,3950,3915,3883,3837,3806,3766,3704,3677,3648,3608,3542,3497,3462,3439,3424,3436,3457,3468,3499,3514,3555,3607,3692,3779,3956,4185,4440,4821,5233,5688,6172,6637,7082,7562,8052,8602,9084,9604,10065,10479,10879,11445,11636,11606,11521,11717,12250,12314,12703,12906,12909,13003,13056,13082,12946,12721,12694,12865,12952,13076,13337,13246,13178,13191,13103,13114,13124,13170,13178,13280,13108,13122,13222,13149,13118,13309,13355,13267,13006,12927,12904,12734,12935,12931,13053,13208,13468,13579,13329,12911,12893,13265,13658,13441,13157,13135,13178,13075,12973,12949,12887,12628,12576,12696,12766,12612,12574,12291,12243,12250,12318,12451,12218,11986,12237,12580,12552,12162,11639,10769,10313,10174,10461,10386,9941,9400,8860,8202,7630,7100,6510,5984,5422,4930,4503,4166,3915,3699,3568,3429,3398,3321,3192,3178,3147,3117,3119,3103,3071,3071,3086,3093,3077,3071,3076,3056,3059,3060,3067,3069,3092,3122,3134,3116,3082,3033,3014,2959,2936,2923,2914,2893,2860,2821,2793,2748,2714,2708,2679,2666,2657,2630,2603,2593,2566,2522,2485,2467,2443,2438,2421,2413,2433,2454,2462,2465,2469,2452,2426,2406,2419,2434,2451,2469,2468,2469,2487,2479,2461,2453,2471,2494,2515,2535,2572,2615,2665,2688,2709,2700,2663,2638,2615,2607,2565
Natural gas,7280,7119,6904,6870,6860,6868,6831,6917,6913,6895,6792,6683,6664,6652,6543,6511,6460,6467,6440,6333,6251,6241,6248,6292,6348,6601,6724,6758,6633,6582,6579,6656,6673,6729,6730,6584,6523,6622,6724,6666,6610,6609,6553,6490,6469,6449,6486,6563,6591,6582,6603,6634,6628,6680,6702,6753,6751,6725,6796,6880,6871,6843,6787,6765,6856,6891,6854,6850,6846,6885,6913,6908,6977,7114,7190,7179,7181,7228,7285,7441,7544,7578,7607,7619,7587,7481,7311,7268,7243,7166,7118,6844,6554,6236,6032,5693,5492,5375,5218,5099,4972,4969,5049,4930,4891,4918,4971,4970,4762,4307,3952,3896,3973,4040,3900,3875,3954,4055,3951,3991,3981,4041,4064,4197,4357,4354,4230,4183,4068,3905,3823,3801,3725,3677,3533,3507,3430,3405,3380,3454,3470,3483,3418,3371,3410,3479,3571,3526,3563,3554,3801,3754,3602,3476,3502,3688,3920,3723,3571,3566,3519,3525,3579,3602,3631,3562,3543,3822,4315,4337,4334,4278,4321,4319,4659,4847,4660,4574,4680,5065,5451,5684,5686,5839,5623,5626,5759,5804,5703,5728,5949,6287,6455,6653,6772,7060,7367,7678,7847,8317,8582,8651,9084,9260,9509,9904,10094,10383,10705,10846,10984,10948,10875,10825,10881,10804,10813,10841,10854,10886,10745,10736,10919,10884,10875,10542,10171,10326,10313,10196,10324,10286,10186,10208,10200,10234,10201,10360,10338,10256,10434,10325,10142,10146,10199,10269,10293,10294,10291,10289,10259,10290,10445,10601,10614,10607,10477,10485,10525,10526,10520,10481,10446,10570,10568,10636,10595,10642,10505,10498,10493,10448,10410,10453,10262,9997,9939,9936,10001,9981,9838,9792,9823,9880,9907,9983,9961,9941
Large hydro,1200,1129,1114,1135,1102,1097,1085,1089,1082,1090,1082,1079,1088,1078,1130,1108,1109,1103,1101,1099,1085,1084,1092,1087,1075,1078,1055,1061,1065,1060,1075,1060,1050,1055,1050,1046,1024,844,766,755,746,757,766,791,800,784,773,791,804,772,768,779,763,743,757,800,841,845,844,867,877,905,957,981,990,981,969,977,980,991,1002,995,1008,1118,1142,1163,1128,1117,1088,1060,1068,1073,1080,1094,1052,1088,1115,1102,1072,1052,1032,978,958,886,897,939,948,933,942,964,919,898,908,716,596,514,598,604,604,465,319,242,202,201,190,151,154,184,206,228,168,180,199,206,195,186,200,182,207,197,231,253,221,253,267,249,299,314,248,234,218,268,328,355,346,278,227,212,163,115,90,110,185,214,153,95,96,151,152,110,122,138,141,114,204,249,212,168,182,196,228,188,199,181,154,153,198,175,104,113,150,162,313,434,781,776,821,1064,1199,1214,1205,1227,1242,1515,1734,1861,1937,2018,2026,2134,2282,2461,2611,2787,2836,2896,2864,2869,2882,2887,2879,2829,2818,2793,2763,2727,2638,2655,2629,2635,2661,2672,2639,2576,2596,2660,2695,3193,3244,2755,2573,2543,2508,2491,2446,2385,2371,2356,2330,2329,2332,2400,2366,2301,2269,2262,2284,2352,2351,2235,2044,2027,2000,1931,1866,1864,1852,1845,1841,1841,1831,1784,1617,1606,1523,1481,1467,1471,1478,1468,1464,1468,1459,1446,1404,1405,1376,1260,1180,1183,1176,1230,1312,1321,1306,1297,1291,1280
Imports,8200,8079,8085,7962,7973,7889,7822,7890,7927,7886,7741,7743,7758,7676,7675,7709,7717,7715,7782,7814,7866,7895,7880,7931,7940,7785,7730,7756,7716,7733,7743,7769,7943,7908,7924,7955,7970,8089,8130,8088,8130,8161,8180,8240,8230,8240,8307,8271,8285,8232,8194,8161,8195,8216,8209,8165,8131,8182,8312,8292,8291,8252,8269,8313,8430,8467,8514,8534,8546,8551,8540,8575,8625,8644,8768,8804,8824,8874,8799,8684,8650,8643,8621,8594,8721,8656,8691,8622,8453,8352,8172,8104,7950,7862,7694,7306,6786,6536,6220,5760,5402,5163,4812,4828,4705,4699,4680,4613,4445,4333,4431,4203,4319,4149,3956,3879,3854,3775,3817,3702,3516,3390,3206,3050,3110,3113,2904,2893,2719,2797,2682,2545,2437,2448,2376,2199,2130,2071,1976,1978,1984,2106,2033,1980,2169,2072,2103,1994,1890,1701,1715,1881,2091,2036,1831,1703,2000,1953,1956,1941,2028,2097,2111,2162,2329,2367,2338,2347,2629,2689,2945,2927,2948,2822,2794,3005,2980,2804,2589,2646,2601,2745,3265,3444,3205,3063,3090,3255,3661,4017,4323,4738,5182,5291,5606,6022,6302,6522,6677,6671,6632,6600,6293,6260,6184,5924,5954,5885,5898,5987,6114,6301,6410,6572,6637,6854,7091,7147,7289,7257,7383,7245,7134,7151,7150,7400,7661,7343,7291,7513,7728,7873,7931,7922,7971,7956,7992,7855,7914,8047,8178,8133,8224,8330,8339,8326,8305,8250,8266,8271,8413,8485,8420,8200,8090,8055,8169,8276,8293,8268,8255,8280,8381,8428,8227,7972,7905,7729,7820,7856,7821,7815,7883,7843,7869,7925,7917,7854,7814,7735,7811,7794,7674,7483,7400,7384,7218,7271
Batteries,-116,117,149,164,152,147,116,-13,-53,-31,95,118,122,220,200,173,190,159,146,158,124,129,134,132,115,88,0,31,99,83,27,-33,-191,-206,-226,-153,-145,-68,-41,-4,-38,-40,-13,3,11,-34,-40,-35,-44,-6,26,23,-2,-19,-29,-14,-8,-30,-118,-130,-76,93,125,115,30,49,74,130,175,182,199,195,159,116,86,147,138,103,205,194,149,164,178,114,74,227,226,115,134,61,-3,-4,10,-46,-8,106,162,133,37,67,14,-100,-256,-210,-380,-476,-570,-519,-505,-469,-357,-366,-718,-588,-559,-567,-666,-671,-634,-624,-658,-736,-746,-962,-1043,-1013,-909,-903,-775,-797,-739,-717,-750,-638,-546,-548,-470,-450,-508,-545,-558,-492,-456,-460,-525,-585,-627,-600,-575,-603,-773,-707,-562,-505,-566,-843,-936,-647,-594,-580,-551,-548,-521,-478,-416,-400,-431,-590,-759,-741,-714,-578,-577,-463,-705,-661,-315,-303,-436,-494,-498,-313,-199,-108,-76,-136,-136,-148,-44,122,346,372,419,505,482,485,495,595,669,817,928,1060,1128,1119,1235,1383,1413,1473,1442,1416,1348,1395,1441,1410,1407,1284,1191,1101,1091,1097,1135,1217,1185,1232,1208,1305,1318,1072,1035,1182,1141,1114,1131,1126,1088,1106,1042,1059,1036,881,668,797,738,688,611,584,546,498,467,511,508,397,360,509,586,561,494,325,260,255,246,234,240,129,250,315,301,331,222,172,138,99,-16,-48,71,102,99,56,52,38,5,1,-53,-18,-77,-130,-57,-130
Nuclear,2264,2265,2264,2265,2265,2264,2265,2264,2265,2265,2265,2264,2264,2265,2265,2265,2264,2265,2265,2265,2266,2265,2266,2265,2266,2266,2265,2266,2266,2265,2266,2266,2266,2266,2267,2266,2266,2266,2266,2266,2266,2266,2266,2266,2267,2266,2266,2266,2266,2267,2266,2266,2265,2267,2267,2267,2267,2267,2267,2267,2266,2267,2266,2267,2267,2266,2267,2266,2267,2266,2266,2267,2267,2267,2267,2267,2266,2266,2266,2266,2266,2267,2267,2266,2266,2266,2265,2265,2265,2266,2266,2266,2266,2267,2267,2267,2267,2267,2266,2266,2266,2266,2267,2266,2267,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2267,2266,2267,2266,2268,2267,2266,2267,2266,2267,2268,2268,2268,2268,2268,2267,2268,2268,2266,2268,2267,2268,2267,2267,2267,2267,2267,2266,2267,2266,2267,2266,2266,2266,2266,2265,2265,2266,2265,2265,2264,2264,2264,2264,2263,2264,2263,2264,2264,2263,2264,2264,2263,2264,2264,2264,2264,2264,2264,2265,2264,2265,2265,2263,2264,2264,2264,2264,2264,2263,2263,2264,2264,2264,2264,2263,2264,2264,2264,2264,2264,2264,2264,2265,2266,2266,2265,2266,2266,2266,2266,2267,2267,2266,2267,2267,2267,2267,2267,2266,2267,2267,2267,2267,2267,2267,2267,2268,2268,2268,2267,2268,2267,2267,2267,2266,2266,2266,2266,2266,2266,2265,2265,2265,2264,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265,2264,2264,2264,2265,2265,2266,2266,2265,2265,2265,2266,2266,2265,2265,2265,2264,2265,2266,2265,2265,2265,2266,2265,2265,2265,2265,2265,2265,2265,2266,2265,2264,2265,2265,2265
Coal,20,20,20,21,20,20,20,19,19,20,19,19,18,19,20,19,19,19,20,19,18,19,19,19,20,19,20,20,20,20,20,19,19,20,20,20,20,20,19,19,20,20,20,20,21,20,20,20,20,20,21,20,20,20,20,20,20,20,20,20,20,20,20,19,19,20,19,19,19,19,19,19,19,20,19,20,20,20,20,19,19,20,20,21,21,21,21,21,21,20,19,19,20,19,20,21,21,21,20,20,21,20,20,20,20,21,20,21,20,21,21,20,20,20,20,20,20,20,21,20,20,20,20,21,20,19,19,20,19,20,20,20,21,20,20,20,20,20,19,19,19,19,19,20,20,19,19,19,18,18,17,18,19,18,18,18,18,18,19,18,18,18,18,18,19,18,19,18,18,18,18,18,18,18,18,19,19,19,19,18,19,19,18,19,20,20,20,19,19,20,20,20,20,19,19,19,20,19,19,19,18,18,18,18,19,18,18,19,18,18,18,19,19,19,19,20,20,19,19,20,19,19,18,17,18,18,17,17,17,17,17,18,18,18,18,18,18,18,17,18,18,18,17,18,18,18,17,17,18,17,17,18,17,18,18,17,17,18,18,18,18,18,18,18,18,19,18,18,18,18,19,18,18,18,18,18,18,18,17,17,17,17,18,18,18,18,17,18
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
