3/10/2020,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,2044,2031,2039,2049,2062,2060,2058,2061,2043,2031,2030,2052,2058,2049,2043,2052,2057,2070,2099,2148,2193,2221,2217,2179,2162,2195,2228,2257,2281,2319,2362,2370,2368,2400,2411,2425,2418,2425,2450,2460,2425,2405,2372,2340,2348,2375,2448,2559,2614,2667,2678,2661,2643,2626,2619,2639,2676,2656,2646,2650,2647,2661,2658,2656,2659,2649,2657,2611,2573,2568,2555,2536,2472,2450,2458,2462,2498,2534,2572,2623,2648,2669,2726,2785,2840,2897,2954,2993,3007,3060,3134,3222,3316,3458,3513,3638,3714,3853,4038,4242,4495,4664,4794,4911,5031,5238,5320,5492,5621,5891,5972,5928,5891,5968,6095,6311,6505,6715,6633,6526,6698,6852,6930,7021,6918,7239,7474,7678,7433,7589,7822,7897,7845,8140,8419,8564,8540,8450,8407,8314,8126,8065,8240,8132,8057,8104,8609,8875,8865,8633,8228,8285,8238,7978,7702,8038,8191,7909,7857,8083,8215,8317,8073,7724,7580,7448,7196,6950,7152,7270,7184,7273,7614,7766,7646,7001,6867,6910,6765,6674,6435,6269,6195,6111,5989,5895,6057,6152,5892,5863,5865,5873,5847,5788,5496,5500,5563,5510,5436,5304,5285,5251,5162,5122,4973,4790,4696,4665,4604,4423,4297,4120,3928,3779,3636,3528,3464,3432,3422,3392,3399,3357,3255,3183,3089,3019,2970,2894,2861,2792,2835,2878,2889,2849,2739,2617,2570,2490,2452,2433,2427,2426,2389,2362,2374,2364,2326,2337,2339,2349,2354,2379,2403,2413,2426,2435,2441,2440,2434,2436,2434,2419,2389,2363,2352,2359,2376,2420,2447,2460,2454,2487,2530,2557,2571,2553,2523,2495,2466,2425,2401,2396,2400,2401,2418,2442,2456,2467
Natural gas,9516,9619,9645,9561,9544,9465,9444,9350,9303,9230,9237,9279,9257,9213,9169,9191,9140,9078,9073,9141,9131,9116,9031,9014,9056,9107,9067,9055,9041,8950,8882,8788,8740,8707,8675,8685,8689,8804,8839,8814,8761,8768,8862,8934,8929,8944,8877,8918,8908,8791,8740,8721,8910,9022,9112,9188,9274,9304,9335,9258,9204,9265,9275,9245,9522,9526,9625,9820,9936,9969,10112,10158,10210,10478,10521,10521,10625,10684,10879,11057,11131,11225,11328,11493,11664,11744,11861,12076,12210,12265,12217,12102,12049,11988,11945,11962,12009,12180,12341,12266,11924,11792,11657,11455,11362,11329,11301,11459,11463,11434,11443,11516,11497,11663,11627,11213,10795,10737,10903,10786,10711,10487,10381,10275,10112,9969,9956,9847,9697,9519,9539,9583,9655,9457,9289,9125,8952,8831,8835,8780,8890,8911,8970,8949,8814,9073,9357,9334,8945,8883,8836,8941,9267,9400,9421,9464,9508,9700,9710,9588,9603,9678,9574,9707,9711,9748,9787,9846,9757,9694,9710,9698,9416,9176,9162,9272,9311,9230,9409,9525,9554,9610,9546,9534,9555,9692,9758,9695,9616,9767,9794,9876,9860,9610,9332,9278,9477,9679,9772,9861,9938,10065,9934,9920,10060,10211,10258,10484,10703,10714,10815,10900,10985,11118,11184,11236,11287,11037,10857,10598,10632,10650,10687,10813,10943,11126,11409,11655,11734,11832,11797,11862,11890,11883,11920,12084,12057,12134,12092,12138,12184,12289,12301,12380,12386,12382,12266,12208,12144,12146,12165,12144,12121,11898,11844,11811,11776,11711,11640,11568,11502,11485,11441,11458,11390,11279,11219,11224,11154,11062,10988,10697,10544,10421,10270,10100,10104,10025,9944,9842,9637,9516,9481,9302,9281,9363,9266,9197
Large hydro,1690,1782,1763,1826,1723,1648,1607,1604,1696,1657,1601,1605,1578,1570,1495,1469,1398,1383,1379,1446,1393,1344,1279,1247,1249,1332,1380,1353,1333,1288,1241,1233,1228,1223,1221,1209,1153,1199,1204,1224,1232,1238,1253,1287,1229,1227,1223,1217,1221,1150,1154,1141,1135,1148,1228,1294,1339,1365,1382,1362,1315,1245,1252,1223,1216,1211,1209,1229,1332,1438,1500,1497,1507,1443,1534,1563,1637,1632,1658,1682,1751,1778,1787,1798,1893,1918,1889,1892,1877,1873,1871,1875,1870,1797,1772,1772,1842,1698,1623,1603,1592,1569,1571,1518,1509,1448,1308,1249,1178,1039,1022,1042,997,1252,1370,1348,1147,932,907,911,852,659,648,643,659,647,622,565,566,569,560,564,572,568,557,553,574,594,589,594,603,603,591,582,586,351,212,202,217,245,317,271,245,234,289,319,247,293,336,262,217,216,221,238,245,254,251,293,261,242,236,240,541,550,555,644,707,593,578,635,646,723,761,743,717,722,753,775,777,757,743,743,774,913,972,994,984,986,999,989,979,975,1012,1045,1086,1197,1245,1240,1249,1256,1276,1274,1281,1362,1393,1458,1579,1717,1840,1887,1891,1892,1853,1851,1860,1854,1856,2008,2146,2194,2340,2490,2523,2504,2337,2401,2396,2418,2357,2381,2435,2479,2539,2548,2541,2566,2550,2543,2529,2473,2365,2347,2411,2362,2285,2261,2298,2293,2285,2286,2273,2268,2224,2172,2065,1658,1533,1503,1462,1384,1358,1441,1474,1359,1340,1340,1287,1248,1258,1298,1241,1240,1260,1220,1193,1199,1208,1171
Imports,6525,6378,6322,6210,6196,6224,6205,6222,6098,6060,6037,5966,5913,5872,5893,5867,5904,5940,5893,5732,5671,5679,5754,5762,5659,5572,5516,5505,5503,5533,5582,5679,5740,5747,5740,5731,5753,5649,5626,5604,5633,5621,5524,5444,5431,5439,5399,5344,5406,5551,5713,5768,5684,5588,5458,5370,5276,5276,5319,5401,5561,5667,5892,6080,5944,5998,5978,5939,5961,5930,5874,6034,6201,6404,6686,6821,6879,6939,6874,6852,6875,6887,6873,6841,6710,6638,6681,6654,6699,6635,6621,6695,6663,6584,6519,6480,6296,6165,5966,5894,5997,6031,6013,6014,5888,5855,5869,5659,5540,5424,5320,5168,5208,4994,4821,4906,5076,5138,5135,5103,5098,5283,5304,5251,5397,5305,5164,5133,5315,5360,5208,5113,4947,4900,4839,4836,4640,4627,4759,4755,4839,4852,4574,4752,4841,4843,4638,4407,4607,4710,4969,4996,4905,5055,5320,5008,4875,4989,4939,4877,4900,4794,4917,4939,5082,5131,4742,5327,5279,5356,5556,5496,5117,5013,5059,5434,5438,5518,5624,5611,5713,5798,5902,6009,6240,6277,6296,6260,6464,6282,6223,6231,6269,6341,6636,6700,6633,6615,6612,6664,6641,6646,6805,6907,6934,6853,6923,6922,6905,7047,7120,7240,7452,7496,7612,7777,7828,7851,7920,8191,8211,8319,8511,8551,8628,8694,8595,8543,8463,8538,8527,8381,8281,8459,8682,8666,8724,8695,8776,8750,8596,8388,8296,8169,8104,8037,8080,8107,8072,8007,7953,7915,7742,7916,8050,7965,7964,7914,7898,7827,7770,7660,7628,7523,7492,7658,7708,7625,7561,7542,7549,7605,7515,7558,7605,7621,7559,7629,7580,7531,7645,7676,7611,7538,7492,7415,7397,7322
Batteries,-13,-29,-11,-4,2,27,6,0,0,0,2,-8,-10,-2,3,0,5,14,0,-1,-21,-28,0,0,0,-9,-12,-6,-3,-12,0,0,0,-7,0,0,-1,-8,-10,-10,-10,-13,-10,-19,-10,-10,-38,-50,-57,-33,10,-18,-27,-28,-38,-32,-48,-41,-40,-36,-26,-9,-23,-27,-22,-3,20,8,2,12,9,-4,-14,-10,-11,-6,0,-1,-2,-10,-2,5,5,6,9,26,28,35,46,34,52,37,32,46,45,28,17,25,4,-31,-17,-28,-51,-2,1,-28,4,4,4,1,0,47,55,-39,-62,-83,-19,-77,-20,1,1,6,15,4,47,-11,-50,-64,-4,-25,-78,-71,-2,-90,-104,-97,-9,-18,-1,4,7,41,41,-36,-2,15,-88,-83,-33,43,61,61,14,53,67,40,21,68,91,-21,-84,-97,-10,0,0,0,-41,53,26,-72,-26,-6,-98,-95,-52,88,100,26,-6,11,89,80,82,15,-6,-7,-80,-110,-82,0,-4,5,1,0,2,17,-51,-55,-1,-10,-27,-19,0,27,68,61,20,12,-17,8,40,30,40,12,32,22,0,-9,-18,-18,-20,4,9,48,16,23,17,8,5,-4,-8,6,12,12,11,12,26,20,27,21,28,34,35,31,25,27,6,6,1,1,0,5,6,10,10,14,-34,-39,-39,-39,-39,-39,-48,-52,-56,-18,-1,-1,-1,-1,-1,-1,-1,-13,-1,0,0,0,0,0,0,-2,-3,-3,-3,-15,-5,0
Nuclear,2249,2250,2249,2248,2249,2249,2249,2249,2250,2249,2249,2249,2248,2249,2248,2248,2247,2247,2247,2247,2247,2248,2248,2247,2249,2248,2247,2247,2247,2247,2247,2247,2246,2247,2247,2246,2246,2247,2247,2246,2246,2246,2246,2246,2246,2247,2245,2246,2247,2246,2246,2245,2246,2246,2247,2246,2246,2246,2245,2246,2245,2247,2246,2246,2245,2245,2245,2246,2246,2246,2246,2245,2246,2246,2245,2246,2245,2246,2245,2246,2246,2245,2246,2246,2247,2247,2246,2246,2247,2247,2247,2248,2247,2248,2247,2248,2247,2248,2249,2248,2249,2249,2250,2249,2249,2248,2249,2250,2250,2249,2249,2249,2249,2249,2250,2249,2249,2250,2250,2249,2250,2250,2248,2249,2248,2250,2249,2251,2250,2250,2251,2250,2251,2250,2251,2251,2253,2252,2253,2251,2252,2252,2251,2252,2252,2252,2252,2252,2252,2251,2252,2251,2252,2252,2250,2251,2250,2251,2251,2251,2249,2250,2250,2250,2250,2249,2249,2248,2249,2248,2250,2249,2249,2249,2250,2250,2248,2249,2248,2248,2249,2248,2248,2247,2248,2247,2248,2247,2248,2247,2247,2247,2246,2247,2246,2246,2246,2247,2246,2246,2245,2245,2246,2245,2245,2245,2245,2245,2246,2245,2246,2246,2245,2246,2246,2247,2246,2246,2247,2245,2246,2247,2246,2246,2246,2246,2248,2247,2246,2247,2247,2247,2246,2246,2247,2246,2247,2246,2247,2247,2247,2246,2246,2246,2247,2247,2247,2247,2247,2248,2247,2247,2247,2249,2248,2249,2247,2248,2248,2248,2248,2249,2249,2249,2250,2249,2250,2249,2250,2249,2250,2250,2250,2249,2250,2249,2250,2250,2249,2250,2250,2250,2251,2250,2250,2250,2250,2249
Coal,14,15,16,16,15,15,14,15,14,15,14,15,15,14,15,15,15,15,14,14,14,14,15,15,15,14,14,15,15,15,15,15,15,14,14,13,13,13,14,14,14,14,13,13,13,13,13,12,13,15,14,14,13,13,13,13,13,13,13,13,13,13,14,13,14,13,13,14,13,13,13,12,12,11,11,11,12,12,12,12,12,13,14,14,13,14,15,14,14,14,14,14,14,14,14,14,13,13,14,14,14,15,16,17,16,16,19,15,13,14,14,14,15,14,14,14,14,14,14,14,14,15,15,14,15,15,14,14,15,15,15,16,16,16,15,15,15,15,16,16,16,16,15,15,16,16,15,15,16,16,16,16,16,16,16,16,16,17,16,16,14,14,14,14,14,15,15,15,14,14,14,14,14,14,14,14,14,14,15,15,16,16,16,15,15,16,15,15,16,16,16,16,16,17,17,17,16,17,17,16,16,16,16,17,16,16,16,16,16,16,15,16,16,16,16,16,16,15,16,16,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,16,15,15,15,15,15,14,13,13,14,14,15,15,15,15,15,16,16,16,15,14,14,14,14,13,14,14,14,14,14,14,14,14,14,15,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
