3/12/2020,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,2145,2152,2170,2202,2238,2253,2261,2252,2249,2245,2242,2247,2235,2226,2227,2219,2224,2239,2251,2262,2264,2267,2275,2265,2265,2263,2256,2255,2259,2259,2252,2246,2242,2223,2197,2189,2177,2178,2209,2204,2197,2195,2173,2155,2136,2145,2154,2151,2158,2185,2209,2217,2227,2232,2234,2199,2198,2195,2194,2189,2187,2195,2193,2188,2184,2171,2173,2184,2194,2205,2239,2260,2308,2332,2343,2342,2332,2324,2321,2332,2341,2354,2366,2378,2386,2408,2428,2444,2470,2528,2636,2756,2942,3121,3379,3569,3827,4107,4406,4688,4835,5103,5330,5531,5729,5783,5780,5866,6270,6279,6326,6187,6097,6033,6222,6411,6565,6641,6995,6664,7025,7111,7124,6956,6919,6955,7050,7481,7606,7572,7648,7520,7361,7218,7109,7100,7063,7111,7102,7407,7540,7407,7202,7230,7124,6936,6829,6843,7074,7297,7385,7203,7034,7114,7116,7101,7182,7099,7091,6920,6863,6791,6611,6647,6664,6650,6526,6490,6461,6302,6342,6501,6575,6813,7056,7204,7210,7330,7414,7313,7147,7048,7034,7076,7325,7389,7424,7337,7206,7321,7403,7242,7403,7637,7434,7334,6969,6701,6967,7068,6999,6685,6513,6277,6130,6280,6180,5743,5370,5479,5577,5412,5331,5183,4997,4810,4579,4304,4129,4025,3975,3928,3850,3787,3782,3767,3732,3744,3742,3743,3731,3756,3777,3818,3842,3848,3846,3823,3789,3771,3724,3704,3665,3622,3616,3592,3602,3628,3634,3641,3664,3657,3624,3592,3566,3538,3523,3512,3528,3549,3554,3560,3576,3604,3605,3574,3532,3513,3506,3504,3443,3333,3291,3303,3289,3291,3313,3375,3380,3381,3356,3346,3354,3352,3361,3358,3338,3322
Natural gas,9828,9966,9993,9978,9960,9849,9888,9891,9872,9860,9825,9811,9885,9828,9795,9790,9733,9649,9611,9561,9517,9476,9352,9348,9345,9281,9272,9231,9138,9080,9037,8979,8973,8956,8935,8960,9008,9007,9021,8928,8850,8946,9010,9008,8988,9055,9106,9099,9139,9248,9360,9465,9721,9659,9580,9628,9661,9762,9937,9989,9994,10029,9854,9944,10179,10340,10447,10599,10658,10758,10831,10826,10819,10849,10592,10626,10837,10973,11139,11441,11685,11803,11899,12001,12114,12333,12520,12617,12554,12704,12747,12551,12368,12277,12251,12218,12237,12207,12304,12240,12021,11908,11821,11769,11628,11548,11399,11150,10957,10630,10519,10625,10471,10570,10468,10339,10326,10299,10140,10096,10049,9841,9978,9975,10023,10028,10038,10036,10076,10042,10141,10263,10272,10146,10085,10221,10253,10236,10294,10328,10093,10198,10357,10420,10601,10570,10505,10505,10551,10539,10493,10520,10554,10516,10502,10530,10502,10776,10857,10954,10885,10987,11060,11072,10976,11018,11113,11127,11128,11131,11066,10916,10824,10868,11029,10772,10689,10625,10477,10423,10117,10140,10037,10157,10106,10264,10217,10174,10244,10338,10492,10558,10397,9910,9637,9638,9791,9773,9888,10121,10075,10107,10208,10364,10236,9842,9503,9883,10328,10518,10570,10674,10865,10983,11163,11340,11354,11506,11427,11409,11488,11673,11809,11838,11861,11781,11972,12125,12166,12267,12212,12358,12362,12388,12445,12476,12462,12447,12384,12420,12452,12427,12405,12466,12513,12474,12442,12422,12445,12476,12397,12320,12350,12280,12370,12409,12379,11948,11898,12029,12202,12133,12067,11881,11975,11898,12051,12011,11713,11642,11713,11720,11637,11568,11477,11412,11378,11291,11379,11373,11224,10921,10716,10462,10096,9919,9898,9945
Large hydro,1006,1035,1034,1034,1031,1034,1015,1019,1031,1010,1001,997,1001,1005,1003,994,988,992,989,980,969,970,973,969,965,988,994,987,988,989,994,996,984,989,991,986,979,975,996,992,998,998,996,1003,1005,990,989,987,979,972,937,936,927,932,940,945,945,942,935,955,999,1158,1267,1263,1270,1237,1236,1242,1251,1260,1263,1257,1293,1597,1763,1783,1788,1792,1794,1787,1799,1806,1805,1809,1814,1811,1844,1826,1835,1834,1837,1852,1838,1805,1791,1782,1735,1501,1438,1426,1398,1340,1283,1282,1260,1236,1269,1251,1072,852,801,944,818,950,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,744,718,770,758,751,730,735,714,739,632,586,695,856,865,863,826,781,676,644,671,639,657,695,682,650,640,675,699,774,843,872,878,870,833,781,791,800,728,655,633,632,627,625,623,645,667,722,809,1036,1139,1172,942,790,782,782,784,780,785,766,830,1008,1050,1032,1035,1073,1112,1138,1159,1169,1180,1167,1226,1515,1568,1580,1508,1484,1531,1517,1547,1551,1490,1463,1536,1871,2119,2130,2172,2153,2151,2212,2219,2214,2215,2210,2216,2474,2533,2556,2566,2583,2596,2571,2575,2586,2578,2577,2573,2531,2491,2493,2486,2461,2418,2395,2329,2315,2327,2367,2345,2135,1992,1870,1847,1927,2061,2175,2063,1997,2136,2185,1984,1634,1543,1422,1375,1311,1303,1299,1293,1282,1277,1254,1249,1075,1018,1027,1023,1017,1023,1047,1112,1076,1036,1022
Imports,6347,6119,5852,5713,5734,5756,5647,5596,5471,5467,5479,5379,5296,5313,5257,5241,5221,5246,5207,5145,5119,5138,5137,5108,5092,5064,5043,5058,5104,5124,5154,5162,5133,5134,5143,5129,5094,5117,5050,5074,5028,4991,4981,4995,5076,5025,4952,5030,4989,4965,4990,4914,4695,4809,4883,4979,5011,4967,4881,4893,4943,5087,5371,5383,5271,5223,5197,5200,5263,5268,5314,5435,5594,5683,5996,6156,6163,6178,6183,6093,6045,6073,6165,6227,6233,6216,6136,6088,6112,6032,5979,6057,6064,5999,5801,5649,5388,5385,5158,4887,4964,4828,4721,4621,4551,4527,4633,4727,4574,5171,5347,5341,5540,5489,5336,5284,5248,5162,4945,5279,5357,5325,5184,5169,5133,5081,4976,4848,4882,4954,4669,4572,4591,4941,5184,5043,5043,5117,5077,4827,4808,4729,4839,4788,4651,4706,4799,4773,4606,4365,4382,4506,4601,4554,4557,4552,4537,4519,4482,4519,4623,4573,4595,4570,4475,4490,4595,4631,4718,4831,4849,4806,4798,4502,4235,4227,4181,4054,4020,4055,4279,4209,4104,3964,3883,3953,4091,4077,4220,4092,4004,4175,4306,4187,4456,4542,4651,4946,4693,4574,4689,5030,5093,5105,5413,5384,5675,5749,5857,5692,5596,5759,5734,5853,5968,6110,6336,6209,6201,6386,6447,6446,6540,6669,6687,6745,6787,6839,6968,6840,6841,6813,6902,6911,6905,6963,7013,7073,7165,7145,7109,7094,7159,7115,7041,7046,7047,7015,6958,6863,6830,6759,6583,6750,6746,6733,6709,7000,6749,6316,6117,5983,5954,5807,5746,5937,5855,5866,5906,5908,5728,5719,5691,5657,5580,5442,5289,5273,5171,5063,5067,5151,5223,5317,5479,5566,5620,5548
Batteries,10,10,18,48,12,10,21,1,-3,11,-11,-3,10,-2,10,-2,-7,-4,5,-4,-29,-20,-11,1,-8,-1,10,-4,-10,10,-9,-2,10,-2,-12,8,-11,-3,10,-3,10,-2,-7,-4,8,-4,10,-3,-9,10,-8,-2,10,-6,-10,10,-10,-3,10,-2,9,-28,-59,-10,5,-4,10,-3,-9,10,-8,3,-18,-19,-22,-10,10,1,-1,0,15,8,10,14,23,95,101,74,69,37,31,31,39,31,31,11,6,9,20,4,6,15,5,5,-11,5,58,80,21,83,53,18,43,33,-33,-46,-74,-37,-43,30,98,76,59,59,44,48,26,-41,-75,12,0,52,35,18,9,12,22,-4,-3,-33,-25,-46,21,31,-15,-72,-92,-80,-85,-40,-62,20,61,19,0,-4,-52,-10,0,7,0,0,26,0,-4,-27,0,-1,-20,-56,-63,-93,-93,-91,-87,-82,-32,-50,-29,26,90,86,88,34,0,0,12,8,19,1,-98,-59,-79,-81,-8,29,86,114,58,-59,-70,-59,-22,47,114,11,8,36,67,55,8,-34,-55,-59,-52,3,57,20,5,10,12,-2,-9,5,10,4,20,24,13,1,2,-12,-6,-1,9,5,19,25,15,20,14,23,30,30,34,31,21,9,3,5,14,14,33,17,22,20,20,25,49,-2,-67,51,16,-16,-22,6,6,24,27,18,18,7,1,-24,5,30,29,-3,-13,-71,-13,7,10,38,61,27,-21,-41
Nuclear,2252,2252,2252,2252,2252,2252,2254,2252,2252,2253,2252,2253,2252,2253,2253,2253,2254,2253,2253,2253,2253,2252,2253,2253,2254,2253,2252,2251,2252,2252,2252,2253,2251,2252,2252,2251,2251,2252,2252,2251,2252,2252,2252,2250,2251,2251,2249,2251,2250,2250,2250,2252,2251,2251,2251,2250,2251,2250,2250,2250,2250,2250,2250,2250,2250,2250,2249,2250,2250,2250,2249,2250,2250,2249,2250,2248,2249,2249,2250,2249,2251,2250,2250,2249,2250,2250,2249,2249,2250,2250,2249,2249,2249,2250,2250,2250,2250,2251,2250,2251,2250,2251,2251,2251,2251,2252,2251,2252,2251,2253,2251,2252,2251,2252,2251,2252,2252,2252,2252,2252,2252,2252,2252,2249,2252,2250,2251,2252,2252,2252,2251,2251,2250,2252,2248,2252,2250,2252,2251,2252,2253,2252,2251,2252,2252,2252,2252,2253,2252,2253,2253,2253,2253,2252,2253,2253,2253,2252,2253,2253,2253,2253,2252,2252,2253,2252,2252,2252,2252,2252,2252,2252,2252,2252,2252,2251,2252,2251,2252,2251,2251,2249,2251,2249,2249,2248,2248,2249,2247,2247,2249,2247,2248,2247,2248,2249,2248,2248,2248,2247,2248,2248,2248,2247,2248,2248,2247,2249,2248,2249,2248,2249,2249,2249,2249,2249,2250,2249,2249,2251,2249,2250,2250,2250,2250,2250,2250,2251,2250,2250,2249,2249,2250,2250,2251,2250,2251,2250,2250,2250,2250,2250,2251,2250,2251,2251,2250,2251,2251,2251,2251,2251,2252,2250,2253,2251,2252,2252,2252,2252,2252,2253,2253,2253,2252,2253,2252,2253,2254,2254,2254,2253,2254,2254,2253,2254,2253,2254,2254,2254,2254,2255,2254,2254,2255,2254,2254,2255
Coal,14,14,14,14,14,14,13,13,14,14,14,14,15,14,14,14,14,14,14,14,14,14,14,14,14,15,15,14,14,14,14,14,14,15,15,15,14,14,15,14,15,15,15,15,15,14,14,15,14,14,14,14,14,14,14,15,15,15,15,16,16,16,15,14,14,14,14,14,14,15,15,14,14,14,14,14,13,13,13,13,13,13,14,14,14,13,13,13,14,13,12,13,13,14,13,13,13,13,13,14,14,14,14,14,14,14,15,14,13,14,15,14,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,15,16,16,16,16,15,15,15,16,15,15,15,16,15,15,14,15,14,15,15,16,15,15,15,16,15,14,14,14,14,14,14,15,15,15,15,15,15,16,15,15,16,16,16,16,16,16,15,15,15,16,15,15,16,15,15,15,15,14,14,15,15,16,16,15,15,14,14,15,15,16,15,15,15,16,16,14,14,14,15,15,15,15,17,17,17,18,17,17,16,17,15,15,15,15,15,15,15,15,15,15,15,14,13,14,14,15,15,16,15,15,15,15,15,16,15,17,16,16,16,16,16,15,16,16,15,16,17,16,16,16,17,18,18,18,18,17,17,16,16,16,16,16,17,16,17,17,17,17,18,18,18,17,16
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
