5/27/2019,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,4978,4961,4935,4943,4934,4922,4931,4896,4917,4916,4917,4936,4935,4957,4953,4954,4939,4894,4880,4862,4795,4739,4688,4673,4678,4681,4685,4647,4662,4679,4717,4739,4812,4887,4919,4922,4947,4949,4948,4958,4988,4991,4964,4954,4943,4946,4948,4954,4989,5001,5018,5021,5041,5046,5024,5015,4986,4939,4889,4873,4859,4883,4963,5081,5164,5208,5249,5259,5268,5275,5270,5266,5322,5386,5467,5548,5684,5865,6071,6235,6449,6687,6920,7045,7234,7351,7517,7622,7741,7881,8218,8268,8373,8561,8594,8528,8736,8985,9444,9899,10076,10378,10692,10762,10683,10859,10741,10967,11166,11100,11451,11317,11287,11315,11323,11165,11105,11443,11629,11398,11541,11910,12095,11879,11665,11806,11929,11912,11613,11750,11888,12191,12299,12331,12268,12098,12075,12303,12402,12392,12217,12010,11928,11875,11814,11763,11766,11834,11613,11519,11563,11622,11668,11609,11437,11333,11480,11568,11601,11650,11449,11448,11514,11575,11481,11670,11694,11563,11278,11202,11184,11099,10976,10843,10843,11051,11320,11188,11021,10631,10343,10261,10286,10543,10590,10521,10494,10515,10784,10989,11003,11127,11152,10864,10816,10708,10610,10492,10264,10086,10033,10054,9993,9949,9971,9806,9557,9705,9421,8917,8695,8514,8502,8386,8012,7734,7515,7092,6793,6616,6411,6219,5956,5792,5792,5730,5530,5312,5159,5065,4960,4781,4674,4639,4634,4667,4698,4756,4789,4772,4773,4876,4971,5007,5060,5127,5141,5157,5188,5265,5333,5418,5462,5470,5486,5538,5592,5611,5657,5693,5627,5570,5544,5548,5587,5544,5402,5289,5312,5321,5259,5221,5147,5121,5155,5195,5263,5294,5219,5025,4995,4966,4941,4911,4922,4940,4943,4958
Natural gas,2505,2452,2339,2388,2353,2330,2300,2261,2241,2236,2206,2131,2138,1927,1723,1628,1617,1626,1608,1586,1613,1611,1619,1674,1655,1585,1661,1688,1727,1713,1722,1788,1798,1801,1811,1756,1616,1445,1501,1478,1471,1478,1486,1478,1497,1528,1531,1567,1551,1559,1582,1560,1590,1559,1559,1548,1542,1553,1564,1553,1600,1533,1411,1360,1334,1348,1356,1341,1334,1332,1338,1302,1296,1315,1417,1388,1354,1338,1314,1349,1300,1349,1434,1327,1250,1243,1318,1331,1294,1312,1247,1327,1308,1326,1378,1252,1209,1066,934,976,1030,989,989,1153,1031,1006,906,930,894,1057,1229,1287,1258,1205,1249,1286,1278,1195,1181,1236,1194,1109,1222,1300,1217,1111,1077,1011,959,784,750,901,977,1007,986,910,858,796,800,783,728,738,711,730,770,741,753,751,756,757,720,719,703,719,797,790,717,721,789,758,732,677,659,668,656,646,696,727,707,633,666,705,757,870,939,725,688,836,733,837,918,967,961,1051,1081,1117,919,823,732,800,849,798,871,1094,1124,1076,1021,987,969,1005,977,958,1119,1319,1424,1676,1629,1632,1773,1748,1731,1665,1557,1539,1512,1550,1538,1713,1679,1546,1614,1655,1737,1670,1644,1672,1754,1655,1695,1683,1714,1640,1623,1675,1763,1775,1804,1870,2079,2016,1900,1842,1850,2103,2135,2176,2296,2345,2281,2267,2197,2231,2197,2161,2084,2065,2045,2048,2052,2052,2069,2053,1975,2024,2051,2128,2188,2220,2134,2154,2182,2123,2090,2065,2012,1972,1835,1824,2002,2000,2106,2040,1978,1947,2044,2024,1972,1870
Large hydro,4758,4894,4967,4956,4958,4903,4897,4922,4914,4908,4918,4919,4913,4835,4819,4801,4776,4738,4772,4745,4770,4767,4734,4777,4785,4604,4591,4605,4596,4590,4554,4534,4537,4515,4514,4553,4567,4375,4381,4365,4377,4365,4368,4363,4359,4349,4345,4313,4272,4299,4296,4302,4308,4318,4324,4316,4284,4290,4300,4273,4308,4381,4427,4406,4392,4393,4378,4381,4388,4395,4395,4363,4321,4292,4329,4360,4310,4318,4200,4175,4146,4143,4161,4139,3982,3796,3726,3746,3700,3659,3579,3529,3468,3471,3545,3600,3538,3542,3402,3317,3226,3118,2897,2920,3188,3173,3227,3180,3028,2975,2799,2808,2824,2812,2809,2850,2877,2851,2816,2821,2820,2665,2435,2551,2618,2566,2533,2719,2842,2831,2771,2828,2756,2809,2947,2995,3003,2975,2904,2941,2977,2993,2985,2982,2994,3023,3055,3040,3080,3102,3103,3100,3093,3092,3084,3114,3110,3073,3079,3080,3108,3108,3091,3089,3090,3061,3014,3074,3106,3062,3061,3080,3075,3059,3057,3025,2921,2966,2997,3028,3035,3058,3068,2964,2941,3002,3054,3067,3023,3021,3059,3026,3067,3270,3424,3499,3559,3614,3653,3666,3671,3723,3660,3586,3577,3748,3891,3911,4137,4176,4330,4477,4539,4544,4558,4613,4644,4898,5097,5083,5082,5105,5282,5376,5400,5322,5365,5265,5232,5300,5379,5398,5402,5403,5377,5368,5353,5330,5359,5427,5408,5338,5310,5268,5265,5264,5273,5323,5332,5305,5299,5340,5279,5205,5172,5165,5155,5153,5148,5140,5151,5191,5166,5138,5149,5139,5143,5126,5096,5072,5070,5065,5059,5046,5031,5008,4829,4511,4430,4348,4428,4447,4394,4223,4162,4127,4162,4173
Imports,5903,5769,5669,5566,5523,5529,5439,5399,5338,5281,5209,5192,5127,5344,5561,5580,5577,5560,5517,5500,5468,5453,5478,5381,5351,5489,5461,5430,5364,5326,5309,5304,5196,5125,5079,4976,4977,5209,5231,5216,5168,5157,5152,5155,5133,5101,5074,5028,5035,5027,4970,4980,4921,4916,4924,4948,5002,5050,5080,5161,5149,5191,5252,5222,5207,5186,5156,5158,5163,5112,5043,5018,4982,4908,4768,4625,4530,4392,4342,4213,4057,3874,3607,3504,3503,3628,3616,3516,3452,3401,3212,3270,3301,3150,2998,3101,3025,2945,2907,2624,2583,2471,2395,2299,2121,1987,2109,1946,1970,2128,2002,2095,2086,2110,2100,2170,2208,2033,1947,2074,2044,2028,2143,2203,2267,2220,2194,1970,1979,1974,1968,1633,1543,1335,1169,1184,1243,1122,1134,1071,1084,1207,1281,1320,1335,1321,1292,1226,1298,1418,1395,1360,1322,1367,1418,1438,1372,1302,1223,1207,1380,1393,1364,1299,1387,1304,1372,1401,1606,1628,1653,1674,1715,1785,1763,1739,1715,1758,1858,2124,2256,2250,2334,2285,2378,2339,2404,2511,2438,2246,2186,2167,2135,2039,1896,1857,1938,2017,2185,2359,2452,2545,2623,2708,2583,2405,2528,2451,2537,2918,3131,3286,3495,3675,4079,4332,4620,4863,5035,5321,5581,5825,5924,6116,6200,6446,6660,6931,7233,7304,7430,7709,7885,7904,7954,8048,8138,8123,7966,7987,8148,8273,8316,8368,8319,8241,8182,8052,7956,7903,7918,7787,7751,7794,7798,7731,7681,7598,7463,7381,7383,7299,7274,7256,7121,6993,6935,6921,6942,6865,6814,6808,6828,6746,6677,6654,6634,6722,6724,6746,6666,6517,6513,6693,6681,6617,6481,6332
Batteries,-41,31,14,4,-8,-4,4,4,5,4,4,4,-3,-4,-2,-3,-3,16,7,-2,-4,-3,-4,-4,-3,1,-2,5,-1,-1,-45,-57,-54,-45,-67,-9,-2,-2,-2,-2,-11,-9,0,-1,-8,-11,-11,-13,-14,-12,3,-9,-10,-6,0,0,0,10,11,0,0,0,0,0,-7,-12,-6,0,0,1,2,4,5,67,83,83,64,5,-10,-3,-7,-54,-68,-41,-13,-17,-13,-12,-1,2,-28,-49,-57,-48,-26,16,84,79,-4,-44,-38,-75,-79,-45,-3,-26,4,-4,-56,11,-2,5,47,22,38,80,104,35,1,65,40,-46,-104,10,108,74,6,7,80,38,-19,-100,-99,-91,-30,0,1,-19,-25,-24,1,7,2,4,43,18,25,10,20,54,51,13,12,24,98,99,24,11,-1,0,42,2,1,1,14,-24,-53,-5,61,30,-1,2,1,12,88,15,-70,-35,-1,28,80,96,14,-84,-95,-28,1,9,-13,-31,-16,-60,-85,-73,-53,-1,1,54,108,108,94,14,-72,-82,-77,-3,74,2,10,103,105,70,-8,-5,2,27,-4,36,53,61,2,3,7,4,-13,-64,-28,4,1,-13,-11,-11,4,-5,-17,-51,-63,-79,-53,7,25,45,-32,-83,-83,-83,-79,-37,42,29,6,38,33,22,25,19,19,19,19,19,45,98,66,36,20,75,102,89,37,12,14,8,5,1,-25,-39,-11,13,42,43,28,2,-10,-52,-66,-69,-4,19
Nuclear,2279,2279,2279,2278,2279,2278,2278,2278,2277,2278,2277,2278,2278,2279,2279,2279,2278,2279,2279,2279,2279,2279,2280,2280,2280,2278,2280,2280,2281,2281,2281,2281,2280,2280,2282,2281,2281,2280,2280,2281,2282,2281,2283,2282,2282,2281,2283,2282,2282,2281,2281,2280,2280,2281,2281,2280,2280,2280,2281,2281,2280,2280,2280,2280,2280,2282,2281,2280,2281,2281,2281,2281,2280,2281,2281,2280,2280,2281,2282,2282,2282,2283,2282,2282,2281,2281,2282,2281,2281,2280,2281,2281,2281,2280,2282,2280,2280,2279,2280,2280,2279,2278,2279,2278,2279,2277,2278,2278,2279,2279,2279,2280,2278,2279,2280,2279,2279,2281,2280,2279,2281,2280,2280,2279,2280,2281,2281,2280,2280,2281,2280,2280,2280,2281,2281,2280,2280,2280,2281,2280,2280,2281,2281,2281,2281,2281,2279,2280,2279,2280,2279,2280,2280,2278,2278,2278,2277,2277,2278,2278,2277,2278,2278,2278,2278,2278,2277,2278,2278,2278,2278,2278,2278,2278,2278,2278,2277,2278,2278,2277,2279,2278,2277,2279,2278,2278,2277,2278,2278,2278,2279,2277,2279,2279,2280,2279,2279,2279,2279,2279,2279,2279,2279,2279,2279,2280,2278,2279,2279,2278,2279,2278,2279,2278,2279,2279,2278,2279,2278,2277,2278,2279,2278,2279,2278,2278,2278,2278,2279,2278,2278,2277,2277,2277,2278,2277,2278,2278,2277,2277,2277,2277,2277,2278,2278,2278,2277,2278,2277,2278,2278,2277,2278,2278,2279,2278,2279,2278,2278,2280,2279,2278,2278,2279,2278,2278,2278,2278,2278,2279,2278,2279,2279,2280,2279,2280,2280,2280,2280,2279,2279,2280,2280,2280,2278,2279,2278,2279
Coal,3,3,3,3,3,4,4,5,6,6,6,6,5,6,5,6,6,6,6,6,5,6,5,5,6,6,6,6,5,5,5,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,5,4,3,4,4,4,4,5,5,5,5,5,5,4,4,5,5,4,4,4,4,3,3,4,5,4,4,4,4,4,4,3,3,3,2,2,3,2,2,2,2,2,2,3,3,3,3,2,3,3,4,4,4,3,3,3,2,3,2,3,2,2,2,3,2,3,2,3,2,3,4,4,3,4,3,2,2,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,1,2,2,2,2,2,1,1,1,2,2,2,1,1,2,2,1,2,1,2,2,3,3,3,2,2,2,3,3,3,4,3,3,2,3,3,3,3,3,3,3,3,4,4,3,3,2,1,2,0,-1,-1,0,0,0,-1,-1,0,-1,-1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,1,0,0,1,1,2,3,2,2,2,3,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,3,4,4,3,3,3,4,3,2,3,3
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
