9/29/2020,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,1783,1790,1790,1804,1811,1808,1812,1811,1800,1795,1795,1778,1768,1763,1754,1749,1764,1770,1770,1771,1768,1761,1751,1736,1727,1730,1734,1732,1735,1748,1754,1756,1748,1739,1729,1726,1728,1735,1737,1740,1735,1711,1708,1708,1712,1710,1703,1691,1675,1668,1663,1657,1653,1637,1623,1612,1595,1580,1565,1553,1549,1558,1567,1573,1584,1580,1577,1585,1580,1576,1566,1559,1530,1530,1541,1554,1556,1549,1553,1569,1573,1593,1639,1706,1803,1976,2177,2402,2668,3022,3425,3806,4256,4728,5167,5577,6040,6510,6908,7244,7695,8114,8476,8793,9087,9466,9804,10006,10255,10441,10593,10700,10806,10892,10996,11120,11275,11351,11411,11509,11566,11502,11435,11451,11502,11508,11526,11533,11548,11560,11575,11562,11602,11748,11856,11818,11762,11758,11762,11731,11677,11628,11555,11592,11727,11805,11857,11859,11841,11802,11771,11802,11829,11862,11903,11918,11929,11933,11968,12007,12028,12148,12092,11949,11916,11908,11907,11921,11906,11917,11912,11922,11940,11876,11852,11726,11620,11723,11749,11660,11627,11575,11568,11643,11684,11598,11490,11308,11242,11219,11156,11080,11042,10989,10888,10769,10636,10481,10263,9993,9811,9526,9224,8921,8587,8195,7746,7320,6881,6393,5894,5433,4951,4502,4089,3657,3224,2813,2494,2271,2184,2007,1894,1876,1837,1764,1792,1851,1882,1939,2018,2077,2113,2128,2159,2182,2216,2238,2250,2266,2267,2279,2278,2253,2265,2301,2308,2314,2311,2314,2332,2350,2351,2366,2378,2370,2370,2374,2383,2386,2389,2394,2395,2396,2394,2385,2385,2366,2346,2330,2320,2331,2347,2336,2349,2372,2378,2396,2395,2372,2392,2398,2431,2457,2459,2471,2491,2470
Natural gas,11701,11601,11391,11220,11038,10951,10944,10882,10841,10770,10661,10492,10470,10306,10152,9982,9848,9742,9691,9564,9468,9305,9166,9104,9008,8820,8627,8479,8395,8351,8381,8308,8209,8129,8068,8039,8049,8125,8168,8116,8130,8119,8116,8145,8097,8061,8019,8011,7995,8041,8069,8027,8061,8078,8072,8100,8096,8108,8132,8213,8265,8343,8352,8420,8497,8523,8638,8745,8802,8854,9008,8970,9009,9245,9147,9129,9288,9491,9717,9648,9552,9554,9580,9568,9652,9823,9952,9896,9852,9741,9546,9375,9084,8974,8867,8707,8663,8770,8989,8958,8965,8925,8942,9215,9274,9139,9065,9052,8937,8964,8931,8974,9005,9051,9046,9012,8990,9030,9063,9070,9060,9228,9403,9454,9337,9286,9330,9427,9494,9583,9650,9745,9893,10076,10120,10266,10110,10209,10438,10533,10615,10765,10907,10996,11124,10927,11045,11212,11170,11322,11438,11583,11578,11751,11765,11860,12143,12509,12848,12963,13013,13035,13149,13357,13482,13699,14027,14205,14365,14449,14451,14481,14708,14796,14994,15259,15471,15667,15821,16000,16114,16344,16379,16462,16606,16779,17002,17094,17250,17521,17732,17834,18073,18256,18353,18530,18600,18682,18638,18731,18983,19175,19419,19553,19670,19766,19717,20139,20689,20995,21198,21281,21692,22136,22112,22238,22458,22526,22386,22398,22238,22319,22336,22234,22104,22033,21803,21772,21775,21384,20972,20859,20550,20402,20315,20233,20052,19800,19669,19596,19511,19500,19209,19687,19470,19533,19611,19550,19627,19571,19427,19399,19382,19293,19059,18940,18799,18563,18504,18404,18216,18023,17957,17782,17806,17620,17393,17260,16931,16748,16560,16386,16243,16148,15886,15613,15538,15251,14699,14465,14164,13939,13655,13211,12712,12566,12368,11954
Large hydro,953,995,1103,964,958,954,936,932,928,922,924,919,873,799,768,765,764,760,758,764,761,763,759,759,754,721,709,712,723,716,716,719,721,740,764,721,702,680,672,664,664,664,660,662,659,665,663,665,657,668,680,682,682,678,676,690,687,685,691,693,689,757,796,804,806,806,805,799,806,805,808,814,829,1075,1234,1265,1259,1251,1273,1280,1296,1296,1298,1287,1240,1138,1090,1091,1086,1067,1031,1064,1051,1050,1019,983,915,580,557,557,551,537,505,226,215,219,251,257,263,268,272,264,262,265,266,274,277,268,277,285,297,257,175,165,477,503,497,467,456,438,428,438,457,477,466,460,452,455,459,457,462,459,463,468,474,516,481,471,472,473,477,703,796,795,798,807,804,911,936,939,937,935,940,938,936,942,943,945,966,1154,1353,1389,1416,1436,1453,1466,1464,1458,1477,1484,1455,1642,1716,1712,1721,1695,1693,1745,1748,1751,1777,1785,1816,2148,2313,2343,2379,2486,2567,2525,2538,2544,2568,2580,2529,2446,2639,2771,2825,2925,2970,2962,2929,2919,3005,3075,3082,3184,3234,3192,3055,3028,3052,3128,3196,3236,3036,2953,2952,3079,3016,2960,2870,2853,2844,2791,2770,2788,2772,2717,2663,2681,2804,3148,3207,3198,3189,3166,3182,3227,3229,3143,3003,2824,2680,2665,2599,2576,2564,2582,2521,2316,2174,2135,2059,2047,2034,2027,2018,1980,1830,1646,1564,1524,1548,1500,1482,1543,1399,1323,1349,1373,1378,1436,1384,1327,1329,1355
Imports,9612,9675,9630,9848,9954,9905,9813,9805,9767,9722,9639,9646,9588,9674,9803,9857,9873,9882,9829,9831,9849,9902,9980,9952,9985,10081,10221,10277,10273,10244,10129,10124,10176,10211,10195,10210,10172,10151,10142,10160,10104,10082,10058,10012,10038,10062,10061,10047,10077,10095,10110,10168,10156,10164,10202,10193,10250,10279,10291,10253,10296,10372,10499,10515,10488,10527,10475,10472,10497,10527,10454,10545,10663,10609,10694,10833,10812,10713,10579,10728,10854,10877,10850,10839,10770,10693,10558,10449,10297,10169,10035,9880,9754,9482,9210,9032,8759,8816,8446,8153,7779,7467,7153,7075,6836,6725,6532,6369,6254,6098,6021,5931,5846,5794,5721,5666,5607,5584,5578,5557,5544,5547,5630,5716,5365,5311,5306,5377,5445,5457,5519,5556,5446,5253,5250,5338,5468,5567,5604,5732,5849,5945,6066,6126,6017,6222,6286,6309,6552,6672,6770,6492,6386,6395,6533,6672,6531,6359,6126,6185,6391,6481,6571,6745,6865,6850,6777,6884,6937,6800,6802,6922,6881,7103,7108,7095,7174,7126,7106,7200,7309,7175,7237,7206,7247,7333,7444,7609,7665,7549,7564,7652,7586,7081,6939,6953,7041,7146,7365,7620,7615,7812,7937,8155,8473,8821,9091,8954,8817,8865,9050,9440,9465,9458,9796,9919,9950,9863,9935,9951,10121,10172,10158,10027,9945,9940,10173,10302,10215,10248,10392,10387,10570,10586,10492,10416,10381,10440,10423,10348,10315,10090,10002,9047,8763,8428,8142,8007,7888,7685,7719,7699,7675,7708,7847,7768,7774,7769,7774,7664,7664,7764,7807,7779,7563,7372,7346,7291,7477,7462,7505,7597,7581,7545,7665,7615,7408,7373,7784,7994,8040,8082,8117,8259,8601,8641,8685,8925
Batteries,-17,55,39,-19,-13,-27,-32,-58,-90,-78,-51,-36,-30,-20,-18,-22,-24,-14,-27,-21,-23,-20,-21,-20,-22,-3,13,18,28,31,28,22,26,8,24,-2,5,-35,-34,-34,-19,-25,-23,-23,-19,-28,-15,-20,-20,-13,11,-7,-13,-15,-14,-14,-12,-11,-10,-13,-24,-35,-35,-35,-29,-33,-28,-24,-24,-23,-18,-15,-12,-15,2,-9,1,8,-8,0,5,6,18,18,-28,5,-1,17,-1,-10,-2,-14,4,-7,-14,-7,-20,11,-3,-5,-11,-7,-25,2,-18,5,-8,-7,-8,-7,-1,-9,-11,-12,-3,-4,-8,-9,-6,-7,-1,-1,-4,-3,-6,-4,-4,-4,-5,-5,-5,-1,8,0,-8,-13,-8,-6,-6,-6,-6,-6,-7,-6,-7,7,-5,-7,-5,-7,-7,-2,-9,-7,-8,-6,-4,-19,-19,-12,-15,-21,-18,-2,3,18,13,2,-1,-24,-34,-40,-5,-34,-60,-32,-14,-12,-9,-11,1,-23,-9,-3,4,14,-6,-4,-5,19,33,23,-5,-17,-37,-50,-6,-2,0,2,1,1,1,0,-3,-6,1,3,-31,-6,8,5,9,8,6,24,17,58,57,118,45,43,31,36,30,18,19,-27,-11,12,13,9,31,32,30,21,28,28,27,33,23,14,68,169,291,271,257,123,34,33,-72,-109,-145,-88,22,21,-2,-3,-103,-104,-104,-103,-85,-97,-87,-19,0,-1,-4,-5,-5,-4,-7,-6,-66,-23,-9,16,23,23,26,14,3,20,10,3,-14,-1
Nuclear,2141,2140,2140,2140,2140,2140,2140,2140,2139,2141,2140,2140,2140,2140,2139,2139,2138,2139,2139,2139,2140,2140,2139,2140,2142,2141,2141,2142,2141,2142,2142,2142,2142,2141,2141,2141,2141,2141,2141,2141,2140,2140,2140,2140,2140,2138,2140,2139,2138,2140,2139,2139,2138,2140,2139,2139,2140,2139,2140,2140,2139,2139,2139,2140,2139,2139,2139,2139,2139,2138,2138,2138,2138,2138,2137,2136,2137,2138,2137,2137,2138,2137,2137,2138,2137,2138,2138,2137,2137,2138,2138,2138,2138,2138,2138,2139,2139,2139,2139,2139,2140,2139,2138,2139,2140,2140,2140,2140,2139,2139,2139,2139,2140,2140,2140,2140,2140,2140,2140,2140,2140,2139,2139,2139,2140,2139,2140,2138,2138,2138,2138,2137,2137,2136,2136,2136,2135,2135,2134,2134,2133,2133,2133,2132,2131,2131,2130,2130,2130,2130,2129,2129,2128,2127,2127,2127,2126,2126,2126,2125,2126,2125,2125,2125,2126,2126,2126,2126,2126,2127,2125,2126,2126,2125,2127,2126,2126,2127,2126,2127,2127,2127,2126,2127,2127,2126,2127,2127,2127,2127,2128,2127,2128,2128,2129,2128,2128,2128,2128,2129,2128,2129,2128,2127,2128,2128,2129,2129,2128,2129,2130,2129,2131,2130,2130,2131,2131,2130,2130,2130,2129,2129,2130,2129,2130,2129,2130,2130,2129,2129,2129,2129,2129,2129,2129,2130,2130,2130,2130,2130,2131,2130,2129,2129,2130,2130,2130,2130,2129,2129,2130,2130,2130,2130,2129,2130,2130,2129,2130,2130,2130,2130,2131,2130,2131,2130,2129,2130,2129,2130,2130,2131,2130,2130,2130,2132,2132,2133,2133,2133,2132,2132,2131,2132,2131,2131,2132,2131
Coal,16,16,15,15,15,16,16,16,16,16,16,16,16,17,16,16,16,15,15,16,16,16,15,15,15,15,15,15,16,15,16,16,15,16,16,16,17,16,16,16,16,16,15,16,16,16,16,16,15,16,16,16,16,16,16,16,16,16,16,16,15,15,15,16,16,16,16,15,16,16,16,16,15,16,14,15,13,14,13,14,13,13,12,12,10,11,11,11,11,11,11,11,11,12,11,12,13,13,13,12,13,14,14,14,13,14,15,16,16,16,16,16,16,17,17,15,15,15,16,16,16,16,15,15,15,15,16,16,16,16,16,16,16,17,16,16,16,16,16,16,16,16,17,17,18,18,18,17,18,18,17,17,18,17,17,17,17,17,17,17,17,17,18,17,17,18,17,17,17,18,17,18,18,17,18,17,17,17,18,18,18,18,18,19,19,18,18,18,18,18,18,18,18,17,16,17,17,18,18,18,19,19,18,18,18,18,18,17,17,17,18,18,17,17,17,18,18,17,17,18,18,16,14,15,14,15,15,15,15,14,14,14,14,14,13,13,12,12,11,12,12,12,12,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,11,12,12,12,12,12,12,12,12,12,13,13,13,13,13,12,12,12,12,12,13,13
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
