12/18/2019,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,2237,2238,2237,2244,2279,2282,2317,2319,2335,2351,2396,2443,2473,2470,2505,2533,2529,2550,2537,2526,2530,2534,2567,2584,2581,2619,2596,2583,2570,2546,2525,2476,2405,2427,2438,2407,2414,2396,2402,2374,2399,2406,2430,2402,2395,2378,2376,2399,2417,2423,2447,2447,2439,2441,2477,2521,2541,2537,2535,2540,2544,2553,2563,2564,2569,2564,2566,2559,2584,2593,2605,2601,2630,2611,2640,2664,2664,2641,2622,2610,2621,2631,2684,2744,2853,2930,3068,3255,3446,3709,3874,3995,4101,4315,4537,4818,5129,5426,5789,5997,6126,6294,6504,6760,6940,7033,7352,7568,7732,7988,8099,8254,8389,8558,8617,8667,8747,9032,9106,9259,9312,9094,9289,9474,9606,9597,9517,9398,9361,9284,9292,9254,9245,9533,9607,9661,9627,9627,9651,9636,9630,9659,9614,9573,9463,9262,9249,9248,9286,9228,9303,9435,9563,9649,9582,9355,9226,9280,9284,9071,8939,8831,8565,8292,8184,8191,8088,7992,7835,7703,7779,7587,7326,7104,6900,6777,6567,6356,6160,6033,5978,5861,5621,5474,5335,5185,4999,4768,4566,4372,4215,3962,3745,3524,3325,3109,2985,2907,2855,2823,2840,2846,2903,2949,3011,3034,3150,3210,3264,3236,3230,3181,3151,3138,3187,3249,3264,3241,3223,3217,3198,3199,3181,3192,3199,3181,3156,3191,3168,3094,3020,2974,2984,2977,3061,3026,3036,3077,3143,3066,2931,2909,3035,3099,3071,2964,2850,2894,2924,3031,3140,3222,3149,3074,3008,2971,2981,2998,3008,2970,2929,2892,2905,2908,2879,2915,2932,2909,2877,2890,2936,2903,2872,2893,2900,2883,2781,2739,2701,2660,2672,2668,2674,2672,2658,2747,2741,2730
Natural gas,11313,11042,10823,10678,10518,10370,10279,10227,10159,10159,10154,10169,10220,10366,10428,10442,10284,10197,10112,10042,9968,9876,9923,9972,10051,10104,10051,10005,9985,10012,10012,10016,9990,10012,10040,10053,10054,10083,10057,9990,10094,10074,10118,10162,10162,10181,10250,10339,10234,10183,10172,10044,10033,10054,10113,10205,10290,10387,10392,10391,10444,10558,10450,10371,10488,10667,10901,10980,11136,11204,11354,11323,11428,11713,11690,11797,12268,12238,12276,12363,12431,12549,12681,12773,12825,12783,12856,12761,12699,12689,12734,12391,12081,12009,11924,11846,11773,11792,11894,11646,11263,11003,11145,11041,11106,11209,10757,10370,10068,9896,9957,10079,10051,10147,10088,9994,9948,9817,9847,9692,9745,9823,9940,9838,9782,9760,9651,9694,9735,9760,9729,9715,9555,9530,9472,9503,9431,9363,9347,9281,9294,9281,9338,9246,9254,9301,9299,9224,9149,9175,9189,9068,9127,9086,9035,9077,9206,9135,9193,9276,9387,9416,9519,9663,9674,9612,9710,9683,9781,9958,9989,10060,10135,10177,10214,10333,10471,10692,10854,10953,11087,11139,11059,11117,11180,11126,11375,11635,12030,12231,12530,12737,12849,12801,12478,12423,12568,12708,12971,13738,14058,14029,14398,14718,14848,14550,14326,14198,14212,14177,14111,14065,14082,14115,14095,14081,14016,13734,13581,13705,13671,13718,13777,13849,13845,13807,13823,13782,13834,13803,13846,13960,14023,14089,14093,14109,14062,14029,13980,13998,13981,13910,13872,13874,13915,13875,13854,13752,13697,13679,13632,13561,13568,13536,13372,13305,13300,13070,13033,12843,12661,12614,12572,12609,12629,12712,12709,12746,12572,12484,12261,12133,12009,11814,11790,11801,11739,11805,11841,11828,11839,11790,11793,11603,11270,11316,11289,11197
Large hydro,1947,2020,2099,2131,2086,2079,2061,2066,2068,2064,2072,2051,2000,1946,1921,1925,1904,1932,1928,2099,2193,2135,2090,2027,1996,2095,2186,2193,2139,2120,2119,2130,2131,2133,2137,2200,2219,2206,2230,2178,2183,2201,2223,2223,2210,2225,2212,2203,2096,1997,1969,1946,2015,2035,2037,2077,2160,2257,2297,2302,2266,2403,2421,2439,2464,2483,2594,2638,2780,2865,2932,2921,2845,2868,2855,2707,2803,2962,3159,3197,3187,3188,3186,3189,3193,3079,2985,2954,2938,2852,2753,2806,2996,2913,2835,2771,2573,2313,2143,2095,2176,2149,2134,1959,1866,1819,1762,1832,1818,1646,1468,1462,1404,1343,1282,1311,1348,1263,1233,1277,1338,1283,1269,1219,1198,1293,1351,1339,1316,1277,1294,1349,1313,1225,1088,1125,1169,1184,1222,1294,1367,1328,1374,1385,1270,1229,1233,1224,1224,1248,1337,1241,1178,1197,1225,1272,1349,1388,1425,1287,1216,1178,1208,1253,1285,1239,1202,1198,1267,1310,1303,1271,1343,1365,1387,1449,1514,1530,1682,1713,1629,1837,1976,2038,2131,2187,2188,2182,2168,2136,2068,2097,2205,2636,2639,2746,2977,3113,3170,3038,3099,3186,3194,3171,3170,3262,3391,3410,3393,3458,3539,3567,3586,3633,3645,3660,3645,3640,3620,3608,3612,3609,3613,3610,3608,3602,3613,3607,3602,3650,3696,3727,3691,3681,3633,3628,3615,3610,3596,3569,3506,3468,3437,3418,3424,3392,3390,3379,3389,3314,3246,3163,3088,3114,3149,3072,3033,3025,2981,2985,2990,3012,2989,2987,3000,2957,2902,2920,2911,2897,2860,2817,2830,2774,2558,2448,2412,2343,2294,2267,2223,2145,2086,2099,2213,2113,2020,1971
Imports,7039,6972,7102,7077,7210,7252,7293,7213,7189,7101,6983,6951,6882,6661,6551,6431,6491,6517,6510,6397,6328,6349,6275,6233,6139,5978,5874,5877,5887,5884,5907,5868,5860,5864,5858,5793,5733,5747,5777,5870,5823,5797,5693,5689,5748,5747,5726,5681,5928,6138,6290,6541,6584,6562,6513,6458,6375,6332,6336,6415,6520,6629,6883,7077,7106,7005,6813,6808,6731,6635,6615,6820,7088,7325,7549,7821,7630,7659,7637,7681,7805,7824,7783,7752,7710,7916,8065,8062,7987,7852,7776,7925,7775,7623,7531,7275,7171,7098,6850,6876,6970,6985,6786,6648,6503,6343,6380,6339,6337,6250,6179,5975,5919,5771,5645,5530,5399,5313,5164,4992,4622,4750,4461,4341,4274,4162,4089,4149,4041,4061,4003,3955,4037,3907,3890,3799,3689,3650,3586,3586,3510,3445,3419,3456,3517,3616,3676,3684,3697,3715,3540,3712,3710,3709,3820,3945,3876,3847,3795,4016,4182,4379,4567,4702,4757,4859,5048,5170,5169,5124,5037,5247,5280,5489,5662,5752,5733,5689,5595,5646,5794,5864,6064,6156,6250,6405,6438,6482,6409,6493,6570,6710,6904,6877,7368,7681,7590,7608,7500,7103,7198,7220,7091,7066,7270,7657,7963,8131,8162,8278,8406,8539,8590,8575,8589,8539,8603,8866,8966,8967,8999,8952,8863,8856,8825,8831,8858,8821,8732,8754,8660,8503,8468,8352,8325,8281,8279,8237,8176,8185,8305,8351,8304,8217,8136,8233,8257,8285,8220,8148,8046,8000,7942,7990,8009,8053,8011,8069,8102,8106,8204,8148,8050,7887,7592,7344,7141,6937,6917,6912,6929,6940,6903,6926,6972,7012,6956,6824,6684,6625,6525,6496,6495,6475,6437,6456,6457,6457
Batteries,-80,20,41,3,4,3,-14,4,4,3,-2,-8,-12,16,21,19,21,21,20,4,32,-1,-15,-15,-22,-7,-5,-5,-5,-5,-5,-5,-5,-6,-10,-11,-16,-11,-5,-5,-5,-5,-5,-6,-5,-5,-5,-27,-40,-23,-17,-14,-6,-6,1,-4,1,1,1,1,-4,-23,0,0,0,0,-18,-1,0,-8,-7,-33,-67,-63,6,14,1,5,11,15,16,16,16,16,16,10,12,28,10,-39,-72,-22,6,-33,-50,-37,-11,-2,-16,20,90,41,-52,-37,-88,-79,-34,-11,8,94,96,30,-34,-83,-54,1,-2,-70,-33,-13,3,17,17,-18,-3,18,18,34,26,18,20,50,12,-73,-55,-48,8,-2,-2,-11,-6,-29,-18,-23,-30,-4,16,16,16,16,15,4,-3,-19,-2,52,70,53,-3,-2,20,-8,-2,28,-1,-10,-54,-4,-2,1,-96,-42,2,2,2,2,8,34,98,7,-39,-46,0,0,0,0,1,0,-4,-15,-23,-26,-45,-61,-49,-3,-5,-1,0,-30,-1,4,0,-11,-28,-13,-29,-22,25,43,44,41,36,34,34,33,31,26,41,21,5,7,3,0,0,-3,-4,-4,-4,25,41,37,9,6,-14,5,5,-1,0,4,10,1,0,-8,0,0,0,0,-6,-22,-46,-41,-1,22,53,2,-3,-10,-23,-3,0,-17,-9,-5,0,-1,-16,0,0,0,-25,-11,-10,-11,-17,-31,-15,0,0,-14,-18,-23,-92,25,36,-97,-77,-34
Nuclear,1105,1105,1103,1104,1105,1104,1104,1105,1104,1105,1105,1104,1105,1104,1104,1103,1104,1104,1104,1105,1105,1105,1104,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105,1104,1104,1104,1105,1105,1105,1105,1105,1105,1105,1104,1105,1105,1106,1106,1106,1107,1106,1107,1106,1107,1107,1106,1107,1107,1107,1106,1106,1106,1106,1106,1106,1106,1107,1106,1106,1106,1105,1106,1106,1106,1105,1106,1105,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1117,1105,1105,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1107,1106,1106,1106,1106,1106,1106,1106,1106,1107,1106,1106,1107,1107,1107,1106,1107,1107,1106,1106,1107,1106,1107,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1107,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106,1115,1120,1121,1131,1139,1139,1140,1140,1139,1139,1139,1140,1140,1141,1140,1140,1140,1140,1140,1140,1139,1139,1139,1138,1139,1139,1140,1139,1139,1139,1140,1140,1140,1140,1140,1139,1140,1140,1140,1140,1140,1140,1140,1140,1139,1140,1140,1140,1140,1140,1139,1139,1139,1140,1140,1140,1139,1140,1139,1140,1139,1139,1139,1138,1138,1138,1139,1140,1139,1139,1139,1140,1139,1140,1140,1140,1140,1140,1140,1139,1140,1140,1140,1140,1140,1140,1140,1140,1140,1141,1140,1140,1140,1140,1141,1141,1141,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1141,1141,1141,1140,1140,1140,1140
Coal,15,15,16,15,16,15,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,17,17,17,16,17,17,17,17,17,16,17,17,16,16,17,17,17,15,16,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16,15,14,14,14,15,14,15,14,14,14,14,15,14,15,15,15,16,15,16,15,15,15,15,15,15,16,15,15,15,15,15,15,14,15,14,15,14,15,14,14,14,15,16,16,16,16,16,15,16,15,15,15,15,15,15,16,16,15,15,15,15,16,17,16,15,14,13,13,13,13,13,14,14,13,13,13,13,13,13,13,14,13,14,13,13,12,13,13,12,13,13,12,12,12,13,12,13,13,13,14,14,13,12,12,13,13,12,12,12,12,12,12,13,12,12,12,13,13,13,13,12,12,13,13,13,13,12,13,13,13,13,13,13,13,13,13,13,13,14,13,14,13,13,12,13,12,12,11,11,11,10,11,11,12,11,12,13,13,13,12,12,12,12,11,11,12,12,12,11,10,10,11,11,11,11,11,10,11,11,11,11,11,11,11,12,13,13,13,13,13,13,13,14,13,14,14,14,14,14,14,14,14,14,14,14,15,15,15,14,14,14,14,14,13,14
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
