12/11/2019,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,1695,1702,1711,1700,1689,1668,1686,1681,1669,1653,1641,1623,1594,1571,1565,1579,1555,1577,1576,1582,1563,1581,1574,1552,1565,1577,1621,1605,1617,1616,1614,1601,1620,1623,1628,1621,1614,1619,1616,1620,1626,1632,1631,1636,1638,1645,1621,1624,1603,1614,1649,1666,1654,1633,1642,1638,1636,1629,1629,1630,1641,1655,1667,1664,1656,1656,1661,1676,1679,1661,1689,1693,1697,1693,1746,1742,1742,1729,1750,1755,1738,1788,1840,1935,2024,2171,2332,2515,2634,2877,3118,3259,3559,3806,3954,4074,4282,4668,5050,5202,5159,5199,5271,5447,5431,5441,5359,5370,5322,5440,5545,5629,5634,5736,5575,5510,5538,5683,5712,5727,5739,5681,6149,6229,6245,6237,6404,6607,6560,6688,6776,6744,6869,7126,7253,7344,7379,7391,7291,7347,7430,7374,7227,7026,6978,7174,7247,7356,7136,7013,7004,6872,6574,6480,6548,6579,6546,6806,7065,6951,6714,6578,6573,6669,6897,6960,6893,6728,6606,6457,6270,6022,5975,5961,5836,5744,5575,5364,5408,5607,5367,4885,4751,4569,4226,3910,3784,3674,3413,3246,2965,2825,2721,2638,2542,2417,2335,2300,2282,2252,2251,2302,2330,2315,2339,2327,2303,2288,2311,2298,2285,2317,2323,2311,2265,2286,2298,2290,2262,2270,2263,2263,2240,2264,2267,2251,2265,2255,2243,2244,2246,2245,2265,2263,2258,2256,2263,2271,2274,2271,2251,2277,2256,2276,2322,2347,2328,2372,2394,2410,2381,2333,2305,2267,2220,2253,2258,2262,2302,2328,2334,2288,2246,2214,2188,2128,2093,2093,2088,2117,2120,2126,2115,2141,2143,2133,2127,2100,2080,2063,2026,2021,2008,2004,2022,2046,2061,2070
Natural gas,10599,10634,10681,10746,10779,10813,10755,10719,10698,10656,10609,10667,10748,10934,11177,11155,11125,11101,11061,11038,11027,11030,11033,10991,11014,11024,11001,11003,10990,10990,10970,10995,10995,10964,10923,10843,10864,10975,10974,10893,10887,10884,10893,10930,10892,10775,10789,10905,11084,11110,10941,10881,10863,10900,10870,10918,10901,11058,11226,11197,11124,10987,10861,10923,11060,11128,11143,11271,11104,11223,11338,11387,11515,11560,11372,11407,11386,11707,12013,11927,11944,12036,12119,12198,12248,12374,12450,12332,12298,12298,12255,12243,12081,12042,11881,11745,11755,11752,11919,12008,12142,12099,11906,11734,11618,11491,11288,11344,11389,11619,11647,11668,11491,11323,11348,11345,11344,11195,11248,11218,11247,11352,11507,11355,11247,11260,11308,11282,11191,11123,11030,10928,10865,10793,10745,10729,10613,10555,10604,10507,10523,10534,10596,10480,10610,10742,10847,10534,10297,10301,10502,10476,10514,10527,10650,10763,10774,10820,10809,10841,11121,11005,11078,11121,11237,11164,11113,11084,11103,11013,10980,11154,11307,11386,11496,11589,11649,11542,11646,11587,11616,11693,11379,11502,11753,11925,12327,12746,12953,13047,13162,13374,13452,13209,12996,13007,13124,13149,13177,13360,13612,13712,14008,14125,14168,14299,14312,14391,14543,14580,14700,14652,14598,14613,14539,14551,14394,14295,14231,14281,14176,14118,14035,13999,14025,14051,13983,13956,13980,13738,13531,13485,13433,13367,13352,13334,13259,13252,13206,13215,13204,13212,13188,13221,13172,13228,13219,13147,13110,13090,13060,13038,12982,12806,12818,12796,12657,12624,12611,12560,12362,12251,12070,11990,11992,11728,11522,11483,11396,11390,11329,11248,11116,11129,11186,11073,11063,10993,11064,11044,10984,10995,10973,10913,10857,10807,10678,10626
Large hydro,1877,1899,1815,1763,1747,1740,1739,1737,1740,1731,1730,1727,1688,1420,1349,1357,1306,1284,1297,1311,1313,1313,1317,1315,1291,1221,1188,1184,1177,1158,1151,1146,1113,1111,1140,1173,1202,1193,1209,1227,1219,1223,1203,1232,1244,1241,1238,1235,1288,1362,1402,1412,1426,1440,1434,1476,1491,1479,1462,1521,1602,1812,1996,1982,2034,2064,2039,2070,2336,2371,2404,2388,2322,2623,2718,2781,2828,2848,2861,2967,3029,3053,3070,3076,3069,3083,3141,3068,3076,3060,3006,2984,2944,2784,2636,2647,2578,2204,2026,1997,1879,1891,1914,1982,2005,2074,2060,2127,2009,1797,1707,1663,1666,1683,1660,1698,1704,1626,1633,1673,1668,1702,1737,1696,1574,1548,1555,1525,1538,1530,1534,1553,1518,1500,1444,1434,1442,1436,1482,1473,1446,1434,1445,1391,1300,1216,1212,1210,1254,1241,1229,1235,1249,1254,1248,1252,1271,1296,1336,1356,1376,1450,1433,1424,1421,1453,1411,1435,1502,1623,1660,1554,1533,1562,1588,1513,1502,1545,1637,1685,1632,1823,1953,1923,1969,1991,1982,1926,1852,1884,1922,1964,2117,2479,2698,2830,3024,3121,3142,3139,3132,3137,3092,3102,3153,3177,3132,3167,3299,3328,3337,3340,3349,3386,3422,3422,3384,3296,3281,3276,3252,3249,3263,3187,3149,3198,3200,3217,3255,3285,3311,3291,3307,3302,3286,3286,3295,3280,3269,3255,3261,3206,3210,3168,2984,2983,2976,2975,2980,2959,2939,2898,2870,2821,2762,2743,2727,2727,2690,2663,2647,2644,2640,2643,2601,2463,2447,2442,2410,2376,2336,2415,2386,2361,2327,2272,2144,1929,1910,1869,1835,1850,1886,1879,1853,1826,1834,1837
Imports,7534,7497,7505,7486,7410,7304,7296,7251,7207,7188,7196,7105,6956,7168,7116,7103,7157,7098,7074,6999,6954,6932,6886,6891,6872,6872,6846,6782,6766,6783,6785,6776,6778,6782,6796,6809,6686,6651,6640,6695,6669,6673,6636,6589,6586,6700,6733,6676,6626,6706,6806,6849,6861,6883,6949,6953,6979,6968,6950,7040,7134,7357,7479,7544,7527,7559,7632,7674,7518,7432,7446,7543,7766,7968,8246,8371,8533,8427,8309,8452,8523,8494,8468,8407,8371,8375,8237,8284,8278,8035,7888,7748,7591,7571,7637,7582,7391,7279,6999,6818,6856,6839,6862,6703,6739,6701,6917,6740,6748,6694,6679,6563,6742,6700,6832,6875,6867,6831,6742,6557,6422,6365,5909,5881,6045,5894,5581,5492,5450,5357,5267,5242,5221,5047,4986,5028,5042,4965,5016,5030,4909,4989,4942,5142,5206,4993,4980,5163,5324,5334,5155,5336,5555,5549,5525,5453,5385,5199,4962,4978,5073,5104,5141,5153,4912,4885,5045,5256,5362,5519,5706,5958,5886,5835,5865,5887,6017,6171,6079,5995,6359,6701,7026,7199,7301,7415,7352,7266,7453,7512,7688,7785,7831,7827,7939,8045,7978,8006,8149,8217,8205,8305,8328,8490,8706,8813,9060,9155,9077,9085,9048,9133,9200,9158,9175,9228,9377,9500,9537,9561,9644,9728,9769,9832,9851,9786,9831,9798,9694,9805,9832,9884,9936,9963,9943,9960,9982,9958,9971,9962,9865,9846,9806,9782,9877,9821,9775,9749,9640,9540,9504,9500,9484,9596,9620,9584,9540,9411,9353,9273,9332,9376,9454,9347,9230,9413,9592,9471,9398,9372,9375,9079,9004,8864,8676,8676,8623,8645,8578,8467,8414,8294,8159,8045,7961,7929,7923,7843
Batteries,5,-32,0,0,0,0,0,0,0,0,-14,-8,0,-11,0,-45,-45,-21,0,0,0,0,0,0,-5,-28,-35,-20,-14,-37,-26,-40,-38,-33,-29,-19,0,-37,-34,-25,-23,-8,0,0,0,0,0,0,-72,-61,-24,-11,1,27,15,62,102,13,0,26,0,63,37,12,28,32,9,71,19,27,35,17,-21,-15,2,72,97,-17,-19,-4,2,3,2,-4,-11,-29,-20,-6,-4,-24,-67,-23,-19,-83,-52,-21,-4,-7,-31,-81,-55,-56,-19,-5,27,87,90,90,2,-19,0,0,24,20,14,39,38,-9,24,86,73,19,-80,-81,-95,3,-5,-66,-11,-75,-21,-4,-1,-2,-2,-2,29,0,-2,-2,-3,6,102,119,120,10,-107,-88,23,122,111,-3,91,88,12,9,30,-20,-30,-4,22,55,31,-13,-20,-31,24,79,114,72,-4,-60,-24,-21,-4,-4,49,60,80,-41,-79,-38,-13,-57,-2,-2,-47,-106,-106,-40,-2,-81,-106,-64,-56,-35,-11,-3,-3,-1,6,1,-2,1,2,-17,-13,-21,-38,-38,-44,-44,-44,-6,27,21,16,17,6,14,16,14,45,29,17,8,9,9,7,69,103,60,67,70,56,63,46,52,40,55,47,4,-2,-2,-2,-2,-2,-2,-2,-2,-3,-4,-4,-1,-8,9,-4,-4,-4,-5,-4,-4,-23,-4,-5,-4,12,-9,-33,-68,-65,-30,-41,-36,-53,-43,-35,-21,-24,-40,-30,-26,-39,-20,-47,-45,-44,-35
Nuclear,475,476,477,478,478,476,474,474,474,474,474,475,476,477,477,478,479,478,475,474,474,474,474,473,473,474,474,475,476,476,477,474,473,472,472,472,472,473,474,475,475,476,476,477,477,476,474,473,473,473,473,474,474,475,476,476,469,469,470,468,466,466,466,466,466,467,467,468,468,468,469,470,470,470,468,467,466,466,466,466,466,466,467,467,467,467,468,468,468,469,469,470,470,471,471,471,471,469,467,467,467,467,467,468,468,468,468,469,469,470,470,470,469,470,468,469,469,469,468,467,466,466,466,466,467,467,467,468,467,468,468,468,468,467,466,464,464,464,464,464,464,464,465,465,465,488,508,506,505,504,504,504,504,505,504,505,505,503,502,508,510,511,512,512,513,513,514,514,514,514,515,513,512,511,510,511,511,509,508,508,489,477,477,477,477,478,477,478,477,478,478,478,478,478,479,478,479,479,480,480,480,480,479,480,480,479,479,479,478,478,478,478,478,478,478,478,478,477,476,476,477,477,477,477,478,477,478,477,478,477,477,477,478,478,478,478,478,478,479,477,477,477,476,477,477,477,477,477,477,477,477,477,478,477,478,478,477,478,478,478,478,479,480,481,481,481,480,480,479,479,479,479,479,479,480,479,480,479,480,480,480,480,479,478,478,477,478,477
Coal,12,12,13,13,13,13,12,12,12,12,12,12,12,12,13,12,12,12,12,12,12,13,13,13,12,12,13,12,13,12,11,12,13,12,12,13,13,12,13,13,14,13,13,12,12,12,11,11,10,11,11,11,12,12,12,12,13,13,13,13,13,12,12,13,12,13,12,12,13,14,14,13,13,14,14,14,14,14,14,14,13,13,13,13,13,14,13,13,13,13,13,12,12,12,12,12,13,13,12,12,12,12,12,12,12,12,13,12,12,12,12,13,13,13,13,13,12,13,14,13,13,13,13,12,12,11,10,11,12,13,13,12,12,12,13,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,14,13,14,14,14,14,14,14,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,14,14,14,15,14,14,14,14,14,14,14,14,15,14,14,13,14,14,14,14,14,14,14,15,14,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,14,14,13,13,14,13,14,14,13,14,14,14,14,14,13,13,13,13,13,13,13,13,13,12,13,12,12,12,12,13,13,12,13,12,13,13,13,13,13,13,13,13,14,15,15,15,14,14,14,16,16,16,16,16,17,17,17,16,15,15,15,14,15,15,15
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
