1/4/2022,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,4678,4678,4728,4775,4787,4786,4802,4828,4841,4869,4896,4880,4843,4829,4809,4824,4816,4819,4820,4831,4837,4850,4850,4797,4755,4717,4675,4594,4522,4453,4419,4420,4397,4364,4346,4353,4349,4372,4389,4418,4398,4387,4380,4369,4355,4360,4387,4401,4386,4406,4464,4455,4450,4456,4409,4378,4356,4348,4316,4297,4293,4300,4290,4288,4276,4266,4243,4236,4227,4141,4117,4090,4053,4061,4088,4103,4115,4137,4134,4131,4127,4121,4129,4204,4315,4445,4592,4782,4981,5246,5551,5899,6311,6696,7129,7697,8169,8682,9154,9628,10133,10677,11170,11613,11968,12460,12814,13086,13236,13645,14027,14207,14389,14550,14707,14936,15056,15096,14947,14608,14406,14582,14617,14696,14726,14665,14595,14561,14566,14555,14544,14573,14629,14511,14429,14460,14397,14321,14198,14455,14586,14407,13666,13249,13214,13619,13693,13816,14153,14306,14283,14131,14105,14058,14032,14119,14249,14138,13870,13772,13720,13672,13691,13608,13612,13580,13621,13662,13431,13413,13459,13539,13487,13489,13499,13504,13570,13614,13561,13525,13362,12994,12556,12462,12253,11992,11545,11049,10568,9995,9431,8882,8327,7766,7231,6692,6229,5830,5487,5211,4996,4857,4708,4642,4659,4707,4734,4733,4753,4773,4805,4823,4827,4863,4924,4976,5033,5116,5216,5317,5395,5429,5440,5330,5274,5346,5432,5414,5399,5360,5278,5233,5203,5169,5130,5162,5208,5256,5292,5343,5436,5493,5523,5569,5649,5708,5744,5747,5763,5791,5832,5853,5874,5831,5754,5650,5517,5424,5317,5255,5175,5086,5007,4944,4893,4819,4771,4725,4714,4652,4594,4522,4471,4433,4435,4411,4321,4246,4193,4171,4130,4102,4048,3998,3988,4011,4006,3999
Natural gas,7716,7855,7821,7781,7771,7758,7775,7689,7586,7506,7497,7516,7505,7519,7553,7446,7322,7313,7304,7293,7249,7286,7264,7265,7305,7529,7744,7789,7766,7761,7756,7856,7869,7823,7875,7883,7834,7792,7732,7728,7794,7840,7818,7863,7940,7961,8013,8213,8275,8226,8202,8076,8256,8400,8428,8481,8392,8398,8530,8604,8623,8876,8966,9078,9164,9436,9536,9606,9723,9876,10030,10041,10108,10034,10123,10254,10389,10363,10364,10531,10624,10740,10775,10653,10591,10756,10946,10874,10726,10623,10568,10472,10308,10147,9555,9320,9326,9088,9135,8876,8519,8231,8012,7986,7688,7563,7479,7609,7639,7098,6660,6505,6406,6275,6037,5946,6208,6219,6222,6286,6392,6196,6039,6061,5936,5781,5651,5592,5578,5578,5623,5563,5654,5613,5551,5545,5557,5428,5274,5076,4972,5031,5234,5414,5416,5510,5763,5753,5518,5328,5333,5319,5267,5241,5085,4931,5000,5280,5505,5518,5447,5331,5309,5390,5395,5363,5388,5564,5660,5709,5632,5582,5613,5659,5702,5758,5909,6109,6333,6466,6458,6301,6282,6429,6689,6933,7178,7417,7775,7857,8078,8463,8734,9089,9617,9894,10220,10663,11018,11311,11358,11626,11859,12009,11987,11913,12026,12124,12239,12335,12454,12706,12808,12917,12905,12912,12890,12764,12604,12500,12488,12481,12482,12524,12426,12389,12398,12424,12398,12066,11912,11910,11821,11787,11767,11683,11611,11542,11607,11607,11559,11536,11484,11430,11305,11187,11272,11219,11193,11023,10892,10817,10774,10802,10856,10767,10643,10636,10742,10763,10714,10700,10671,10611,10520,10425,10113,9977,9935,9891,9852,9795,9640,9548,9506,9411,9403,9445,9389,9193,9194,9157,9107,9018,8902,8835,8693,8641
Large hydro,942,887,852,848,861,852,854,880,884,885,886,905,901,901,897,930,948,957,956,956,944,944,965,950,936,932,957,966,972,976,956,950,959,954,945,938,914,909,934,949,948,950,949,951,954,949,949,979,1011,1018,1020,1008,1032,1031,1027,1022,1012,1008,1014,1008,1005,1088,1115,1086,1094,1075,1070,1067,1071,1075,1083,1082,1086,1137,1224,1235,1264,1280,1285,1265,1255,1256,1252,1253,1260,1285,1270,1312,1326,1325,1310,1308,1300,1293,1249,1240,1229,1134,1067,1069,1072,1092,1091,1088,1074,1047,1031,1025,975,900,860,858,877,885,873,912,930,930,934,954,950,885,865,877,882,877,863,864,854,866,814,799,823,831,854,860,848,846,861,839,798,792,782,834,810,792,775,787,812,810,816,831,832,833,818,808,802,812,794,774,764,757,756,759,760,770,787,788,798,784,773,733,718,722,723,704,699,688,698,716,741,814,874,859,862,881,941,954,968,945,938,1021,1080,1208,1284,1313,1351,1337,1352,1333,1337,1351,1352,1344,1343,1488,1572,1602,1673,1648,1610,1564,1588,1590,1581,1590,1600,1544,1549,1571,1586,1601,1624,1637,1678,1682,1668,1654,1662,1526,1500,1507,1501,1495,1490,1471,1459,1452,1482,1492,1489,1417,1416,1385,1363,1360,1379,1372,1375,1375,1392,1384,1364,1233,1138,1142,1177,1192,1149,1149,1135,1149,1160,1148,1165,1177,1179,1168,1164,1167,1163,1166,1170,1155,1150,1163,1148,1141,1139,1111,1078,1072,1075,1075,1078,1091,1090,1086
Imports,8435,8284,8220,8154,8058,8015,7898,7865,7823,7796,7778,7723,7711,7706,7676,7679,7724,7719,7690,7627,7645,7564,7506,7544,7566,7820,7842,7918,7993,7996,8058,7910,7867,7869,7896,7812,7793,7729,7625,7622,7730,7650,7623,7614,7565,7504,7431,7330,7279,7147,7085,7216,7270,7251,7256,7166,7137,7193,7264,7370,7470,7323,7289,7261,7272,7175,7193,7203,7189,7196,7143,7283,7388,7613,7650,7659,7539,7538,7634,7677,7765,7709,7725,7751,7650,7379,7348,7168,7080,7003,6953,6866,6785,6610,6750,6556,6226,6212,6146,5608,5444,5336,5296,5123,4807,4415,4157,3897,3979,4020,3993,3956,4017,3863,3596,3550,3475,3358,3387,3482,3297,3260,3356,3115,3032,3019,2952,2847,2710,2654,2593,2622,2515,2473,2462,2414,2366,2428,2545,2340,2210,2297,2769,2691,2722,2580,2622,2471,2167,2263,2334,2412,2432,2282,2096,2059,2033,2111,2246,2200,2199,2247,2342,2334,2321,2381,2354,2350,2489,2614,2528,2425,2457,2430,2367,2443,2453,2396,2251,2162,2251,2231,2512,2649,2642,2659,2823,3074,3356,4064,4578,4750,5064,5487,5737,5946,6115,6227,6291,6399,6657,6662,6661,6672,6789,7073,7244,7319,7301,7386,7396,7334,7336,7278,7181,7116,7141,7128,7161,7153,7091,7052,7013,7014,7042,7041,6949,6970,7047,7300,7454,7499,7567,7543,7547,7551,7546,7559,7625,7654,7575,7444,7429,7487,7529,7655,7664,7659,7604,7672,7699,7735,7669,7776,7888,7977,8081,8060,7970,7978,8040,8029,7954,7960,7936,7828,7945,8001,8008,8002,8018,8050,8091,8069,8014,7970,7923,7777,7729,7783,7727,7645,7632,7696,7673,7662,7673,7733
Batteries,-89,-51,-47,-52,-55,-59,-58,-52,-41,-54,-90,-90,-86,-118,-131,-124,-134,-143,-138,-133,-135,-140,-136,-136,-159,-441,-501,-546,-539,-514,-549,-508,-510,-488,-526,-477,-435,-367,-305,-349,-436,-398,-382,-400,-364,-358,-357,-417,-386,-282,-249,-214,-332,-344,-313,-213,-116,-119,-180,-201,-197,-132,-80,-66,-38,-73,-60,-37,-40,-43,-39,-37,32,202,263,303,489,564,546,535,620,657,723,731,776,716,690,778,791,660,473,320,197,184,204,132,73,-75,-237,-50,-118,-261,-443,-562,-450,-472,-513,-680,-823,-745,-707,-697,-838,-771,-617,-817,-1025,-1054,-1078,-1009,-875,-915,-912,-896,-871,-796,-708,-654,-623,-647,-639,-647,-689,-638,-644,-700,-699,-681,-599,-502,-501,-544,-546,-288,-318,-636,-754,-757,-569,-709,-761,-701,-689,-508,-329,-325,-418,-525,-540,-417,-340,-296,-377,-333,-296,-275,-338,-381,-354,-425,-318,-244,-211,-194,-193,-299,-337,-436,-410,-366,-318,-62,39,-28,61,45,87,109,102,58,145,229,192,57,-1,128,188,209,324,425,592,701,827,1061,1131,996,962,1063,1112,1123,1153,1208,1065,1082,1129,1117,1040,1042,1044,1002,975,973,948,966,1000,935,921,872,850,963,979,994,1043,1073,1058,1095,1106,997,782,728,721,798,730,677,649,479,363,355,340,308,291,231,209,93,64,125,141,122,96,54,14,32,51,34,51,151,234,207,170,107,36,22,26,22,18,10,17,9,3,24,52,36,29,23,17,0,8,-33
Nuclear,2266,2267,2267,2267,2266,2265,2266,2265,2266,2266,2266,2265,2266,2265,2265,2265,2265,2266,2265,2267,2266,2265,2266,2265,2266,2266,2266,2266,2264,2266,2266,2266,2265,2266,2266,2266,2267,2266,2266,2266,2265,2266,2265,2265,2265,2265,2266,2265,2265,2265,2265,2264,2264,2265,2266,2265,2265,2265,2266,2265,2266,2265,2264,2262,2262,2262,2262,2263,2263,2264,2265,2264,2265,2265,2264,2265,2266,2266,2266,2265,2265,2267,2266,2266,2266,2266,2265,2265,2265,2266,2266,2265,2266,2266,2266,2266,2265,2266,2265,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2265,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2265,2266,2266,2266,2266,2267,2267,2266,2267,2266,2267,2267,2267,2267,2267,2267,2268,2267,2267,2267,2266,2267,2267,2267,2265,2265,2266,2266,2266,2267,2266,2265,2265,2266,2266,2265,2265,2265,2265,2265,2266,2266,2265,2265,2266,2265,2264,2265,2265,2265,2265,2265,2265,2265,2265,2266,2266,2265,2266,2266,2265,2265,2264,2265,2265,2265,2265,2265,2265,2265,2265,2264,2265,2264,2265,2264,2264,2265,2264,2264,2264,2264,2263,2264,2264,2263,2263,2264,2264,2263,2264,2263,2264,2263,2263,2263,2264,2264,2264,2265,2265,2265,2265,2265,2265,2264,2264,2264,2264,2263,2264,2265,2265,2265,2265,2265,2265,2265,2264,2265,2264,2265,2265,2265,2265,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2266,2268,2266,2267,2267,2266,2267,2267,2266,2267,2266,2267,2267,2268,2269,2268,2268,2268,2268,2268,2268,2268,2268,2267,2267,2268,2267,2267,2267,2267,2267
Coal,10,11,11,11,12,10,10,11,10,10,10,10,10,11,11,11,10,10,10,10,10,11,10,11,11,11,11,10,10,10,10,10,11,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,10,11,11,11,11,11,10,11,11,11,11,11,10,11,11,11,10,10,10,10,9,9,9,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,12,11,10,10,10,11,10,11,11,10,10,10,9,7,6,6,6,7,7,7,6,6,7,7,7,7,6,6,6,7,7,7,7,6,6,6,6,7,7,6,6,6,6,6,6,6,5,5,5,5,6,6,6,7,6,5,6,6,6,6,7,7,7,6,7,7,7,7,7,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,6,7,7,6,7,7,7,7,7,7,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,5,4,5,5,4,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,6,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,4,4,4,4,5,4,5
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
