5/20/2018,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,6495,6432,6415,6407,6392,6388,6351,6330,6279,6222,6184,6179,6169,6162,6158,6134,6134,6114,6089,6072,6077,6087,6084,6077,6068,6065,6115,6164,6228,6216,6208,6208,6233,6228,6209,6158,6142,6108,6090,6052,6036,6037,6065,6088,6094,6099,6089,6057,6033,5992,5927,5855,5812,5790,5787,5757,5721,5724,5721,5694,5684,5691,5787,5805,5789,5778,5798,5782,5775,5749,5717,5700,5720,5769,5856,5959,6124,6280,6502,6728,6990,7304,7598,7924,8203,8499,8826,9230,9639,9943,10255,10420,10568,10714,10871,10859,10849,11119,11410,11733,12138,12212,12017,11947,12029,12181,12537,12954,13195,13239,13320,13385,13437,13467,13393,13345,13541,13574,13460,13470,13449,13453,13465,13481,13464,13543,13549,13526,13436,13367,13439,13484,13447,13553,13624,13650,13677,13643,13587,13670,13650,13653,13692,13786,13851,13922,13969,14061,14153,14182,14194,14249,14323,14456,14515,14590,14767,14874,14768,14587,14495,14412,14504,14809,15029,14816,14543,14553,14726,14471,14249,14206,14329,14503,14875,14865,14551,14407,14588,14683,14376,14117,14082,14415,14613,14824,14897,14899,14760,14756,14761,14610,14186,13971,13868,13781,13684,13588,13419,13233,12869,12685,12590,12698,12880,12607,11935,11607,11646,11743,11594,11264,10957,10687,10618,10352,10064,9706,9395,9122,8949,8774,8651,8496,8341,8167,7943,7705,7486,7255,7077,6914,6763,6660,6585,6522,6465,6425,6407,6419,6441,6435,6433,6416,6414,6435,6469,6491,6526,6555,6584,6589,6600,6568,6552,6541,6553,6572,6558,6515,6467,6431,6388,6335,6332,6313,6285,6216,6150,6092,6031,5999,5946,5899,5883,5900,5928,5937,5857,5896,5936,5945,5954,5947,5908,5893,5920,5900
Natural gas,2281,2121,1923,1659,1599,1555,1600,1633,1608,1626,1621,1635,1639,1653,1639,1647,1627,1603,1589,1625,1631,1618,1627,1667,1648,1711,1698,1692,1666,1656,1650,1592,1611,1578,1565,1561,1551,1565,1587,1538,1621,1600,1561,1597,1571,1581,1570,1592,1581,1578,1584,1591,1574,1578,1558,1593,1591,1580,1586,1599,1640,1701,1641,1594,1587,1601,1615,1635,1644,1636,1626,1641,1667,1579,1669,1573,1555,1651,1639,1577,1529,1750,1946,1928,1906,1851,1779,1815,1890,2072,2082,2125,2089,2100,2133,2189,2143,2084,2092,2126,2131,2173,2237,2183,2136,2156,2116,2141,2199,2208,2214,2195,2201,2196,2196,2196,2188,2235,2239,2207,2208,2228,2219,2202,2218,2205,2190,2228,2202,2193,2184,2170,2209,2170,2261,2152,2225,2217,2208,2205,2216,2220,2230,2209,2196,2172,2264,2205,2243,2232,2210,2198,2207,2222,2223,2211,2190,2196,2259,2269,2224,2239,2199,2170,2181,2233,2307,2233,2174,2224,2239,2216,2187,2182,2159,2200,2300,2260,2228,2248,2314,2362,2324,2263,2329,2338,2352,2345,2356,2293,2301,2436,2398,2504,2340,2536,2668,2689,2806,2749,2777,2749,2758,2869,2929,2997,2778,2694,2432,2179,2348,2468,2446,2478,2426,2611,2737,2767,2763,2813,3009,3085,3113,3226,3384,3423,3422,3436,3550,3891,3995,3991,4126,4125,4099,4116,4190,4270,4326,4309,4268,4386,4278,4218,4120,4025,4011,3963,3988,4066,4035,4007,4034,3964,4018,3972,3860,3718,3695,3778,3739,3744,3748,3751,3709,3664,3736,3741,3500,3413,3340,3295,3294,3289,3306,3324,3238,3071,2940,2804,2736,2736,2739,2745,2751,2715,2722,2762
Large hydro,3122,2945,2975,2993,2987,2903,2871,2861,2856,2842,2829,2830,2823,2801,2767,2773,2780,2731,2685,2676,2690,2657,2626,2705,2736,2763,2835,2892,2890,2892,2881,2860,2866,2859,2838,2825,2802,2801,2813,2799,2757,2770,2745,2735,2727,2746,2755,2756,2769,2758,2789,2796,2798,2812,2771,2721,2722,2711,2705,2685,2699,2788,2877,2927,2925,2920,2919,2923,2919,2906,2825,2796,2797,2584,2589,2554,2441,2398,2409,2392,2199,1952,1840,1768,1737,1860,1744,1636,1420,1233,1129,1176,1204,1150,1243,1357,1416,1431,1385,1336,1193,1116,1326,1412,1417,1424,1376,1266,1154,1188,1277,1299,1321,1341,1367,1378,1368,1334,1426,1430,1426,1463,1555,1567,1594,1607,1614,1670,1675,1658,1614,1620,1596,1494,1448,1393,1382,1409,1445,1425,1410,1394,1391,1334,1284,1179,1182,1202,1302,1380,1363,1326,1303,1269,1262,1260,1179,1103,1081,1231,1308,1330,1332,1223,1063,1034,1236,1343,1277,1242,1332,1342,1338,1273,1144,1038,1187,1323,1348,1333,1424,1520,1546,1493,1435,1452,1448,1508,1564,1549,1542,1556,1664,1696,1672,1635,1560,1540,1578,1633,1693,1713,1696,1570,1528,1540,1894,2092,2559,2301,2220,2442,2645,2741,2701,2552,2529,2604,2648,2757,2983,2997,3036,2961,3047,3105,3151,3242,3173,3105,3171,3202,3213,3237,3277,3253,3260,3273,3296,3298,3318,3418,3471,3474,3498,3492,3489,3466,3453,3474,3497,3482,3457,3407,3356,3344,3374,3343,3318,3368,3370,3356,3350,3343,3223,3076,3021,3038,3018,2999,2970,2945,2937,2931,2930,2926,2872,2817,2849,2853,2859,2846,2845,2850,2855,2836,2808,2808
Imports,8331,8641,8862,8933,8885,8948,8942,8895,8857,8835,8800,8753,8702,8689,8648,8532,8462,8472,8466,8438,8344,8304,8239,8124,8032,7925,7747,7569,7473,7450,7439,7425,7355,7349,7392,7427,7449,7455,7440,7456,7406,7394,7390,7338,7343,7312,7292,7310,7316,7366,7418,7501,7510,7540,7600,7685,7702,7713,7700,7754,7744,7701,7646,7610,7604,7630,7598,7625,7631,7640,7700,7669,7577,7801,7765,7700,7705,7602,7345,7115,7046,6949,6723,6518,6381,6078,5870,5525,5360,5272,5123,4989,4855,4792,4515,4433,4403,4298,4070,3901,3676,3598,3644,3602,3556,3435,3144,2874,2682,2599,2460,2333,2222,2177,2237,2243,2123,2094,2058,2018,2021,2015,1929,1886,1896,1792,1764,1711,1768,1860,1856,1754,1793,1794,1751,1745,1686,1674,1677,1643,1632,1624,1544,1435,1350,1392,1301,1183,1027,860,849,802,739,590,574,490,413,367,582,622,682,764,664,514,348,615,778,684,585,844,1031,1068,969,876,643,737,987,1020,892,866,1036,1160,1244,1120,1076,930,920,899,972,1110,1261,1447,1809,2042,2323,2414,2582,2804,2939,3171,3490,3771,4032,4047,3841,4023,4433,4719,4394,4790,5040,5129,5272,5451,5627,6080,6414,6661,6938,7240,7108,7281,7421,7617,7672,7737,7966,8155,8339,8440,8538,8705,8777,9005,9055,9230,9333,9395,9539,9635,9762,9711,9769,9952,10110,10174,10232,10246,10222,10087,10070,10011,9916,9998,9921,9901,9896,9910,9835,9708,9646,9575,9407,9360,9279,9392,9342,9232,9336,9377,9450,9398,9315,9206,9022,8920,8824,8876,8847,8824,8705,8607,8449,8311,8194,8096,7979,7827
Batteries,-35,-17,60,70,69,18,-24,-12,-7,-11,-16,-28,-55,-66,-55,-36,-36,-36,-36,-35,-35,-33,-25,-25,-19,-16,-6,0,0,0,12,7,24,26,-5,0,-6,-17,-7,-1,-7,-2,-19,-18,-6,-1,-1,-3,-5,-1,-1,10,8,2,-38,-23,-10,-10,-10,-10,-10,-12,-15,-8,0,0,0,0,0,0,25,3,-2,12,62,29,-35,-60,-47,-16,-12,-18,-18,-18,-17,-15,10,-9,-5,-5,-5,-2,-5,-6,-5,5,11,25,4,-23,-31,-8,1,28,40,40,-9,-55,-31,-6,-5,-1,-2,2,9,17,-3,-33,0,8,5,1,0,0,3,1,-2,-14,-5,2,5,-8,-11,-7,-3,-3,-2,-2,1,-2,-3,-3,-13,-4,-2,-2,-2,-2,-1,-1,-1,1,-2,-6,-5,-4,-2,-5,0,-1,-1,3,0,-12,-5,-3,2,1,-3,2,9,12,-3,-9,-13,-12,15,11,4,-5,8,45,54,-7,-38,-27,-16,5,53,19,-31,-28,4,99,65,28,-7,-24,-49,-23,3,9,-16,-13,-13,15,69,70,46,-34,-35,49,68,68,6,-37,-41,10,51,58,44,-10,-43,-45,-45,-26,-4,4,2,-20,0,0,-9,19,6,1,0,-13,-24,-13,-6,19,19,2,23,37,38,35,34,13,0,-5,0,7,11,17,41,36,23,47,59,54,32,54,33,50,85,105,103,89,33,0,0,0,-9,-20,-33,-22,1,11,8,1,1,20,41,11,-2,-8
Nuclear,2283,2283,2282,2283,2283,2283,2283,2283,2284,2284,2284,2284,2285,2284,2284,2284,2283,2282,2284,2283,2283,2282,2282,2282,2281,2282,2279,2280,2280,2280,2279,2280,2280,2280,2280,2281,2282,2281,2281,2280,2281,2281,2280,2282,2281,2281,2282,2282,2282,2281,2281,2281,2283,2282,2281,2282,2283,2281,2281,2283,2282,2282,2282,2282,2283,2282,2282,2283,2282,2283,2281,2281,2280,2281,2279,2281,2281,2281,2283,2281,2281,2281,2282,2282,2281,2282,2281,2281,2282,2282,2282,2281,2281,2281,2281,2281,2281,2280,2281,2281,2281,2283,2282,2281,2282,2281,2282,2282,2282,2282,2282,2282,2283,2282,2282,2281,2283,2283,2282,2282,2281,2282,2281,2281,2281,2280,2282,2281,2279,2281,2280,2281,2281,2281,2282,2281,2282,2281,2281,2281,2281,2282,2281,2281,2281,2281,2280,2280,2281,2281,2280,2280,2281,2280,2281,2281,2280,2281,2281,2280,2280,2279,2279,2279,2279,2280,2280,2280,2280,2280,2279,2280,2280,2281,2281,2280,2279,2280,2281,2281,2280,2281,2281,2280,2281,2280,2281,2281,2281,2281,2282,2281,2282,2281,2280,2281,2282,2281,2283,2281,2282,2281,2282,2283,2282,2282,2281,2282,2282,2282,2281,2282,2281,2281,2282,2281,2282,2281,2283,2282,2281,2283,2282,2282,2281,2282,2282,2282,2281,2282,2282,2282,2281,2281,2282,2282,2282,2282,2282,2282,2282,2281,2282,2282,2282,2282,2281,2282,2283,2283,2283,2283,2284,2284,2284,2283,2283,2282,2282,2282,2284,2281,2282,2281,2282,2281,2282,2281,2282,2282,2281,2282,2282,2282,2282,2283,2283,2282,2282,2282,2282,2282,2282,2282,2283,2282,2283,2283
Coal,23,23,23,23,24,23,22,23,22,22,22,23,23,23,22,23,24,23,24,24,23,23,23,23,23,23,23,24,23,23,23,23,24,23,23,22,23,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,24,23,23,24,24,24,23,24,24,24,23,23,23,23,23,24,24,24,23,22,23,23,22,23,23,23,23,22,23,22,22,22,22,23,22,22,22,22,22,22,23,23,23,23,23,23,22,22,22,22,22,23,22,22,22,21,21,22,21,22,22,22,22,22,22,21,21,22,22,22,22,23,23,22,22,22,23,23,22,22,22,22,22,21,21,21,21,21,21,21,22,22,21,22,21,22,22,22,22,22,22,22,22,22,21,21,21,22,22,22,22,22,22,22,22,22,22,21,22,21,21,21,21,22,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,24,24,23,23,23,23,23,23,23,23,22,22,22,23,24,24,24,24,24,23,23,23,22,23,23,24,24,23,24,24,21,23,24,24,23,24,23,24,23,24,24,24,24,24,24,24,24,24,23,23,23,24,22,22,22,22,21,23,24,24,24,23,23,23,23,22,22,22,22,22,22,22,23,22,22,22,22,22,22,22,22,22,22,22,22,23,22,22,22,22,22,22,21,22,22,22
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
