6/24/2019,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,4632,4569,4483,4425,4367,4333,4305,4280,4259,4228,4199,4180,4172,4149,4153,4144,4126,4134,4132,4115,4109,4086,4076,4064,4056,4045,4037,4007,3970,3850,3826,3811,3785,3733,3677,3635,3591,3566,3543,3531,3521,3521,3516,3519,3515,3501,3490,3489,3500,3515,3503,3538,3532,3509,3483,3451,3397,3357,3336,3307,3290,3289,3303,3311,3305,3285,3276,3246,3199,3155,3129,3164,3258,3369,3527,3709,3932,4188,4463,4773,5075,5392,5699,6022,6280,6598,6971,7372,7746,8119,8500,8698,9111,9456,9766,10033,10240,10417,10585,10722,10868,11015,11148,11259,11354,11468,11633,11761,11846,11917,11977,12048,12109,12169,12221,12278,12345,12398,12467,12528,12583,12642,12707,12787,12834,12888,12930,12985,13060,13117,13145,13205,13255,13305,13331,13350,13368,13386,13406,13427,13424,13427,13421,13429,13439,13444,13445,13468,13461,13455,13462,13456,13452,13458,13469,13490,13501,13520,13552,13581,13598,13596,13608,13620,13616,13617,13613,13649,13647,13639,13648,13660,13669,13663,13657,13652,13668,13675,13704,13678,13640,13652,13656,13644,13682,13733,13770,13767,13792,13767,13777,13755,13733,13780,13830,13774,13720,13715,13712,13704,13688,13667,13594,13542,13509,13459,13401,13366,13337,13237,13119,13009,12962,12840,12655,12444,12257,12022,11762,11472,11145,10815,10410,9991,9571,9150,8755,8357,7937,7563,7215,6866,6544,6205,5884,5576,5328,5107,4934,4824,4749,4650,4617,4595,4606,4637,4661,4684,4705,4742,4747,4777,4802,4769,4752,4765,4764,4786,4794,4809,4804,4820,4840,4878,4913,4920,4873,4850,4855,4856,4909,4967,5038,5089,5117,5164,5199,5216,5173,5192,5226,5265,5321,5372,5425,5497,5544,5536
Natural gas,5008,4943,4847,4680,4534,4516,4509,4503,4491,4487,4493,4488,4429,4330,4212,4193,4105,4100,4061,3965,3967,3904,3889,3808,3677,3606,3525,3369,3235,3343,3446,3528,3588,3601,3542,3495,3461,3536,3540,3551,3452,3442,3388,3373,3350,3327,3329,3239,3219,3093,3085,3047,3050,2969,2962,2953,2997,3080,3127,3123,3158,3191,3152,3150,3162,3198,3204,3222,3235,3248,3264,3255,3254,3279,3378,3324,3304,3284,3167,3041,2805,2638,2528,2711,2705,2418,2185,2096,2143,2291,2180,2140,1967,1988,1963,1943,2004,2007,1946,1983,1989,2030,2088,2093,2088,2078,2028,1991,2006,1940,1916,1872,1880,1881,1895,1921,1930,1930,1914,1902,1877,1884,1888,1864,1829,1786,1783,1818,2044,2011,2005,2004,2003,1990,2024,2014,1994,1946,1921,1902,1947,1924,1911,1955,1911,1868,1665,1727,1698,1694,1686,1771,1805,1887,1783,1659,1711,1707,1596,1571,1574,1627,1712,1746,1759,1758,1790,1799,1937,2021,1976,2000,1949,1951,1933,1906,1952,1979,1964,2033,2131,2284,2419,2706,2690,2805,2884,3058,3291,3455,3597,3571,3747,3919,3780,3976,4171,4215,4307,4375,4482,4518,4660,4692,4588,4676,4774,4934,5061,5122,5268,5374,5519,5598,5881,6173,6341,6417,6448,6603,6870,7163,7395,7713,8002,8234,8669,8796,8872,9145,9349,9355,9441,9615,9666,9819,9914,10003,10136,10189,10188,10166,10076,10218,10265,10298,10245,10161,10169,10155,10178,10148,10002,9776,9728,9640,9325,9128,9057,9145,9155,8967,8630,8565,8486,8256,8008,7987,7905,7940,7884,7697,7333,7069,6512,6140,6164,6218,6412,6395,6185,5863,5568,5435,5305,5086,4963,4858
Large hydro,4207,4124,4133,4166,4168,4168,4150,4148,4148,4130,4126,4136,4117,4107,4038,4047,4035,4039,4022,4014,4067,4042,4031,4016,3957,3841,3836,3841,3849,3849,3835,3839,3773,3777,3805,3864,3885,3933,3960,4019,4024,4008,3951,3941,3932,3918,3924,3914,3797,3691,3659,3661,3666,3668,3690,3684,3660,3654,3663,3649,3660,3784,3845,3844,3845,3847,3843,3844,3848,3844,3838,3838,3812,3697,3642,3637,3573,3497,3436,3504,3582,3572,3364,3226,3040,2983,2943,2898,2688,2590,2536,2517,2542,2480,2415,2422,2366,2334,2293,2272,2264,2261,2237,2245,2253,2295,2264,2296,2309,2203,2188,2179,2169,2157,2163,2153,2142,2176,2185,2205,2205,2271,2274,2250,2225,2223,2224,2063,1913,1908,1899,1903,1876,1962,2050,2092,2073,2082,2097,2094,2098,2106,2097,2101,2082,2336,2366,2393,2428,2427,2425,2421,2420,2421,2704,2728,2745,2910,3035,3081,3099,3102,3101,3113,3113,3122,3117,3145,3196,3391,3450,3514,3544,3551,3561,3533,3498,3475,3485,3460,3386,3342,3267,3301,3328,3331,3354,3324,3280,3254,3307,3372,3391,3466,3583,3706,3876,3885,3893,3891,3841,3852,3937,3980,4028,4067,4078,4094,4148,4145,4135,4138,4132,4158,4131,4172,4333,4532,4651,4669,4692,4758,4857,4856,4980,5105,5147,5202,5265,5223,5335,5353,5329,5350,5395,5378,5376,5368,5386,5385,5364,5356,5361,5348,5311,5300,5313,5311,5304,5110,4979,4960,5025,5077,5004,5033,5107,5058,4855,4833,4803,4762,4626,4587,4624,4797,4832,4798,4595,4564,4518,4533,4552,4519,4532,4519,4413,4219,4142,4138,4133,4159,4147,4122,4118,4080,4080,4073
Imports,8053,8159,8255,8341,8451,8392,8290,8235,8147,8034,7954,7807,7783,7871,8044,8002,8002,7910,7899,7908,7836,7789,7743,7780,7881,8040,8141,8265,8346,8260,8148,8132,8105,8081,8111,8078,8007,7926,7883,7828,7844,7882,7925,7918,7907,7896,7859,7842,7954,8053,8139,8145,8122,8208,8207,8210,8256,8275,8251,8287,8323,8234,8205,8215,8220,8203,8201,8163,8122,8064,8008,7886,7757,7737,7672,7530,7421,7299,7151,6927,6702,6545,6550,6405,6357,6351,6319,6070,5828,5730,5548,5439,5108,4890,4696,4446,4267,4129,4074,4035,3902,3790,3693,3570,3507,3381,3341,3278,3201,3355,3402,3422,3385,3329,3268,3257,3260,3156,3099,3035,3017,2932,2890,2889,2923,2967,2974,3079,3228,3240,3248,3256,3294,3181,3087,3059,3150,3236,3276,3340,3392,3444,3527,3572,3689,3476,3476,3450,3510,3620,3696,3715,3775,3806,3571,3586,3622,3535,3541,3605,3690,3766,3820,3877,3981,4073,4206,4279,4324,4108,4100,4067,4145,4304,4441,4594,4691,4846,4926,5091,5243,5216,5329,5245,5256,5237,5251,5273,5273,5311,5263,5226,5154,4898,4966,4802,4605,4635,4711,4792,4895,5054,5014,5150,5362,5310,5402,5441,5472,5628,5749,5850,5905,6020,6012,6013,6058,5958,6026,6177,6306,6373,6496,6635,6711,6771,6814,7027,7301,7444,7558,7709,7968,8055,8199,8259,8392,8497,8425,8405,8476,8583,8668,8608,8640,8619,8630,8690,8695,8750,8788,8771,8750,8775,8768,8793,8930,8961,9002,8833,8701,8761,9011,9007,8800,8660,8629,8519,8476,8328,8221,8227,8159,8216,8400,8433,8307,8223,8098,8004,7966,7972,8007,7969,7884,7874,7832,7716
Batteries,-24,-11,0,-4,-4,-4,-4,-4,-4,-6,-4,-4,-7,0,-1,-4,-3,-4,-29,-4,-4,-4,-4,-5,-17,-4,-4,-4,-4,0,-7,-67,-84,-66,-50,-41,-39,-35,-50,-43,-48,-75,-64,-59,-54,-46,-23,-16,-23,17,18,18,18,19,44,53,18,18,18,2,1,6,10,9,4,4,4,4,-3,0,-4,-6,-8,-8,-5,-12,-54,-66,-61,-19,-24,-21,-9,17,-21,-33,3,-40,-48,-2,-70,-33,-53,-52,-73,-45,-62,-3,11,2,-9,-2,-1,11,11,11,11,7,8,-15,-12,-14,-15,-15,-21,-28,-38,-9,-27,-15,-18,-30,-28,-28,-28,-28,-28,-35,-28,-28,-28,-28,-43,-38,-31,-24,-28,-24,-9,-12,-18,-7,-25,-26,-28,-35,-46,-18,-10,-10,-5,0,0,-2,-20,-15,-1,4,4,4,4,4,4,4,10,26,4,-4,-78,-39,-32,-3,5,5,5,15,25,33,27,17,2,-10,-73,-30,0,0,0,-39,-44,-60,-30,0,-7,-36,-38,-21,-3,2,2,-12,-6,-8,7,2,26,48,14,-19,-25,-33,-17,-18,-8,-7,4,16,-18,17,27,25,32,32,34,49,62,72,62,82,81,43,14,15,16,21,22,22,22,22,22,22,21,15,14,14,15,14,14,12,12,12,12,12,12,6,11,6,13,9,18,14,13,-7,-3,15,7,25,33,33,33,32,-26,-37,33,5,84,95,31,-1,-56,-56,-35,1,-3,-5,-2,-15,-14,-2
Nuclear,2266,2267,2266,2266,2266,2266,2266,2267,2266,2266,2266,2266,2267,2267,2266,2266,2267,2268,2267,2267,2268,2267,2268,2268,2268,2267,2268,2267,2268,2268,2269,2268,2268,2268,2268,2268,2268,2268,2268,2269,2268,2269,2269,2269,2270,2269,2270,2270,2270,2270,2269,2270,2270,2269,2269,2270,2270,2270,2270,2270,2270,2270,2270,2269,2270,2270,2270,2269,2269,2269,2269,2269,2269,2269,2268,2268,2268,2270,2270,2268,2268,2267,2267,2267,2267,2267,2266,2266,2267,2265,2265,2264,2264,2264,2264,2264,2262,2264,2263,2263,2264,2262,2264,2264,2263,2264,2264,2265,2264,2265,2263,2264,2264,2264,2264,2264,2264,2265,2265,2264,2264,2263,2262,2262,2263,2262,2263,2264,2263,2262,2263,2262,2262,2262,2263,2262,2262,2263,2263,2263,2263,2263,2263,2264,2266,2266,2266,2266,2266,2266,2267,2267,2268,2268,2268,2268,2268,2269,2268,2269,2268,2269,2269,2270,2269,2269,2269,2268,2269,2269,2270,2268,2268,2269,2269,2269,2269,2268,2268,2269,2268,2269,2269,2269,2268,2270,2269,2269,2269,2269,2269,2269,2269,2267,2267,2266,2267,2265,2264,2265,2264,2265,2264,2265,2264,2264,2263,2264,2263,2264,2263,2263,2263,2262,2263,2263,2263,2262,2262,2262,2262,2262,2261,2261,2261,2260,2260,2261,2261,2261,2261,2260,2260,2260,2260,2261,2260,2261,2261,2261,2260,2262,2261,2263,2262,2262,2262,2262,2262,2262,2262,2262,2263,2264,2263,2262,2263,2263,2263,2264,2264,2265,2265,2264,2264,2263,2263,2263,2263,2263,2264,2264,2264,2264,2264,2263,2263,2263,2263,2264,2263,2264,2264,2263,2264,2264,2264,2264
Coal,12,12,12,12,11,11,11,11,11,11,11,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,11,11,11,11,12,12,11,12,12,12,12,12,12,11,12,11,12,12,12,11,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,11,9,10,10,9,10,10,10,10,9,9,10,10,10,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,11,11,11,10,10,10,11,11,11,11,10,10,10,10,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10,11,11,11,11,11,10,11,11,11,12,11,11,11,11,12,11,11,10,10,10,10,10,10,10,10,10,10,10,10,11,10,11,10,11,11,11,11,10,11,11,11,11,11,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,11,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
