12/25/2019,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,4049,4050,4056,4002,3967,3971,3962,3960,3970,3952,3865,3796,3747,3710,3671,3630,3578,3534,3482,3492,3486,3500,3544,3575,3521,3456,3443,3372,3383,3388,3415,3412,3420,3412,3446,3467,3493,3493,3529,3540,3599,3649,3702,3748,3784,3747,3694,3653,3659,3645,3639,3607,3595,3599,3564,3528,3463,3481,3482,3481,3461,3485,3492,3518,3552,3556,3574,3570,3566,3552,3529,3493,3504,3523,3550,3602,3631,3631,3647,3667,3669,3673,3660,3627,3602,3629,3649,3729,3904,4102,4394,4656,4866,5103,5293,5412,5625,5722,5745,6017,6137,6320,6505,6485,6721,7118,7748,8314,8643,9114,9478,9519,9406,9580,9769,9844,9961,10116,9886,9800,9959,10030,9840,9717,9751,9702,9686,9653,9649,9649,9573,9513,9441,9546,9712,9680,9535,9599,9550,9659,9726,9700,9497,9352,9282,9060,9138,9085,9020,9125,9115,8977,8979,8970,9052,9037,9032,9070,9126,8883,8404,7971,7719,8271,8438,8256,7556,7375,7315,7495,7496,7200,6623,6437,6061,6042,6063,5949,5823,5670,5449,5339,5260,5074,4968,4784,4612,4312,4045,3889,3810,3624,3497,3313,3189,3069,2952,2813,2775,2691,2655,2642,2675,2673,2657,2640,2617,2631,2648,2731,2768,2743,2823,2863,2884,2929,2957,2985,3019,3052,3039,3013,2991,2962,2928,2919,2897,2893,2901,2887,2846,2797,2770,2735,2792,2812,2811,2783,2785,2793,2781,2790,2866,2959,3033,3092,3133,3243,3344,3472,3567,3613,3641,3698,3749,3782,3784,3788,3832,3845,3833,3834,3874,3941,4032,4075,4126,4218,4202,4158,4108,4107,4042,4031,3957,3894,3854,3840,3792,3727,3681,3650,3600,3595,3618,3655,3729,3824
Natural gas,7866,8086,8063,8021,8067,8015,8029,8012,7899,7841,7826,7821,7860,7916,8010,8039,7954,7902,7818,7950,8120,7996,8014,7895,7879,7851,7776,7776,7777,7780,7793,7819,7830,7804,7789,7753,7731,7708,7760,7755,7728,7705,7688,7687,7697,7688,7698,7670,7698,7723,7702,7704,7694,7727,7751,7784,7768,7827,7829,7838,7841,8078,8097,8067,8052,8099,8146,8110,8152,8147,8187,8243,8268,8300,8254,8177,8167,8157,8182,8184,8262,8235,8320,8270,8332,8496,8501,8485,8530,8533,8420,8488,8453,8446,8378,8299,8227,8309,8295,8253,8219,8139,8170,8060,7930,7764,7756,7389,7228,7045,6912,6810,6839,6766,6763,6701,6732,6736,6758,6753,6756,6894,7117,7113,7030,7061,7075,7098,7091,7055,6985,7059,7063,7159,7188,7195,7190,7246,7238,7220,7205,7213,7273,7284,7238,7284,7174,7210,7300,7236,7166,7242,7245,7193,7210,7234,7295,7373,7357,7343,7383,7473,7591,7382,7374,7256,7449,7603,7559,7548,7577,7658,7430,7408,7548,7730,7884,8029,7864,7670,7616,7590,7606,7644,7644,7673,7766,7929,8051,8145,8278,8365,8370,8325,8229,8255,8172,8399,8488,8592,8643,8732,8687,8718,8719,8680,8649,8551,8574,8567,8535,8553,8507,8499,8495,8453,8387,8379,8357,8356,8369,8373,8369,8371,8394,8445,8398,8389,8354,8402,8417,8452,8444,8439,8470,8451,8491,8424,8430,8407,8435,8414,8515,8530,8486,8461,8430,8434,8381,8323,8245,8209,8261,8376,8404,8418,8418,8392,8385,8378,8314,8280,8235,8185,8238,8256,8185,8125,8146,8126,8053,8019,8006,7964,7942,7942,7980,7881,7857,7837,7834,7872,7869,7851,7857,7814,7827,7810
Large hydro,2228,2186,2104,2132,2133,2098,2067,2062,2065,2061,2061,2059,2032,1906,1845,1833,1836,1831,1761,1543,1537,1493,1510,1486,1430,1457,1460,1452,1443,1436,1425,1411,1412,1435,1444,1444,1416,1322,1260,1249,1241,1240,1211,1207,1245,1251,1259,1255,1273,1361,1403,1411,1413,1414,1410,1415,1423,1414,1404,1408,1375,1497,1533,1563,1552,1550,1609,1613,1622,1624,1608,1617,1677,1680,1730,1784,1799,1810,1818,1828,1836,1838,1850,1861,1839,1830,1845,1802,1777,1808,1747,1725,1727,1703,1720,1739,1670,1590,1576,1604,1600,1566,1525,1505,1457,1387,1426,1327,1287,1426,1497,1412,1280,1211,1268,1198,1116,1114,1138,1174,1167,952,888,951,1003,1012,964,969,973,963,862,941,857,880,772,735,739,740,765,770,767,763,769,808,828,783,750,791,862,932,833,847,899,826,817,821,812,840,846,826,816,828,857,874,773,689,769,932,977,926,900,1000,1437,1597,1609,1471,1417,1438,1782,1786,1808,1848,1840,1806,1886,1899,1890,1892,1902,1909,1975,2049,2044,2184,2344,2484,2501,2682,2727,2742,2791,2883,2983,3037,3050,3143,3229,3229,3290,3270,3288,3378,3390,3385,3300,3301,3298,3339,3377,3387,3402,3452,3456,3416,3396,3399,3399,3393,3349,3241,3149,3138,3144,3134,3114,3083,3125,3127,3134,3135,3103,2981,2921,2935,2898,2836,2771,2759,2723,2706,2693,2725,2728,2681,2675,2685,2692,2686,2678,2667,2664,2665,2670,2592,2442,2264,2282,2239,2227,2228,2242,2240,2213,2208,2212,2209,2159,1954,1881,1867,1801,1774,1771,1754,1751,1717,1678,1685
Imports,6064,5811,5916,5868,5832,5813,5780,5734,5780,5778,5778,5780,5755,5753,5741,5716,5784,5846,5935,6162,6168,6209,6093,6094,6163,6212,6256,6281,6279,6238,6197,6122,6083,6019,5944,5917,5887,5932,5949,5915,5861,5816,5771,5729,5639,5637,5672,5722,5698,5641,5642,5678,5670,5707,5722,5738,5766,5750,5768,5782,5811,5680,5643,5680,5692,5688,5586,5627,5695,5712,5726,5756,5713,5842,5948,5966,5971,5991,6032,6051,6046,6055,6055,6083,6110,6048,6078,6100,5978,5774,5673,5406,5157,5013,4875,4828,4753,4745,4776,4554,4491,4387,4187,4174,4057,3949,3393,3099,2918,2480,2178,2096,2238,2151,1889,1883,1850,1682,1807,1808,1665,1818,2030,2025,1957,2017,2041,2071,2065,2140,2249,2225,2296,2135,1965,2181,2292,2180,2134,2101,2008,2003,2158,2213,2270,2641,2885,2868,2844,2655,2789,2917,2874,3003,2921,2894,2817,2691,2567,2768,3243,3585,3930,3624,3618,3959,4383,4288,4407,4295,4369,4450,4599,4573,4814,4828,4789,4804,4639,4845,5174,5276,5409,5627,5698,5819,5977,6157,6407,6544,6550,6637,6913,7116,7316,7373,7588,7477,7485,7663,7819,7886,8032,8255,8515,8731,8904,9054,9041,9059,9065,8987,8988,8945,8982,8995,9064,8988,8910,8849,8792,8728,8726,8731,8740,8672,8772,8777,8789,8847,8933,8942,8940,8953,8909,8904,8850,8893,8928,8914,8923,8963,8926,8788,8770,8782,8814,8718,8689,8643,8603,8536,8387,8195,8027,7943,7879,7844,7767,7682,7675,7618,7566,7456,7337,7328,7283,7146,7029,7068,7074,6989,6963,6909,6887,6832,6723,6885,6994,6957,6965,6908,6872,6798,6696,6624,6490,6266
Batteries,-5,3,24,29,17,7,-1,-1,-9,-10,-9,-7,-6,-4,-3,-2,-2,-1,-17,-7,-11,-17,-1,-1,-1,1,-1,-1,-1,-7,-18,-10,-14,-1,-2,-2,-2,-1,-2,-2,-2,-6,-7,-5,-1,-2,17,4,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,0,0,-12,-11,-12,-10,-11,-10,7,0,0,0,0,0,-12,-15,-10,0,-2,1,5,1,-1,3,39,18,12,29,26,8,0,-17,-26,-11,-7,-11,-14,-6,-5,-7,19,-2,-3,-5,-23,3,-32,-40,-55,-50,8,44,9,2,82,58,0,0,0,-6,15,35,11,-38,0,57,28,11,0,0,0,0,0,0,20,19,0,-17,0,-13,0,0,0,0,0,28,0,-10,-6,2,49,58,6,22,25,6,6,6,5,11,4,-7,0,0,42,-4,-72,-48,20,78,27,-26,-49,35,62,39,11,-3,-16,-5,-2,0,0,0,-31,-29,0,0,-8,-1,-1,4,1,-3,-33,-16,-30,-28,-11,-1,0,0,0,-7,-2,2,-1,-10,-15,-16,-10,-11,-7,-7,-7,-7,-7,-12,-13,-12,-13,-13,7,29,-10,10,0,-6,-6,-8,-1,-1,0,0,0,0,-1,-1,-2,0,0,-3,-2,10,-3,2,-3,-7,-8,-3,-5,-7,-11,0,0,3,11,2,13,-1,-6,11,-6,21,7,4,0,0,0,0,0,0,-6,-5,0,0,0,2,-5,8,2,-4,-6,-6,-6,-6,-10,-11,-19,-18
Nuclear,2271,2271,2271,2271,2271,2270,2270,2271,2272,2271,2271,2271,2272,2271,2271,2271,2271,2270,2271,2271,2270,2270,2270,2270,2269,2269,2268,2269,2270,2270,2271,2271,2271,2271,2271,2271,2270,2271,2270,2270,2270,2271,2270,2271,2271,2270,2270,2271,2270,2271,2271,2271,2270,2271,2272,2271,2271,2271,2272,2271,2271,2272,2271,2271,2270,2270,2270,2270,2270,2271,2272,2271,2272,2272,2271,2272,2271,2271,2271,2271,2272,2271,2272,2272,2272,2272,2271,2272,2271,2272,2273,2273,2273,2272,2273,2273,2272,2273,2272,2273,2273,2273,2273,2273,2273,2273,2274,2273,2273,2273,2273,2273,2273,2273,2273,2273,2273,2274,2273,2274,2274,2273,2274,2273,2273,2274,2274,2274,2273,2273,2273,2272,2272,2272,2274,2272,2272,2272,2272,2271,2272,2272,2271,2271,2272,2271,2271,2271,2270,2270,2271,2271,2271,2270,2270,2271,2270,2270,2269,2270,2269,2270,2270,2270,2270,2271,2270,2270,2270,2270,2270,2270,2270,2270,2269,2270,2270,2271,2270,2270,2270,2270,2270,2270,2271,2271,2270,2271,2271,2270,2271,2270,2271,2270,2269,2269,2270,2269,2270,2270,2270,2270,2269,2269,2269,2269,2270,2269,2269,2269,2269,2269,2270,2269,2270,2269,2270,2269,2270,2269,2269,2270,2270,2270,2270,2270,2270,2270,2270,2271,2270,2270,2270,2271,2272,2272,2272,2273,2272,2272,2272,2272,2272,2272,2273,2272,2272,2273,2274,2273,2273,2274,2274,2273,2273,2273,2272,2273,2272,2273,2273,2272,2271,2272,2273,2271,2271,2271,2272,2272,2271,2272,2271,2272,2272,2271,2272,2272,2271,2272,2272,2272,2271,2271,2271,2271,2272,2271
Coal,12,13,12,13,13,13,13,13,14,14,14,14,14,15,15,13,13,13,11,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,12,12,12,12,12,12,11,11,12,12,12,13,13,13,13,13,12,11,11,12,13,13,12,11,11,11,11,11,11,10,11,10,11,10,10,10,11,10,10,9,10,11,10,11,11,10,10,10,10,11,11,11,12,11,11,11,11,11,11,11,11,11,10,11,12,11,11,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,12,12,12,12,12,13,13,12,12,12,13,12,13,13,12,12,11,12,11,11,12,11,11,11,11,12,11,11,10,10,10,11,11,11,11,11,11,11,12,11,11,11,12,11,12,12,12,12,12,12,12,12,11,12,12,12,11,12,12,11,11,11,11,11,12,12,12,12,11,12,12,12,12,11,12,11,11,11,11,12,12,12,12,12,11,11,12,12,12,12,11,13,12,13,13,13,13,13,13,13,13,13,14,14,13,12,12,12,13,13,13,13,14,15,13,13,13,13,13,14,14,14,13,13,12,12,12,12,12,12,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
