Supply 03/16/2022,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,
Renewables,6387,6514,6562,6575,6546,6512,6498,6325,6220,6182,6242,6202,6170,6120,6047,6098,6057,6082,6063,6025,6005,5984,5975,5954,5972,5934,5997,5993,5968,5990,6016,5956,5833,5727,5698,5665,5672,5627,5553,5525,5547,5580,5596,5583,5478,5427,5303,5281,5293,5328,5401,5549,5670,5748,5730,5721,5688,5671,5661,5585,5566,5600,5710,5688,5635,5595,5572,5554,5528,5552,5581,5611,5609,5583,5597,5621,5665,5745,5796,5823,5811,5796,5783,5740,5726,5724,5782,5872,6036,6255,6544,6895,7269,7661,7997,8457,9002,9649,10266,10770,11269,11790,12307,12710,13220,13717,14165,14405,14718,15057,15369,15556,15755,15912,16072,16250,16251,16124,15950,15783,16023,16487,16646,16706,16660,16639,16580,16580,16486,16275,16049,15947,15811,15692,15591,15455,15383,15234,15186,15072,15094,14984,15126,15068,15259,15581,15707,15368,15324,15225,15182,15309,15345,15397,15345,15478,15667,15984,16090,16187,16244,16135,16001,15961,15662,15341,15474,15681,15841,15943,15786,15871,15961,15979,16023,16142,16276,16254,16312,16308,16331,16458,16523,16576,16606,16721,16896,17419,17676,17975,17980,17709,17165,16255,15726,15331,15420,15631,15592,15603,15650,15380,15301,15092,14843,14897,14771,14614,14449,14539,14212,13663,13106,12566,11979,11321,10627,9845,9100,8395,7791,7338,7059,6775,6529,6397,6241,6159,6105,6066,6032,6003,5929,5884,5912,5929,6012,6043,6108,6137,6133,6061,6047,6105,6229,6236,6164,6133,6160,6079,6073,6082,6167,6111,6085,6109,6160,6200,6178,6219,6182,6146,6155,6143,6094,6060,6030,6044,6036,6040,6005,6013,6070,6067,5989,5913,5850,5789,5725,5658,5585,5515,5465,5429,5387,5340,5323,5245,
Natural gas,5353,5197,5060,5024,4928,4858,4790,4805,4814,4759,4776,4787,4801,4923,4912,4833,4752,4759,4667,4579,4513,4399,4276,4422,4348,4291,4265,4315,4390,4392,4409,4422,4415,4375,4352,4399,4536,4740,4763,4742,4694,4673,4667,4694,4866,4889,4933,4935,4855,4941,5066,5031,4987,4971,4976,5083,5134,5120,5096,5151,5130,5023,4847,4661,4736,4733,4834,4984,5018,5153,5363,5400,5445,5281,5048,5032,5315,5536,5673,5727,5731,5732,5715,5829,5985,6277,6347,6239,6276,6249,6150,5988,5842,5747,5647,5561,5510,5411,5235,5273,5041,4902,4829,4697,4623,4558,4764,5093,5043,4601,4078,4064,4036,3844,3734,3689,3790,3925,3916,3776,3715,3962,3971,4067,4079,4239,4269,4226,4244,4258,4372,4290,4226,4276,4375,4350,4311,4346,4222,4189,4144,4162,4042,4007,3987,4063,4113,4117,3986,4032,3980,3939,3928,3884,3967,4027,4090,4043,4057,4164,4141,4163,4164,4160,4175,4041,3896,3913,3985,4044,4082,3921,3960,3974,3970,3965,3885,3912,3842,3972,4048,3876,3518,3585,3502,3437,3442,3449,3491,3509,3575,3649,3731,3880,4132,4271,4248,4447,4572,4640,4585,4644,4650,4648,4884,4933,4993,5080,5283,5291,5351,5402,5441,5449,5463,5763,5949,6012,6057,6078,6344,6512,6682,7202,7280,7437,7533,7559,7468,7567,7694,7640,7765,7715,7748,7788,7717,7769,7718,7754,7607,7595,7698,7659,7506,7438,7522,7349,7187,7131,6841,6753,6704,6852,6898,6846,6747,6696,6699,6660,6653,6620,6581,6492,6296,6409,6455,6436,6352,6275,6236,6156,6064,6080,6091,6090,6081,6187,6253,6337,6305,6119,6062,5915,5842,5848,5726,5724
Large hydro,1087,1004,869,872,873,875,873,888,911,872,855,851,877,933,955,895,877,880,873,894,902,892,873,906,903,874,828,832,840,840,842,854,899,932,912,933,885,841,838,834,827,828,826,839,851,849,850,839,825,840,840,826,819,814,819,832,848,838,823,877,949,1068,1143,1160,1226,1201,1188,1281,1301,1270,1256,1145,1157,1503,1641,1608,1632,1576,1538,1653,1759,1796,1788,1769,1818,1918,2004,2063,2022,2026,2047,1943,1902,1767,1746,1791,1747,1523,1344,1311,1254,1241,1220,1189,1227,1189,1200,1231,1197,1074,849,823,821,813,777,764,749,756,792,844,854,965,955,915,889,893,885,830,807,819,889,868,797,759,834,872,884,898,873,850,836,848,770,758,748,712,671,725,670,677,677,715,742,707,736,780,748,713,675,650,631,655,669,705,756,865,861,718,698,718,731,713,710,720,714,747,742,744,741,713,701,799,821,813,797,808,811,765,741,770,762,794,801,727,697,733,684,651,655,656,664,695,726,730,764,857,896,931,998,1000,1019,1029,1066,1037,977,1081,1232,1511,1708,1893,2053,2208,2237,2328,2410,2438,2505,2572,2577,2522,2572,2663,2697,2745,2760,2753,2732,2742,2737,2732,2662,2505,2486,2436,2396,2338,2385,2493,2533,2591,2579,2475,2257,2132,2122,2114,2107,2083,2091,2058,1998,1944,1902,1943,1981,1790,1714,1676,1632,1609,1559,1479,1416,1401,1378,1353,1347,1288,1243,1305,1351,1323,1316,1292,1277,1277,1247,1228
Imports,7819,7857,8022,8017,8051,8062,8010,7935,7830,7828,7782,7715,7649,7672,7654,7581,7744,7701,7767,7790,7854,7911,7980,7933,7865,7954,7978,8000,7957,7877,7793,7739,7705,7745,7759,7698,7573,7452,7407,7452,7438,7449,7439,7429,7449,7446,7521,7623,7684,7641,7567,7440,7442,7414,7460,7355,7401,7499,7596,7671,7673,7744,7883,8196,8199,8274,8312,8257,8348,8319,8245,8337,8530,8879,9192,9353,9331,9265,9234,9336,9442,9488,9548,9434,9394,9286,9231,9353,9484,9423,9255,9226,9081,8754,8445,7957,7371,6860,6505,6099,5881,5611,5208,4981,4522,4096,3731,3234,2729,2353,2256,2132,2016,2016,2016,1778,1620,1615,1601,1449,1226,622,369,299,270,299,271,185,40,104,70,74,214,315,175,-52,-17,-14,-45,-23,-88,-155,-156,-177,-228,-409,-487,-382,-344,-299,-246,-355,-384,-334,-341,-362,-539,-733,-685,-683,-688,-660,-647,-609,-473,-328,-344,-377,-431,-579,-515,-517,-594,-544,-532,-759,-795,-847,-801,-846,-810,-1169,-1223,-1306,-1436,-1556,-1601,-1997,-2200,-2362,-2333,-2136,-1744,-810,-119,256,221,149,282,386,300,482,465,752,1082,1253,1520,1689,1649,1470,1685,2326,2970,3613,4237,4673,5179,5261,5749,6183,6525,6790,6919,6812,6970,7058,7246,7279,7442,7499,7580,7746,7800,7919,8010,8052,8102,8147,8193,8088,8132,8242,8236,8178,8250,8408,8340,8280,8183,8248,8551,8599,8631,8543,8499,8485,8507,8539,8566,8574,8585,8547,8518,8518,8518,8491,8543,8517,8547,8575,8604,8581,8595,8607,8529,8476,8374,8320,8211,8089,8070,8043,8091,8128,8156,8168,8255,8238
Batteries,-88,-3,-8,-18,21,-9,29,-4,6,16,-50,43,5,-63,-6,35,-32,-77,-58,-60,-94,-11,-28,-125,-66,-77,-105,-142,-168,-158,-185,-127,-76,-59,-54,-44,-60,45,60,80,98,83,121,88,35,88,45,11,44,68,78,78,88,88,110,126,120,124,118,128,170,268,298,274,319,338,371,345,346,371,344,361,370,343,332,280,259,257,307,271,285,361,491,564,534,408,454,370,280,225,176,129,100,267,279,305,326,419,447,393,311,209,124,127,116,19,-238,-216,-89,151,273,268,175,172,183,158,94,62,56,218,131,-76,-111,-177,-221,-395,-415,-414,-419,-453,-481,-474,-489,-496,-513,-435,-496,-453,-411,-372,-346,-282,-153,-41,-239,-323,-497,-331,-257,-285,-253,-324,-394,-434,-426,-511,-581,-708,-837,-894,-765,-801,-743,-726,-631,-515,-465,-535,-574,-627,-541,-506,-559,-572,-540,-408,-533,-421,-493,-411,-449,-27,5,131,317,362,372,352,355,250,284,312,347,208,133,101,151,-61,-80,1,95,166,319,263,165,-96,-150,-134,-15,46,93,170,230,271,398,422,491,720,713,764,838,877,902,900,970,1006,1021,1150,1215,1240,1271,1189,1277,1228,1100,1180,1163,1138,1080,1166,1167,1112,1106,1082,978,954,956,1007,1031,943,897,965,984,1090,1118,1043,1001,914,816,767,760,798,783,804,784,676,572,526,542,511,507,501,394,273,275,269,263,165,162,95,86,97,27,88,59,53,-5,103
Nuclear,2127,2127,2127,2126,2128,2127,2127,2127,2127,2127,2127,2127,2127,2126,2126,2126,2127,2127,2127,2126,2126,2127,2126,2127,2126,2127,2126,2127,2127,2126,2127,2126,2126,2126,2126,2126,2124,2125,2126,2125,2126,2125,2125,2125,2124,2124,2126,2125,2125,2123,2123,2124,2124,2124,2124,2124,2123,2124,2125,2124,2125,2124,2125,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2124,2123,2123,2123,2124,2122,2122,2121,2122,2122,2122,2121,2123,2122,2121,2122,2121,2121,2121,2121,2121,2121,2121,2120,2121,2121,2122,2121,2121,2121,2121,2121,2120,2120,2121,2120,2120,2121,2121,2120,2120,2120,2120,2120,2121,2121,2120,2120,2121,2121,2120,2121,2120,2121,2121,2121,2121,2121,2121,2121,2120,2121,2120,2120,2121,2121,2121,2121,2119,2120,2119,2119,2119,2119,2119,2118,2119,2119,2119,2118,2119,2118,2118,2118,2118,2118,2119,2117,2118,2117,2118,2119,2118,2118,2118,2118,2119,2118,2118,2119,2117,2118,2118,2118,2118,2118,2118,2118,2117,2118,2118,2117,2118,2118,2118,2118,2118,2119,2118,2118,2116,2118,2117,2117,2118,2118,2118,2118,2117,2118,2116,2117,2117,2118,2117,2118,2118,2117,2118,2118,2118,2118,2116,2115,2117,2116,2116,2116,2116,2116,2116,2117,2116,2116,2116,2117,2116,2116,2116,2116,2116,2116,2115,2115,2115,2115,2116,2116,2116,2115,2116,2116,2116,2117,2116,2116,2116,2116,2116,2116,2117,2117,2116,2117,2117,2117,2117,2116,2116,2115,2114,2113,2113,2112,2113,2114,2114,2114,2116,2116,2116,2116,2115,2116,2116,2115,2115,2115,2115,2115,2115,2114,2115,2115,2115
Coal,10,11,11,10,11,10,10,11,10,10,10,10,11,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,11,11,11,12,12,12,11,12,11,11,12,12,12,12,12,12,12,11,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,11,11,12,10,10,10,11,12,11,11,11,12,12,12,12,11,11,10,10,10,10,10,10,11,11,10,10,10,10,11,11,11,12,12,11,10,10,10,10,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,10,10,10,11,10,10,10,10,10,10,9,10,10,11,10,10,10,10,10,10,10,10,9,9,9,9,10,10,10,9,8,8,9,9,10,10,10,10,10,10,10,11,11,10,10,10,11,11,11,11,10,10,11,11,11,11,11,11,10,10,10,10,11,12,11,11,11,11,10,10,10,11,11,11,11,11,10,10,9,9,9,10,10,10,9,10,10,10,9,9,9,10,10,10,10,11,11,11,11,11,11,10,11,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,9,9,9,10,10,10,9,9,9,9,10,10,11,10,10,9,9,10,9,9,9,9,9,9,9,9
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
